time(s),iter,infeas,ot_objective,primal,dual,solver
1.508790e-04,1,1.48385161483852e+00,4.56179118203847e-01,2.68599180865950e+00,3.47852130609321e-17,lamp_kernel
2.955927e-01,251,1.44894563488308e-04,2.21982271329302e-01,2.22200007208829e-01,-5.07022088252943e-02,lamp_kernel
5.913716e-01,501,4.70705288915133e-05,2.20842523125329e-01,2.20913256924867e-01,1.05546388192167e-01,lamp_kernel
8.985863e-01,751,1.32159618465230e-05,2.20652344780197e-01,2.20672204663185e-01,1.75620186073513e-01,lamp_kernel
1.193957e+00,1001,4.84087866165297e-06,2.20591668126298e-01,2.20598942608844e-01,1.99733721953691e-01,lamp_kernel
1.489256e+00,1251,2.37021861247161e-06,2.20563683084062e-01,2.20567244857684e-01,2.06603721704491e-01,lamp_kernel
1.785521e+00,1501,1.28504879791536e-06,2.20547872762057e-01,2.20549803829887e-01,2.11602996655993e-01,lamp_kernel
2.084593e+00,1751,1.08487335033500e-06,2.20538002058973e-01,2.20539632319263e-01,2.16367930331000e-01,lamp_kernel
2.384674e+00,2001,8.74963830279029e-07,2.20531474897077e-01,2.20532789722248e-01,2.17264296627758e-01,lamp_kernel
2.685379e+00,2251,3.62046752000699e-07,2.20526910878485e-01,2.20527454933183e-01,2.19156009683239e-01,lamp_kernel
2.986590e+00,2501,3.16800548921838e-07,2.20523588072323e-01,2.20524064134671e-01,2.19716177152699e-01,lamp_kernel
3.311955e+00,2751,3.98229878471954e-07,2.20521109400914e-01,2.20521707828700e-01,2.19989345456324e-01,lamp_kernel
3.612935e+00,3001,3.23892701984582e-07,2.20519207533250e-01,2.20519694253115e-01,2.20044463518992e-01,lamp_kernel
3.914005e+00,3251,2.26278007058519e-07,2.20517743187857e-01,2.20518083220220e-01,2.20030088791444e-01,lamp_kernel
4.215257e+00,3501,1.64657237816673e-07,2.20516572994759e-01,2.20516820428394e-01,2.20179008148309e-01,lamp_kernel
4.516730e+00,3751,1.89365741904824e-07,2.20515603418045e-01,2.20515887981630e-01,2.20238088423671e-01,lamp_kernel
4.818330e+00,4001,1.52572652406808e-07,2.20514791425802e-01,2.20515020699695e-01,2.20334358443612e-01,lamp_kernel
5.120068e+00,4251,1.59462647710362e-07,2.20514096708583e-01,2.20514336336206e-01,2.20299313272972e-01,lamp_kernel
5.421860e+00,4501,1.78406622114446e-07,2.20513500196614e-01,2.20513768291716e-01,2.20402764493136e-01,lamp_kernel
5.723834e+00,4751,1.39261563094915e-07,2.20512993054117e-01,2.20513202325177e-01,2.20415585020557e-01,lamp_kernel
6.026284e+00,5001,1.31954151745006e-07,2.20512556987975e-01,2.20512755278046e-01,2.20421058253285e-01,lamp_kernel
6.328637e+00,5251,9.82171767288906e-08,2.20512178005078e-01,2.20512325597940e-01,2.20422576237973e-01,lamp_kernel
6.631062e+00,5501,8.15700809220595e-08,2.20511849106242e-01,2.20511971683190e-01,2.20423194276126e-01,lamp_kernel
6.933939e+00,5751,6.19131912713860e-08,2.20511561125212e-01,2.20511654163369e-01,2.20430847208262e-01,lamp_kernel
7.236947e+00,6001,6.56986469934754e-08,2.20511304902837e-01,2.20511403629472e-01,2.20434394757504e-01,lamp_kernel
7.578720e+00,6251,4.34968437545283e-08,2.20511074932982e-01,2.20511140296535e-01,2.20436594448406e-01,lamp_kernel
