time(s),iter,infeas,ot_objective,dual
3.112700e-04,1,1.74175749983670e+00,2.50823344549537e-12,3.23229577540074e+00,sinkhorn_cellsim
1.511359e-01,251,1.02405718780334e+00,5.98418785905336e-02,2.31643217847378e+03,sinkhorn_cellsim
3.016925e-01,501,7.24141587504914e-01,1.08489764172823e-01,2.76153385715658e+03,sinkhorn_cellsim
4.521953e-01,751,5.89956698068786e-01,1.19032510796688e-01,2.92507047106039e+03,sinkhorn_cellsim
6.025609e-01,1001,5.05532455386749e-01,1.26457536656906e-01,3.03019046209079e+03,sinkhorn_cellsim
7.528805e-01,1251,4.20692657541532e-01,1.31038003427257e-01,3.10040551388020e+03,sinkhorn_cellsim
9.030528e-01,1501,3.53815981731193e-01,1.38813094340969e-01,3.14585093652819e+03,sinkhorn_cellsim
1.053247e+00,1751,3.22291106472904e-01,1.40610867248753e-01,3.17664206450853e+03,sinkhorn_cellsim
1.203525e+00,2001,2.96187254607314e-01,1.43761208254513e-01,3.20244442994588e+03,sinkhorn_cellsim
1.353746e+00,2251,2.69699487140103e-01,1.46108337064606e-01,3.22216197819984e+03,sinkhorn_cellsim
1.503942e+00,2501,2.32133905146810e-01,1.49698209557394e-01,3.23809215871786e+03,sinkhorn_cellsim
1.654085e+00,2751,2.27949879786425e-01,1.50418347536426e-01,3.25092522018827e+03,sinkhorn_cellsim
1.809548e+00,3001,1.66467400859479e-01,1.55262475461889e-01,3.26164788412084e+03,sinkhorn_cellsim
1.959707e+00,3251,1.29905217534237e-01,1.57578186620739e-01,3.26813760460384e+03,sinkhorn_cellsim
2.109817e+00,3501,1.23066673777103e-01,1.58183512716306e-01,3.27312811572406e+03,sinkhorn_cellsim
2.259915e+00,3751,1.20273999873169e-01,1.58544112444956e-01,3.27749992937773e+03,sinkhorn_cellsim
2.410064e+00,4001,1.11974581857243e-01,1.59136854871386e-01,3.28148296018325e+03,sinkhorn_cellsim
2.560171e+00,4251,1.03754700088068e-01,1.59852393437691e-01,3.28504000700238e+03,sinkhorn_cellsim
2.710346e+00,4501,9.76070382795565e-02,1.60041553625840e-01,3.28791943384914e+03,sinkhorn_cellsim
2.860530e+00,4751,9.15083364741316e-02,1.60748218318121e-01,3.29048373755994e+03,sinkhorn_cellsim
3.010695e+00,5001,8.41078339960839e-02,1.61071381703619e-01,3.29269938008736e+03,sinkhorn_cellsim
3.160837e+00,5251,8.20432283286777e-02,1.61172262852059e-01,3.29474888593018e+03,sinkhorn_cellsim
3.311056e+00,5501,7.95364742526519e-02,1.61537337421152e-01,3.29661944292336e+03,sinkhorn_cellsim
3.461348e+00,5751,7.57767633586511e-02,1.61992772170837e-01,3.29822906518334e+03,sinkhorn_cellsim
3.611599e+00,6001,6.95452345186174e-02,1.62270917948314e-01,3.29962627463960e+03,sinkhorn_cellsim
3.761870e+00,6251,6.17256220000364e-02,1.62689520056285e-01,3.30082329325833e+03,sinkhorn_cellsim
3.912163e+00,6501,5.99782742729985e-02,1.62873225404761e-01,3.30187725113825e+03,sinkhorn_cellsim
4.062552e+00,6751,5.04997854179861e-02,1.63326451419129e-01,3.30275355417774e+03,sinkhorn_cellsim
4.212948e+00,7001,4.72542914800202e-02,1.63292337000560e-01,3.30345107133898e+03,sinkhorn_cellsim
4.363249e+00,7251,4.47240725021184e-02,1.63291167698543e-01,3.30404969933887e+03,sinkhorn_cellsim
4.513533e+00,7501,4.08161141551899e-02,1.63321781293439e-01,3.30456648143495e+03,sinkhorn_cellsim
4.663842e+00,7751,3.60398904304289e-02,1.63641964774991e-01,3.30494332848721e+03,sinkhorn_cellsim
4.814161e+00,8001,3.60239054421344e-02,1.63667954542600e-01,3.30529342546853e+03,sinkhorn_cellsim
4.964415e+00,8251,3.50638765929728e-02,1.63700355440494e-01,3.30563832518876e+03,sinkhorn_cellsim
5.114700e+00,8501,3.18592633510610e-02,1.63747709720949e-01,3.30594308271062e+03,sinkhorn_cellsim
5.264963e+00,8751,3.09761357807897e-02,1.63880296190144e-01,3.30621590415135e+03,sinkhorn_cellsim
5.415193e+00,9001,2.86396242718285e-02,1.63995742960135e-01,3.30647498542624e+03,sinkhorn_cellsim
5.565447e+00,9251,2.64986184590991e-02,1.64049719479376e-01,3.30671290860101e+03,sinkhorn_cellsim
5.715735e+00,9501,2.54680205386442e-02,1.64049891319244e-01,3.30694704812902e+03,sinkhorn_cellsim
5.866073e+00,9751,2.42887809428989e-02,1.64104873877051e-01,3.30717538797456e+03,sinkhorn_cellsim
6.022541e+00,10001,2.42537382028028e-02,1.64253870938395e-01,3.30739390906319e+03,sinkhorn_cellsim
6.172835e+00,10251,2.31616641269666e-02,1.64356280764437e-01,3.30759987086310e+03,sinkhorn_cellsim
6.323145e+00,10501,2.18820572428245e-02,1.64441579913344e-01,3.30778424832707e+03,sinkhorn_cellsim
6.473463e+00,10751,1.99219743710408e-02,1.64581413372935e-01,3.30795076069909e+03,sinkhorn_cellsim
6.623743e+00,11001,1.96846453721545e-02,1.64609015921110e-01,3.30810521964348e+03,sinkhorn_cellsim
6.774033e+00,11251,1.88516944429473e-02,1.64679214136644e-01,3.30824163721766e+03,sinkhorn_cellsim
6.924360e+00,11501,1.87791479467689e-02,1.64697186082672e-01,3.30836779789162e+03,sinkhorn_cellsim
7.074762e+00,11751,1.78067283508826e-02,1.64713619319036e-01,3.30848555881023e+03,sinkhorn_cellsim
7.225159e+00,12001,1.77511153080252e-02,1.64737012966202e-01,3.30859925259521e+03,sinkhorn_cellsim
7.375552e+00,12251,1.49340581324817e-02,1.64802823361466e-01,3.30870043480292e+03,sinkhorn_cellsim
7.525959e+00,12501,1.36891934276712e-02,1.64885478768055e-01,3.30876914794658e+03,sinkhorn_cellsim
7.676353e+00,12751,1.30702509446595e-02,1.64926359120200e-01,3.30882828238403e+03,sinkhorn_cellsim
7.826755e+00,13001,1.17571380402775e-02,1.65019233431351e-01,3.30888041125827e+03,sinkhorn_cellsim
7.977148e+00,13251,1.08445920571868e-02,1.65071271349886e-01,3.30892262223496e+03,sinkhorn_cellsim
8.127559e+00,13501,1.07671533025034e-02,1.65092742870352e-01,3.30896220941679e+03,sinkhorn_cellsim
8.277960e+00,13751,1.07563686617630e-02,1.65104103446340e-01,3.30900060204827e+03,sinkhorn_cellsim
8.428282e+00,14001,9.44276406160438e-03,1.65216192999318e-01,3.30903528368738e+03,sinkhorn_cellsim
8.578567e+00,14251,7.89656751652463e-03,1.65311330547903e-01,3.30905917693816e+03,sinkhorn_cellsim
8.728926e+00,14501,7.02549932923280e-03,1.65401084301808e-01,3.30907408626748e+03,sinkhorn_cellsim
8.879237e+00,14751,6.55276410016754e-03,1.65408408794420e-01,3.30908529392008e+03,sinkhorn_cellsim
9.029558e+00,15001,5.90101911330307e-03,1.65420384006288e-01,3.30909526178749e+03,sinkhorn_cellsim
9.179904e+00,15251,5.41078844807334e-03,1.65436261700666e-01,3.30910397838309e+03,sinkhorn_cellsim
9.330229e+00,15501,5.04168664242065e-03,1.65449317994101e-01,3.30911189691054e+03,sinkhorn_cellsim
9.480560e+00,15751,4.64702337581069e-03,1.65464488820445e-01,3.30911924242889e+03,sinkhorn_cellsim
9.630958e+00,16001,4.11046555033291e-03,1.65497999589830e-01,3.30912583543151e+03,sinkhorn_cellsim
