["Mono", "LMPP", "LSC-SU070", "LMPP", "Blast-SU353", "LMPP", "LMPP", "Blast-SU353", "Mono", "LMPP", "LSC-SU353", "LSC-SU070", "Mono", "Mono", "Mono", "LSC-SU070", "Blast-SU353", "LMPP", "Blast-SU353", "LSC-SU353"]
time(s),iter,infeas,ot_objective,primal,dual,solver
4.675297e-01,1,1.46930693069307e+00,3.74363529533093e-01,1.84367046022616e+00,0.00000000000000e+00,1.84367046022616e+00,lamp_kernel
3.569740e+00,251,4.14051367017544e-05,1.76855512506086e-01,1.76896917642788e-01,1.75135123297456e-01,1.76179434533191e-03,lamp_kernel
3.851837e+00,501,5.67296339310636e-06,1.76262530029663e-01,1.76268202993056e-01,1.75694696586791e-01,5.73506406265079e-04,lamp_kernel
4.132968e+00,751,2.11395388928982e-06,1.76170603724549e-01,1.76172717678439e-01,1.75872230058263e-01,3.00487620175427e-04,lamp_kernel
4.414215e+00,1001,1.20375875138649e-06,1.76138405740601e-01,1.76139609499353e-01,1.75933684547732e-01,2.05924951621111e-04,lamp_kernel
4.704406e+00,1251,8.53814905633836e-07,1.76122411678835e-01,1.76123265493740e-01,1.75975779529588e-01,1.47485964151872e-04,lamp_kernel
4.996696e+00,1501,4.52211824210841e-07,1.76113067980985e-01,1.76113520192809e-01,1.76001639928711e-01,1.11880264097947e-04,lamp_kernel
5.286776e+00,1751,4.39603984410561e-07,1.76106999492430e-01,1.76107439096415e-01,1.76020736591377e-01,8.67025050374226e-05,lamp_kernel
5.573254e+00,2001,5.50563219004229e-07,1.76102804937006e-01,1.76103355500225e-01,1.76035654809829e-01,6.77006903961330e-05,lamp_kernel
5.930709e+00,2251,4.59016359232450e-07,1.76099821331125e-01,1.76100280347485e-01,1.76045184772733e-01,5.50955747513071e-05,lamp_kernel
6.217166e+00,2501,3.01071151482829e-07,1.76097657075256e-01,1.76097958146407e-01,1.76050087257932e-01,4.78708884752155e-05,lamp_kernel
6.503675e+00,2751,1.95908027697503e-07,1.76096051092609e-01,1.76096247000637e-01,1.76054172784854e-01,4.20742157829224e-05,lamp_kernel
6.796661e+00,3001,1.38722484218354e-07,1.76094830185874e-01,1.76094968908358e-01,1.76057499401273e-01,3.74695070848030e-05,lamp_kernel
7.089226e+00,3251,1.21890692040362e-07,1.76093879667721e-01,1.76094001558413e-01,1.76059528736373e-01,3.44728220397772e-05,lamp_kernel
7.380362e+00,3501,1.20940392747103e-07,1.76093122770200e-01,1.76093243710593e-01,1.76061743055162e-01,3.15006554306996e-05,lamp_kernel
7.667228e+00,3751,1.15052943497645e-07,1.76092507618241e-01,1.76092622671184e-01,1.76064073626520e-01,2.85490446643721e-05,lamp_kernel
7.954288e+00,4001,1.05700510999429e-07,1.76091998669574e-01,1.76092104370085e-01,1.76066435045093e-01,2.56693249918172e-05,lamp_kernel
8.243124e+00,4251,9.70453291769652e-08,1.76091571150842e-01,1.76091668196171e-01,1.76068764306749e-01,2.29038894224987e-05,lamp_kernel
8.536482e+00,4501,9.32608114504520e-08,1.76091207502554e-01,1.76091300763365e-01,1.76070889593798e-01,2.04111695676634e-05,lamp_kernel
8.833030e+00,4751,9.12069765976054e-08,1.76090895061764e-01,1.76090986268740e-01,1.76072654829364e-01,1.83314393767953e-05,lamp_kernel
9.122811e+00,5001,8.89432183047845e-08,1.76090624503155e-01,1.76090713446373e-01,1.76073926735807e-01,1.67867105659303e-05,lamp_kernel
9.411111e+00,5251,8.48253179903948e-08,1.76090388770197e-01,1.76090473595515e-01,1.76075112944201e-01,1.53606513144944e-05,lamp_kernel
time(s),iter,infeas,ot_objective,primal,dual,solver
9.473900e-05,1,1.46930693069307e+00,3.61164352841006e-01,1.83047128353408e+00,0.00000000000000e+00,1.83047128353408e+00,lamp_kernel
2.840637e-01,251,3.20359222142213e-05,1.75543066777821e-01,1.75575102700035e-01,1.73912973301808e-01,1.66212939822763e-03,lamp_kernel
5.716032e-01,501,2.09527899798260e-06,1.75260981020097e-01,1.75263076299095e-01,1.74634204768341e-01,6.28871530754083e-04,lamp_kernel
8.604488e-01,751,1.61694540650736e-06,1.75203478506787e-01,1.75205095452194e-01,1.74836241515924e-01,3.68853936269758e-04,lamp_kernel
1.142312e+00,1001,7.06407584296835e-07,1.75179745078523e-01,1.75180451486108e-01,1.74919520065925e-01,2.60931420182714e-04,lamp_kernel
1.425265e+00,1251,5.45363666212813e-07,1.75167013468172e-01,1.75167558831838e-01,1.74977198174596e-01,1.90360657242095e-04,lamp_kernel
1.710825e+00,1501,5.28825065510921e-07,1.75159398288043e-01,1.75159927113108e-01,1.75016028555094e-01,1.43898558014721e-04,lamp_kernel
1.996810e+00,1751,4.63696582628016e-07,1.75154602558413e-01,1.75155066254996e-01,1.75043075788805e-01,1.11990466190842e-04,lamp_kernel
2.283301e+00,2001,3.34440510775352e-07,1.75151459287331e-01,1.75151793727842e-01,1.75057184197461e-01,9.46095303807071e-05,lamp_kernel
2.639326e+00,2251,2.02527750020333e-07,1.75149312745805e-01,1.75149515273555e-01,1.75069283618013e-01,8.02316555419957e-05,lamp_kernel
2.931732e+00,2501,1.36417844415225e-07,1.75147777987510e-01,1.75147914405355e-01,1.75078718262223e-01,6.91961431319443e-05,lamp_kernel
3.227971e+00,2751,1.10682646386264e-07,1.75146633513206e-01,1.75146744195852e-01,1.75087168071355e-01,5.95761244973625e-05,lamp_kernel
3.515578e+00,3001,1.07447645914649e-07,1.75145751440484e-01,1.75145858888130e-01,1.75093904455975e-01,5.19544321552767e-05,lamp_kernel
3.802314e+00,3251,1.11709942137629e-07,1.75145054927590e-01,1.75145166637532e-01,1.75099980985365e-01,4.51856521674066e-05,lamp_kernel
4.088964e+00,3501,1.15718021289650e-07,1.75144495449772e-01,1.75144611167794e-01,1.75105494336833e-01,3.91168309606393e-05,lamp_kernel
4.375817e+00,3751,1.20564542073625e-07,1.75144040654568e-01,1.75144161219110e-01,1.75110177866058e-01,3.39833530519085e-05,lamp_kernel
