time(s),iter,infeas,ot_objective,dual
1.611691e-03,1,1.74175749597035e+00,7.53449549102660e-141,4.30192845790747e+00,sinkhorn_cellsim
2.602454e+00,251,1.70868610436766e+00,4.49828470336303e-03,4.45592393481675e+03,sinkhorn_cellsim
3.406155e+00,501,9.85701752229312e-01,2.26036533450298e-01,7.60993626390109e+03,sinkhorn_cellsim
4.209876e+00,751,7.43773972314493e-01,3.74656337360008e-01,8.42597793037515e+03,sinkhorn_cellsim
5.013735e+00,1001,6.13231337550604e-01,4.08718600580226e-01,8.62834332574111e+03,sinkhorn_cellsim
5.817658e+00,1251,5.49442426402462e-01,4.12187126894060e-01,8.76594580977817e+03,sinkhorn_cellsim
6.621569e+00,1501,5.00310114053288e-01,4.19296683753538e-01,8.87978288120769e+03,sinkhorn_cellsim
7.425556e+00,1751,4.00436623717003e-01,4.30735187593258e-01,8.96485783996275e+03,sinkhorn_cellsim
8.229668e+00,2001,3.78469443257116e-01,4.31753488791296e-01,9.03337882856388e+03,sinkhorn_cellsim
9.033616e+00,2251,3.59317124232448e-01,4.33892490878402e-01,9.08860638973228e+03,sinkhorn_cellsim
9.837580e+00,2501,3.26880441674759e-01,4.34546366089455e-01,9.13954146036701e+03,sinkhorn_cellsim
1.064139e+01,2751,2.97269270825651e-01,4.38105397697906e-01,9.18172604605896e+03,sinkhorn_cellsim
1.144515e+01,3001,2.79350759995872e-01,4.39261219163290e-01,9.22046339796261e+03,sinkhorn_cellsim
1.224881e+01,3251,2.50347137582249e-01,4.42406843224874e-01,9.25470038071462e+03,sinkhorn_cellsim
1.305248e+01,3501,2.30586187818689e-01,4.45131270770927e-01,9.28497377140364e+03,sinkhorn_cellsim
1.385620e+01,3751,2.28784237045349e-01,4.46495269055520e-01,9.31295117429106e+03,sinkhorn_cellsim
1.466058e+01,4001,2.09469176745827e-01,4.46214487654907e-01,9.33981071786635e+03,sinkhorn_cellsim
1.546432e+01,4251,1.94301463308424e-01,4.46700857855623e-01,9.36214816651188e+03,sinkhorn_cellsim
1.626793e+01,4501,1.82433737487158e-01,4.48349931182785e-01,9.38173768229646e+03,sinkhorn_cellsim
1.707156e+01,4751,1.76968807309128e-01,4.53362654910084e-01,9.39836185499114e+03,sinkhorn_cellsim
1.787526e+01,5001,1.76124731155241e-01,4.54482942857325e-01,9.41258812862622e+03,sinkhorn_cellsim
1.867899e+01,5251,1.46783315432288e-01,4.57865146883694e-01,9.42503770072753e+03,sinkhorn_cellsim
1.948275e+01,5501,1.27575916909296e-01,4.58509566254108e-01,9.43451231519923e+03,sinkhorn_cellsim
2.028654e+01,5751,1.19792895931771e-01,4.58711221917785e-01,9.44111720935678e+03,sinkhorn_cellsim
2.109037e+01,6001,1.13667216399845e-01,4.59745392114169e-01,9.44702674565088e+03,sinkhorn_cellsim
2.189426e+01,6251,1.05443746964095e-01,4.60057555035649e-01,9.45237156161804e+03,sinkhorn_cellsim
2.269821e+01,6501,1.02792717669895e-01,4.60682361127527e-01,9.45742359397156e+03,sinkhorn_cellsim
2.352634e+01,6751,8.75692107839392e-02,4.63333180063017e-01,9.46161092241339e+03,sinkhorn_cellsim
2.433025e+01,7001,8.27818756449814e-02,4.63965913784193e-01,9.46500215940326e+03,sinkhorn_cellsim
2.513415e+01,7251,8.27818446762257e-02,4.64210820836472e-01,9.46811469728551e+03,sinkhorn_cellsim
2.593803e+01,7501,7.14519743445113e-02,4.66515688081450e-01,9.47093676352539e+03,sinkhorn_cellsim
2.674188e+01,7751,6.99685407750632e-02,4.66517475230924e-01,9.47333208616283e+03,sinkhorn_cellsim
2.754577e+01,8001,6.14383605040166e-02,4.66970672284487e-01,9.47558282696888e+03,sinkhorn_cellsim
2.834971e+01,8251,6.14360095879601e-02,4.67001306304744e-01,9.47748286664212e+03,sinkhorn_cellsim
2.915363e+01,8501,5.66526671897594e-02,4.67759224998367e-01,9.47906247977019e+03,sinkhorn_cellsim
2.995754e+01,8751,5.29194135842190e-02,4.68602917064623e-01,9.48045787141654e+03,sinkhorn_cellsim
3.076149e+01,9001,5.06826384338484e-02,4.68898307010890e-01,9.48154127124961e+03,sinkhorn_cellsim
3.156549e+01,9251,5.01705751020522e-02,4.68787359207584e-01,9.48256111142479e+03,sinkhorn_cellsim
3.236949e+01,9501,5.01440215646258e-02,4.68782651775046e-01,9.48354948276473e+03,sinkhorn_cellsim
3.317364e+01,9751,4.72691959445566e-02,4.69028654451372e-01,9.48449360473288e+03,sinkhorn_cellsim
3.397778e+01,10001,4.55798795584331e-02,4.69331273663226e-01,9.48530761700656e+03,sinkhorn_cellsim
3.478192e+01,10251,4.55456840835448e-02,4.69346924155755e-01,9.48608920978812e+03,sinkhorn_cellsim
3.558605e+01,10501,4.10479682630048e-02,4.69763971786215e-01,9.48681028978962e+03,sinkhorn_cellsim
3.639019e+01,10751,3.93190055597999e-02,4.69885519283653e-01,9.48748297573969e+03,sinkhorn_cellsim
3.719434e+01,11001,3.92469255258256e-02,4.69947595345845e-01,9.48814830945216e+03,sinkhorn_cellsim
3.799847e+01,11251,3.92455061905780e-02,4.70079189974399e-01,9.48877994994695e+03,sinkhorn_cellsim
3.880290e+01,11501,3.92140330701324e-02,4.70094698529637e-01,9.48934381678452e+03,sinkhorn_cellsim
3.960713e+01,11751,3.64967439519672e-02,4.70500480009121e-01,9.48986070087829e+03,sinkhorn_cellsim
4.041140e+01,12001,2.70071506325165e-02,4.71606102136541e-01,9.49028208863079e+03,sinkhorn_cellsim
4.121562e+01,12251,2.57247187954874e-02,4.71783748100935e-01,9.49065465535806e+03,sinkhorn_cellsim
4.201986e+01,12501,2.57230507496346e-02,4.71802526583737e-01,9.49102595924970e+03,sinkhorn_cellsim
4.282405e+01,12751,2.57230201894682e-02,4.71806977321369e-01,9.49139716002819e+03,sinkhorn_cellsim
4.362816e+01,13001,2.57214031349069e-02,4.71809171102384e-01,9.49176833139192e+03,sinkhorn_cellsim
4.443220e+01,13251,2.50345745344497e-02,4.71935908514180e-01,9.49213291244241e+03,sinkhorn_cellsim
4.523629e+01,13501,2.48514564128583e-02,4.72070365866123e-01,9.49248530147278e+03,sinkhorn_cellsim
4.604035e+01,13751,2.40039352188570e-02,4.72089783845399e-01,9.49282924811301e+03,sinkhorn_cellsim
4.685265e+01,14001,2.38045131176540e-02,4.72084889714092e-01,9.49316566849171e+03,sinkhorn_cellsim
4.765675e+01,14251,2.24488264440064e-02,4.72156977075785e-01,9.49348880240927e+03,sinkhorn_cellsim
4.846083e+01,14501,2.23135336472579e-02,4.72187041669911e-01,9.49379230049408e+03,sinkhorn_cellsim
4.926495e+01,14751,2.21520974390184e-02,4.72189343429239e-01,9.49409195457138e+03,sinkhorn_cellsim
5.006911e+01,15001,2.11458624417179e-02,4.72182357237012e-01,9.49437508158357e+03,sinkhorn_cellsim
5.087323e+01,15251,2.03080839446279e-02,4.72365687305897e-01,9.49464716972444e+03,sinkhorn_cellsim
5.167737e+01,15501,2.03051845015888e-02,4.72479512102628e-01,9.49491148059464e+03,sinkhorn_cellsim
5.248146e+01,15751,2.03035146604618e-02,4.72618953234609e-01,9.49516512944065e+03,sinkhorn_cellsim
5.328555e+01,16001,2.03027961817564e-02,4.72618242320609e-01,9.49541488015365e+03,sinkhorn_cellsim
5.408962e+01,16251,2.03024802177022e-02,4.72617702945732e-01,9.49566459284801e+03,sinkhorn_cellsim
5.489371e+01,16501,2.03023348916235e-02,4.72617354059333e-01,9.49591429064815e+03,sinkhorn_cellsim
5.569792e+01,16751,2.03022632842485e-02,4.72590893501696e-01,9.49615714990079e+03,sinkhorn_cellsim
5.650197e+01,17001,2.03022212377644e-02,4.72627951623612e-01,9.49638981307009e+03,sinkhorn_cellsim
5.730604e+01,17251,1.90973197348770e-02,4.72763368800575e-01,9.49661430313890e+03,sinkhorn_cellsim
5.811010e+01,17501,1.85574859321325e-02,4.72839988892038e-01,9.49682264706344e+03,sinkhorn_cellsim
5.891484e+01,17751,1.84642444802957e-02,4.72909753924648e-01,9.49702861166316e+03,sinkhorn_cellsim
5.971896e+01,18001,1.69149461212910e-02,4.73128275370118e-01,9.49722341581412e+03,sinkhorn_cellsim
6.052304e+01,18251,1.56142947987012e-02,4.73288424416087e-01,9.49740598396471e+03,sinkhorn_cellsim
6.132710e+01,18501,1.45171921276959e-02,4.73487078870813e-01,9.49756443819179e+03,sinkhorn_cellsim
6.213119e+01,18751,1.42366401998865e-02,4.73564274580096e-01,9.49771779112609e+03,sinkhorn_cellsim
6.293528e+01,19001,1.41996399266573e-02,4.73594837309385e-01,9.49787019888202e+03,sinkhorn_cellsim
6.373924e+01,19251,1.35355019004026e-02,4.73681718745623e-01,9.49802136274377e+03,sinkhorn_cellsim
6.454316e+01,19501,1.33231317699348e-02,4.73715015734972e-01,9.49816286094266e+03,sinkhorn_cellsim
6.534708e+01,19751,1.33230925969208e-02,4.73712881025766e-01,9.49830423739419e+03,sinkhorn_cellsim
6.615106e+01,20001,1.33230891257194e-02,4.73711143379972e-01,9.49844560556500e+03,sinkhorn_cellsim
