time(s),iter,infeas,ot_objective,primal,dual,solver
4.618727e-01,1,6.21431490287843e-01,1.43453293480300e-01,7.64884783768142e-01,0.00000000000000e+00,lamp_kernel
1.962653e+01,251,5.51613461495157e-05,2.39368351621518e-02,2.39919965083013e-02,1.83378208022320e-02,lamp_kernel
3.614718e+01,501,3.25221335028316e-06,2.10414031303201e-02,2.10446553436704e-02,1.97278707975717e-02,lamp_kernel
5.266776e+01,751,1.43695296451671e-06,2.06605338915865e-02,2.06619708445510e-02,2.00191244489548e-02,lamp_kernel
6.925155e+01,1001,8.21045540899507e-07,2.05462807249352e-02,2.05471017704761e-02,2.01389978253486e-02,lamp_kernel
8.577603e+01,1251,5.46872098584075e-07,2.04976593303985e-02,2.04982062024971e-02,2.02038701071138e-02,lamp_kernel
1.023245e+02,1501,3.88908181577841e-07,2.04725979788393e-02,2.04729868870208e-02,2.02442529918254e-02,lamp_kernel
1.188970e+02,1751,2.93008843397033e-07,2.04580050453239e-02,2.04582980541673e-02,2.02719151369922e-02,lamp_kernel
1.354970e+02,2001,2.29578276447389e-07,2.04487546012505e-02,2.04489841795269e-02,2.02920478451956e-02,lamp_kernel
1.521304e+02,2251,1.88120766930923e-07,2.04425162696506e-02,2.04427043904175e-02,2.03073194462098e-02,lamp_kernel
1.687970e+02,2501,1.59482794670886e-07,2.04381077088566e-02,2.04382671916513e-02,2.03193343238544e-02,lamp_kernel
1.855064e+02,2751,1.38902991303127e-07,2.04348762518743e-02,2.04350151548656e-02,2.03290338887311e-02,lamp_kernel
2.022692e+02,3001,1.22206669428416e-07,2.04324367547680e-02,2.04325589614374e-02,2.03370270673086e-02,lamp_kernel
2.190913e+02,3251,1.07510112838310e-07,2.04305501789770e-02,2.04306576890898e-02,2.03437327051864e-02,lamp_kernel
2.359705e+02,3501,9.36700368996563e-08,2.04290619757277e-02,2.04291556457646e-02,2.03494400866781e-02,lamp_kernel
2.528992e+02,3751,8.14256302223495e-08,2.04278683034569e-02,2.04279497290872e-02,2.03543555123481e-02,lamp_kernel
2.698655e+02,4001,7.15829972338799e-08,2.04268970168763e-02,2.04269685998736e-02,2.03586350459518e-02,lamp_kernel
2.869162e+02,4251,6.40918085148185e-08,2.04260966998268e-02,2.04261607916353e-02,2.03623948167050e-02,lamp_kernel
3.039293e+02,4501,5.82921553702361e-08,2.04254299578431e-02,2.04254882499984e-02,2.03657186420168e-02,lamp_kernel
3.209561e+02,4751,5.36273041365400e-08,2.04248690738254e-02,2.04249227011295e-02,2.03686820695297e-02,lamp_kernel
3.379921e+02,5001,4.99692149937910e-08,2.04243931195082e-02,2.04244430887232e-02,2.03713412334378e-02,lamp_kernel
3.550338e+02,5251,4.67495379851620e-08,2.04239860283329e-02,2.04240327778709e-02,2.03737405369185e-02,lamp_kernel
3.720791e+02,5501,4.37815297428741e-08,2.04236353017889e-02,2.04236790833186e-02,2.03759162708659e-02,lamp_kernel
3.891266e+02,5751,4.10512521258789e-08,2.04233311154151e-02,2.04233721666672e-02,2.03778978684166e-02,lamp_kernel
4.061751e+02,6001,3.85242629661401e-08,2.04230656751448e-02,2.04231041994078e-02,2.03797105712099e-02,lamp_kernel
4.232249e+02,6251,3.62605044830693e-08,2.04228327412488e-02,2.04228690017533e-02,2.03813728983299e-02,lamp_kernel
4.402748e+02,6501,3.41238263254159e-08,2.04226272731013e-02,2.04226613969276e-02,2.03829042892476e-02,lamp_kernel
4.573250e+02,6751,3.20841682712114e-08,2.04224451631705e-02,2.04224772473387e-02,2.03843203763575e-02,lamp_kernel
4.743760e+02,7001,3.01076109293052e-08,2.04222830370177e-02,2.04223131446286e-02,2.03856332187455e-02,lamp_kernel
4.914274e+02,7251,2.81819574661819e-08,2.04221381021170e-02,2.04221662840744e-02,2.03868529990414e-02,lamp_kernel
5.084794e+02,7501,2.63653825655946e-08,2.04220080322807e-02,2.04220343976633e-02,2.03879893899750e-02,lamp_kernel
5.255315e+02,7751,2.46943138437376e-08,2.04218908778226e-02,2.04219155721365e-02,2.03890511574988e-02,lamp_kernel
5.425836e+02,8001,2.31626173391930e-08,2.04217849948300e-02,2.04218081574473e-02,2.03900453106053e-02,lamp_kernel
5.596355e+02,8251,2.17321679670929e-08,2.04216889892682e-02,2.04217107214361e-02,2.03909774974526e-02,lamp_kernel
5.766874e+02,8501,2.04169572115394e-08,2.04216016727666e-02,2.04216220897238e-02,2.03918533796593e-02,lamp_kernel
5.938276e+02,8751,1.92840386878111e-08,2.04215220274422e-02,2.04215413114808e-02,2.03926781318523e-02,lamp_kernel
6.108794e+02,9001,1.83052294460686e-08,2.04214491775843e-02,2.04214674828138e-02,2.03934564450069e-02,lamp_kernel
6.279312e+02,9251,1.74002494278454e-08,2.04213823665773e-02,2.04213997668267e-02,2.03941921354115e-02,lamp_kernel
6.449832e+02,9501,1.65555333327989e-08,2.04213209379658e-02,2.04213374934991e-02,2.03948885278337e-02,lamp_kernel
6.620349e+02,9751,1.57807882862044e-08,2.04212643198904e-02,2.04212801006787e-02,2.03955486409462e-02,lamp_kernel
6.790864e+02,10001,1.50632342009848e-08,2.04212120123660e-02,2.04212270756002e-02,2.03961751853135e-02,lamp_kernel
6.961379e+02,10251,1.43804541552056e-08,2.04211635768775e-02,2.04211779573317e-02,2.03967706402357e-02,lamp_kernel
7.131893e+02,10501,1.37194140486239e-08,2.04211186278737e-02,2.04211323472877e-02,2.03973371185448e-02,lamp_kernel
7.302404e+02,10751,1.30897047754443e-08,2.04210768257231e-02,2.04210899154278e-02,2.03978768357235e-02,lamp_kernel
7.472913e+02,11001,1.25016316394532e-08,2.04210378707728e-02,2.04210503724044e-02,2.03983915558891e-02,lamp_kernel
7.643421e+02,11251,1.19723310627743e-08,2.04210014982560e-02,2.04210134705870e-02,2.03988831307476e-02,lamp_kernel
7.813928e+02,11501,1.15003480073657e-08,2.04209674738637e-02,2.04209789742117e-02,2.03993530984781e-02,lamp_kernel
7.984437e+02,11751,1.10697053236560e-08,2.04209355898661e-02,2.04209466595714e-02,2.03998027364224e-02,lamp_kernel
8.154949e+02,12001,1.06707818791630e-08,2.04209056617164e-02,2.04209163324983e-02,2.04002334042381e-02,lamp_kernel
8.325463e+02,12251,1.03045593505501e-08,2.04208775250764e-02,2.04208878296358e-02,2.04006462821064e-02,lamp_kernel
8.495977e+02,12501,9.96607693901711e-09,2.04208510332278e-02,2.04208609993047e-02,2.04010424101906e-02,lamp_kernel
8.666489e+02,12751,9.65884025274600e-09,2.04208260548203e-02,2.04208357136606e-02,2.04014228263847e-02,lamp_kernel
8.836999e+02,13001,9.37862062833063e-09,2.04208024719214e-02,2.04208118505420e-02,2.04017884167682e-02,lamp_kernel
9.007519e+02,13251,9.11482364311496e-09,2.04207801783421e-02,2.04207892931658e-02,2.04021400112789e-02,lamp_kernel
9.178037e+02,13501,8.86197519344211e-09,2.04207590781960e-02,2.04207679401712e-02,2.04024784100432e-02,lamp_kernel
9.348555e+02,13751,8.61245219269572e-09,2.04207390846699e-02,2.04207476971221e-02,2.04028043451022e-02,lamp_kernel
9.519072e+02,14001,8.36797598996371e-09,2.04207201189712e-02,2.04207284869472e-02,2.04031185238172e-02,lamp_kernel
9.690769e+02,14251,8.12565878527147e-09,2.04207021094397e-02,2.04207102350985e-02,2.04034215627643e-02,lamp_kernel
9.861273e+02,14501,7.88739399364123e-09,2.04206849907668e-02,2.04206928781608e-02,2.04037140398967e-02,lamp_kernel
1.003178e+03,14751,7.66141773201065e-09,2.04206687033330e-02,2.04206763647508e-02,2.04039965212681e-02,lamp_kernel
1.020229e+03,15001,7.45047219086802e-09,2.04206531926269e-02,2.04206606430991e-02,2.04042695102783e-02,lamp_kernel
time(s),iter,infeas,ot_objective,primal,dual,solver
