time(s),iter,infeas,ot_objective,dual
1.323973e-02,1,8.80247752198814e-01,5.16425340703674e-33,-6.64801086775744e+00,sinkhorn_cellsim
1.023669e+01,251,4.30736274403022e-01,1.13583951659788e-02,3.14989443065049e+02,sinkhorn_cellsim
1.867904e+01,501,2.31567517401665e-01,1.51098391022344e-02,3.67949047804159e+02,sinkhorn_cellsim
2.712310e+01,751,1.19717385030541e-01,1.78805139372722e-02,3.85248616690250e+02,sinkhorn_cellsim
3.556796e+01,1001,7.37197514224520e-02,1.89762775011488e-02,3.91249252843271e+02,sinkhorn_cellsim
4.401276e+01,1251,5.21037156744996e-02,1.94566729453278e-02,3.94069787631498e+02,sinkhorn_cellsim
5.245755e+01,1501,3.99697986387587e-02,1.97204456571860e-02,3.95589192758469e+02,sinkhorn_cellsim
6.090216e+01,1751,3.20477506004529e-02,1.98932017861492e-02,3.96510518802497e+02,sinkhorn_cellsim
6.934719e+01,2001,2.71667361579714e-02,1.99954003883235e-02,3.97151796036594e+02,sinkhorn_cellsim
7.779208e+01,2251,2.31108411571430e-02,2.00574275850115e-02,3.97594659308478e+02,sinkhorn_cellsim
8.623718e+01,2501,1.96151637682355e-02,2.01318671215586e-02,3.97907616270821e+02,sinkhorn_cellsim
9.468247e+01,2751,1.71354282663310e-02,2.01869415057499e-02,3.98129218778309e+02,sinkhorn_cellsim
1.031278e+02,3001,1.46254292892717e-02,2.02283504462285e-02,3.98284085331655e+02,sinkhorn_cellsim
1.115733e+02,3251,1.27097814320370e-02,2.02510981100127e-02,3.98405062618612e+02,sinkhorn_cellsim
1.200188e+02,3501,1.11621033536777e-02,2.02752721072007e-02,3.98501017900908e+02,sinkhorn_cellsim
1.284641e+02,3751,9.84929048010758e-03,2.02960236118392e-02,3.98576560617894e+02,sinkhorn_cellsim
1.369096e+02,4001,8.83466799599033e-03,2.03089884977930e-02,3.98635296908720e+02,sinkhorn_cellsim
1.453550e+02,4251,7.93589903885980e-03,2.03217726807192e-02,3.98683751494004e+02,sinkhorn_cellsim
1.538005e+02,4501,7.16804605410057e-03,2.03311010735083e-02,3.98724541803467e+02,sinkhorn_cellsim
1.622457e+02,4751,6.55289388733147e-03,2.03383562999145e-02,3.98759722624904e+02,sinkhorn_cellsim
1.706911e+02,5001,6.04477627443715e-03,2.03450810005574e-02,3.98790873322854e+02,sinkhorn_cellsim
1.791366e+02,5251,5.53009337059071e-03,2.03519890321734e-02,3.98818128769206e+02,sinkhorn_cellsim
1.875823e+02,5501,5.03465514371327e-03,2.03572255690728e-02,3.98842214017557e+02,sinkhorn_cellsim
1.960280e+02,5751,4.56109308420665e-03,2.03620020806030e-02,3.98863845644913e+02,sinkhorn_cellsim
