time(s),iter,infeas,ot_objective,dual
2.654720e-04,1,1.03435014030384e+00,3.77490090883423e-27,-5.70810335196247e+00,sinkhorn_cellsim
1.064354e-02,21,1.03435014030384e+00,1.98707344515014e-05,9.26563122358698e+01,sinkhorn_cellsim
2.087358e-02,41,1.02659159593990e+00,3.67508794785576e-04,1.83655166983985e+02,sinkhorn_cellsim
3.108753e-02,61,9.76682664830479e-01,1.59661876399934e-03,2.60782975707322e+02,sinkhorn_cellsim
4.132477e-02,81,8.75061708753853e-01,4.99775380938142e-03,3.14956448489840e+02,sinkhorn_cellsim
5.155747e-02,101,8.04868843334953e-01,7.90415328128081e-03,3.48046266830408e+02,sinkhorn_cellsim
6.178766e-02,121,7.54509303143866e-01,1.00086813142004e-02,3.71919991579498e+02,sinkhorn_cellsim
7.201286e-02,141,7.14720604731106e-01,1.12194615992367e-02,3.92169545010389e+02,sinkhorn_cellsim
8.223452e-02,161,6.86764443714263e-01,1.21472598865683e-02,4.10252035943858e+02,sinkhorn_cellsim
9.246484e-02,181,6.58388326533585e-01,1.27824672152335e-02,4.26979409106218e+02,sinkhorn_cellsim
1.026955e-01,201,6.39352439572862e-01,1.34994559064549e-02,4.42767816426167e+02,sinkhorn_cellsim
1.129263e-01,221,6.19232250835958e-01,1.44230503398666e-02,4.57669895680591e+02,sinkhorn_cellsim
1.231607e-01,241,5.84624910735833e-01,1.55917164954617e-02,4.71574013671509e+02,sinkhorn_cellsim
1.333966e-01,261,5.66920969964942e-01,1.62708875297976e-02,4.84421730939864e+02,sinkhorn_cellsim
1.436352e-01,281,5.47570053916334e-01,1.72899793545278e-02,4.96509296505078e+02,sinkhorn_cellsim
1.538709e-01,301,5.32975394017248e-01,1.77473099042005e-02,5.07723775256730e+02,sinkhorn_cellsim
1.641033e-01,321,5.16956639868918e-01,1.85826972334917e-02,5.18079523090715e+02,sinkhorn_cellsim
1.743300e-01,341,5.09857306927959e-01,1.88092835048910e-02,5.27907412018567e+02,sinkhorn_cellsim
1.845548e-01,361,4.98179450078789e-01,1.95223054107869e-02,5.37410789630145e+02,sinkhorn_cellsim
1.947926e-01,381,4.85850532367228e-01,2.01899806232871e-02,5.46344715697086e+02,sinkhorn_cellsim
2.050438e-01,401,4.77197570441842e-01,2.07248888617420e-02,5.54776177047107e+02,sinkhorn_cellsim
2.152825e-01,421,4.73067674712855e-01,2.11985745158660e-02,5.62750848188795e+02,sinkhorn_cellsim
2.255285e-01,441,4.64393378236610e-01,2.17426110141596e-02,5.70415813246237e+02,sinkhorn_cellsim
2.357751e-01,461,4.53131031607734e-01,2.21904941847027e-02,5.77713826029707e+02,sinkhorn_cellsim
2.460223e-01,481,4.46579307778713e-01,2.23456856118087e-02,5.84708603629506e+02,sinkhorn_cellsim
2.562638e-01,501,4.34968146008467e-01,2.28142431270885e-02,5.91465034841582e+02,sinkhorn_cellsim
2.665035e-01,521,4.26730955944511e-01,2.37396488055680e-02,5.97750891979484e+02,sinkhorn_cellsim
2.767367e-01,541,4.20593875999936e-01,2.39242225104073e-02,6.03767689016913e+02,sinkhorn_cellsim
2.869747e-01,561,4.07805687504917e-01,2.43133239070136e-02,6.09521649570022e+02,sinkhorn_cellsim
2.972097e-01,581,3.96441759445088e-01,2.49024184789472e-02,6.14861828877319e+02,sinkhorn_cellsim
3.074376e-01,601,3.91995640950697e-01,2.51092486866399e-02,6.19932994267180e+02,sinkhorn_cellsim
3.176717e-01,621,3.86514864179558e-01,2.55122934263623e-02,6.24807604589191e+02,sinkhorn_cellsim
3.279056e-01,641,3.78029463279158e-01,2.56899368171639e-02,6.29510558769001e+02,sinkhorn_cellsim
