time(s),iter,infeas,ot_objective,eta,solver
2.469476e+00,220,1.38401044930180e-05,3.98250798790504e-02,1.00000000000000e-02,annealed_sinkhorn_cellsim
3.383865e+00,300,1.41345920351554e-05,3.89580964168878e-02,9.50000000000000e-03,annealed_sinkhorn_cellsim
4.298213e+00,380,7.50127831142359e-06,3.81918759070015e-02,9.02500000000000e-03,annealed_sinkhorn_cellsim
5.434782e+00,480,7.84831968425342e-06,3.75156458895351e-02,8.57375000000000e-03,annealed_sinkhorn_cellsim
6.349260e+00,560,1.23460791766476e-05,3.69200300088678e-02,8.14506250000000e-03,annealed_sinkhorn_cellsim
7.485968e+00,660,1.23480599970493e-05,3.63959490137786e-02,7.73780937500000e-03,annealed_sinkhorn_cellsim
8.622723e+00,760,9.29064341753410e-06,3.59353756346736e-02,7.35091890625000e-03,annealed_sinkhorn_cellsim
9.981803e+00,880,8.98183458531312e-06,3.55308418085093e-02,6.98337296093750e-03,annealed_sinkhorn_cellsim
1.111861e+01,980,1.48126536631203e-05,3.51757569327339e-02,6.63420431289062e-03,annealed_sinkhorn_cellsim
1.247763e+01,1100,1.38912610894659e-05,3.48641993703962e-02,6.30249409724609e-03,annealed_sinkhorn_cellsim
1.383665e+01,1220,1.21697991975903e-05,3.45908928293309e-02,5.98736939238379e-03,annealed_sinkhorn_cellsim
1.541807e+01,1360,1.13331219292978e-05,3.43511202912267e-02,5.68800092276460e-03,annealed_sinkhorn_cellsim
1.699948e+01,1500,1.06946611761417e-05,3.41407492849113e-02,5.40360087662637e-03,annealed_sinkhorn_cellsim
1.858084e+01,1640,1.65447323586840e-05,3.39561026678809e-02,5.13342083279505e-03,annealed_sinkhorn_cellsim
2.016222e+01,1780,1.65011858360705e-05,3.37940004777168e-02,4.87674979115530e-03,annealed_sinkhorn_cellsim
2.196581e+01,1940,1.47831900989614e-05,3.36516072960629e-02,4.63291230159753e-03,annealed_sinkhorn_cellsim
2.376927e+01,2100,1.52426066715490e-05,3.35264495928688e-02,4.40126668651765e-03,annealed_sinkhorn_cellsim
2.579530e+01,2280,1.39725002390465e-05,3.34163702562454e-02,4.18120335219177e-03,annealed_sinkhorn_cellsim
2.782130e+01,2460,1.47522794630445e-05,3.33194766654541e-02,3.97214318458218e-03,annealed_sinkhorn_cellsim
3.006956e+01,2660,1.38086518438389e-05,3.32341233687465e-02,3.77353602535307e-03,annealed_sinkhorn_cellsim
3.231783e+01,2860,1.48347871136444e-05,3.31588684803089e-02,3.58485922408542e-03,annealed_sinkhorn_cellsim
3.478872e+01,3080,1.41674033771554e-05,3.30924606615677e-02,3.40561626288115e-03,annealed_sinkhorn_cellsim
3.725978e+01,3300,1.54121427568023e-05,3.30338048609403e-02,3.23533544973709e-03,annealed_sinkhorn_cellsim
3.995322e+01,3540,1.49711708818276e-05,3.29819517957068e-02,3.07356867725024e-03,annealed_sinkhorn_cellsim
4.264675e+01,3780,1.64340408073640e-05,3.29360717227292e-02,2.91989024338772e-03,annealed_sinkhorn_cellsim
4.556264e+01,4040,1.62121251414763e-05,3.28954452562803e-02,2.77389573121834e-03,annealed_sinkhorn_cellsim
4.870105e+01,4320,1.40500434022303e-05,3.28594436539226e-02,2.63520094465742e-03,annealed_sinkhorn_cellsim
5.206179e+01,4620,1.39889675270631e-05,3.28275188074825e-02,2.50344089742455e-03,annealed_sinkhorn_cellsim
5.542225e+01,4920,1.58386590539908e-05,3.27991921998567e-02,2.37826885255332e-03,annealed_sinkhorn_cellsim
5.900496e+01,5240,1.59588774924145e-05,3.27740453863521e-02,2.25935540992566e-03,annealed_sinkhorn_cellsim
6.281016e+01,5580,1.48042001386987e-05,3.27517114831198e-02,2.14638763942937e-03,annealed_sinkhorn_cellsim
6.683740e+01,5940,1.49665232221065e-05,3.27318677368878e-02,2.03906825745790e-03,annealed_sinkhorn_cellsim
7.108714e+01,6320,1.43383240721386e-05,3.27142310584126e-02,1.93711484458501e-03,annealed_sinkhorn_cellsim
7.555865e+01,6720,1.45452748821872e-05,3.26985505327494e-02,1.84025910235576e-03,annealed_sinkhorn_cellsim
8.025594e+01,7140,1.42615467877745e-05,3.26846055195918e-02,1.74824614723797e-03,annealed_sinkhorn_cellsim
8.517243e+01,7580,1.45292890825693e-05,3.26721989818312e-02,1.66083383987607e-03,annealed_sinkhorn_cellsim
9.031198e+01,8040,1.45050799065501e-05,3.26611573348007e-02,1.57779214788227e-03,annealed_sinkhorn_cellsim
9.567370e+01,8520,1.48723924665964e-05,3.26513242795186e-02,1.49890254048815e-03,annealed_sinkhorn_cellsim
1.012574e+02,9020,1.51508496314020e-05,3.26425626359280e-02,1.42395741346375e-03,annealed_sinkhorn_cellsim
1.070637e+02,9540,1.57728282636739e-05,3.26347483628367e-02,1.35275954279056e-03,annealed_sinkhorn_cellsim
1.130925e+02,10080,1.63566053637851e-05,3.26277742332719e-02,1.28512156565103e-03,annealed_sinkhorn_cellsim
1.195672e+02,10660,1.54379147202644e-05,3.26215447616168e-02,1.22086548736848e-03,annealed_sinkhorn_cellsim
1.262670e+02,11260,1.62317081406476e-05,3.26159749739847e-02,1.15982221300006e-03,annealed_sinkhorn_cellsim
1.334172e+02,11900,1.59103919828673e-05,3.26109930992399e-02,1.10183110235005e-03,annealed_sinkhorn_cellsim
1.410220e+02,12580,1.54336582399614e-05,3.26065354443889e-02,1.04673954723255e-03,annealed_sinkhorn_cellsim
1.490843e+02,13300,1.55551708720087e-05,3.26025446682455e-02,9.94402569870922e-04,annealed_sinkhorn_cellsim
1.576059e+02,14060,1.55731940107934e-05,3.25989726126528e-02,9.44682441377376e-04,annealed_sinkhorn_cellsim
1.665883e+02,14860,1.59846682121562e-05,3.25957747333721e-02,8.97448319308507e-04,annealed_sinkhorn_cellsim
1.760323e+02,15700,1.63022756128436e-05,3.25929122003739e-02,8.52575903343082e-04,annealed_sinkhorn_cellsim
1.861656e+02,16600,1.57649857480812e-05,3.25903496259270e-02,8.09947108175928e-04,annealed_sinkhorn_cellsim
1.967653e+02,17540,1.61993219165013e-05,3.25880536469728e-02,7.69449752767131e-04,annealed_sinkhorn_cellsim
2.080609e+02,18540,1.59612357446793e-05,3.25859952909975e-02,7.30977265128775e-04,annealed_sinkhorn_cellsim
2.198301e+02,19580,1.64870424848069e-05,3.25841475488584e-02,6.94428401872336e-04,annealed_sinkhorn_cellsim
2.323000e+02,20680,1.64771037424337e-05,3.25824872777313e-02,6.59706981778719e-04,annealed_sinkhorn_cellsim
2.454732e+02,21840,1.62416033969688e-05,3.25809934882878e-02,6.26721632689783e-04,annealed_sinkhorn_cellsim
2.593489e+02,23060,1.64006025678369e-05,3.25796474887604e-02,5.95385551055294e-04,annealed_sinkhorn_cellsim
2.739274e+02,24340,1.64565449470309e-05,3.25784332021219e-02,5.65616273502529e-04,annealed_sinkhorn_cellsim
2.894347e+02,25700,1.61013132139125e-05,3.25773368873976e-02,5.37335459827403e-04,annealed_sinkhorn_cellsim
3.056406e+02,27120,1.64465302390142e-05,3.25763449528132e-02,5.10468686836033e-04,annealed_sinkhorn_cellsim
3.227713e+02,28620,1.64851946297288e-05,3.25754474940377e-02,4.84945252494231e-04,annealed_sinkhorn_cellsim
3.408245e+02,30200,1.65021532380305e-05,3.25746347246231e-02,4.60697989869519e-04,annealed_sinkhorn_cellsim
3.600265e+02,31880,1.63162126569312e-05,3.25738988420251e-02,4.37663090376043e-04,annealed_sinkhorn_cellsim
3.803752e+02,33660,1.61754871310367e-05,3.25732324007244e-02,4.15779935857241e-04,annealed_sinkhorn_cellsim
4.018700e+02,35540,1.63793392526264e-05,3.25726289229434e-02,3.94990939064379e-04,annealed_sinkhorn_cellsim
4.245095e+02,37520,1.66455018115379e-05,3.25720830855909e-02,3.75241392111160e-04,annealed_sinkhorn_cellsim
4.487512e+02,39640,1.62485282708154e-05,3.25715908412571e-02,3.56479322505602e-04,annealed_sinkhorn_cellsim
4.741378e+02,41860,1.66658720679389e-05,3.25711451608753e-02,3.38655356380322e-04,annealed_sinkhorn_cellsim
5.011277e+02,44220,1.65884348880986e-05,3.25707438622472e-02,3.21722588561306e-04,annealed_sinkhorn_cellsim
5.297182e+02,46720,1.64375995565018e-05,3.25703820761019e-02,3.05636459133241e-04,annealed_sinkhorn_cellsim
5.599100e+02,49360,1.65461884676638e-05,3.25700559131386e-02,2.90354636176578e-04,annealed_sinkhorn_cellsim
5.917040e+02,52140,1.66180440241118e-05,3.25697624888059e-02,2.75836904367750e-04,annealed_sinkhorn_cellsim
6.253280e+02,55080,1.65898608508769e-05,3.25694991449843e-02,2.62045059149362e-04,annealed_sinkhorn_cellsim
6.607821e+02,58180,1.65447626186133e-05,3.25692627789458e-02,2.48942806191894e-04,annealed_sinkhorn_cellsim
6.980672e+02,61440,1.66594671497680e-05,3.25690506270895e-02,2.36495665882299e-04,annealed_sinkhorn_cellsim
7.374103e+02,64880,1.65773892788989e-05,3.25688609653393e-02,2.24670882588184e-04,annealed_sinkhorn_cellsim
7.788135e+02,68500,1.65975196433323e-05,3.25686910251434e-02,2.13437338458775e-04,annealed_sinkhorn_cellsim
8.225074e+02,72320,1.65043558440069e-05,3.25685392822517e-02,2.02765471535836e-04,annealed_sinkhorn_cellsim
8.684889e+02,76340,1.65128164812419e-05,3.25684034865466e-02,1.92627197959044e-04,annealed_sinkhorn_cellsim
9.167637e+02,80560,1.66303431314643e-05,3.25682819767793e-02,1.82995838061092e-04,annealed_sinkhorn_cellsim
9.677861e+02,85020,1.65894136099555e-05,3.25681738676354e-02,1.73846046158038e-04,annealed_sinkhorn_cellsim
1.021558e+03,89720,1.66467434015475e-05,3.25680769884621e-02,1.65153743850136e-04,annealed_sinkhorn_cellsim
1.078537e+03,94700,1.66464953765912e-05,3.25679905570496e-02,1.56896056657629e-04,annealed_sinkhorn_cellsim
1.138960e+03,99980,1.66248775853005e-05,3.25679130751353e-02,1.49051253824747e-04,annealed_sinkhorn_cellsim
1.203046e+03,105580,1.66120832865523e-05,3.25678433652036e-02,1.41598691133510e-04,annealed_sinkhorn_cellsim
1.270805e+03,111500,1.66284666898042e-05,3.25677805050885e-02,1.34518756576835e-04,annealed_sinkhorn_cellsim
1.342460e+03,117760,1.66191892425760e-05,3.25677240190225e-02,1.27792818747993e-04,annealed_sinkhorn_cellsim
1.418021e+03,124360,1.66022194913861e-05,3.25676731932542e-02,1.21403177810593e-04,annealed_sinkhorn_cellsim
1.497482e+03,131300,1.66270169974553e-05,3.25676273690165e-02,1.15333018920064e-04,annealed_sinkhorn_cellsim
1.581077e+03,138600,1.66321639787327e-05,3.25675861087773e-02,1.09566367974060e-04,annealed_sinkhorn_cellsim
1.669043e+03,146280,1.66335409898462e-05,3.25675487206346e-02,1.04088049575357e-04,annealed_sinkhorn_cellsim
1.745793e+03,152980,1.66324695488689e-05,3.25675185188363e-02,1.00000000000000e-04,annealed_sinkhorn_cellsim
c_index=0.0,Sw=0.03256751851883634,Smin=0.03256751851883634,Smax=0.03256751851883634,Nw=66,pairs=190
