time(s),iter,infeas,ot_objective,dual
4.437862e-03,1,8.97968506332820e-01,8.97882153815012e-17,-6.41360538058785e+00,sinkhorn_cellsim
2.328577e-01,21,8.89147541141541e-01,1.37489700527398e-04,7.09866966908059e+01,sinkhorn_cellsim
4.613062e-01,41,8.22187127689100e-01,2.13538452304357e-03,1.41249989298498e+02,sinkhorn_cellsim
6.899612e-01,61,7.12791582501955e-01,6.80857976849195e-03,1.89682612551250e+02,sinkhorn_cellsim
9.187953e-01,81,6.44407457979500e-01,1.01982734197371e-02,2.18441040527092e+02,sinkhorn_cellsim
1.147684e+00,101,6.00327237879543e-01,1.22581291189610e-02,2.36716258864580e+02,sinkhorn_cellsim
1.376630e+00,121,5.66125021041120e-01,1.37820393105511e-02,2.50350843637116e+02,sinkhorn_cellsim
1.605625e+00,141,5.33514197091934e-01,1.49608788638641e-02,2.61331914201408e+02,sinkhorn_cellsim
1.834614e+00,161,5.12864666262397e-01,1.57582112897498e-02,2.70633731554502e+02,sinkhorn_cellsim
2.063598e+00,181,4.89746605990953e-01,1.65543533108743e-02,2.79096746445136e+02,sinkhorn_cellsim
2.292587e+00,201,4.64455000002761e-01,1.73515169254908e-02,2.86844897602874e+02,sinkhorn_cellsim
2.521559e+00,221,4.44473821810564e-01,1.79845961863860e-02,2.94009245291686e+02,sinkhorn_cellsim
2.750546e+00,241,4.25927196721315e-01,1.86778488088586e-02,3.00692794130199e+02,sinkhorn_cellsim
2.979551e+00,261,4.09252086574973e-01,1.93178494610404e-02,3.06973430097887e+02,sinkhorn_cellsim
3.208569e+00,281,3.91732209024615e-01,2.00017047833111e-02,3.12825954135040e+02,sinkhorn_cellsim
3.437596e+00,301,3.74847161463731e-01,2.06166786650750e-02,3.18273325799649e+02,sinkhorn_cellsim
3.666613e+00,321,3.57640360220456e-01,2.13197606504663e-02,3.23254582545421e+02,sinkhorn_cellsim
3.895629e+00,341,3.41539634679025e-01,2.18760033312599e-02,3.27865776099973e+02,sinkhorn_cellsim
4.124660e+00,361,3.27628352224125e-01,2.22740902809833e-02,3.32177853054342e+02,sinkhorn_cellsim
4.353738e+00,381,3.13022080593169e-01,2.27164273669111e-02,3.36207697798461e+02,sinkhorn_cellsim
4.582758e+00,401,2.97471144920813e-01,2.32801374953222e-02,3.39949749572995e+02,sinkhorn_cellsim
4.811785e+00,421,2.82284121176602e-01,2.38131936850869e-02,3.43350401882767e+02,sinkhorn_cellsim
5.040830e+00,441,2.70610848401795e-01,2.41372101334956e-02,3.46508913617267e+02,sinkhorn_cellsim
5.269853e+00,461,2.54802237989240e-01,2.46554819513295e-02,3.49423098590537e+02,sinkhorn_cellsim
5.498856e+00,481,2.40561100223838e-01,2.51960958518236e-02,3.52059635425381e+02,sinkhorn_cellsim
5.727859e+00,501,2.29280177082024e-01,2.56492746558875e-02,3.54464154987761e+02,sinkhorn_cellsim
5.956860e+00,521,2.18772628505418e-01,2.59173563447886e-02,3.56714239529457e+02,sinkhorn_cellsim
6.185886e+00,541,2.07381489121258e-01,2.63510841301490e-02,3.58770436704247e+02,sinkhorn_cellsim
6.414901e+00,561,1.97034440111704e-01,2.66547595184860e-02,3.60630975198514e+02,sinkhorn_cellsim
6.643915e+00,581,1.87833648294075e-01,2.70440533774749e-02,3.62330649131437e+02,sinkhorn_cellsim
6.872942e+00,601,1.80080926888375e-01,2.72753245533694e-02,3.63893615995227e+02,sinkhorn_cellsim
7.101988e+00,621,1.72329333051818e-01,2.75388743774006e-02,3.65343292940967e+02,sinkhorn_cellsim
7.331029e+00,641,1.64979552954451e-01,2.77531388808735e-02,3.66674415620990e+02,sinkhorn_cellsim
7.560083e+00,661,1.58437572672844e-01,2.79725355840001e-02,3.67906049593783e+02,sinkhorn_cellsim
7.789145e+00,681,1.50593670865291e-01,2.83082995937331e-02,3.69028342601205e+02,sinkhorn_cellsim
8.018206e+00,701,1.44763712101359e-01,2.84787110447571e-02,3.70058540399477e+02,sinkhorn_cellsim
8.247270e+00,721,1.38005793442128e-01,2.86704769798337e-02,3.71021776151737e+02,sinkhorn_cellsim
8.476326e+00,741,1.32022333552679e-01,2.88156431696536e-02,3.71920570708549e+02,sinkhorn_cellsim
8.705381e+00,761,1.26940814516685e-01,2.89895218295501e-02,3.72771375344177e+02,sinkhorn_cellsim
8.934417e+00,781,1.22612805093375e-01,2.91351893587248e-02,3.73563851153060e+02,sinkhorn_cellsim
9.163460e+00,801,1.16235481537552e-01,2.93436603550689e-02,3.74294913659121e+02,sinkhorn_cellsim
9.392518e+00,821,1.12233200445511e-01,2.94493348524104e-02,3.74967370355923e+02,sinkhorn_cellsim
9.621597e+00,841,1.07901489847476e-01,2.95824107187725e-02,3.75603540877253e+02,sinkhorn_cellsim
9.850676e+00,861,1.03844289188893e-01,2.97200208038992e-02,3.76195117858948e+02,sinkhorn_cellsim
1.007976e+01,881,9.94309160639447e-02,2.98112613414037e-02,3.76752913407180e+02,sinkhorn_cellsim
1.030885e+01,901,9.62313327034703e-02,2.98917377882262e-02,3.77281247613009e+02,sinkhorn_cellsim
1.053791e+01,921,9.27867936906151e-02,2.99867353230261e-02,3.77783343663790e+02,sinkhorn_cellsim
1.076698e+01,941,8.93107922584835e-02,3.00785753422641e-02,3.78259385935462e+02,sinkhorn_cellsim
1.099606e+01,961,8.55369926380518e-02,3.02053315659275e-02,3.78706874194008e+02,sinkhorn_cellsim
1.122516e+01,981,8.15945326208256e-02,3.03427691454456e-02,3.79117773870580e+02,sinkhorn_cellsim
1.145425e+01,1001,7.82007605520862e-02,3.04673887006273e-02,3.79497463356539e+02,sinkhorn_cellsim
1.168333e+01,1021,7.58205718197203e-02,3.05224020565596e-02,3.79856297419506e+02,sinkhorn_cellsim
1.191241e+01,1041,7.31987979352463e-02,3.05790641107035e-02,3.80197977186716e+02,sinkhorn_cellsim
1.214153e+01,1061,7.07937287704004e-02,3.06613808361487e-02,3.80519835052361e+02,sinkhorn_cellsim
1.237065e+01,1081,6.84886002495254e-02,3.07287417668296e-02,3.80820974380979e+02,sinkhorn_cellsim
1.259977e+01,1101,6.60401883151584e-02,3.08058743333387e-02,3.81103728244157e+02,sinkhorn_cellsim
1.282889e+01,1121,6.34270697698162e-02,3.08638757418322e-02,3.81371507457896e+02,sinkhorn_cellsim
1.305801e+01,1141,6.12845450242116e-02,3.09100102503438e-02,3.81628590142828e+02,sinkhorn_cellsim
1.328712e+01,1161,5.93374653877788e-02,3.09780131611969e-02,3.81875078854265e+02,sinkhorn_cellsim
1.351622e+01,1181,5.75359420763269e-02,3.10346793625233e-02,3.82108890487255e+02,sinkhorn_cellsim
1.374533e+01,1201,5.61819071381211e-02,3.10705477638649e-02,3.82333005162559e+02,sinkhorn_cellsim
1.397444e+01,1221,5.44442693985911e-02,3.11151928254722e-02,3.82546951492291e+02,sinkhorn_cellsim
1.420355e+01,1241,5.27901927581118e-02,3.11641078918796e-02,3.82751179026910e+02,sinkhorn_cellsim
1.443266e+01,1261,5.11052053430186e-02,3.12169150885738e-02,3.82943606429847e+02,sinkhorn_cellsim
1.466176e+01,1281,4.97758795951869e-02,3.12499769990079e-02,3.83127968865768e+02,sinkhorn_cellsim
1.489087e+01,1301,4.83688158455470e-02,3.12846949800859e-02,3.83306206167988e+02,sinkhorn_cellsim
1.511998e+01,1321,4.69939324476905e-02,3.13168088047626e-02,3.83478046114882e+02,sinkhorn_cellsim
1.534910e+01,1341,4.56511389441810e-02,3.13588658316421e-02,3.83643611909599e+02,sinkhorn_cellsim
1.557822e+01,1361,4.39253724542467e-02,3.14086398148889e-02,3.83798000491225e+02,sinkhorn_cellsim
1.580734e+01,1381,4.26471718495141e-02,3.14655223650610e-02,3.83943350203847e+02,sinkhorn_cellsim
1.603647e+01,1401,4.17352141734538e-02,3.14949433231689e-02,3.84081149466108e+02,sinkhorn_cellsim
1.626561e+01,1421,4.08259489253907e-02,3.15130386103029e-02,3.84214542902510e+02,sinkhorn_cellsim
1.649474e+01,1441,3.97560439880672e-02,3.15376057393601e-02,3.84344382512536e+02,sinkhorn_cellsim
1.672387e+01,1461,3.89038224231752e-02,3.15600870375631e-02,3.84469802973918e+02,sinkhorn_cellsim
1.695300e+01,1481,3.80695368537716e-02,3.15810496841146e-02,3.84591779035251e+02,sinkhorn_cellsim
1.718213e+01,1501,3.71892443650829e-02,3.16005583969114e-02,3.84710124732722e+02,sinkhorn_cellsim
1.741127e+01,1521,3.59795335883493e-02,3.16298668140185e-02,3.84824558991584e+02,sinkhorn_cellsim
1.764041e+01,1541,3.48255823325216e-02,3.16640981916733e-02,3.84933679571846e+02,sinkhorn_cellsim
1.786956e+01,1561,3.38255760974955e-02,3.16997446841357e-02,3.85037429007334e+02,sinkhorn_cellsim
1.809871e+01,1581,3.28913824272657e-02,3.17366459179564e-02,3.85135085261105e+02,sinkhorn_cellsim
1.832785e+01,1601,3.18711865972211e-02,3.17699768967967e-02,3.85228283998941e+02,sinkhorn_cellsim
1.855700e+01,1621,3.10778109917552e-02,3.17950615441080e-02,3.85318135882488e+02,sinkhorn_cellsim
1.878614e+01,1641,3.03876443303356e-02,3.18162758931861e-02,3.85405206106142e+02,sinkhorn_cellsim
1.901528e+01,1661,2.96419832855705e-02,3.18354814115511e-02,3.85490110112234e+02,sinkhorn_cellsim
1.924444e+01,1681,2.89232145928181e-02,3.18529759474546e-02,3.85572806498092e+02,sinkhorn_cellsim
1.947359e+01,1701,2.82728983643983e-02,3.18619860661429e-02,3.85653853475677e+02,sinkhorn_cellsim
1.970272e+01,1721,2.76929700009185e-02,3.18699057184379e-02,3.85733500491681e+02,sinkhorn_cellsim
1.993190e+01,1741,2.71227402768366e-02,3.18872366476368e-02,3.85810463609452e+02,sinkhorn_cellsim
2.016109e+01,1761,2.65179014451690e-02,3.19124381229829e-02,3.85884868961126e+02,sinkhorn_cellsim
2.039024e+01,1781,2.60059492871547e-02,3.19332166471717e-02,3.85955169652391e+02,sinkhorn_cellsim
2.061938e+01,1801,2.55077835258084e-02,3.19485123254577e-02,3.86022916813480e+02,sinkhorn_cellsim
2.084852e+01,1821,2.48984344292881e-02,3.19656130551092e-02,3.86088322415101e+02,sinkhorn_cellsim
2.107767e+01,1841,2.43247334727364e-02,3.19749436697623e-02,3.86151386233540e+02,sinkhorn_cellsim
2.130680e+01,1861,2.37034542370020e-02,3.20549104620732e-02,3.86209356753102e+02,sinkhorn_cellsim
2.153595e+01,1881,2.32421145147118e-02,3.20684762018781e-02,3.86263922453395e+02,sinkhorn_cellsim
2.176510e+01,1901,2.27383098467203e-02,3.20825247010819e-02,3.86316842855674e+02,sinkhorn_cellsim
2.199425e+01,1921,2.23532675463715e-02,3.20922600721070e-02,3.86368360018171e+02,sinkhorn_cellsim
2.222339e+01,1941,2.20102933175379e-02,3.21107376480617e-02,3.86418046123383e+02,sinkhorn_cellsim
2.245254e+01,1961,2.16480655876407e-02,3.21197410421050e-02,3.86465722801475e+02,sinkhorn_cellsim
2.268169e+01,1981,2.13429197733072e-02,3.21564817453725e-02,3.86511326520638e+02,sinkhorn_cellsim
2.291084e+01,2001,2.09684760737175e-02,3.21731869418013e-02,3.86552069789191e+02,sinkhorn_cellsim
2.313998e+01,2021,2.05748160943003e-02,3.21837862239074e-02,3.86591406316139e+02,sinkhorn_cellsim
2.336913e+01,2041,2.01218886702530e-02,3.21931522623160e-02,3.86629257682314e+02,sinkhorn_cellsim
2.359827e+01,2061,1.95744248414874e-02,3.22015148143294e-02,3.86665741860864e+02,sinkhorn_cellsim
2.382746e+01,2081,1.90943710144121e-02,3.22111899319659e-02,3.86700374286003e+02,sinkhorn_cellsim
