time(s),iter,infeas,ot_objective,primal,dual,solver
1.335210e-04,1,8.58605104309797e-01,1.48961656765378e-01,1.00756676107518e+00,0.00000000000000e+00,lamp_kernel
3.897210e-01,21,7.86900057208281e-02,1.18041215747447e-01,1.96731221468275e-01,2.21757592716708e-02,lamp_kernel
7.803925e-01,41,2.45061156213108e-02,9.46726716676123e-02,1.19178787288923e-01,2.82748301025244e-02,lamp_kernel
1.171346e+00,61,1.29279339311437e-02,7.73114023093283e-02,9.02393362404720e-02,2.91547182859717e-02,lamp_kernel
1.562420e+00,81,4.25043727358999e-03,6.42575495589658e-02,6.85079868325558e-02,2.97731756829334e-02,lamp_kernel
1.953621e+00,101,1.68430027052301e-03,5.50970284772756e-02,5.67813287477986e-02,3.04634864218676e-02,lamp_kernel
2.344916e+00,121,6.07011024599351e-04,4.89664710153457e-02,4.95734820399450e-02,3.10988868865832e-02,lamp_kernel
2.736367e+00,141,2.45328541395434e-04,4.49083576632590e-02,4.51536862046544e-02,3.16204568599701e-02,lamp_kernel
3.127808e+00,161,1.13786841892354e-04,4.21772522464370e-02,4.22910390883294e-02,3.20280544638257e-02,lamp_kernel
3.519206e+00,181,5.60811976055732e-05,4.02890921278525e-02,4.03451733254581e-02,3.23435502201199e-02,lamp_kernel
3.910599e+00,201,4.02598211446171e-05,3.89499826802269e-02,3.89902425013715e-02,3.25874570091014e-02,lamp_kernel
4.301989e+00,221,3.36650780561728e-05,3.79766761569012e-02,3.80103412349574e-02,3.27770912452869e-02,lamp_kernel
4.693379e+00,241,2.67476980695719e-05,3.72518918683416e-02,3.72786395664112e-02,3.29272291960357e-02,lamp_kernel
5.084773e+00,261,2.20691675541713e-05,3.67012715832093e-02,3.67233407507635e-02,3.30486268370566e-02,lamp_kernel
5.476219e+00,281,1.97342852716652e-05,3.62757968372464e-02,3.62955311225181e-02,3.31484673742993e-02,lamp_kernel
5.867612e+00,301,1.83724706254643e-05,3.59413938285031e-02,3.59597662991286e-02,3.32313007923216e-02,lamp_kernel
6.259054e+00,321,1.59446974754038e-05,3.56746173167645e-02,3.56905620142399e-02,3.33006389817073e-02,lamp_kernel
6.650461e+00,341,1.46746042784887e-05,3.54591542651107e-02,3.54738288693892e-02,3.33599351411959e-02,lamp_kernel
7.041904e+00,361,1.39757541737242e-05,3.52830205637566e-02,3.52969963179303e-02,3.34107017405212e-02,lamp_kernel
7.433392e+00,381,1.27962283025904e-05,3.51373887101249e-02,3.51501849384275e-02,3.34549822368663e-02,lamp_kernel
7.824879e+00,401,1.19882933383816e-05,3.50158367012235e-02,3.50278249945619e-02,3.34940425984666e-02,lamp_kernel
8.216332e+00,421,1.14148878877637e-05,3.49134628170728e-02,3.49248777049606e-02,3.35286646977844e-02,lamp_kernel
8.607837e+00,441,1.07548872319430e-05,3.48264855584766e-02,3.48372404457086e-02,3.35594311098490e-02,lamp_kernel
8.999330e+00,461,1.01948756207486e-05,3.47520452464621e-02,3.47622401220828e-02,3.35871089425221e-02,lamp_kernel
9.390778e+00,481,9.70734894346047e-06,3.46878848739871e-02,3.46975922229306e-02,3.36119493068977e-02,lamp_kernel
9.782256e+00,501,9.22456601386533e-06,3.46322144301857e-02,3.46414389961995e-02,3.36343499553439e-02,lamp_kernel
1.017372e+01,521,8.77673525414193e-06,3.45836299920016e-02,3.45924067272557e-02,3.36547439470678e-02,lamp_kernel
1.056519e+01,541,8.34622988309776e-06,3.45409889901610e-02,3.45493352200441e-02,3.36733491255234e-02,lamp_kernel
1.095661e+01,561,7.94115475059195e-06,3.45033729830012e-02,3.45113141377518e-02,3.36903529497358e-02,lamp_kernel
1.134807e+01,581,7.54982775080909e-06,3.44700314428697e-02,3.44775812706205e-02,3.37058801763194e-02,lamp_kernel
1.173953e+01,601,7.17114847987350e-06,3.44403456979579e-02,3.44475168464378e-02,3.37202129485065e-02,lamp_kernel
1.213095e+01,621,6.81157007669184e-06,3.44138067995631e-02,3.44206183696398e-02,3.37335011294339e-02,lamp_kernel
1.252238e+01,641,6.46872668191298e-06,3.43899875673554e-02,3.43964562940373e-02,3.37458607491295e-02,lamp_kernel
1.291381e+01,661,6.14456813438238e-06,3.43685326636648e-02,3.43746772317992e-02,3.37573651418185e-02,lamp_kernel
1.330523e+01,681,5.83685508516315e-06,3.43491407026176e-02,3.43549775577028e-02,3.37681065056687e-02,lamp_kernel
1.369664e+01,701,5.54545195361741e-06,3.43315575599379e-02,3.43371030118915e-02,3.37780957698569e-02,lamp_kernel
1.408807e+01,721,5.26750577487741e-06,3.43155658778992e-02,3.43208333836741e-02,3.37874519929871e-02,lamp_kernel
1.447947e+01,741,5.00362533520044e-06,3.43009803809722e-02,3.43059840063074e-02,3.37962342192896e-02,lamp_kernel
1.487089e+01,761,4.75365318197473e-06,3.42876412743543e-02,3.42923949275362e-02,3.38044982878190e-02,lamp_kernel
1.526229e+01,781,4.51862429001875e-06,3.42754110795296e-02,3.42799297038196e-02,3.38122737176279e-02,lamp_kernel
1.565367e+01,801,4.29557567133592e-06,3.42641703399780e-02,3.42684659156494e-02,3.38196065149212e-02,lamp_kernel
1.604505e+01,821,4.08637508596863e-06,3.42538154174439e-02,3.42579017925299e-02,3.38265542687730e-02,lamp_kernel
1.643647e+01,841,3.88854473283872e-06,3.42442556506109e-02,3.42481441953437e-02,3.38331172611578e-02,lamp_kernel
1.682788e+01,861,3.70216295893940e-06,3.42354117750800e-02,3.42391139380390e-02,3.38393281802150e-02,lamp_kernel
1.721933e+01,881,3.52694820877939e-06,3.42272140410768e-02,3.42307409892856e-02,3.38452014522032e-02,lamp_kernel
1.761071e+01,901,3.36069692489223e-06,3.42196010243667e-02,3.42229617212916e-02,3.38507732627326e-02,lamp_kernel
