time(s),iter,infeas,ot_objective,eta,solver
2.888713e-01,500,1.53946528425378e-06,1.66430353760184e-01,1.00000000000000e-02,annealed_sinkhorn_cellsim
5.776485e-01,1000,1.71103402498534e-07,1.66353248636089e-01,9.50000000000000e-03,annealed_sinkhorn_cellsim
7.228743e-01,1250,7.80909094929552e-06,1.66283464377277e-01,9.02500000000000e-03,annealed_sinkhorn_cellsim
1.011613e+00,1750,7.27611486131087e-07,1.66221316229758e-01,8.57375000000000e-03,annealed_sinkhorn_cellsim
1.300315e+00,2250,5.37171157045521e-07,1.66165164780615e-01,8.14506250000000e-03,annealed_sinkhorn_cellsim
1.589135e+00,2750,2.41090592408643e-06,1.66114625628585e-01,7.73780937500000e-03,annealed_sinkhorn_cellsim
1.877980e+00,3250,1.92596461911602e-06,1.66069347153431e-01,7.35091890625000e-03,annealed_sinkhorn_cellsim
2.166904e+00,3750,6.50196424637787e-06,1.66028519404397e-01,6.98337296093750e-03,annealed_sinkhorn_cellsim
2.455817e+00,4250,5.56341292417480e-06,1.65992152269657e-01,6.63420431289062e-03,annealed_sinkhorn_cellsim
2.744778e+00,4750,1.48415550529806e-05,1.65959164241919e-01,6.30249409724609e-03,annealed_sinkhorn_cellsim
3.033673e+00,5250,1.36261878704525e-05,1.65930077069910e-01,5.98736939238379e-03,annealed_sinkhorn_cellsim
3.466282e+00,6000,5.69785111971133e-06,1.65904403159320e-01,5.68800092276460e-03,annealed_sinkhorn_cellsim
3.898896e+00,6750,6.12981513274677e-06,1.65881182118976e-01,5.40360087662637e-03,annealed_sinkhorn_cellsim
4.331555e+00,7500,1.35980049649148e-05,1.65860190881016e-01,5.13342083279505e-03,annealed_sinkhorn_cellsim
4.764271e+00,8250,1.43111139638130e-05,1.65841787624364e-01,4.87674979115530e-03,annealed_sinkhorn_cellsim
5.421286e+00,9250,8.70855298377382e-06,1.65825723744421e-01,4.63291230159753e-03,annealed_sinkhorn_cellsim
5.997295e+00,10250,9.06654253866839e-06,1.65811226835450e-01,4.40126668651765e-03,annealed_sinkhorn_cellsim
6.573403e+00,11250,1.54273950904943e-05,1.65798091148188e-01,4.18120335219177e-03,annealed_sinkhorn_cellsim
7.149389e+00,12250,1.56600798591286e-05,1.65786669397210e-01,3.97214318458218e-03,annealed_sinkhorn_cellsim
7.869018e+00,13500,9.81112654206255e-06,1.65776780740216e-01,3.77353602535307e-03,annealed_sinkhorn_cellsim
8.588655e+00,14750,9.70012013580724e-06,1.65767744025996e-01,3.58485922408542e-03,annealed_sinkhorn_cellsim
9.308423e+00,16000,1.38265383605319e-05,1.65759490164248e-01,3.40561626288115e-03,annealed_sinkhorn_cellsim
1.002819e+01,17250,1.37207361816436e-05,1.65752257433947e-01,3.23533544973709e-03,annealed_sinkhorn_cellsim
1.132514e+01,18750,8.34638356686634e-06,1.65745971298291e-01,3.07356867725024e-03,annealed_sinkhorn_cellsim
1.218860e+01,20250,8.10762545771461e-06,1.65740101235214e-01,2.91989024338772e-03,annealed_sinkhorn_cellsim
1.305214e+01,21750,1.04246148613823e-05,1.65734684309859e-01,2.77389573121834e-03,annealed_sinkhorn_cellsim
1.391612e+01,23250,1.02635021597066e-05,1.65729856822574e-01,2.63520094465742e-03,annealed_sinkhorn_cellsim
1.478040e+01,24750,1.25642503307915e-05,1.65725369452171e-01,2.50344089742455e-03,annealed_sinkhorn_cellsim
1.564590e+01,26250,1.26136306832727e-05,1.65721359190012e-01,2.37826885255332e-03,annealed_sinkhorn_cellsim
1.651288e+01,27750,1.49578147343134e-05,1.65717612962225e-01,2.25935540992566e-03,annealed_sinkhorn_cellsim
1.738108e+01,29250,1.53536413998517e-05,1.65714257321369e-01,2.14638763942937e-03,annealed_sinkhorn_cellsim
1.839640e+01,31000,8.96918240288830e-06,1.65711447465852e-01,2.03906825745790e-03,annealed_sinkhorn_cellsim
1.941312e+01,32750,9.25307114968997e-06,1.65708651341422e-01,1.93711484458501e-03,annealed_sinkhorn_cellsim
2.043791e+01,34500,1.10111405823238e-05,1.65706046321806e-01,1.84025910235576e-03,annealed_sinkhorn_cellsim
2.145845e+01,36250,1.16864290472326e-05,1.65703704924716e-01,1.74824614723797e-03,annealed_sinkhorn_cellsim
2.248021e+01,38000,1.37411970115404e-05,1.65701511912915e-01,1.66083383987607e-03,annealed_sinkhorn_cellsim
2.350304e+01,39750,1.49824524846471e-05,1.65699541821964e-01,1.57779214788227e-03,annealed_sinkhorn_cellsim
2.467277e+01,41750,9.57740734499491e-06,1.65698024450932e-01,1.49890254048815e-03,annealed_sinkhorn_cellsim
2.584333e+01,43750,1.06302387758278e-05,1.65696393272899e-01,1.42395741346375e-03,annealed_sinkhorn_cellsim
2.701448e+01,45750,1.29292799674592e-05,1.65694839997873e-01,1.35275954279056e-03,annealed_sinkhorn_cellsim
