time(s),iter,infeas,ot_objective,primal,dual,solver
4.634330e-01,1,1.48385161483852e+00,3.74488449773150e-01,1.85834006461167e+00,0.00000000000000e+00,lamp_kernel
3.463552e+00,251,1.62834878138714e-04,1.78627246769230e-01,1.78790081647369e-01,-8.16533102961214e-03,lamp_kernel
3.745146e+00,501,4.17254481490431e-05,1.78048516552781e-01,1.78090242000930e-01,1.00429083943283e-01,lamp_kernel
4.026468e+00,751,1.44317320367549e-05,1.77958217543579e-01,1.77972649275616e-01,1.52950208862208e-01,lamp_kernel
4.308113e+00,1001,7.12915895049876e-06,1.77927243980488e-01,1.77934373139438e-01,1.63164773890790e-01,lamp_kernel
4.591779e+00,1251,2.56977641128420e-06,1.77911869153472e-01,1.77914438929884e-01,1.71238803257342e-01,lamp_kernel
4.877583e+00,1501,1.36268128165826e-06,1.77903024046888e-01,1.77904386728170e-01,1.72647531907534e-01,lamp_kernel
5.163995e+00,1751,1.25890042224127e-06,1.77897295593010e-01,1.77898554493432e-01,1.73493423675191e-01,lamp_kernel
5.484816e+00,2001,1.39091121798837e-06,1.77893344687284e-01,1.77894735598502e-01,1.75364203484519e-01,lamp_kernel
5.771359e+00,2251,5.62261410544018e-07,1.77890520612828e-01,1.77891082874239e-01,1.75708994316166e-01,lamp_kernel
6.058095e+00,2501,5.48752921133742e-07,1.77888497452765e-01,1.77889046205687e-01,1.76532080272727e-01,lamp_kernel
6.344653e+00,2751,2.44822141202535e-07,1.77886986017776e-01,1.77887230839917e-01,1.76502862321663e-01,lamp_kernel
6.631555e+00,3001,2.84441606543441e-07,1.77885848594248e-01,1.77886133035855e-01,1.76782340378835e-01,lamp_kernel
6.918368e+00,3251,2.77988205752709e-07,1.77884954413606e-01,1.77885232401812e-01,1.77044304629606e-01,lamp_kernel
7.205622e+00,3501,1.76751315430037e-07,1.77884240179290e-01,1.77884416930606e-01,1.77332334852039e-01,lamp_kernel
7.492778e+00,3751,1.18487785586951e-07,1.77883660567155e-01,1.77883779054941e-01,1.77382296751816e-01,lamp_kernel
7.780689e+00,4001,1.78676141556093e-07,1.77883177591594e-01,1.77883356267736e-01,1.77491846055018e-01,lamp_kernel
8.068575e+00,4251,1.36436382297626e-07,1.77882772304947e-01,1.77882908741330e-01,1.77501723566866e-01,lamp_kernel
8.357239e+00,4501,1.02179572354797e-07,1.77882427549277e-01,1.77882529728849e-01,1.77569550013101e-01,lamp_kernel
8.645838e+00,4751,8.99932835847974e-08,1.77882128568977e-01,1.77882218562260e-01,1.77591050715119e-01,lamp_kernel
8.934760e+00,5001,1.39957735132147e-07,1.77881868897678e-01,1.77882008855413e-01,1.77708586726199e-01,lamp_kernel
9.223529e+00,5251,1.15569721335984e-07,1.77881643219423e-01,1.77881758789144e-01,1.77747569449007e-01,lamp_kernel
9.512649e+00,5501,7.87447727025070e-08,1.77881444321967e-01,1.77881523066740e-01,1.77745454990568e-01,lamp_kernel
9.801131e+00,5751,6.40991603492136e-08,1.77881268623372e-01,1.77881332722532e-01,1.77760900250907e-01,lamp_kernel
1.009021e+01,6001,6.05179283575244e-08,1.77881112874270e-01,1.77881173392198e-01,1.77752468273889e-01,lamp_kernel
1.037888e+01,6251,6.59837600472903e-08,1.77880974513494e-01,1.77881040497254e-01,1.77767423085437e-01,lamp_kernel
1.072890e+01,6501,6.42510677023229e-08,1.77880850630447e-01,1.77880914881514e-01,1.77768442643476e-01,lamp_kernel
1.101733e+01,6751,5.62608946022985e-08,1.77880739452097e-01,1.77880795712991e-01,1.77766214881373e-01,lamp_kernel
1.130608e+01,7001,4.07380384118837e-08,1.77880639398307e-01,1.77880680136345e-01,1.77776873333565e-01,lamp_kernel
1.159450e+01,7251,2.57613541242802e-08,1.77880548451592e-01,1.77880574212946e-01,1.77813277660990e-01,lamp_kernel
1.188328e+01,7501,1.66695591778638e-08,1.77880465717068e-01,1.77880482386628e-01,1.77815287585797e-01,lamp_kernel
1.217193e+01,7751,1.18747790916179e-08,1.77880390230247e-01,1.77880402105026e-01,1.77817036911263e-01,lamp_kernel
1.246162e+01,8001,1.37756291725438e-08,1.77880320872598e-01,1.77880334648227e-01,1.77819787556098e-01,lamp_kernel
1.275043e+01,8251,1.30571529544409e-08,1.77880257081839e-01,1.77880270138992e-01,1.77822961712891e-01,lamp_kernel
