time(s),iter,infeas,ot_objective,dual
1.570130e-02,1,7.98340141633204e-01,1.07072499027655e-16,-7.91113830916637e+00,sinkhorn_cellsim
8.173933e-01,21,7.98280558476373e-01,1.66958362135909e-06,4.11505297584263e+01,sinkhorn_cellsim
1.619040e+00,41,7.97420230036156e-01,5.17269699306333e-05,8.99616378369231e+01,sinkhorn_cellsim
2.420722e+00,61,7.93610920067584e-01,4.52495683356025e-04,1.37224124006005e+02,sinkhorn_cellsim
3.222669e+00,81,7.81267212933292e-01,1.66362314137763e-03,1.80409301679746e+02,sinkhorn_cellsim
4.024909e+00,101,7.67811113640355e-01,3.17852702994261e-03,2.18134531156098e+02,sinkhorn_cellsim
4.827392e+00,121,7.51456918371434e-01,5.34301036601947e-03,2.50152809116784e+02,sinkhorn_cellsim
5.630086e+00,141,7.37116652008222e-01,7.69794622650188e-03,2.76963714572779e+02,sinkhorn_cellsim
6.432923e+00,161,7.23304607668344e-01,9.46298628100347e-03,3.00040681540154e+02,sinkhorn_cellsim
7.235838e+00,181,7.11021959593785e-01,1.09809073673070e-02,3.20742865332460e+02,sinkhorn_cellsim
8.038831e+00,201,6.98334779842367e-01,1.22061948722432e-02,3.39743420186738e+02,sinkhorn_cellsim
8.841799e+00,221,6.88788803501646e-01,1.31214348988275e-02,3.57543505531336e+02,sinkhorn_cellsim
9.644806e+00,241,6.79481739237732e-01,1.40789317473055e-02,3.74575980228914e+02,sinkhorn_cellsim
1.044776e+01,261,6.67195820967947e-01,1.50441565817062e-02,3.90856566574841e+02,sinkhorn_cellsim
1.125069e+01,281,6.55066377337562e-01,1.58623752486642e-02,4.06520924951283e+02,sinkhorn_cellsim
1.205360e+01,301,6.44247640828126e-01,1.68072365179865e-02,4.21638391609759e+02,sinkhorn_cellsim
1.285651e+01,321,6.35161419479717e-01,1.75788850391155e-02,4.36296187452543e+02,sinkhorn_cellsim
1.365943e+01,341,6.25161478844165e-01,1.84991792424616e-02,4.50471854878952e+02,sinkhorn_cellsim
1.446233e+01,361,6.13560444582111e-01,1.93331151698640e-02,4.64179693328862e+02,sinkhorn_cellsim
1.526521e+01,381,6.02635853856084e-01,2.03102798939433e-02,4.77482757334545e+02,sinkhorn_cellsim
1.606807e+01,401,5.92134845712544e-01,2.12642825732175e-02,4.90364203267886e+02,sinkhorn_cellsim
1.687090e+01,421,5.80335899970061e-01,2.23948320577716e-02,5.02796286278248e+02,sinkhorn_cellsim
1.767372e+01,441,5.68849335172997e-01,2.32653195782262e-02,5.14795857965413e+02,sinkhorn_cellsim
1.847661e+01,461,5.57140966122193e-01,2.41553923223435e-02,5.26386079755697e+02,sinkhorn_cellsim
1.927956e+01,481,5.45498779901636e-01,2.49647641304899e-02,5.37595089342731e+02,sinkhorn_cellsim
2.008245e+01,501,5.32761638591508e-01,2.59985760170793e-02,5.48414409009140e+02,sinkhorn_cellsim
2.088536e+01,521,5.21429652075651e-01,2.70575090143921e-02,5.58826724114153e+02,sinkhorn_cellsim
2.168830e+01,541,5.10921954790871e-01,2.79719075763700e-02,5.68851624524289e+02,sinkhorn_cellsim
2.249123e+01,561,4.99568688880827e-01,2.89134240227904e-02,5.78494358219907e+02,sinkhorn_cellsim
2.329415e+01,581,4.86964132202577e-01,2.99259162069376e-02,5.87788718877691e+02,sinkhorn_cellsim
2.409711e+01,601,4.74611885446849e-01,3.11053379440315e-02,5.96676700586014e+02,sinkhorn_cellsim
2.490007e+01,621,4.58903360410710e-01,3.24800068445181e-02,6.05118307334779e+02,sinkhorn_cellsim
2.570305e+01,641,4.43245235416826e-01,3.36384745762902e-02,6.13131047933317e+02,sinkhorn_cellsim
2.650603e+01,661,4.30460882655170e-01,3.48867336141095e-02,6.20731047424013e+02,sinkhorn_cellsim
2.730904e+01,681,4.18678517810411e-01,3.59411117679979e-02,6.27957086445875e+02,sinkhorn_cellsim
2.811207e+01,701,4.07740418536931e-01,3.67591259944086e-02,6.34859164013213e+02,sinkhorn_cellsim
2.891504e+01,721,3.95927904309591e-01,3.76828021338623e-02,6.41455271252493e+02,sinkhorn_cellsim
2.971807e+01,741,3.83243192513228e-01,3.90819360780339e-02,6.47708979372243e+02,sinkhorn_cellsim
3.052108e+01,761,3.70462881463427e-01,4.03581397861323e-02,6.53580391017643e+02,sinkhorn_cellsim
3.132409e+01,781,3.59747951050973e-01,4.15346359219172e-02,6.59110243031297e+02,sinkhorn_cellsim
3.212712e+01,801,3.48893879145573e-01,4.25892266498184e-02,6.64348044094439e+02,sinkhorn_cellsim
3.293017e+01,821,3.37640699989418e-01,4.34869069781781e-02,6.69318742736839e+02,sinkhorn_cellsim
3.373325e+01,841,3.27423469428993e-01,4.44759449194081e-02,6.74025656874985e+02,sinkhorn_cellsim
3.453637e+01,861,3.16537556311544e-01,4.54391300151844e-02,6.78484330316274e+02,sinkhorn_cellsim
3.533941e+01,881,3.06289233995788e-01,4.65186633333786e-02,6.82682437343444e+02,sinkhorn_cellsim
3.614247e+01,901,2.96111247001772e-01,4.75263701515748e-02,6.86628364200292e+02,sinkhorn_cellsim
3.694556e+01,921,2.84926875275099e-01,4.85318792688443e-02,6.90332993544821e+02,sinkhorn_cellsim
3.774864e+01,941,2.76988709411587e-01,4.94263343015654e-02,6.93815847586245e+02,sinkhorn_cellsim
3.855174e+01,961,2.68396297980533e-01,5.02244746707075e-02,6.97112530945780e+02,sinkhorn_cellsim
3.935483e+01,981,2.59379403045480e-01,5.10800415226469e-02,7.00220531560245e+02,sinkhorn_cellsim
4.015792e+01,1001,2.52717120895451e-01,5.17445827635116e-02,7.03151265307883e+02,sinkhorn_cellsim
4.096102e+01,1021,2.44229942886753e-01,5.24888292403631e-02,7.05925271196179e+02,sinkhorn_cellsim
4.176415e+01,1041,2.36413101186888e-01,5.33783139051768e-02,7.08517749105816e+02,sinkhorn_cellsim
4.256732e+01,1061,2.31123916063551e-01,5.38952882459602e-02,7.10968639510271e+02,sinkhorn_cellsim
4.337052e+01,1081,2.24261086282102e-01,5.44964051155641e-02,7.13299789628585e+02,sinkhorn_cellsim
4.417371e+01,1101,2.17670359457216e-01,5.53078796701589e-02,7.15493151675519e+02,sinkhorn_cellsim
4.497689e+01,1121,2.11082064225104e-01,5.60418917862061e-02,7.17534480660339e+02,sinkhorn_cellsim
4.578008e+01,1141,2.05127905209453e-01,5.66106155475635e-02,7.19458254471705e+02,sinkhorn_cellsim
4.658327e+01,1161,1.99006783767382e-01,5.71705960633439e-02,7.21270019755729e+02,sinkhorn_cellsim
4.738645e+01,1181,1.92494348027017e-01,5.78013107614587e-02,7.22960235320365e+02,sinkhorn_cellsim
4.818967e+01,1201,1.86020991811835e-01,5.83636991168414e-02,7.24532423485716e+02,sinkhorn_cellsim
4.899292e+01,1221,1.80780400731774e-01,5.87869672857002e-02,7.26017305538805e+02,sinkhorn_cellsim
4.979616e+01,1241,1.75262347401338e-01,5.91741719957231e-02,7.27418289374246e+02,sinkhorn_cellsim
5.059941e+01,1261,1.71170411749743e-01,5.94858380339080e-02,7.28754634503671e+02,sinkhorn_cellsim
5.140269e+01,1281,1.66612484743502e-01,5.98696093800745e-02,7.30024359922051e+02,sinkhorn_cellsim
5.220595e+01,1301,1.61750034593260e-01,6.02746785711444e-02,7.31230558787914e+02,sinkhorn_cellsim
5.300917e+01,1321,1.58053319156946e-01,6.05989025730330e-02,7.32370344500719e+02,sinkhorn_cellsim
5.381239e+01,1341,1.53585529938254e-01,6.08925680422129e-02,7.33459200571463e+02,sinkhorn_cellsim
5.461560e+01,1361,1.49325011319508e-01,6.12320042726511e-02,7.34479185918958e+02,sinkhorn_cellsim
5.541884e+01,1381,1.45539764820910e-01,6.15229677478101e-02,7.35440780035410e+02,sinkhorn_cellsim
5.622206e+01,1401,1.41041679052605e-01,6.18396610644994e-02,7.36349587734984e+02,sinkhorn_cellsim
5.702528e+01,1421,1.37140083360022e-01,6.21050190261880e-02,7.37211246250014e+02,sinkhorn_cellsim
5.782857e+01,1441,1.34082891150531e-01,6.23272250777495e-02,7.38031060924772e+02,sinkhorn_cellsim
5.863181e+01,1461,1.30951811195159e-01,6.25183097050266e-02,7.38815124133586e+02,sinkhorn_cellsim
5.943501e+01,1481,1.28181343048662e-01,6.26891776860767e-02,7.39564987567253e+02,sinkhorn_cellsim
6.023824e+01,1501,1.25550638331701e-01,6.28612510145320e-02,7.40283812125091e+02,sinkhorn_cellsim
6.104148e+01,1521,1.22521135135549e-01,6.31130195156860e-02,7.40973401810151e+02,sinkhorn_cellsim
6.184469e+01,1541,1.19970803266070e-01,6.32612493669627e-02,7.41633815338640e+02,sinkhorn_cellsim
6.264793e+01,1561,1.17060606035426e-01,6.34327547545103e-02,7.42266201810621e+02,sinkhorn_cellsim
6.345117e+01,1581,1.14444389994901e-01,6.36127229545706e-02,7.42868347731106e+02,sinkhorn_cellsim
6.425440e+01,1601,1.12231099968563e-01,6.38608185417737e-02,7.43443104883066e+02,sinkhorn_cellsim
6.505763e+01,1621,1.09821346394105e-01,6.40071055450395e-02,7.43987972494428e+02,sinkhorn_cellsim
6.586089e+01,1641,1.07913195733111e-01,6.41275839483414e-02,7.44510625326546e+02,sinkhorn_cellsim
6.666415e+01,1661,1.05013637176945e-01,6.43370298952389e-02,7.45006642850211e+02,sinkhorn_cellsim
6.746743e+01,1681,1.02984972636109e-01,6.44526579050453e-02,7.45479243891379e+02,sinkhorn_cellsim
6.827067e+01,1701,1.00657442902245e-01,6.45778992143326e-02,7.45932918745675e+02,sinkhorn_cellsim
6.907390e+01,1721,9.87019722274916e-02,6.47410908496089e-02,7.46369641786157e+02,sinkhorn_cellsim
6.987715e+01,1741,9.70350975697444e-02,6.48440090835309e-02,7.46790236008489e+02,sinkhorn_cellsim
7.068038e+01,1761,9.55982410003398e-02,6.49328886085227e-02,7.47196632758010e+02,sinkhorn_cellsim
7.148361e+01,1781,9.38406353043760e-02,6.50064083785586e-02,7.47590517578671e+02,sinkhorn_cellsim
7.228683e+01,1801,9.23126941979296e-02,6.50896300696953e-02,7.47971422825470e+02,sinkhorn_cellsim
7.309009e+01,1821,9.08736238993052e-02,6.51908023318317e-02,7.48337704147223e+02,sinkhorn_cellsim
7.389335e+01,1841,8.88449621130282e-02,6.53307716609472e-02,7.48690811936664e+02,sinkhorn_cellsim
7.469663e+01,1861,8.68708741904498e-02,6.54612771226453e-02,7.49026982833117e+02,sinkhorn_cellsim
7.549991e+01,1881,8.56885732445770e-02,6.55474732727610e-02,7.49352309892535e+02,sinkhorn_cellsim
7.630323e+01,1901,8.43552308083822e-02,6.56401364928588e-02,7.49666678181359e+02,sinkhorn_cellsim
7.710649e+01,1921,8.26773525892284e-02,6.57554490778407e-02,7.49969378584640e+02,sinkhorn_cellsim
7.790974e+01,1941,8.10890769635094e-02,6.58393858172788e-02,7.50259294159895e+02,sinkhorn_cellsim
7.871297e+01,1961,7.96443032229515e-02,6.59093040549287e-02,7.50538451326302e+02,sinkhorn_cellsim
7.951620e+01,1981,7.83099493797938e-02,6.59796046322107e-02,7.50805613768773e+02,sinkhorn_cellsim
8.031944e+01,2001,7.67569207414339e-02,6.60690576620848e-02,7.51060371779388e+02,sinkhorn_cellsim
8.112270e+01,2021,7.52164439439286e-02,6.61471980924081e-02,7.51304248863062e+02,sinkhorn_cellsim
8.192599e+01,2041,7.36100299151722e-02,6.62191954457666e-02,7.51539293219150e+02,sinkhorn_cellsim
8.272923e+01,2061,7.21210546949133e-02,6.62746259354683e-02,7.51765467160359e+02,sinkhorn_cellsim
8.353250e+01,2081,7.05060804002920e-02,6.63569288158411e-02,7.51982717393531e+02,sinkhorn_cellsim
8.433574e+01,2101,6.91431673913049e-02,6.64155777544922e-02,7.52192345106489e+02,sinkhorn_cellsim
8.513898e+01,2121,6.80037077772887e-02,6.64690288914075e-02,7.52395024923574e+02,sinkhorn_cellsim
8.594220e+01,2141,6.70782080820649e-02,6.65211785153440e-02,7.52591078795361e+02,sinkhorn_cellsim
8.674543e+01,2161,6.61099830708139e-02,6.65726218752433e-02,7.52780460567167e+02,sinkhorn_cellsim
8.754865e+01,2181,6.53377084826025e-02,6.66094906609151e-02,7.52963458573505e+02,sinkhorn_cellsim
8.835187e+01,2201,6.43966071505412e-02,6.66461605598822e-02,7.53141810472376e+02,sinkhorn_cellsim
8.915510e+01,2221,6.34973562712900e-02,6.66948763967467e-02,7.53314561473633e+02,sinkhorn_cellsim
8.995839e+01,2241,6.26144898321971e-02,6.67392739645347e-02,7.53481873340267e+02,sinkhorn_cellsim
9.076166e+01,2261,6.16358404710879e-02,6.67885011774271e-02,7.53644265546218e+02,sinkhorn_cellsim
9.156492e+01,2281,6.07784289477231e-02,6.68229223517942e-02,7.53802623617321e+02,sinkhorn_cellsim
9.236813e+01,2301,5.99063631988228e-02,6.68667471599460e-02,7.53957066668395e+02,sinkhorn_cellsim
9.317136e+01,2321,5.89424606134319e-02,6.69088739924739e-02,7.54106900992534e+02,sinkhorn_cellsim
9.397457e+01,2341,5.79166174914221e-02,6.69628051782189e-02,7.54250901749306e+02,sinkhorn_cellsim
9.477775e+01,2361,5.72387698496015e-02,6.70124022972703e-02,7.54389846598054e+02,sinkhorn_cellsim
9.558095e+01,2381,5.65262354825086e-02,6.70503790650023e-02,7.54524438846117e+02,sinkhorn_cellsim
9.638412e+01,2401,5.57629802827821e-02,6.70869912364742e-02,7.54655831786281e+02,sinkhorn_cellsim
9.718731e+01,2421,5.49022656450248e-02,6.71258567309136e-02,7.54783949222967e+02,sinkhorn_cellsim
9.799052e+01,2441,5.40592885673213e-02,6.71586366864332e-02,7.54908417241751e+02,sinkhorn_cellsim
9.879371e+01,2461,5.29746621626524e-02,6.71948987125823e-02,7.55029142863933e+02,sinkhorn_cellsim
9.959689e+01,2481,5.18788239442917e-02,6.72370091428734e-02,7.55144855581234e+02,sinkhorn_cellsim
1.004001e+02,2501,5.10723859668405e-02,6.72695497491173e-02,7.55256592982575e+02,sinkhorn_cellsim
1.012033e+02,2521,5.02345854513855e-02,6.72997302490859e-02,7.55364883917656e+02,sinkhorn_cellsim
1.020064e+02,2541,4.93054936208208e-02,6.73320228313958e-02,7.55469823851806e+02,sinkhorn_cellsim
1.028096e+02,2561,4.83944219530390e-02,6.73678630780417e-02,7.55570891161233e+02,sinkhorn_cellsim
1.036128e+02,2581,4.76579367298592e-02,6.74028360956910e-02,7.55668655264401e+02,sinkhorn_cellsim
1.044160e+02,2601,4.68429637022100e-02,6.74367350650721e-02,7.55763292885226e+02,sinkhorn_cellsim
1.052193e+02,2621,4.61132544714960e-02,6.74719092109780e-02,7.55855032540638e+02,sinkhorn_cellsim
1.060225e+02,2641,4.54865130279895e-02,6.75026507333923e-02,7.55944049032514e+02,sinkhorn_cellsim
1.068257e+02,2661,4.48687350258664e-02,6.75279144369401e-02,7.56030682580172e+02,sinkhorn_cellsim
1.076289e+02,2681,4.41611457604989e-02,6.75533546891967e-02,7.56114751085309e+02,sinkhorn_cellsim
1.084321e+02,2701,4.36049631830474e-02,6.75932711074856e-02,7.56196086418577e+02,sinkhorn_cellsim
1.092352e+02,2721,4.30752114281506e-02,6.76186183732558e-02,7.56274983646273e+02,sinkhorn_cellsim
1.100385e+02,2741,4.25165289094727e-02,6.76465451992762e-02,7.56351302238192e+02,sinkhorn_cellsim
