time(s),iter,infeas,ot_objective,primal,dual,solver
1.373290e-04,1,8.23743525033293e-01,1.35108550474491e-01,9.58852075507783e-01,0.00000000000000e+00,lamp_kernel
1.355611e+00,21,8.08690084013652e-02,9.44338053628476e-02,1.75302813764213e-01,2.97312272821301e-03,lamp_kernel
2.716382e+00,41,2.97731383727231e-02,7.61616971891199e-02,1.05934835561843e-01,9.76202898119405e-03,lamp_kernel
4.079385e+00,61,1.51435466621672e-02,6.32937611095344e-02,7.84373077717016e-02,1.09009403935015e-02,lamp_kernel
5.443149e+00,81,7.67847290930005e-03,5.29271369619758e-02,6.06056098712758e-02,1.15446519808758e-02,lamp_kernel
6.807156e+00,101,3.26417984215205e-03,4.45320397319633e-02,4.77962195741154e-02,1.21798674019384e-02,lamp_kernel
8.171247e+00,121,1.34182795590537e-03,3.79577583894734e-02,3.92995863453788e-02,1.28327053267848e-02,lamp_kernel
9.535670e+00,141,6.25300883244934e-04,3.29725099928666e-02,3.35978108761116e-02,1.34606671666772e-02,lamp_kernel
1.090007e+01,161,2.27496037211825e-04,2.92712489598143e-02,2.94987449970261e-02,1.40232037924829e-02,lamp_kernel
1.226448e+01,181,1.04137201075878e-04,2.65487396151834e-02,2.66528768162593e-02,1.45039069535405e-02,lamp_kernel
1.362889e+01,201,5.14767012991002e-05,2.45460362859242e-02,2.45975129872233e-02,1.49060897035948e-02,lamp_kernel
1.499341e+01,221,2.88548568490528e-05,2.30633627409681e-02,2.30922175978172e-02,1.52383174126057e-02,lamp_kernel
1.635794e+01,241,1.98240250845572e-05,2.19544402605976e-02,2.19742642856822e-02,1.55121522762244e-02,lamp_kernel
1.772254e+01,261,1.54729916696788e-05,2.11148066298849e-02,2.11302796215546e-02,1.57376627991009e-02,lamp_kernel
1.908721e+01,281,1.29828303406165e-05,2.04707185592463e-02,2.04837013895869e-02,1.59238293102964e-02,lamp_kernel
2.045194e+01,301,1.08931069939395e-05,1.99700282887488e-02,1.99809213957427e-02,1.60791128397555e-02,lamp_kernel
2.181678e+01,321,9.62597841357696e-06,1.95757735005000e-02,1.95853994789136e-02,1.62085753540990e-02,lamp_kernel
2.318163e+01,341,8.34759881804330e-06,1.92614607383730e-02,1.92698083371911e-02,1.63176208682474e-02,lamp_kernel
2.454657e+01,361,7.33837663576202e-06,1.90079477836298e-02,1.90152861602655e-02,1.64106823213857e-02,lamp_kernel
2.591156e+01,381,6.52415044660596e-06,1.88012255263353e-02,1.88077496767819e-02,1.64907503690522e-02,lamp_kernel
2.727651e+01,401,5.74220705880075e-06,1.86309221715969e-02,1.86366643786557e-02,1.65603094362355e-02,lamp_kernel
2.864155e+01,421,5.21927678682401e-06,1.84892869325391e-02,1.84945062093259e-02,1.66210469842706e-02,lamp_kernel
3.000658e+01,441,4.68699482052964e-06,1.83704417095033e-02,1.83751287043238e-02,1.66745960272848e-02,lamp_kernel
3.137161e+01,461,4.25991355315082e-06,1.82699002199501e-02,1.82741601335033e-02,1.67219923649573e-02,lamp_kernel
3.273663e+01,481,3.91911356072496e-06,1.81841931242637e-02,1.81881122378244e-02,1.67641376396225e-02,lamp_kernel
3.410169e+01,501,3.57380574607152e-06,1.81106113109026e-02,1.81141851166487e-02,1.68018972636205e-02,lamp_kernel
3.546682e+01,521,3.30944791181989e-06,1.80470263040147e-02,1.80503357519265e-02,1.68357938389050e-02,lamp_kernel
3.683197e+01,541,3.07162415987734e-06,1.79917434869977e-02,1.79948151111576e-02,1.68663207095753e-02,lamp_kernel
3.819708e+01,561,2.83068490847886e-06,1.79434056349459e-02,1.79462363198544e-02,1.68939525255879e-02,lamp_kernel
3.956221e+01,581,2.64077134102215e-06,1.79009188700936e-02,1.79035596414346e-02,1.69190909223694e-02,lamp_kernel
4.092734e+01,601,2.46761726374248e-06,1.78633909340536e-02,1.78658585513173e-02,1.69420440600114e-02,lamp_kernel
4.229238e+01,621,2.29292346071469e-06,1.78300909943092e-02,1.78323839177699e-02,1.69629745573937e-02,lamp_kernel
4.365751e+01,641,2.15074232373854e-06,1.78004174269389e-02,1.78025681692626e-02,1.69822356018536e-02,lamp_kernel
4.502273e+01,661,2.02246797172230e-06,1.77738694147253e-02,1.77758918826970e-02,1.69999711909047e-02,lamp_kernel
4.638797e+01,681,1.89227941430313e-06,1.77500284834224e-02,1.77519207628367e-02,1.70163676631029e-02,lamp_kernel
4.775317e+01,701,1.78091647337741e-06,1.77285440533079e-02,1.77303249697813e-02,1.70315818979508e-02,lamp_kernel
4.911840e+01,721,1.68501044866402e-06,1.77091194422487e-02,1.77108044526974e-02,1.70457378610960e-02,lamp_kernel
5.048364e+01,741,1.58821330607537e-06,1.76915022942568e-02,1.76930905075629e-02,1.70589199686626e-02,lamp_kernel
5.184887e+01,761,1.49785427051120e-06,1.76754779234464e-02,1.76769757777169e-02,1.70712092690770e-02,lamp_kernel
5.321409e+01,781,1.42048275413479e-06,1.76608623910798e-02,1.76622828738339e-02,1.70827065659830e-02,lamp_kernel
5.457927e+01,801,1.34698622992842e-06,1.76474968537114e-02,1.76488438399413e-02,1.70934901600356e-02,lamp_kernel
5.594449e+01,821,1.27556555244798e-06,1.76352441444588e-02,1.76365197100113e-02,1.71036301185586e-02,lamp_kernel
5.730973e+01,841,1.21184527888587e-06,1.76239855883484e-02,1.76251974336273e-02,1.71131914645261e-02,lamp_kernel
5.867501e+01,861,1.15511857389190e-06,1.76136175998645e-02,1.76147727184384e-02,1.71222232606164e-02,lamp_kernel
6.004020e+01,881,1.10021658035461e-06,1.76040494309460e-02,1.76051496475264e-02,1.71307594372316e-02,lamp_kernel
6.140541e+01,901,1.04798154223949e-06,1.75952017147055e-02,1.75962496962477e-02,1.71388416786246e-02,lamp_kernel
6.277063e+01,921,1.00154041189469e-06,1.75870047319155e-02,1.75880062723274e-02,1.71464970993082e-02,lamp_kernel
6.413586e+01,941,9.59690703007618e-07,1.75793967698414e-02,1.75803564605444e-02,1.71537645590686e-02,lamp_kernel
6.550109e+01,961,9.18750648466360e-07,1.75723231414616e-02,1.75732418921101e-02,1.71606679368821e-02,lamp_kernel
6.686631e+01,981,8.79359899831600e-07,1.75657354503445e-02,1.75666148102444e-02,1.71672405522803e-02,lamp_kernel
6.823156e+01,1001,8.43776284616471e-07,1.75595906701059e-02,1.75604344463906e-02,1.71735067683521e-02,lamp_kernel
6.959681e+01,1021,8.11187673479464e-07,1.75538503025928e-02,1.75546614902663e-02,1.71794887750411e-02,lamp_kernel
7.096212e+01,1041,7.79458571306334e-07,1.75484798677517e-02,1.75492593263230e-02,1.71852058233723e-02,lamp_kernel
7.232743e+01,1061,7.48783074997338e-07,1.75434485319390e-02,1.75441973150140e-02,1.71906723752360e-02,lamp_kernel
7.369278e+01,1081,7.20902822705170e-07,1.75387286378893e-02,1.75394495407120e-02,1.71958998748762e-02,lamp_kernel
7.505817e+01,1101,6.95023087084548e-07,1.75342952158043e-02,1.75349902388914e-02,1.72009082065464e-02,lamp_kernel
7.642350e+01,1121,6.69844089877690e-07,1.75301256788709e-02,1.75307955229607e-02,1.72057125513879e-02,lamp_kernel
7.778891e+01,1141,6.45211387966177e-07,1.75261996452104e-02,1.75268448565984e-02,1.72103207498361e-02,lamp_kernel
7.915429e+01,1161,6.22310042342256e-07,1.75224986968851e-02,1.75231210069274e-02,1.72147438192744e-02,lamp_kernel
8.051969e+01,1181,6.01148661774568e-07,1.75190060899911e-02,1.75196072386529e-02,1.72189915502258e-02,lamp_kernel
8.188517e+01,1201,5.81084193411029e-07,1.75157065538007e-02,1.75162876379941e-02,1.72230744966264e-02,lamp_kernel
8.325066e+01,1221,5.61584722011246e-07,1.75125861857068e-02,1.75131477704288e-02,1.72270010816683e-02,lamp_kernel
8.461641e+01,1241,5.42939473296382e-07,1.75096323380532e-02,1.75101752775265e-02,1.72307794573961e-02,lamp_kernel
8.598268e+01,1261,5.25649915967294e-07,1.75068334618967e-02,1.75073591118126e-02,1.72344182957527e-02,lamp_kernel
8.734920e+01,1281,5.09462610475484e-07,1.75041789609983e-02,1.75046884236088e-02,1.72379239679884e-02,lamp_kernel
8.871584e+01,1301,4.93900720547571e-07,1.75016591041055e-02,1.75021530048260e-02,1.72413046024621e-02,lamp_kernel
9.008266e+01,1321,4.78750363375041e-07,1.74992649752567e-02,1.74997437256201e-02,1.72445696449531e-02,lamp_kernel
9.144956e+01,1341,4.64389894202752e-07,1.74969884036304e-02,1.74974527935246e-02,1.72477234441800e-02,lamp_kernel
9.281661e+01,1361,4.50968483922533e-07,1.74948218664753e-02,1.74952728349592e-02,1.72507733644333e-02,lamp_kernel
9.418374e+01,1381,4.38404200203049e-07,1.74927584109334e-02,1.74931968151336e-02,1.72537241410010e-02,lamp_kernel
9.555116e+01,1401,4.26297276982973e-07,1.74907916149117e-02,1.74912179121886e-02,1.72565761283269e-02,lamp_kernel
9.691865e+01,1421,4.14510601925278e-07,1.74889155590068e-02,1.74893300696087e-02,1.72593367104472e-02,lamp_kernel
9.828627e+01,1441,4.03295247675679e-07,1.74871247814610e-02,1.74875280767087e-02,1.72620112720700e-02,lamp_kernel
9.965397e+01,1461,3.92845527737760e-07,1.74854142217919e-02,1.74858070673197e-02,1.72646043115253e-02,lamp_kernel
1.010218e+02,1481,3.83037970366975e-07,1.74837791755369e-02,1.74841622135073e-02,1.72671189469970e-02,lamp_kernel
1.023898e+02,1501,3.73670662093053e-07,1.74822152712526e-02,1.74825889419146e-02,1.72695586497572e-02,lamp_kernel
1.037581e+02,1521,3.64805683281040e-07,1.74807184564961e-02,1.74810832621794e-02,1.72719247874731e-02,lamp_kernel
1.051264e+02,1541,3.56326678302535e-07,1.74792849723222e-02,1.74796412990005e-02,1.72742216689519e-02,lamp_kernel
1.064950e+02,1561,3.48214251476347e-07,1.74779113176788e-02,1.74782595319302e-02,1.72764528053715e-02,lamp_kernel
1.078639e+02,1581,3.40452859488455e-07,1.74765942208056e-02,1.74769346736651e-02,1.72786203277279e-02,lamp_kernel
