time(s),iter,infeas,ot_objective,primal,dual,solver
4.736515e-01,1,6.21431490287843e-01,4.17813032924354e-01,1.66067601350004e+00,0.00000000000000e+00,lamp_kernel
1.142963e+02,251,2.73353399166032e-05,9.95615298957422e-02,9.96162005755754e-02,9.37030947914766e-02,lamp_kernel
2.254687e+02,501,2.81863268047689e-06,9.73776455565466e-02,9.73832828219076e-02,9.56708502753746e-02,lamp_kernel
3.366435e+02,751,1.34297127998981e-06,9.70617525814710e-02,9.70644385240310e-02,9.61285620861727e-02,lamp_kernel
4.478197e+02,1001,8.17290792197137e-07,9.69618747328700e-02,9.69635093144544e-02,9.63302072372484e-02,lamp_kernel
5.590010e+02,1251,5.74714858638812e-07,9.69182855251458e-02,9.69194349548631e-02,9.64437159208346e-02,lamp_kernel
6.702116e+02,1501,4.28183362956790e-07,9.68955422754104e-02,9.68963986421363e-02,9.65164545026396e-02,lamp_kernel
7.814906e+02,1751,3.27261660801388e-07,9.68822056186086e-02,9.68828601419302e-02,9.65670513461464e-02,lamp_kernel
8.928655e+02,2001,2.57989913058615e-07,9.68737168834672e-02,9.68742328632933e-02,9.66042838066851e-02,lamp_kernel
1.004335e+03,2251,2.12487419570494e-07,9.68679810483900e-02,9.68684060232291e-02,9.66328175448862e-02,lamp_kernel
1.115889e+03,2501,1.78931604496103e-07,9.68639270063288e-02,9.68642848695378e-02,9.66553492787858e-02,lamp_kernel
1.227518e+03,2751,1.54769552843059e-07,9.68609592293070e-02,9.68612687684127e-02,9.66735846270107e-02,lamp_kernel
1.339194e+03,3001,1.35767015440773e-07,9.68587244876591e-02,9.68589960216900e-02,9.66886548468635e-02,lamp_kernel
1.450898e+03,3251,1.18933301023851e-07,9.68570023008121e-02,9.68572401674141e-02,9.67013185791454e-02,lamp_kernel
1.562614e+03,3501,1.04484766983327e-07,9.68556491229243e-02,9.68558580924583e-02,9.67120989465746e-02,lamp_kernel
1.674337e+03,3751,9.21094853570822e-08,9.68545682102208e-02,9.68547524291915e-02,9.67213941237808e-02,lamp_kernel
1.786062e+03,4001,8.15106156867413e-08,9.68536924215061e-02,9.68538554427374e-02,9.67294907762777e-02,lamp_kernel
1.897788e+03,4251,7.25709735759587e-08,9.68529738657952e-02,9.68531190077423e-02,9.67366102152069e-02,lamp_kernel
2.009514e+03,4501,6.47526691843904e-08,9.68523774780095e-02,9.68525069833479e-02,9.67429184925919e-02,lamp_kernel
2.121242e+03,4751,5.77582198953623e-08,9.68518770150473e-02,9.68519925314871e-02,9.67485445879364e-02,lamp_kernel
2.232970e+03,5001,5.19174825592019e-08,9.68514525738270e-02,9.68515564087921e-02,9.67535938298248e-02,lamp_kernel
