time(s),iter,infeas,ot_objective,eta,solver
1.294126e-01,240,1.39649990104169e-05,5.64181853786670e-02,1.00000000000000e-02,annealed_sinkhorn_cellsim
1.841939e-01,340,7.96630744752959e-06,5.60618930748419e-02,9.50000000000000e-03,annealed_sinkhorn_cellsim
2.176351e-01,400,1.59136505914162e-05,5.57431088713728e-02,9.02500000000000e-03,annealed_sinkhorn_cellsim
2.723202e-01,500,9.98300846364119e-06,5.54589244463051e-02,8.57375000000000e-03,annealed_sinkhorn_cellsim
3.163865e-01,580,1.04035868208586e-05,5.52051405866870e-02,8.14506250000000e-03,annealed_sinkhorn_cellsim
3.710691e-01,680,1.38074873449908e-05,5.49788936431716e-02,7.73780937500000e-03,annealed_sinkhorn_cellsim
4.257565e-01,780,8.75888425772826e-06,5.47774497486812e-02,7.35091890625000e-03,annealed_sinkhorn_cellsim
4.910851e-01,900,1.04900578938606e-05,5.45979601966328e-02,6.98337296093750e-03,annealed_sinkhorn_cellsim
5.458044e-01,1000,1.29554706725585e-05,5.44381178170180e-02,6.63420431289062e-03,annealed_sinkhorn_cellsim
6.111538e-01,1120,1.45334669903335e-05,5.42959456598799e-02,6.30249409724609e-03,annealed_sinkhorn_cellsim
6.764986e-01,1240,1.19681723051404e-05,5.41694870750016e-02,5.98736939238379e-03,annealed_sinkhorn_cellsim
7.524686e-01,1380,1.28625669367479e-05,5.40569294594870e-02,5.68800092276460e-03,annealed_sinkhorn_cellsim
8.284538e-01,1520,1.20153539855993e-05,5.39567874041486e-02,5.40360087662637e-03,annealed_sinkhorn_cellsim
9.150288e-01,1680,1.24772210560309e-05,5.38676486385403e-02,5.13342083279505e-03,annealed_sinkhorn_cellsim
9.909842e-01,1820,1.61682189422585e-05,5.37882062687816e-02,4.87674979115530e-03,annealed_sinkhorn_cellsim
1.077501e+00,1980,1.62154285099288e-05,5.37175380051278e-02,4.63291230159753e-03,annealed_sinkhorn_cellsim
1.164009e+00,2140,1.61365346469007e-05,5.36545474777479e-02,4.40126668651765e-03,annealed_sinkhorn_cellsim
1.261195e+00,2320,1.58323780662368e-05,5.35983943879827e-02,4.18120335219177e-03,annealed_sinkhorn_cellsim
1.358335e+00,2500,1.61749847860093e-05,5.35482753107466e-02,3.97214318458218e-03,annealed_sinkhorn_cellsim
1.466079e+00,2700,1.60502458705101e-05,5.35035495663638e-02,3.77353602535307e-03,annealed_sinkhorn_cellsim
1.584451e+00,2920,1.40802041997564e-05,5.34636314663263e-02,3.58485922408542e-03,annealed_sinkhorn_cellsim
1.702799e+00,3140,1.66549984424748e-05,5.34278861109099e-02,3.40561626288115e-03,annealed_sinkhorn_cellsim
1.831787e+00,3380,1.52921785310018e-05,5.33960168399410e-02,3.23533544973709e-03,annealed_sinkhorn_cellsim
1.971398e+00,3640,1.55503331761633e-05,5.33675077204190e-02,3.07356867725024e-03,annealed_sinkhorn_cellsim
