time(s),iter,infeas,ot_objective,eta,solver
2.046751e-01,420,1.36548280770982e-05,2.06561629373084e-02,1.00000000000000e-02,annealed_sinkhorn_cellsim
3.414989e-01,700,1.17305756410086e-05,2.03106750953407e-02,9.50000000000000e-03,annealed_sinkhorn_cellsim
4.492361e-01,920,1.47676598364512e-05,2.00074865325978e-02,9.02500000000000e-03,annealed_sinkhorn_cellsim
5.956273e-01,1220,1.43479328072531e-05,1.97418388943218e-02,8.57375000000000e-03,annealed_sinkhorn_cellsim
7.227029e-01,1480,1.41970804035127e-05,1.95091008078821e-02,8.14506250000000e-03,annealed_sinkhorn_cellsim
8.883303e-01,1820,1.28024123166135e-05,1.93052784400678e-02,7.73780937500000e-03,annealed_sinkhorn_cellsim
1.034579e+00,2120,1.43010878519714e-05,1.91266636472022e-02,7.35091890625000e-03,annealed_sinkhorn_cellsim
1.219492e+00,2500,1.24576551792205e-05,1.89702738819243e-02,6.98337296093750e-03,annealed_sinkhorn_cellsim
1.385053e+00,2840,1.50776642577177e-05,1.88330966236423e-02,6.63420431289062e-03,annealed_sinkhorn_cellsim
1.589248e+00,3260,1.29447558801097e-05,1.87129589103070e-02,6.30249409724609e-03,annealed_sinkhorn_cellsim
1.774137e+00,3640,1.65089804404557e-05,1.86074203070692e-02,5.98736939238379e-03,annealed_sinkhorn_cellsim
1.997592e+00,4100,1.41227039160436e-05,1.85149495086994e-02,5.68800092276460e-03,annealed_sinkhorn_cellsim
2.211469e+00,4540,1.49577219017028e-05,1.84336499023821e-02,5.40360087662637e-03,annealed_sinkhorn_cellsim
2.454294e+00,5040,1.59388376895496e-05,1.83621862812416e-02,5.13342083279505e-03,annealed_sinkhorn_cellsim
2.697123e+00,5540,1.45908892547207e-05,1.82993875563826e-02,4.87674979115530e-03,annealed_sinkhorn_cellsim
2.968968e+00,6100,1.53670124727739e-05,1.82440430595195e-02,4.63291230159753e-03,annealed_sinkhorn_cellsim
3.240844e+00,6660,1.50579549810233e-05,1.81953030779941e-02,4.40126668651765e-03,annealed_sinkhorn_cellsim
3.547665e+00,7280,1.57679031895937e-05,1.81522894432328e-02,4.18120335219177e-03,annealed_sinkhorn_cellsim
3.848346e+00,7900,1.62845180277185e-05,1.81143284713795e-02,3.97214318458218e-03,annealed_sinkhorn_cellsim
4.187685e+00,8600,1.47005782367072e-05,1.80808615218762e-02,3.77353602535307e-03,annealed_sinkhorn_cellsim
4.527004e+00,9300,1.58725612623308e-05,1.80512177428557e-02,3.58485922408542e-03,annealed_sinkhorn_cellsim
4.905076e+00,10080,1.46817282105733e-05,1.80250827889159e-02,3.40561626288115e-03,annealed_sinkhorn_cellsim
5.283244e+00,10860,1.63536968064881e-05,1.80019034719084e-02,3.23533544973709e-03,annealed_sinkhorn_cellsim
5.699926e+00,11720,1.54156046651238e-05,1.79814835949663e-02,3.07356867725024e-03,annealed_sinkhorn_cellsim
6.126127e+00,12600,1.56597543867012e-05,1.79634014305959e-02,2.91989024338772e-03,annealed_sinkhorn_cellsim
6.590964e+00,13560,1.50138921988369e-05,1.79474397592402e-02,2.77389573121834e-03,annealed_sinkhorn_cellsim
7.065293e+00,14540,1.56772633536067e-05,1.79332891345690e-02,2.63520094465742e-03,annealed_sinkhorn_cellsim
7.583814e+00,15600,1.51963629910830e-05,1.79208021247238e-02,2.50344089742455e-03,annealed_sinkhorn_cellsim
8.105987e+00,16680,1.61653451816303e-05,1.79097100574921e-02,2.37826885255332e-03,annealed_sinkhorn_cellsim
8.666884e+00,17840,1.57963823078848e-05,1.78999215260412e-02,2.25935540992566e-03,annealed_sinkhorn_cellsim
9.246988e+00,19040,1.56894728919035e-05,1.78912376752895e-02,2.14638763942937e-03,annealed_sinkhorn_cellsim
9.865732e+00,20320,1.54960828179744e-05,1.78835329023890e-02,2.03906825745790e-03,annealed_sinkhorn_cellsim
