time(s),iter,infeas,ot_objective,dual
2.713890e-04,1,5.89903596957281e-01,5.93997503387148e-75,-6.05772977627957e+00,sinkhorn_cellsim
1.059991e-02,21,5.89903596957279e-01,7.59723636139350e-18,1.95029869412145e+01,sinkhorn_cellsim
2.079767e-02,41,5.81257927703053e-01,1.91742400500017e-04,4.40951037755609e+01,sinkhorn_cellsim
3.096415e-02,61,5.65578576793706e-01,7.59271711047920e-04,6.54820124230551e+01,sinkhorn_cellsim
4.114731e-02,81,5.49819807787250e-01,1.46186357716431e-03,8.05026572063662e+01,sinkhorn_cellsim
5.132523e-02,101,5.38971999516307e-01,1.78930588615499e-03,9.17910198099526e+01,sinkhorn_cellsim
6.148176e-02,121,5.33793454390306e-01,1.96671949706002e-03,1.02298986770136e+02,sinkhorn_cellsim
7.164599e-02,141,5.26939470551992e-01,2.19542943539805e-03,1.12121832771698e+02,sinkhorn_cellsim
8.180599e-02,161,5.19180874121269e-01,2.34821052153256e-03,1.21574130489174e+02,sinkhorn_cellsim
9.196764e-02,181,5.11468467233690e-01,2.66134637162247e-03,1.30664937369143e+02,sinkhorn_cellsim
1.021422e-01,201,5.08483952767122e-01,2.84222000312717e-03,1.39428558097529e+02,sinkhorn_cellsim
1.123120e-01,221,5.04803103560049e-01,2.96215098791467e-03,1.48066620760848e+02,sinkhorn_cellsim
1.224803e-01,241,4.95573092571623e-01,3.18953120208867e-03,1.56522077766480e+02,sinkhorn_cellsim
1.326505e-01,261,4.87760289394896e-01,3.39549968101981e-03,1.64713502068303e+02,sinkhorn_cellsim
1.428092e-01,281,4.79918999805383e-01,3.59516547927458e-03,1.72702833498259e+02,sinkhorn_cellsim
1.529631e-01,301,4.74857218546210e-01,3.75544877155789e-03,1.80486469648288e+02,sinkhorn_cellsim
1.631204e-01,321,4.68841935749792e-01,3.87248219625747e-03,1.88130854120613e+02,sinkhorn_cellsim
1.732728e-01,341,4.64161317271512e-01,4.06896672840410e-03,1.95617990463205e+02,sinkhorn_cellsim
1.834276e-01,361,4.54441712535063e-01,4.41815123153926e-03,2.02845033903028e+02,sinkhorn_cellsim
1.935894e-01,381,4.45985921512707e-01,4.69726473141478e-03,2.09781836718234e+02,sinkhorn_cellsim
2.037529e-01,401,4.40001579748050e-01,4.82841690768588e-03,2.16487882907328e+02,sinkhorn_cellsim
2.139178e-01,421,4.29958850724696e-01,5.15268971420425e-03,2.22962676750765e+02,sinkhorn_cellsim
2.240818e-01,441,4.16577722753684e-01,5.49805282542141e-03,2.29144340500470e+02,sinkhorn_cellsim
2.342487e-01,461,3.99572531030906e-01,5.94310318774185e-03,2.34881615909441e+02,sinkhorn_cellsim
2.444170e-01,481,3.80460713621218e-01,6.34988115143034e-03,2.40231229049362e+02,sinkhorn_cellsim
2.545728e-01,501,3.70553311816504e-01,6.63872529124791e-03,2.45238729108999e+02,sinkhorn_cellsim
2.647310e-01,521,3.58196621122850e-01,6.98444917729512e-03,2.49993021437591e+02,sinkhorn_cellsim
2.748912e-01,541,3.48288752511571e-01,7.30334544050882e-03,2.54519233687562e+02,sinkhorn_cellsim
2.850600e-01,561,3.38955637164456e-01,7.46027778766170e-03,2.58872729510293e+02,sinkhorn_cellsim
2.952140e-01,581,3.28262512215380e-01,7.75013724750397e-03,2.63013963315868e+02,sinkhorn_cellsim
3.053678e-01,601,3.14250119866732e-01,8.21549780181683e-03,2.66857264420423e+02,sinkhorn_cellsim
3.155155e-01,621,3.01074562078188e-01,8.64267735920800e-03,2.70398636897977e+02,sinkhorn_cellsim
3.256762e-01,641,2.91971133964588e-01,8.90083014743126e-03,2.73744825012657e+02,sinkhorn_cellsim
