time(s),iter,infeas,ot_objective,eta,solver
2.952160e+00,560,1.53518593912286e-05,8.31035619421996e-02,1.00000000000000e-02,annealed_sinkhorn_cellsim
3.665934e+00,780,1.62745954756327e-05,8.27711488695852e-02,9.50000000000000e-03,annealed_sinkhorn_cellsim
4.051341e+00,920,1.34680099952994e-05,8.24727351868136e-02,9.02500000000000e-03,annealed_sinkhorn_cellsim
4.653109e+00,1140,1.57362233146273e-05,8.22039272834086e-02,8.57375000000000e-03,annealed_sinkhorn_cellsim
5.146693e+00,1320,1.22983675595914e-05,8.19638258978535e-02,8.14506250000000e-03,annealed_sinkhorn_cellsim
5.802548e+00,1560,1.36375765515251e-05,8.17487139755137e-02,7.73780937500000e-03,annealed_sinkhorn_cellsim
6.350186e+00,1760,1.37412202887298e-05,8.15567990072466e-02,7.35091890625000e-03,annealed_sinkhorn_cellsim
7.059822e+00,2020,1.31307215167819e-05,8.13855506554984e-02,6.98337296093750e-03,annealed_sinkhorn_cellsim
7.661338e+00,2240,1.47578369690299e-05,8.12329506944299e-02,6.63420431289062e-03,annealed_sinkhorn_cellsim
8.425005e+00,2520,1.33825006913615e-05,8.10971167628981e-02,6.30249409724609e-03,annealed_sinkhorn_cellsim
9.080566e+00,2760,1.59174948958667e-05,8.09761667776493e-02,5.98736939238379e-03,annealed_sinkhorn_cellsim
9.898410e+00,3060,1.41335538818298e-05,8.08686706198302e-02,5.68800092276460e-03,annealed_sinkhorn_cellsim
1.066220e+01,3340,1.37521668700404e-05,8.07730613939768e-02,5.40360087662637e-03,annealed_sinkhorn_cellsim
1.153402e+01,3660,1.50067139402359e-05,8.06879958180074e-02,5.13342083279505e-03,annealed_sinkhorn_cellsim
1.235180e+01,3960,1.56139625070891e-05,8.06123732752236e-02,4.87674979115530e-03,annealed_sinkhorn_cellsim
1.327764e+01,4300,1.63346746116156e-05,8.05451135135304e-02,4.63291230159753e-03,annealed_sinkhorn_cellsim
1.420363e+01,4640,1.47556576487479e-05,8.04853308452025e-02,4.40126668651765e-03,annealed_sinkhorn_cellsim
1.523870e+01,5020,1.49620534429924e-05,8.04320826172794e-02,4.18120335219177e-03,annealed_sinkhorn_cellsim
1.627293e+01,5400,1.42621237349595e-05,8.03846808447185e-02,3.97214318458218e-03,annealed_sinkhorn_cellsim
1.736113e+01,5800,1.65579602729776e-05,8.03423733420478e-02,3.77353602535307e-03,annealed_sinkhorn_cellsim
1.844936e+01,6200,1.65182078296014e-05,8.03046988838753e-02,3.58485922408542e-03,annealed_sinkhorn_cellsim
1.964584e+01,6640,1.58961885840125e-05,8.02710999728930e-02,3.40561626288115e-03,annealed_sinkhorn_cellsim
2.084233e+01,7080,1.61777770149475e-05,8.02410815250011e-02,3.23533544973709e-03,annealed_sinkhorn_cellsim
2.214845e+01,7560,1.55861635292254e-05,8.02142888111459e-02,3.07356867725024e-03,annealed_sinkhorn_cellsim
2.346816e+01,8040,1.61292139382675e-05,8.01903169086372e-02,2.91989024338772e-03,annealed_sinkhorn_cellsim
2.488087e+01,8560,1.56138758101513e-05,8.01689075300196e-02,2.77389573121834e-03,annealed_sinkhorn_cellsim
2.629366e+01,9080,1.63639163561197e-05,8.01497271919901e-02,2.63520094465742e-03,annealed_sinkhorn_cellsim
2.781463e+01,9640,1.59290205127132e-05,8.01325888282117e-02,2.50344089742455e-03,annealed_sinkhorn_cellsim
2.939029e+01,10220,1.50345853602234e-05,8.01172506909457e-02,2.37826885255332e-03,annealed_sinkhorn_cellsim
3.101945e+01,10820,1.63483580577205e-05,8.01034737086000e-02,2.25935540992566e-03,annealed_sinkhorn_cellsim
3.270260e+01,11440,1.58981786050143e-05,8.00911560761059e-02,2.14638763942937e-03,annealed_sinkhorn_cellsim
3.449395e+01,12100,1.53570984174125e-05,8.00801122406350e-02,2.03906825745790e-03,annealed_sinkhorn_cellsim
