time(s),iter,infeas,ot_objective,primal,dual,solver
1.407030e-04,1,7.36067300160369e-01,2.94905170966366e-01,1.57847864021470e+00,8.44916773579167e-17,lamp_kernel
4.478460e-01,21,7.61121933943311e-02,2.12348204052683e-01,3.45074643749130e-01,2.28853288062864e-02,lamp_kernel
8.980080e-01,41,3.50687728665723e-02,1.55752228538249e-01,2.16906074716202e-01,2.44508043345840e-02,lamp_kernel
1.348669e+00,61,1.36076770965456e-02,1.14247026699706e-01,1.37976451027371e-01,2.54055764964092e-02,lamp_kernel
1.799426e+00,81,5.58097785844616e-03,8.64761787185756e-02,9.62084343289024e-02,2.76806658442854e-02,lamp_kernel
2.250207e+00,101,2.16497586099640e-03,6.95287310595028e-02,7.33040727655297e-02,3.00498579738298e-02,lamp_kernel
2.701117e+00,121,7.07931749639787e-04,5.94421053285446e-02,6.06766152866398e-02,3.20244584302437e-02,lamp_kernel
3.151944e+00,141,2.97018629260904e-04,5.33245524905007e-02,5.38425013686925e-02,3.35295376202712e-02,lamp_kernel
3.602815e+00,161,1.23987485971853e-04,4.94779017109593e-02,4.96941143418935e-02,3.46478334530140e-02,lamp_kernel
4.053708e+00,181,6.48301412154408e-05,4.69596093389675e-02,4.70726618400820e-02,3.54792504149313e-02,lamp_kernel
4.504700e+00,201,4.32011117970274e-05,4.52469148372329e-02,4.53222500693953e-02,3.61024184861987e-02,lamp_kernel
4.955670e+00,221,2.51307209601070e-05,4.40427438648058e-02,4.40865674753376e-02,3.65795080616340e-02,lamp_kernel
5.406657e+00,241,1.98494714458302e-05,4.31705083960521e-02,4.32051224251237e-02,3.69528403144258e-02,lamp_kernel
5.857660e+00,261,1.63443085765936e-05,4.25219203335854e-02,4.25504219676854e-02,3.72509914249600e-02,lamp_kernel
6.308757e+00,281,1.30854118058217e-05,4.20286721900592e-02,4.20514908744709e-02,3.74925230442231e-02,lamp_kernel
6.759871e+00,301,1.11329815681044e-05,4.16460146342573e-02,4.16654286195971e-02,3.76910962004320e-02,lamp_kernel
7.210907e+00,321,9.25866561488345e-06,4.13439537748068e-02,4.13600992788135e-02,3.78574222754002e-02,lamp_kernel
7.661978e+00,341,7.44696820892296e-06,4.11017208204306e-02,4.11147070389696e-02,3.79985029093156e-02,lamp_kernel
8.113102e+00,361,7.30619203848045e-06,4.09048429630759e-02,4.09175836924355e-02,3.81187989067328e-02,lamp_kernel
8.564256e+00,381,6.07820152510014e-06,4.07428886586497e-02,4.07534879859349e-02,3.82226623785847e-02,lamp_kernel
9.015437e+00,401,5.23196860580221e-06,4.06081488275625e-02,4.06172724716816e-02,3.83132902057884e-02,lamp_kernel
