time(s),iter,infeas,ot_objective,primal,dual,solver
1.221730e-04,1,2.62896020557031e-01,3.90836691663174e-01,9.16628732777236e-01,0.00000000000000e+00,lamp_kernel
2.552429e+00,21,8.03685613183348e-02,3.28169510316479e-01,4.88906632953148e-01,1.04546716938893e-02,lamp_kernel
5.108960e+00,41,4.89332079309603e-02,2.53462654377133e-01,3.51329070239054e-01,1.75830603905560e-02,lamp_kernel
7.666647e+00,61,2.04527170130876e-02,1.57829009845588e-01,1.98734443871763e-01,3.53188295073440e-02,lamp_kernel
1.022478e+01,81,9.50447628070904e-03,1.10716308170980e-01,1.29725260732398e-01,5.03839563020652e-02,lamp_kernel
1.278304e+01,101,8.12394451003480e-03,9.49924978899514e-02,1.11240386910021e-01,5.91252441627783e-02,lamp_kernel
1.534127e+01,121,7.13001384602689e-03,8.86860488997554e-02,1.02946076591809e-01,6.42089867269164e-02,lamp_kernel
1.789949e+01,141,5.94616249191703e-03,8.53404603028061e-02,9.72327852866401e-02,6.73682691409923e-02,lamp_kernel
2.045778e+01,161,4.85003223539823e-03,8.32387365457191e-02,9.29388010165156e-02,6.94418295321671e-02,lamp_kernel
2.301606e+01,181,3.89415841297901e-03,8.18128938346337e-02,8.96012106605917e-02,7.08678773541820e-02,lamp_kernel
2.557429e+01,201,3.18777959828318e-03,8.08043519451814e-02,8.71799111417478e-02,7.18873669288899e-02,lamp_kernel
2.813255e+01,221,2.71461428846106e-03,8.00684773266803e-02,8.54977059036024e-02,7.26413426413733e-02,lamp_kernel
3.069081e+01,241,2.37068667634999e-03,7.95170871219245e-02,8.42584604746245e-02,7.32154768988929e-02,lamp_kernel
3.324906e+01,261,2.08113932460997e-03,7.90941637405466e-02,8.32564423897665e-02,7.36658228787197e-02,lamp_kernel
3.580730e+01,281,1.82468401633131e-03,7.87633767517795e-02,8.24127447844421e-02,7.40271690667594e-02,lamp_kernel
3.836554e+01,301,1.56354836966512e-03,7.85005965468135e-02,8.16276932861437e-02,7.43221254309871e-02,lamp_kernel
4.092387e+01,321,1.31961602332028e-03,7.82893225949130e-02,8.09285546415536e-02,7.45666197768984e-02,lamp_kernel
4.348221e+01,341,1.10991598517384e-03,7.81179521987566e-02,8.03377841691043e-02,7.47720462455099e-02,lamp_kernel
4.604064e+01,361,9.26735474632431e-04,7.79780595824020e-02,7.98315305316668e-02,7.49471006348970e-02,lamp_kernel
4.859909e+01,381,7.85715261093684e-04,7.78633288974988e-02,7.94347594196862e-02,7.50979232762298e-02,lamp_kernel
5.115748e+01,401,6.83319742186007e-04,7.77688409034372e-02,7.91354803878093e-02,7.52291846850899e-02,lamp_kernel
5.371590e+01,421,5.96773797559726e-04,7.76906267564753e-02,7.88841743515948e-02,7.53441619369106e-02,lamp_kernel
5.627430e+01,441,5.25477728821318e-04,7.76254950599290e-02,7.86764505175716e-02,7.54456631457031e-02,lamp_kernel
5.883271e+01,461,4.61173223708189e-04,7.75707976050107e-02,7.84931440524270e-02,7.55360339560595e-02,lamp_kernel
6.139102e+01,481,4.04965276078555e-04,7.75244220814138e-02,7.83343526335709e-02,7.56169979139216e-02,lamp_kernel
6.394932e+01,501,3.56434939024593e-04,7.74846619167649e-02,7.81975317948140e-02,7.56899706550688e-02,lamp_kernel
6.650762e+01,521,3.11982156729933e-04,7.74501603578943e-02,7.80741246713541e-02,7.57560268668954e-02,lamp_kernel
6.906596e+01,541,2.68479359213095e-04,7.74198598539646e-02,7.79568185723908e-02,7.58160480113485e-02,lamp_kernel
7.162429e+01,561,2.27765337477081e-04,7.73929420599858e-02,7.78484727349399e-02,7.58708542293855e-02,lamp_kernel
7.418255e+01,581,1.94344442383809e-04,7.73687822178185e-02,7.77574711025861e-02,7.59210864769263e-02,lamp_kernel
7.674088e+01,601,1.66890654700934e-04,7.73469131173846e-02,7.76806944267865e-02,7.59672780685569e-02,lamp_kernel
7.929922e+01,621,1.42793220500558e-04,7.73269969286915e-02,7.76125833696927e-02,7.60098713759731e-02,lamp_kernel
8.185757e+01,641,1.24169626116091e-04,7.73087782128810e-02,7.75571174651131e-02,7.60492624607145e-02,lamp_kernel
8.441588e+01,661,1.08464509525399e-04,7.72920730079675e-02,7.75090020270183e-02,7.60858115278357e-02,lamp_kernel
8.697420e+01,681,9.55507936987161e-05,7.72767423078403e-02,7.74678438952377e-02,7.61198040084302e-02,lamp_kernel
8.953255e+01,701,8.46464752417027e-05,7.72626757265590e-02,7.74319686770424e-02,7.61515037307160e-02,lamp_kernel
9.209091e+01,721,7.52446586111652e-05,7.72497780069421e-02,7.74002673241645e-02,7.61811331589334e-02,lamp_kernel
