time(s),iter,infeas,ot_objective,dual
2.849637e-02,1,7.86248150003430e-01,4.28726816389256e-297,-7.47664136010680e+00,sinkhorn_cellsim
1.249425e+00,21,7.86248150003430e-01,1.76193774503624e-230,3.95353527215758e+01,sinkhorn_cellsim
2.470151e+00,41,7.86248150003431e-01,7.24637085691397e-164,8.65473468032584e+01,sinkhorn_cellsim
3.690940e+00,61,7.86248150003431e-01,2.98023529740817e-97,1.33559340884941e+02,sinkhorn_cellsim
4.911679e+00,81,7.86248150003429e-01,1.22568974225698e-30,1.80571334966623e+02,sinkhorn_cellsim
6.132425e+00,101,7.86248150003429e-01,8.79219488258017e-06,2.27506964169665e+02,sinkhorn_cellsim
7.353209e+00,121,7.83926212125178e-01,2.50395243957851e-04,2.74224383740488e+02,sinkhorn_cellsim
8.574105e+00,141,7.77772129580278e-01,1.06146018570266e-03,3.20011528573527e+02,sinkhorn_cellsim
9.795127e+00,161,7.61570100981198e-01,3.59560434287469e-03,3.62691054329513e+02,sinkhorn_cellsim
1.101631e+01,181,7.44561943870015e-01,6.53142854835568e-03,4.00728323501262e+02,sinkhorn_cellsim
1.223763e+01,201,7.32330356989168e-01,8.23990208088503e-03,4.34004613326657e+02,sinkhorn_cellsim
1.345907e+01,221,7.23693389225945e-01,9.72366830452163e-03,4.63225740667984e+02,sinkhorn_cellsim
1.468068e+01,241,7.14215051793609e-01,1.09373128672672e-02,4.89508343536354e+02,sinkhorn_cellsim
1.590231e+01,261,7.02827634295103e-01,1.28157190600766e-02,5.13073017745840e+02,sinkhorn_cellsim
1.712396e+01,281,6.89992241941554e-01,1.48499665205027e-02,5.34162980014274e+02,sinkhorn_cellsim
1.834566e+01,301,6.75809455014836e-01,1.73529533632881e-02,5.53314788995319e+02,sinkhorn_cellsim
1.956737e+01,321,6.63364239672803e-01,1.95070985957675e-02,5.71120993600500e+02,sinkhorn_cellsim
2.078908e+01,341,6.49077631030431e-01,2.20057434242265e-02,5.87707465875417e+02,sinkhorn_cellsim
2.201081e+01,361,6.36154602868946e-01,2.49057342175010e-02,6.03180287598403e+02,sinkhorn_cellsim
2.323259e+01,381,6.16978649223937e-01,2.81218028091903e-02,6.17687957644488e+02,sinkhorn_cellsim
2.445431e+01,401,6.03007139104704e-01,3.04847102321566e-02,6.31329524666914e+02,sinkhorn_cellsim
2.567599e+01,421,5.92047204277315e-01,3.23226682584850e-02,6.44439386690486e+02,sinkhorn_cellsim
2.689768e+01,441,5.79853438536706e-01,3.46401698620875e-02,6.56930706634200e+02,sinkhorn_cellsim
2.811933e+01,461,5.68490192538752e-01,3.68337661499872e-02,6.68903576766086e+02,sinkhorn_cellsim
2.934091e+01,481,5.57755935073728e-01,3.87882559760609e-02,6.80380685458008e+02,sinkhorn_cellsim
3.056249e+01,501,5.43758450622749e-01,4.16246074069128e-02,6.91411170750434e+02,sinkhorn_cellsim
3.178405e+01,521,5.34918533263584e-01,4.29838074025170e-02,7.02051307854663e+02,sinkhorn_cellsim
3.300561e+01,541,5.26084900671799e-01,4.45224748053284e-02,7.12407851631478e+02,sinkhorn_cellsim
3.422713e+01,561,5.14115403805138e-01,4.69878948502024e-02,7.22344107286807e+02,sinkhorn_cellsim
3.544867e+01,581,5.07465681345894e-01,4.84168741838847e-02,7.31927286135386e+02,sinkhorn_cellsim
3.667016e+01,601,4.99560336389706e-01,5.01111520888300e-02,7.41268307512421e+02,sinkhorn_cellsim
3.789161e+01,621,4.92908857981387e-01,5.20118892345191e-02,7.50353255064832e+02,sinkhorn_cellsim
3.911304e+01,641,4.87132523535532e-01,5.32566278311728e-02,7.59170607290460e+02,sinkhorn_cellsim
4.033444e+01,661,4.80153874240270e-01,5.45118451440322e-02,7.67791269158709e+02,sinkhorn_cellsim
4.155583e+01,681,4.72695203068510e-01,5.54293550190382e-02,7.76239716893885e+02,sinkhorn_cellsim
4.277721e+01,701,4.66628541737931e-01,5.69999032297349e-02,7.84448386638117e+02,sinkhorn_cellsim
4.399859e+01,721,4.61270784865567e-01,5.79887981944211e-02,7.92431290030234e+02,sinkhorn_cellsim
4.521990e+01,741,4.53856109253726e-01,5.89590504877598e-02,8.00206751762867e+02,sinkhorn_cellsim
4.644120e+01,761,4.49199812808922e-01,5.98670591126597e-02,8.07810812046042e+02,sinkhorn_cellsim
