time(s),iter,infeas,ot_objective,eta,solver
1.372742e-01,250,6.58488699493910e-06,8.95422669525340e-02,1.00000000000000e-02,annealed_sinkhorn_cellsim
2.744673e-01,500,5.36410779274454e-07,8.94798553794328e-02,9.50000000000000e-03,annealed_sinkhorn_cellsim
4.115722e-01,750,3.11574678550317e-07,8.94235601925571e-02,9.02500000000000e-03,annealed_sinkhorn_cellsim
5.487232e-01,1000,1.51167457342100e-06,8.93729217024917e-02,8.57375000000000e-03,annealed_sinkhorn_cellsim
6.858281e-01,1250,1.04652643339545e-06,8.93274743978966e-02,8.14506250000000e-03,annealed_sinkhorn_cellsim
8.229553e-01,1500,3.82194409884096e-06,8.92865966560931e-02,7.73780937500000e-03,annealed_sinkhorn_cellsim
9.600340e-01,1750,2.99474657788846e-06,8.92500058049804e-02,7.35091890625000e-03,annealed_sinkhorn_cellsim
1.097112e+00,2000,8.76837721094528e-06,8.92170334063773e-02,6.98337296093750e-03,annealed_sinkhorn_cellsim
1.234190e+00,2250,7.52651865218015e-06,8.91876498809764e-02,6.63420431289062e-03,annealed_sinkhorn_cellsim
1.593211e+00,2750,1.07543198650828e-07,8.91615011057979e-02,6.30249409724609e-03,annealed_sinkhorn_cellsim
1.730333e+00,3000,1.66242086437781e-05,8.91375354479974e-02,5.98736939238379e-03,annealed_sinkhorn_cellsim
2.002964e+00,3500,4.04709684179863e-07,8.91169137928575e-02,5.68800092276460e-03,annealed_sinkhorn_cellsim
2.275883e+00,4000,5.08264768118848e-07,8.90981627353946e-02,5.40360087662637e-03,annealed_sinkhorn_cellsim
2.548794e+00,4500,1.29330842695783e-06,8.90814629918780e-02,5.13342083279505e-03,annealed_sinkhorn_cellsim
2.821765e+00,5000,1.59562252021090e-06,8.90666436958072e-02,4.87674979115530e-03,annealed_sinkhorn_cellsim
3.094702e+00,5500,3.44186825771448e-06,8.90534739529485e-02,4.63291230159753e-03,annealed_sinkhorn_cellsim
3.367648e+00,6000,4.09069211173614e-06,8.90418436504020e-02,4.40126668651765e-03,annealed_sinkhorn_cellsim
3.640621e+00,6500,7.60668012214565e-06,8.90314926930641e-02,4.18120335219177e-03,annealed_sinkhorn_cellsim
3.913543e+00,7000,8.73576345989934e-06,8.90223890658958e-02,3.97214318458218e-03,annealed_sinkhorn_cellsim
4.186393e+00,7500,1.45072663186476e-05,8.90142205352153e-02,3.77353602535307e-03,annealed_sinkhorn_cellsim
4.459382e+00,8000,1.66160904179245e-05,8.90070570169176e-02,3.58485922408542e-03,annealed_sinkhorn_cellsim
4.868014e+00,8750,2.79174672100135e-06,8.90010761588848e-02,3.40561626288115e-03,annealed_sinkhorn_cellsim
5.276588e+00,9500,3.54589202399893e-06,8.89954293758731e-02,3.23533544973709e-03,annealed_sinkhorn_cellsim
5.685107e+00,10250,5.82714345480860e-06,8.89903440745264e-02,3.07356867725024e-03,annealed_sinkhorn_cellsim
6.093636e+00,11000,7.13813991485180e-06,8.89857984598030e-02,2.91989024338772e-03,annealed_sinkhorn_cellsim
6.502257e+00,11750,1.07409829892917e-05,8.89816508355835e-02,2.77389573121834e-03,annealed_sinkhorn_cellsim
7.366847e+00,12500,1.27254418675955e-05,8.89779323115087e-02,2.63520094465742e-03,annealed_sinkhorn_cellsim
7.911401e+00,13500,3.88319875979183e-06,8.89748195002903e-02,2.50344089742455e-03,annealed_sinkhorn_cellsim
8.456094e+00,14500,4.72248782711064e-06,8.89717813547264e-02,2.37826885255332e-03,annealed_sinkhorn_cellsim
9.000846e+00,15500,6.75449822570929e-06,8.89689854310439e-02,2.25935540992566e-03,annealed_sinkhorn_cellsim
9.546534e+00,16500,7.97218437958552e-06,8.89664456211956e-02,2.14638763942937e-03,annealed_sinkhorn_cellsim
