["Mono", "LMPP", "LSC-SU070", "LMPP", "Blast-SU353", "LMPP", "LMPP", "Blast-SU353", "Mono", "LMPP", "LSC-SU353", "LSC-SU070", "Mono", "Mono", "Mono", "LSC-SU070", "Blast-SU353", "LMPP", "Blast-SU353", "LSC-SU353"]
time(s),iter,infeas,ot_objective,dual
2.813790e-04,1,1.72468525434221e+00,1.76709966150224e-10,1.00529851970306e-01,sinkhorn_cellsim
2.014302e+00,251,1.16549852993345e+00,1.99076079562504e-02,1.06682798986851e+03,sinkhorn_cellsim
2.158080e+00,501,7.33068235907160e-01,5.00973349270969e-02,1.44397647471271e+03,sinkhorn_cellsim
2.303205e+00,751,5.84715692309828e-01,6.17413211117264e-02,1.56095490704510e+03,sinkhorn_cellsim
2.446780e+00,1001,4.54803052439612e-01,6.75722198194248e-02,1.62577435229535e+03,sinkhorn_cellsim
2.591781e+00,1251,3.60311115291038e-01,7.17743734520722e-02,1.66382771589304e+03,sinkhorn_cellsim
2.736819e+00,1501,3.08390538736317e-01,7.51383006257776e-02,1.68590228794673e+03,sinkhorn_cellsim
2.880085e+00,1751,2.97183127820246e-01,7.60006605038147e-02,1.70176866363686e+03,sinkhorn_cellsim
3.022454e+00,2001,2.61547211405488e-01,7.75405023863558e-02,1.71519701646199e+03,sinkhorn_cellsim
3.164748e+00,2251,2.23770682823557e-01,7.93046282418169e-02,1.72639341480927e+03,sinkhorn_cellsim
3.307044e+00,2501,1.73910047616195e-01,8.17004844966247e-02,1.73318052108525e+03,sinkhorn_cellsim
3.449313e+00,2751,1.36361442343814e-01,8.34260014764265e-02,1.73735224712907e+03,sinkhorn_cellsim
3.591622e+00,3001,1.26275001517808e-01,8.36082531541291e-02,1.74087418989724e+03,sinkhorn_cellsim
3.733889e+00,3251,1.17341619675181e-01,8.38787850372867e-02,1.74383333679708e+03,sinkhorn_cellsim
3.876211e+00,3501,1.00277672864075e-01,8.47496602735124e-02,1.74600609334714e+03,sinkhorn_cellsim
4.018535e+00,3751,8.52657109069516e-02,8.52700761181869e-02,1.74762002955603e+03,sinkhorn_cellsim
