time(s),iter,infeas,ot_objective,eta,solver
1.304189e-01,240,1.19513634416151e-05,3.23903670054975e-02,1.00000000000000e-02,annealed_sinkhorn_cellsim
2.071418e-01,380,1.02653949428138e-05,3.18304440419111e-02,9.50000000000000e-03,annealed_sinkhorn_cellsim
2.515254e-01,460,1.58304150735919e-05,3.13375393430853e-02,9.02500000000000e-03,annealed_sinkhorn_cellsim
3.280626e-01,600,1.43738971552655e-05,3.09041293995976e-02,8.57375000000000e-03,annealed_sinkhorn_cellsim
3.831915e-01,700,1.50518916940273e-05,3.05230005967676e-02,8.14506250000000e-03,annealed_sinkhorn_cellsim
4.704480e-01,860,1.24297756485528e-05,3.01880341250753e-02,7.73780937500000e-03,annealed_sinkhorn_cellsim
5.362677e-01,980,1.44643268656588e-05,2.98934974312076e-02,7.35091890625000e-03,annealed_sinkhorn_cellsim
6.342780e-01,1160,1.16082713311893e-05,2.96346108527180e-02,6.98337296093750e-03,annealed_sinkhorn_cellsim
7.108400e-01,1300,1.43826694416392e-05,2.94068718036086e-02,6.63420431289062e-03,annealed_sinkhorn_cellsim
8.088806e-01,1480,1.62475315669077e-05,2.92065694390340e-02,6.30249409724609e-03,annealed_sinkhorn_cellsim
8.961684e-01,1640,1.54262095845240e-05,2.90303155921294e-02,5.98736939238379e-03,annealed_sinkhorn_cellsim
1.004916e+00,1840,1.59748959975036e-05,2.88751781601579e-02,5.68800092276460e-03,annealed_sinkhorn_cellsim
1.102941e+00,2020,1.64422937708304e-05,2.87385411967942e-02,5.40360087662637e-03,annealed_sinkhorn_cellsim
1.222386e+00,2240,1.62881466248114e-05,2.86181951523839e-02,5.13342083279505e-03,annealed_sinkhorn_cellsim
1.341845e+00,2460,1.35308657382266e-05,2.85121369207044e-02,4.87674979115530e-03,annealed_sinkhorn_cellsim
1.472107e+00,2700,1.66109308028194e-05,2.84185672485271e-02,4.63291230159753e-03,annealed_sinkhorn_cellsim
1.602424e+00,2940,1.52266733927404e-05,2.83360466206704e-02,4.40126668651765e-03,annealed_sinkhorn_cellsim
1.754194e+00,3220,1.40059379425011e-05,2.82632089274106e-02,4.18120335219177e-03,annealed_sinkhorn_cellsim
1.895221e+00,3480,1.65234338446558e-05,2.81988149066672e-02,3.97214318458218e-03,annealed_sinkhorn_cellsim
2.057711e+00,3780,1.55610173667236e-05,2.81419285858487e-02,3.77353602535307e-03,annealed_sinkhorn_cellsim
2.220236e+00,4080,1.50160337561125e-05,2.80915781751711e-02,3.58485922408542e-03,annealed_sinkhorn_cellsim
2.404269e+00,4420,1.42673809717922e-05,2.80469857380918e-02,3.40561626288115e-03,annealed_sinkhorn_cellsim
2.588286e+00,4760,1.42930615344731e-05,2.80074276382592e-02,3.23533544973709e-03,annealed_sinkhorn_cellsim
2.782953e+00,5120,1.61293222895405e-05,2.79722882103372e-02,3.07356867725024e-03,annealed_sinkhorn_cellsim
2.988298e+00,5500,1.43910196051673e-05,2.79410796604042e-02,2.91989024338772e-03,annealed_sinkhorn_cellsim
3.204481e+00,5900,1.57092197658097e-05,2.79132656084896e-02,2.77389573121834e-03,annealed_sinkhorn_cellsim
3.431361e+00,6320,1.48400133217207e-05,2.78884867187068e-02,2.63520094465742e-03,annealed_sinkhorn_cellsim
3.668982e+00,6760,1.59388729908509e-05,2.78663423819056e-02,2.50344089742455e-03,annealed_sinkhorn_cellsim
3.925227e+00,7220,1.56761491805216e-05,2.78465548905663e-02,2.37826885255332e-03,annealed_sinkhorn_cellsim
4.195028e+00,7720,1.49253242690606e-05,2.78288438077739e-02,2.25935540992566e-03,annealed_sinkhorn_cellsim
4.475549e+00,8240,1.50037499875963e-05,2.78129586859701e-02,2.14638763942937e-03,annealed_sinkhorn_cellsim
4.766842e+00,8780,1.62466205736569e-05,2.77986904002113e-02,2.03906825745790e-03,annealed_sinkhorn_cellsim
