time(s),iter,infeas,ot_objective,dual
2.867270e-04,1,1.03435014030384e+00,1.05551121106936e-16,-5.70810335196140e+00,sinkhorn_cellsim
1.164197e-02,21,1.03410726927883e+00,3.38951322411418e-05,9.25974840509045e+01,sinkhorn_cellsim
2.284439e-02,41,1.02707636828226e+00,7.59922780071372e-04,1.84289994840267e+02,sinkhorn_cellsim
3.403921e-02,61,1.00853364803132e+00,2.07854684299648e-03,2.61819915098550e+02,sinkhorn_cellsim
4.523779e-02,81,9.41190456623427e-01,6.22922728767461e-03,3.23282736883994e+02,sinkhorn_cellsim
5.646542e-02,101,8.83894617934595e-01,1.03690600269815e-02,3.69427343042651e+02,sinkhorn_cellsim
6.769768e-02,121,8.22236249548242e-01,1.44508906201868e-02,4.03498805528285e+02,sinkhorn_cellsim
7.892451e-02,141,7.82347738359450e-01,1.79162143569509e-02,4.30263930747502e+02,sinkhorn_cellsim
9.016769e-02,161,7.52672130786294e-01,2.06210135027007e-02,4.52251894593253e+02,sinkhorn_cellsim
1.014160e-01,181,7.24613403270069e-01,2.25470652325756e-02,4.72008761240697e+02,sinkhorn_cellsim
1.126625e-01,201,6.95088230923326e-01,2.44653758329467e-02,4.89875696696922e+02,sinkhorn_cellsim
1.239047e-01,221,6.77975467753702e-01,2.58357438590367e-02,5.06531696644175e+02,sinkhorn_cellsim
1.351419e-01,241,6.69287360380134e-01,2.68345806888467e-02,5.22446588720429e+02,sinkhorn_cellsim
1.463798e-01,261,6.39855902925373e-01,2.90094644122503e-02,5.37505548141716e+02,sinkhorn_cellsim
1.576145e-01,281,6.21290130895525e-01,3.03342969961187e-02,5.51522477607490e+02,sinkhorn_cellsim
1.688648e-01,301,6.04837829814040e-01,3.15763977335381e-02,5.64890769662166e+02,sinkhorn_cellsim
1.801206e-01,321,5.88459112835303e-01,3.27061952987001e-02,5.77677490311290e+02,sinkhorn_cellsim
1.913701e-01,341,5.75595039460904e-01,3.34568206000388e-02,5.90018609668464e+02,sinkhorn_cellsim
2.026134e-01,361,5.57873928132057e-01,3.52872297572990e-02,6.01756983766368e+02,sinkhorn_cellsim
2.138567e-01,381,5.46041318960226e-01,3.67754520542067e-02,6.12973401536592e+02,sinkhorn_cellsim
2.250981e-01,401,5.31281537316683e-01,3.90141049876796e-02,6.23557123636224e+02,sinkhorn_cellsim
2.363471e-01,421,5.21108068077649e-01,3.98829296212956e-02,6.33478460739156e+02,sinkhorn_cellsim
2.475954e-01,441,5.05607696574720e-01,4.15120524489000e-02,6.42798384229348e+02,sinkhorn_cellsim
2.588436e-01,461,4.96066137048998e-01,4.31903329706322e-02,6.51683593632990e+02,sinkhorn_cellsim
2.700981e-01,481,4.87866321677841e-01,4.42741865056845e-02,6.60152967676891e+02,sinkhorn_cellsim
2.813541e-01,501,4.81638746909741e-01,4.50753914700029e-02,6.68327792248728e+02,sinkhorn_cellsim
2.926080e-01,521,4.70939756676548e-01,4.59790823311865e-02,6.76213442592572e+02,sinkhorn_cellsim
3.038564e-01,541,4.62394259091888e-01,4.66266074074665e-02,6.83829895313632e+02,sinkhorn_cellsim
