time(s),iter,infeas,ot_objective,eta,solver
2.329600e-01,520,1.51214919986653e-05,3.60083616833958e-02,1.00000000000000e-02,annealed_sinkhorn_cellsim
3.588733e-01,800,1.37892038585352e-05,3.58291291005055e-02,9.50000000000000e-03,annealed_sinkhorn_cellsim
4.581172e-01,1020,1.47967372279496e-05,3.56659752790830e-02,9.02500000000000e-03,annealed_sinkhorn_cellsim
5.930182e-01,1320,1.55992519861526e-05,3.55174950818804e-02,8.57375000000000e-03,annealed_sinkhorn_cellsim
7.100513e-01,1580,1.41760410870472e-05,3.53824697393229e-02,8.14506250000000e-03,annealed_sinkhorn_cellsim
8.628026e-01,1920,1.35022304087001e-05,3.52596308083491e-02,7.73780937500000e-03,annealed_sinkhorn_cellsim
9.978147e-01,2220,1.39634919800513e-05,3.51479948116365e-02,7.35091890625000e-03,annealed_sinkhorn_cellsim
1.159525e+00,2580,1.60327501057129e-05,3.50466071967767e-02,6.98337296093750e-03,annealed_sinkhorn_cellsim
1.312365e+00,2920,1.41961837616713e-05,3.49548701047529e-02,6.63420431289062e-03,annealed_sinkhorn_cellsim
1.491765e+00,3320,1.50078258868346e-05,3.48717388807947e-02,6.30249409724609e-03,annealed_sinkhorn_cellsim
1.662323e+00,3700,1.45352813209580e-05,3.47966579487712e-02,5.98736939238379e-03,annealed_sinkhorn_cellsim
1.859465e+00,4140,1.46569636784296e-05,3.47288678223372e-02,5.68800092276460e-03,annealed_sinkhorn_cellsim
2.047639e+00,4560,1.51188132072238e-05,3.46677608813355e-02,5.40360087662637e-03,annealed_sinkhorn_cellsim
2.262480e+00,5040,1.48990160099774e-05,3.46127817881367e-02,5.13342083279505e-03,annealed_sinkhorn_cellsim
2.468576e+00,5500,1.61269898468119e-05,3.45633144487065e-02,4.87674979115530e-03,annealed_sinkhorn_cellsim
2.701351e+00,6020,1.57490143126826e-05,3.45189618752057e-02,4.63291230159753e-03,annealed_sinkhorn_cellsim
2.934225e+00,6540,1.50732122851339e-05,3.44792114556200e-02,4.40126668651765e-03,annealed_sinkhorn_cellsim
3.193665e+00,7120,1.47667559242891e-05,3.44436080831916e-02,4.18120335219177e-03,annealed_sinkhorn_cellsim
3.453261e+00,7700,1.49573056436735e-05,3.44117509164153e-02,3.97214318458218e-03,annealed_sinkhorn_cellsim
4.169801e+00,8340,1.47867656175321e-05,3.43833070656754e-02,3.77353602535307e-03,annealed_sinkhorn_cellsim
4.456317e+00,8980,1.56517935211495e-05,3.43578935045072e-02,3.58485922408542e-03,annealed_sinkhorn_cellsim
4.769469e+00,9680,1.56608622902288e-05,3.43352715360267e-02,3.40561626288115e-03,annealed_sinkhorn_cellsim
5.091670e+00,10400,1.51562890786634e-05,3.43151484792202e-02,3.23533544973709e-03,annealed_sinkhorn_cellsim
5.440417e+00,11180,1.54125684255968e-05,3.42972245761018e-02,3.07356867725024e-03,annealed_sinkhorn_cellsim
5.798119e+00,11980,1.55892242934534e-05,3.42812936454906e-02,2.91989024338772e-03,annealed_sinkhorn_cellsim
6.182528e+00,12840,1.60905502964450e-05,3.42671275801826e-02,2.77389573121834e-03,annealed_sinkhorn_cellsim
6.584959e+00,13740,1.52386876022288e-05,3.42545869581398e-02,2.63520094465742e-03,annealed_sinkhorn_cellsim
7.014124e+00,14700,1.59512857323474e-05,3.42433938591836e-02,2.50344089742455e-03,annealed_sinkhorn_cellsim
7.461229e+00,15700,1.57131723792149e-05,3.42334712964876e-02,2.37826885255332e-03,annealed_sinkhorn_cellsim
7.934899e+00,16760,1.65928949835007e-05,3.42246030463469e-02,2.25935540992566e-03,annealed_sinkhorn_cellsim
8.435644e+00,17880,1.55531905578764e-05,3.42167604057000e-02,2.14638763942937e-03,annealed_sinkhorn_cellsim
8.969108e+00,19060,1.65605292965549e-05,3.42096938233210e-02,2.03906825745790e-03,annealed_sinkhorn_cellsim
9.522988e+00,20300,1.60892674990884e-05,3.42034195548848e-02,1.93711484458501e-03,annealed_sinkhorn_cellsim
1.011271e+01,21620,1.61680109974919e-05,3.41977809575619e-02,1.84025910235576e-03,annealed_sinkhorn_cellsim
1.072927e+01,23000,1.62297705752834e-05,3.41927200083899e-02,1.74824614723797e-03,annealed_sinkhorn_cellsim
1.139053e+01,24480,1.57104067738351e-05,3.41881891882254e-02,1.66083383987607e-03,annealed_sinkhorn_cellsim
1.207847e+01,26020,1.62702920235182e-05,3.41840759103894e-02,1.57779214788227e-03,annealed_sinkhorn_cellsim
1.281646e+01,27660,1.62600449141905e-05,3.41803851265661e-02,1.49890254048815e-03,annealed_sinkhorn_cellsim
1.358510e+01,29380,1.64709106835748e-05,3.41770473214237e-02,1.42395741346375e-03,annealed_sinkhorn_cellsim
1.440679e+01,31220,1.61972710928395e-05,3.41740480828862e-02,1.35275954279056e-03,annealed_sinkhorn_cellsim
1.527396e+01,33160,1.62518536422014e-05,3.41713275470165e-02,1.28512156565103e-03,annealed_sinkhorn_cellsim
1.619477e+01,35220,1.65777935462551e-05,3.41688588042864e-02,1.22086548736848e-03,annealed_sinkhorn_cellsim
