time(s),iter,infeas,ot_objective,eta,solver
9.836307e-01,100,1.64211272187449e-05,2.20227448334377e-02,1.00000000000000e-02,annealed_sinkhorn_cellsim
1.582684e+00,160,1.45074345317497e-05,2.12474432824019e-02,9.50000000000000e-03,annealed_sinkhorn_cellsim
2.181691e+00,220,5.80184881475525e-06,2.05562091765708e-02,9.02500000000000e-03,annealed_sinkhorn_cellsim
2.973034e+00,300,7.37959850345832e-06,1.99430063375733e-02,8.57375000000000e-03,annealed_sinkhorn_cellsim
3.572059e+00,360,1.03568357046430e-05,1.94014108017553e-02,8.14506250000000e-03,annealed_sinkhorn_cellsim
4.363342e+00,440,1.16054122518135e-05,1.89248587349078e-02,7.73780937500000e-03,annealed_sinkhorn_cellsim
4.962383e+00,500,1.63247368587884e-05,1.85067972475422e-02,7.35091890625000e-03,annealed_sinkhorn_cellsim
5.946122e+00,600,7.72322603260811e-06,1.81410286980060e-02,6.98337296093750e-03,annealed_sinkhorn_cellsim
6.737509e+00,680,1.01048179234279e-05,1.78215640362095e-02,6.63420431289062e-03,annealed_sinkhorn_cellsim
7.721295e+00,780,1.12989248103804e-05,1.75429981693372e-02,6.30249409724609e-03,annealed_sinkhorn_cellsim
8.512814e+00,860,1.48792986628285e-05,1.73003304160847e-02,5.98736939238379e-03,annealed_sinkhorn_cellsim
9.496828e+00,960,1.55979778196958e-05,1.70891152199965e-02,5.68800092276460e-03,annealed_sinkhorn_cellsim
1.048080e+01,1060,1.12814416024875e-05,1.69053331983392e-02,5.40360087662637e-03,annealed_sinkhorn_cellsim
1.165709e+01,1180,1.13683452606239e-05,1.67454264625751e-02,5.13342083279505e-03,annealed_sinkhorn_cellsim
1.264096e+01,1280,1.59165616258808e-05,1.66062487897749e-02,4.87674979115530e-03,annealed_sinkhorn_cellsim
1.381711e+01,1400,1.56996174308377e-05,1.64850951325300e-02,4.63291230159753e-03,annealed_sinkhorn_cellsim
1.499330e+01,1520,1.32208001611405e-05,1.63795430407764e-02,4.40126668651765e-03,annealed_sinkhorn_cellsim
1.636192e+01,1660,1.28405093649474e-05,1.62875065886169e-02,4.18120335219177e-03,annealed_sinkhorn_cellsim
1.773048e+01,1800,1.17364977729896e-05,1.62071736841146e-02,3.97214318458218e-03,annealed_sinkhorn_cellsim
