time(s),iter,infeas,ot_objective,primal,dual,solver
1.434430e-04,1,7.37733653148841e-01,1.21781680477637e-01,8.59515333626479e-01,0.00000000000000e+00,lamp_kernel
3.872421e-01,21,8.39798463410510e-02,8.79381538960666e-02,1.71918000237118e-01,8.86721719217665e-04,lamp_kernel
7.750433e-01,41,1.99692055001180e-02,7.06505903179859e-02,9.06197958181039e-02,9.44060589736409e-03,lamp_kernel
1.162981e+00,61,1.68379284904422e-02,5.85618246738364e-02,7.53997531642785e-02,1.04318572629309e-02,lamp_kernel
1.551008e+00,81,5.20959095080449e-03,4.88952595180561e-02,5.41048504688606e-02,1.08625937470441e-02,lamp_kernel
1.939000e+00,101,2.29988251600124e-03,4.09926519857467e-02,4.32925345017479e-02,1.12883202483592e-02,lamp_kernel
2.326961e+00,121,9.77892771494869e-04,3.47535735778553e-02,3.57314663493502e-02,1.17449811336632e-02,lamp_kernel
2.714996e+00,141,3.31916478680888e-04,3.00027350338669e-02,3.03346515125478e-02,1.22107998976467e-02,lamp_kernel
3.102960e+00,161,1.59730714180181e-04,2.64776229309346e-02,2.66373536451147e-02,1.26474215775161e-02,lamp_kernel
3.490929e+00,181,6.18887348151291e-05,2.38996943164480e-02,2.39615830512632e-02,1.30358582533558e-02,lamp_kernel
3.878915e+00,201,3.81480370010809e-05,2.20225525900759e-02,2.20607006270770e-02,1.33669808870540e-02,lamp_kernel
4.266906e+00,221,2.46844827371970e-05,2.06494526683461e-02,2.06741371510832e-02,1.36442864286924e-02,lamp_kernel
4.654914e+00,241,1.71102497660154e-05,1.96343559395690e-02,1.96514661893350e-02,1.38743338359496e-02,lamp_kernel
5.042902e+00,261,1.44045267542830e-05,1.88739609645913e-02,1.88883654913456e-02,1.40640016037208e-02,lamp_kernel
5.430884e+00,281,1.16852558326522e-05,1.82960799600200e-02,1.83077652158526e-02,1.42222267464643e-02,lamp_kernel
5.818898e+00,301,1.01370303014419e-05,1.78502056347859e-02,1.78603426650874e-02,1.43553598191350e-02,lamp_kernel
6.206892e+00,321,8.54992504521694e-06,1.75011600896408e-02,1.75097100146860e-02,1.44680703562345e-02,lamp_kernel
