time(s),iter,infeas,ot_objective,dual
3.751019e-03,1,8.97968506332820e-01,2.15620916646849e-36,-6.41360538058894e+00,sinkhorn_cellsim
2.023102e-01,21,8.92426894499614e-01,5.10644179237803e-05,7.11436547777676e+01,sinkhorn_cellsim
4.008840e-01,41,7.79866230726922e-01,2.15124170802061e-03,1.37878286218218e+02,sinkhorn_cellsim
5.997139e-01,61,6.59873032297433e-01,4.95331722669563e-03,1.74249321245837e+02,sinkhorn_cellsim
7.986751e-01,81,5.92728939366221e-01,6.45001469991738e-03,1.92765787749580e+02,sinkhorn_cellsim
9.976680e-01,101,5.55431548019328e-01,7.10816455487256e-03,2.05191296692748e+02,sinkhorn_cellsim
1.196661e+00,121,5.21898912953402e-01,7.72110833045579e-03,2.15262142224325e+02,sinkhorn_cellsim
1.395669e+00,141,4.94885796632765e-01,8.18996702952033e-03,2.24042066455088e+02,sinkhorn_cellsim
1.594669e+00,161,4.67397014637678e-01,8.66582539939094e-03,2.32029436849550e+02,sinkhorn_cellsim
1.793653e+00,181,4.41345193138000e-01,9.12177019085941e-03,2.39306595421996e+02,sinkhorn_cellsim
1.992645e+00,201,4.12398690030043e-01,9.65155901690071e-03,2.45880596686730e+02,sinkhorn_cellsim
2.191637e+00,221,3.87867832474359e-01,1.01300437573283e-02,2.51762413393734e+02,sinkhorn_cellsim
2.390622e+00,241,3.66695313187983e-01,1.05820252728902e-02,2.57035299088048e+02,sinkhorn_cellsim
2.589618e+00,261,3.43696756316998e-01,1.09598438919922e-02,2.61799202706915e+02,sinkhorn_cellsim
2.788612e+00,281,3.22700566858776e-01,1.12891486517935e-02,2.66070933312736e+02,sinkhorn_cellsim
2.987592e+00,301,2.98068604282825e-01,1.16225050856040e-02,2.69815388573427e+02,sinkhorn_cellsim
3.186570e+00,321,2.79469678497572e-01,1.18998465592256e-02,2.73187347274186e+02,sinkhorn_cellsim
3.385543e+00,341,2.62676903189046e-01,1.21502513027770e-02,2.76173421067183e+02,sinkhorn_cellsim
3.584518e+00,361,2.48602206110157e-01,1.23845071889549e-02,2.78859673468211e+02,sinkhorn_cellsim
3.783503e+00,381,2.32145689340912e-01,1.26623886734528e-02,2.81236167274304e+02,sinkhorn_cellsim
3.982490e+00,401,2.17667802241818e-01,1.28612519950045e-02,2.83350819477943e+02,sinkhorn_cellsim
4.181497e+00,421,2.04653298357540e-01,1.30663196393203e-02,2.85239081970565e+02,sinkhorn_cellsim
4.380519e+00,441,1.91216633185907e-01,1.32429968542216e-02,2.86935686885573e+02,sinkhorn_cellsim
4.579523e+00,461,1.78507715593537e-01,1.34203454135033e-02,2.88434897387540e+02,sinkhorn_cellsim
4.778536e+00,481,1.66108711747125e-01,1.36425011413223e-02,2.89747650464749e+02,sinkhorn_cellsim
4.977569e+00,501,1.56360957258345e-01,1.37625306949663e-02,2.90896499352715e+02,sinkhorn_cellsim
5.176616e+00,521,1.44275953341092e-01,1.39353209955901e-02,2.91915458907776e+02,sinkhorn_cellsim
5.375649e+00,541,1.36201260321484e-01,1.40222154408262e-02,2.92817586816195e+02,sinkhorn_cellsim
5.574706e+00,561,1.27526133960346e-01,1.41326584007661e-02,2.93631062443921e+02,sinkhorn_cellsim
5.773761e+00,581,1.19001499467651e-01,1.42561693905863e-02,2.94358588697000e+02,sinkhorn_cellsim
