time(s),iter,infeas,ot_objective,primal,dual,solver
4.679357e-01,1,1.48385161483852e+00,8.06843869002754e-01,3.77454709867979e+00,0.00000000000000e+00,lamp_kernel
4.741042e+00,251,9.13888164833394e-05,4.76819507786365e-01,4.77002285419332e-01,1.49917755896612e-01,lamp_kernel
7.717594e+00,501,2.15523515320862e-05,4.75844987436293e-01,4.75888092139358e-01,3.37632468282532e-01,lamp_kernel
9.319670e+00,751,8.74426826931697e-06,4.75686545429146e-01,4.75704033965685e-01,4.17908909979235e-01,lamp_kernel
1.092249e+01,1001,3.85097598000425e-06,4.75633959040387e-01,4.75641660992347e-01,4.51925887903169e-01,lamp_kernel
1.252759e+01,1251,1.67361251062906e-06,4.75610708732028e-01,4.75614055957049e-01,4.59438589077994e-01,lamp_kernel
1.413400e+01,1501,8.47725462380113e-07,4.75597795879953e-01,4.75599491330878e-01,4.61305283377424e-01,lamp_kernel
1.574144e+01,1751,6.40180869636504e-07,4.75590042095463e-01,4.75591322457202e-01,4.64704780569894e-01,lamp_kernel
1.734971e+01,2001,5.58113560580121e-07,4.75585209544996e-01,4.75586325772117e-01,4.66364996116096e-01,lamp_kernel
1.895971e+01,2251,4.24493242079672e-07,4.75581943964157e-01,4.75582792950641e-01,4.68607090962529e-01,lamp_kernel
2.056859e+01,2501,3.72073941547778e-07,4.75579552140139e-01,4.75580296288022e-01,4.69262881179921e-01,lamp_kernel
2.217814e+01,2751,2.43407064125314e-07,4.75577661634790e-01,4.75578148448918e-01,4.69973964101004e-01,lamp_kernel
2.378786e+01,3001,2.11063264636916e-07,4.75576142891276e-01,4.75576565017806e-01,4.71001584644337e-01,lamp_kernel
2.539751e+01,3251,2.10778845167877e-07,4.75574883292677e-01,4.75575304850367e-01,4.72535890727562e-01,lamp_kernel
2.700745e+01,3501,2.04088696615516e-07,4.75573836169012e-01,4.75574244346405e-01,4.74481945286416e-01,lamp_kernel
2.861736e+01,3751,2.50694065809154e-07,4.75572972503374e-01,4.75573473891506e-01,4.74559291931500e-01,lamp_kernel
3.022779e+01,4001,1.91343474321734e-07,4.75572251394548e-01,4.75572634081497e-01,4.74737376955646e-01,lamp_kernel
3.183805e+01,4251,2.15335761041295e-07,4.75571672857835e-01,4.75572103529357e-01,4.74765346091353e-01,lamp_kernel
3.344823e+01,4501,1.56441285967977e-07,4.75571196113298e-01,4.75571508995870e-01,4.74830353961911e-01,lamp_kernel
3.514896e+01,4751,1.12687994986919e-07,4.75570808227243e-01,4.75571033603233e-01,4.75019926039936e-01,lamp_kernel
3.675867e+01,5001,1.40003361919661e-07,4.75570497054519e-01,4.75570777061243e-01,4.75096028734222e-01,lamp_kernel
3.836854e+01,5251,9.41237659006018e-08,4.75570230247166e-01,4.75570418494698e-01,4.75149216801177e-01,lamp_kernel
3.997861e+01,5501,9.44416508873529e-08,4.75570018013897e-01,4.75570206897199e-01,4.75184419909361e-01,lamp_kernel
4.158904e+01,5751,7.34647560435105e-08,4.75569834453211e-01,4.75569981382723e-01,4.75192195079266e-01,lamp_kernel
4.320029e+01,6001,7.07356728029837e-08,4.75569677902693e-01,4.75569819374039e-01,4.75213204792606e-01,lamp_kernel
4.481125e+01,6251,1.00011110740255e-07,4.75569551458737e-01,4.75569751480958e-01,4.75261595421849e-01,lamp_kernel
4.642281e+01,6501,6.95981684631944e-08,4.75569433987401e-01,4.75569573183738e-01,4.75281140017277e-01,lamp_kernel
4.803378e+01,6751,6.93605034807519e-08,4.75569341140456e-01,4.75569479861463e-01,4.75288090696520e-01,lamp_kernel
4.964497e+01,7001,5.89445139980967e-08,4.75569257744078e-01,4.75569375633106e-01,4.75302875276562e-01,lamp_kernel
5.125616e+01,7251,5.51301923328189e-08,4.75569182846619e-01,4.75569293107004e-01,4.75331900850528e-01,lamp_kernel
5.286728e+01,7501,7.69160416094924e-08,4.75569125463546e-01,4.75569279295629e-01,4.75335042240261e-01,lamp_kernel
5.447889e+01,7751,4.70244298243781e-08,4.75569066114779e-01,4.75569160163639e-01,4.75337603709597e-01,lamp_kernel
5.609065e+01,8001,3.77139274965761e-08,4.75569021180528e-01,4.75569096608383e-01,4.75342189964909e-01,lamp_kernel
5.770211e+01,8251,4.12818921586787e-08,4.75568979699348e-01,4.75569062263132e-01,4.75346499636111e-01,lamp_kernel
5.931361e+01,8501,4.77634081231121e-08,4.75568938850143e-01,4.75569034376960e-01,4.75351537597188e-01,lamp_kernel
6.092518e+01,8751,5.59472254548575e-08,4.75568910313385e-01,4.75569022207836e-01,4.75351730520817e-01,lamp_kernel
6.253662e+01,9001,3.42712082949820e-08,4.75568875913117e-01,4.75568944455533e-01,4.75351050314316e-01,lamp_kernel
6.414815e+01,9251,1.56240592898609e-08,4.75568850370098e-01,4.75568881618216e-01,4.75352486977337e-01,lamp_kernel
6.575993e+01,9501,3.49327537014391e-08,4.75568826977514e-01,4.75568896843022e-01,4.75351922871516e-01,lamp_kernel
6.737145e+01,9751,4.35574100426260e-08,4.75568800299661e-01,4.75568887414481e-01,4.75353781539522e-01,lamp_kernel
6.898316e+01,10001,4.41604612022862e-08,4.75568784036495e-01,4.75568872357417e-01,4.75355437187533e-01,lamp_kernel
7.059485e+01,10251,2.27837095493045e-08,4.75568761260048e-01,4.75568806827467e-01,4.75357542799084e-01,lamp_kernel
7.220605e+01,10501,1.46950768728791e-08,4.75568744021137e-01,4.75568773411291e-01,4.75364772671402e-01,lamp_kernel
7.381821e+01,10751,3.61017233751753e-08,4.75568729489758e-01,4.75568801693205e-01,4.75375457005373e-01,lamp_kernel
7.542979e+01,11001,4.25087589727192e-08,4.75568709731901e-01,4.75568794749419e-01,4.75394880289817e-01,lamp_kernel
7.704138e+01,11251,3.78422556033365e-08,4.75568699350401e-01,4.75568775034912e-01,4.75401223522328e-01,lamp_kernel
7.865302e+01,11501,1.61998093312024e-08,4.75568683107079e-01,4.75568715506698e-01,4.75410312004357e-01,lamp_kernel
8.026505e+01,11751,1.91800262485795e-08,4.75568669993371e-01,4.75568708353424e-01,4.75427136198166e-01,lamp_kernel
8.187683e+01,12001,3.86936659112796e-08,4.75568660706759e-01,4.75568738094091e-01,4.75448806917075e-01,lamp_kernel
8.348856e+01,12251,4.00044583708629e-08,4.75568645147958e-01,4.75568725156875e-01,4.75473107755398e-01,lamp_kernel
8.510038e+01,12501,3.36747250473136e-08,4.75568638032815e-01,4.75568705382265e-01,4.75495417650141e-01,lamp_kernel
8.671200e+01,12751,1.58339873060266e-08,4.75568626338968e-01,4.75568658006943e-01,4.75516280774976e-01,lamp_kernel
8.844182e+01,13001,2.65045212428291e-08,4.75568615588319e-01,4.75568668597362e-01,4.75517275559403e-01,lamp_kernel
9.005308e+01,13251,4.01762727773202e-08,4.75568609855227e-01,4.75568690207773e-01,4.75517136555907e-01,lamp_kernel
9.166427e+01,13501,3.59137070717458e-08,4.75568597362798e-01,4.75568669190212e-01,4.75517117711652e-01,lamp_kernel
9.327537e+01,13751,3.15500799579758e-08,4.75568592055712e-01,4.75568655155872e-01,4.75517548190485e-01,lamp_kernel
9.488684e+01,14001,1.98181546437040e-08,4.75568584008804e-01,4.75568623645114e-01,4.75516858516666e-01,lamp_kernel
9.649814e+01,14251,3.84894191065142e-08,4.75568574632400e-01,4.75568651611238e-01,4.75517727657202e-01,lamp_kernel
9.810938e+01,14501,3.81123093502735e-08,4.75568571297373e-01,4.75568647521992e-01,4.75517841713272e-01,lamp_kernel
9.972070e+01,14751,2.88138213436197e-08,4.75568561573707e-01,4.75568619201350e-01,4.75517738211314e-01,lamp_kernel
1.013321e+02,15001,3.85845236715622e-08,4.75568556746883e-01,4.75568633915930e-01,4.75519302675408e-01,lamp_kernel
1.029435e+02,15251,1.46038200402070e-08,4.75568551912315e-01,4.75568581119955e-01,4.75522966214308e-01,lamp_kernel
1.045547e+02,15501,4.21377709371877e-08,4.75568543780803e-01,4.75568628056345e-01,4.75528407716099e-01,lamp_kernel
