time(s),iter,infeas,ot_objective,primal,dual,solver
2.301352e-01,1,1.44392780360982e+00,3.61243514326769e-01,1.80517131793659e+00,0.00000000000000e+00,lamp_kernel
2.012374e+00,251,1.43437784024589e-04,1.80363908178460e-01,1.80507345962484e-01,-8.78681070744122e-02,lamp_kernel
2.159025e+00,501,6.34829687172654e-05,1.79800099782323e-01,1.79863582751040e-01,7.60558685788471e-03,lamp_kernel
2.299194e+00,751,5.58470893994009e-05,1.79680881919539e-01,1.79736729008939e-01,7.07005623704113e-02,lamp_kernel
2.439357e+00,1001,2.73698245481673e-05,1.79636859601382e-01,1.79664229425930e-01,1.16693092511729e-01,lamp_kernel
2.582340e+00,1251,1.70500440339430e-05,1.79619161716140e-01,1.79636211760174e-01,1.35085753371141e-01,lamp_kernel
2.775115e+00,1501,7.64988654439460e-06,1.79609809303840e-01,1.79617459190384e-01,1.46848147971546e-01,lamp_kernel
2.918771e+00,1751,5.39172844549651e-06,1.79604519586900e-01,1.79609911315346e-01,1.56890686553880e-01,lamp_kernel
3.061506e+00,2001,3.92856434619852e-06,1.79601255091369e-01,1.79605183655715e-01,1.64739692437506e-01,lamp_kernel
3.204053e+00,2251,2.44366657082484e-06,1.79599176546843e-01,1.79601620213414e-01,1.66408142702918e-01,lamp_kernel
3.346780e+00,2501,1.90331577422474e-06,1.79597695322269e-01,1.79599598638043e-01,1.72181765835266e-01,lamp_kernel
3.489347e+00,2751,1.40891127019613e-06,1.79596486007087e-01,1.79597894918357e-01,1.73747363631786e-01,lamp_kernel
3.632418e+00,3001,1.01970138470132e-06,1.79595542305548e-01,1.79596562006933e-01,1.74492183817409e-01,lamp_kernel
3.776311e+00,3251,9.63449428472144e-07,1.79594801770127e-01,1.79595765219556e-01,1.75279570327789e-01,lamp_kernel
3.919104e+00,3501,6.92286988351550e-07,1.79594166057926e-01,1.79594858344915e-01,1.75867562505167e-01,lamp_kernel
4.062216e+00,3751,7.54125931542578e-07,1.79593664958100e-01,1.79594419084031e-01,1.76298897564600e-01,lamp_kernel
4.205095e+00,4001,5.34229709215240e-07,1.79593246722065e-01,1.79593780951774e-01,1.76243726722483e-01,lamp_kernel
4.348648e+00,4251,5.60511833957194e-07,1.79592905253557e-01,1.79593465765391e-01,1.76448191569481e-01,lamp_kernel
4.491988e+00,4501,2.80474753299626e-07,1.79592583850449e-01,1.79592864325202e-01,1.77086699230523e-01,lamp_kernel
4.636509e+00,4751,5.45008600292178e-07,1.79592307901258e-01,1.79592852909858e-01,1.77974928593375e-01,lamp_kernel
4.780234e+00,5001,3.80519734490585e-07,1.79592046459620e-01,1.79592426979355e-01,1.78440657321012e-01,lamp_kernel
4.923916e+00,5251,5.24714518228400e-07,1.79591820202081e-01,1.79592344916599e-01,1.78412166090007e-01,lamp_kernel
5.068161e+00,5501,3.06302736145767e-07,1.79591600472539e-01,1.79591906775275e-01,1.78377333309540e-01,lamp_kernel
5.250393e+00,5751,2.78741328846599e-07,1.79591408395844e-01,1.79591687137173e-01,1.78460227122791e-01,lamp_kernel
5.393914e+00,6001,1.55050170613752e-07,1.79591221674733e-01,1.79591376724904e-01,1.78532839134978e-01,lamp_kernel
5.537133e+00,6251,1.75970298287122e-07,1.79591055782863e-01,1.79591231753161e-01,1.78523649009457e-01,lamp_kernel
5.680333e+00,6501,2.90440405440439e-07,1.79590896884644e-01,1.79591187325049e-01,1.78554414946568e-01,lamp_kernel
5.823518e+00,6751,3.82976059979553e-07,1.79590740658845e-01,1.79591123634905e-01,1.78633631205179e-01,lamp_kernel
5.966675e+00,7001,3.28713515780190e-07,1.79590598639429e-01,1.79590927352945e-01,1.78739266829142e-01,lamp_kernel
6.111001e+00,7251,3.22856551135295e-07,1.79590463073045e-01,1.79590785929596e-01,1.78777595174850e-01,lamp_kernel
6.254514e+00,7501,1.72611611278474e-07,1.79590334737742e-01,1.79590507349354e-01,1.78783432174844e-01,lamp_kernel
