time(s),iter,infeas,ot_objective,dual
2.509820e-04,1,1.67146945323688e+00,1.78362774765375e-12,2.44629643040617e+00,sinkhorn_cellsim
1.025067e+00,251,8.90425202273870e-01,4.20935320938094e-02,1.28898436204210e+03,sinkhorn_cellsim
1.101880e+00,501,7.47060016830722e-01,5.55920536466026e-02,1.48771954430011e+03,sinkhorn_cellsim
1.178599e+00,751,5.90099310718536e-01,6.02722292886388e-02,1.60045098029172e+03,sinkhorn_cellsim
1.251577e+00,1001,5.05863562493980e-01,6.49306325012014e-02,1.68381392804614e+03,sinkhorn_cellsim
1.323858e+00,1251,3.74816706083615e-01,7.28529243969375e-02,1.71773155169329e+03,sinkhorn_cellsim
1.397545e+00,1501,3.07014471293297e-01,7.51498348177130e-02,1.73859285948838e+03,sinkhorn_cellsim
1.469818e+00,1751,2.84472815789706e-01,7.65972822619566e-02,1.75518815838492e+03,sinkhorn_cellsim
1.542164e+00,2001,2.11638025138930e-01,8.04424864288181e-02,1.76813308288754e+03,sinkhorn_cellsim
1.614490e+00,2251,1.77358184103056e-01,8.28242257197936e-02,1.77469322830916e+03,sinkhorn_cellsim
1.687255e+00,2501,1.44256837262059e-01,8.44435426292515e-02,1.77899332158267e+03,sinkhorn_cellsim
1.759533e+00,2751,1.29874798203792e-01,8.47113237021039e-02,1.78199429594692e+03,sinkhorn_cellsim
1.831785e+00,3001,1.02969502871925e-01,8.61359805361114e-02,1.78424810232553e+03,sinkhorn_cellsim
1.904030e+00,3251,9.15687011979778e-02,8.67328209511926e-02,1.78575819144624e+03,sinkhorn_cellsim
1.976286e+00,3501,8.84876241332665e-02,8.67479070370652e-02,1.78714533527855e+03,sinkhorn_cellsim
2.116891e+00,3751,7.88737313595550e-02,8.71367452992783e-02,1.78828555277042e+03,sinkhorn_cellsim
2.189357e+00,4001,7.21357322060064e-02,8.74666209861772e-02,1.78929637358590e+03,sinkhorn_cellsim
2.262453e+00,4251,5.34650295339023e-02,8.79402933915352e-02,1.79003743382020e+03,sinkhorn_cellsim
2.334708e+00,4501,5.04592308554676e-02,8.79781957360935e-02,1.79055894008814e+03,sinkhorn_cellsim
2.406807e+00,4751,4.85670285944393e-02,8.81173680364963e-02,1.79105140700620e+03,sinkhorn_cellsim
2.478926e+00,5001,3.81146567154272e-02,8.84026482985028e-02,1.79144826972796e+03,sinkhorn_cellsim
2.551025e+00,5251,3.55684623530201e-02,8.85767438366922e-02,1.79175431408287e+03,sinkhorn_cellsim
2.623147e+00,5501,3.55684586076899e-02,8.85984118465502e-02,1.79205109600213e+03,sinkhorn_cellsim
2.695311e+00,5751,3.55682744113062e-02,8.86629907835774e-02,1.79233341309587e+03,sinkhorn_cellsim
2.767458e+00,6001,3.55679681840679e-02,8.86619902085428e-02,1.79261121931044e+03,sinkhorn_cellsim
2.839559e+00,6251,2.45388049373850e-02,8.89440991558681e-02,1.79284927331674e+03,sinkhorn_cellsim
2.911640e+00,6501,1.72918260958960e-02,8.92404008541322e-02,1.79294249898524e+03,sinkhorn_cellsim
2.983736e+00,6751,1.67906528609013e-02,8.92626472856241e-02,1.79300981212694e+03,sinkhorn_cellsim
3.055831e+00,7001,1.34139568527582e-02,8.93824609241657e-02,1.79306544740888e+03,sinkhorn_cellsim
3.127929e+00,7251,1.18119170747673e-02,8.94565327259677e-02,1.79310565809678e+03,sinkhorn_cellsim
3.200009e+00,7501,9.98629229032812e-03,8.94743383006458e-02,1.79312938206266e+03,sinkhorn_cellsim
3.272091e+00,7751,8.55050273005989e-03,8.95138174495388e-02,1.79314833629350e+03,sinkhorn_cellsim
3.344226e+00,8001,7.84879966237030e-03,8.95366952527649e-02,1.79316515199525e+03,sinkhorn_cellsim
3.416323e+00,8251,7.52989984301974e-03,8.95464118892405e-02,1.79318107250046e+03,sinkhorn_cellsim
3.488462e+00,8501,7.40021594860956e-03,8.95499823192888e-02,1.79319665622381e+03,sinkhorn_cellsim
3.560582e+00,8751,7.35207114707691e-03,8.95511879207636e-02,1.79321212998750e+03,sinkhorn_cellsim
3.632723e+00,9001,7.30652942697183e-03,8.95523810865989e-02,1.79322755572377e+03,sinkhorn_cellsim
3.704913e+00,9251,6.87138871482286e-03,8.95648712560685e-02,1.79324269924912e+03,sinkhorn_cellsim
3.777085e+00,9501,6.03674580447045e-03,8.95965758634967e-02,1.79325673005691e+03,sinkhorn_cellsim
3.849262e+00,9751,5.14401785972436e-03,8.96297679423987e-02,1.79326951422584e+03,sinkhorn_cellsim
3.921416e+00,10001,3.58190827363683e-03,8.96829948994240e-02,1.79328062463809e+03,sinkhorn_cellsim
3.993604e+00,10251,1.38527769000108e-03,8.97633427153821e-02,1.79328220570063e+03,sinkhorn_cellsim
4.065785e+00,10501,9.83745700668529e-04,8.97734184818046e-02,1.79328245235920e+03,sinkhorn_cellsim
4.137965e+00,10751,7.86816607135425e-04,8.97793140881481e-02,1.79328257784706e+03,sinkhorn_cellsim
4.210256e+00,11001,6.64522412409699e-04,8.97834198094827e-02,1.79328266368294e+03,sinkhorn_cellsim
4.282453e+00,11251,5.82971229154133e-04,8.97863542513734e-02,1.79328273032952e+03,sinkhorn_cellsim
4.354702e+00,11501,5.56808757131634e-04,8.97884883547391e-02,1.79328278621278e+03,sinkhorn_cellsim
4.426932e+00,11751,5.41075180394270e-04,8.97900607681623e-02,1.79328283556678e+03,sinkhorn_cellsim
4.499134e+00,12001,5.29262690650404e-04,8.97912296560430e-02,1.79328288073236e+03,sinkhorn_cellsim
4.571266e+00,12251,5.20029110151550e-04,8.97921030461877e-02,1.79328292307436e+03,sinkhorn_cellsim
4.643348e+00,12501,5.12472031963646e-04,8.97927564762728e-02,1.79328296341129e+03,sinkhorn_cellsim
4.715447e+00,12751,5.05925564115519e-04,8.97932435765699e-02,1.79328300223546e+03,sinkhorn_cellsim
4.787619e+00,13001,4.99855931547854e-04,8.97936027264666e-02,1.79328303983236e+03,sinkhorn_cellsim
4.859786e+00,13251,4.93804597526953e-04,8.97938614492210e-02,1.79328307634833e+03,sinkhorn_cellsim
4.931922e+00,13501,4.87359497942757e-04,8.97940394604402e-02,1.79328311183107e+03,sinkhorn_cellsim
5.301964e+00,13751,4.80147772662736e-04,8.97941509093007e-02,1.79328314625691e+03,sinkhorn_cellsim
5.374186e+00,14001,4.71848082678049e-04,8.97942061469016e-02,1.79328317955313e+03,sinkhorn_cellsim
5.446311e+00,14251,4.62220004015379e-04,8.97942132210533e-02,1.79328321162024e+03,sinkhorn_cellsim
5.518467e+00,14501,4.51142944780502e-04,8.97941791803504e-02,1.79328324235584e+03,sinkhorn_cellsim
5.590539e+00,14751,4.38650014068759e-04,8.97941111596412e-02,1.79328327167832e+03,sinkhorn_cellsim
5.662652e+00,15001,4.24938872249544e-04,8.97940171324869e-02,1.79328329954589e+03,sinkhorn_cellsim
5.734771e+00,15251,4.10347518293227e-04,8.97939061914810e-02,1.79328332596626e+03,sinkhorn_cellsim
5.806878e+00,15501,3.95297606353745e-04,8.97937882805176e-02,1.79328335099503e+03,sinkhorn_cellsim
5.878985e+00,15751,3.80222331247545e-04,8.97936734449272e-02,1.79328337472486e+03,sinkhorn_cellsim
5.951102e+00,16001,3.65500723265244e-04,8.97935708309045e-02,1.79328339727004e+03,sinkhorn_cellsim
6.023176e+00,16251,3.51414211385011e-04,8.97934877640103e-02,1.79328341875108e+03,sinkhorn_cellsim
6.095332e+00,16501,3.38130759626310e-04,8.97934291924845e-02,1.79328343928244e+03,sinkhorn_cellsim
6.167447e+00,16751,3.25712999192052e-04,8.97933976079968e-02,1.79328345896492e+03,sinkhorn_cellsim
6.239631e+00,17001,3.14292468551156e-04,8.97933933589314e-02,1.79328347788265e+03,sinkhorn_cellsim
6.311817e+00,17251,3.04042173838753e-04,8.97934151593862e-02,1.79328349610381e+03,sinkhorn_cellsim
6.383915e+00,17501,2.94350124323909e-04,8.97934606033978e-02,1.79328351368397e+03,sinkhorn_cellsim
6.456019e+00,17751,2.85702682902436e-04,8.97935265731595e-02,1.79328353067078e+03,sinkhorn_cellsim
6.528149e+00,18001,2.79599369550747e-04,8.97936095186470e-02,1.79328354710870e+03,sinkhorn_cellsim
6.600289e+00,18251,2.73401104150339e-04,8.97937056442965e-02,1.79328356304290e+03,sinkhorn_cellsim
6.672418e+00,18501,2.67201284736353e-04,8.97938110569832e-02,1.79328357852161e+03,sinkhorn_cellsim
6.744528e+00,18751,2.61123088497886e-04,8.97939219175524e-02,1.79328359359653e+03,sinkhorn_cellsim
6.816615e+00,19001,2.55283806592145e-04,8.97940346099852e-02,1.79328360832169e+03,sinkhorn_cellsim
6.888713e+00,19251,2.49784413925764e-04,8.97941459142749e-02,1.79328362275111e+03,sinkhorn_cellsim
6.960805e+00,19501,2.44701544611190e-04,8.97942531529424e-02,1.79328363693626e+03,sinkhorn_cellsim
7.032881e+00,19751,2.40083461359004e-04,8.97943542822908e-02,1.79328365092383e+03,sinkhorn_cellsim
7.105026e+00,20001,2.36168832487321e-04,8.97944479139625e-02,1.79328366475431e+03,sinkhorn_cellsim
7.177151e+00,20251,2.33241135130195e-04,8.97945332711824e-02,1.79328367846145e+03,sinkhorn_cellsim
7.249283e+00,20501,2.30685888727085e-04,8.97946100978278e-02,1.79328369207239e+03,sinkhorn_cellsim
7.321371e+00,20751,2.29524862843450e-04,8.97946785441511e-02,1.79328370560832e+03,sinkhorn_cellsim
7.393479e+00,21001,2.28685114973120e-04,8.97947390501478e-02,1.79328371908535e+03,sinkhorn_cellsim
7.465562e+00,21251,2.28627183075131e-04,8.97947922415316e-02,1.79328373251537e+03,sinkhorn_cellsim
7.537629e+00,21501,2.28554988512818e-04,8.97948388458468e-02,1.79328374590684e+03,sinkhorn_cellsim
7.609740e+00,21751,2.28464967696649e-04,8.97948796304475e-02,1.79328375926545e+03,sinkhorn_cellsim
7.681832e+00,22001,2.28352691665454e-04,8.97949153606354e-02,1.79328377259460e+03,sinkhorn_cellsim
7.753890e+00,22251,2.28212669886187e-04,8.97949467743047e-02,1.79328378589577e+03,sinkhorn_cellsim
7.826010e+00,22501,2.28038120341425e-04,8.97949745692042e-02,1.79328379916869e+03,sinkhorn_cellsim
7.898138e+00,22751,2.27820703685678e-04,8.97949993990519e-02,1.79328381241147e+03,sinkhorn_cellsim
7.970292e+00,23001,2.27550225883153e-04,8.97950218753942e-02,1.79328382562064e+03,sinkhorn_cellsim
8.042445e+00,23251,2.27214317919816e-04,8.97950425726946e-02,1.79328383879103e+03,sinkhorn_cellsim
8.114591e+00,23501,2.26798112200966e-04,8.97950620344433e-02,1.79328385191571e+03,sinkhorn_cellsim
8.186797e+00,23751,2.26283948277243e-04,8.97950807783861e-02,1.79328386498577e+03,sinkhorn_cellsim
8.259159e+00,24001,2.25651156942538e-04,8.97950992989988e-02,1.79328387799019e+03,sinkhorn_cellsim
8.331418e+00,24251,2.24875994688339e-04,8.97951180649757e-02,1.79328389091558e+03,sinkhorn_cellsim
8.403591e+00,24501,2.23931816290554e-04,8.97951375096016e-02,1.79328390374610e+03,sinkhorn_cellsim
8.475797e+00,24751,2.22789585241371e-04,8.97951580114735e-02,1.79328391646334e+03,sinkhorn_cellsim
8.548129e+00,25001,2.21418807051852e-04,8.97951798638267e-02,1.79328392904641e+03,sinkhorn_cellsim
8.620342e+00,25251,2.19788922570638e-04,8.97952032316051e-02,1.79328394147215e+03,sinkhorn_cellsim
8.692630e+00,25501,2.17871096866540e-04,8.97952280980750e-02,1.79328395371550e+03,sinkhorn_cellsim
8.764764e+00,25751,2.15640195275508e-04,8.97952542062565e-02,1.79328396575016e+03,sinkhorn_cellsim
8.836984e+00,26001,2.13337655129166e-04,8.97952810046500e-02,1.79328397754922e+03,sinkhorn_cellsim
8.909132e+00,26251,2.11215653107202e-04,8.97953076101806e-02,1.79328398908589e+03,sinkhorn_cellsim
8.981338e+00,26501,2.08740332300379e-04,8.97953328021778e-02,1.79328400033410e+03,sinkhorn_cellsim
9.053598e+00,26751,2.05877372125843e-04,8.97953550579524e-02,1.79328401126882e+03,sinkhorn_cellsim
9.125838e+00,27001,2.02597031129759e-04,8.97953726336670e-02,1.79328402186619e+03,sinkhorn_cellsim
9.198023e+00,27251,1.98875578331437e-04,8.97953836854445e-02,1.79328403210346e+03,sinkhorn_cellsim
9.270194e+00,27501,1.94696587832929e-04,8.97953864190751e-02,1.79328404195891e+03,sinkhorn_cellsim
9.342402e+00,27751,1.90052316143113e-04,8.97953792541464e-02,1.79328405141198e+03,sinkhorn_cellsim
9.414708e+00,28001,1.84945487563736e-04,8.97953609898465e-02,1.79328406044384e+03,sinkhorn_cellsim
9.486923e+00,28251,1.79391743600363e-04,8.97953309610978e-02,1.79328406903851e+03,sinkhorn_cellsim
9.559134e+00,28501,1.73422700672642e-04,8.97952891724402e-02,1.79328407718442e+03,sinkhorn_cellsim
9.631372e+00,28751,1.67089069556309e-04,8.97952363910583e-02,1.79328408487636e+03,sinkhorn_cellsim
9.703603e+00,29001,1.60462792990760e-04,8.97951741737596e-02,1.79328409211736e+03,sinkhorn_cellsim
9.775757e+00,29251,1.53636921900600e-04,8.97951048021512e-02,1.79328409892003e+03,sinkhorn_cellsim
9.848001e+00,29501,1.46722205664848e-04,8.97950311113123e-02,1.79328410530707e+03,sinkhorn_cellsim
9.920194e+00,29751,1.39840156506523e-04,8.97949562224749e-02,1.79328411131039e+03,sinkhorn_cellsim
9.992588e+00,30001,1.33113443168569e-04,8.97948832197349e-02,1.79328411696921e+03,sinkhorn_cellsim
1.006485e+01,30251,1.26655406950711e-04,8.97948148331700e-02,1.79328412232718e+03,sinkhorn_cellsim
1.013703e+01,30501,1.20560849522959e-04,8.97947531920796e-02,1.79328412742922e+03,sinkhorn_cellsim
1.020923e+01,30751,1.14899842649461e-04,8.97946996916113e-02,1.79328413231868e+03,sinkhorn_cellsim
1.028157e+01,31001,1.09715371768968e-04,8.97946549824761e-02,1.79328413703512e+03,sinkhorn_cellsim
1.035379e+01,31251,1.05024583839337e-04,8.97946190619315e-02,1.79328414161300e+03,sinkhorn_cellsim
1.042609e+01,31501,1.00822660061796e-04,8.97945914259582e-02,1.79328414608122e+03,sinkhorn_cellsim
1.049826e+01,31751,9.70880535613836e-05,8.97945712404424e-02,1.79328415046329e+03,sinkhorn_cellsim
1.057046e+01,32001,9.37879542203420e-05,8.97945574987929e-02,1.79328415477784e+03,sinkhorn_cellsim
1.065482e+01,32251,9.08831872384931e-05,8.97945491474907e-02,1.79328415903944e+03,sinkhorn_cellsim
1.072696e+01,32501,8.83321355590041e-05,8.97945451739181e-02,1.79328416325930e+03,sinkhorn_cellsim
1.079906e+01,32751,8.60935845542533e-05,8.97945446594744e-02,1.79328416744608e+03,sinkhorn_cellsim
1.087119e+01,33001,8.42629682131192e-05,8.97945468051737e-02,1.79328417160639e+03,sinkhorn_cellsim
1.094333e+01,33251,8.31214278084397e-05,8.97945509379627e-02,1.79328417574533e+03,sinkhorn_cellsim
1.101547e+01,33501,8.22337776016608e-05,8.97945565049695e-02,1.79328417986689e+03,sinkhorn_cellsim
1.108756e+01,33751,8.14069705545681e-05,8.97945630613033e-02,1.79328418397417e+03,sinkhorn_cellsim
1.115970e+01,34001,8.06370585481236e-05,8.97945702551718e-02,1.79328418806964e+03,sinkhorn_cellsim
1.123181e+01,34251,7.99203731614913e-05,8.97945778127844e-02,1.79328419215526e+03,sinkhorn_cellsim
1.130394e+01,34501,7.92811263374223e-05,8.97945855242998e-02,1.79328419623265e+03,sinkhorn_cellsim
1.137621e+01,34751,7.87978251345052e-05,8.97945932314941e-02,1.79328420030310e+03,sinkhorn_cellsim
1.144830e+01,35001,7.83493174943642e-05,8.97946008172369e-02,1.79328420436771e+03,sinkhorn_cellsim
1.152040e+01,35251,7.79331636291688e-05,8.97946081968233e-02,1.79328420842736e+03,sinkhorn_cellsim
1.159252e+01,35501,7.75471122652498e-05,8.97946153108804e-02,1.79328421248281e+03,sinkhorn_cellsim
1.166466e+01,35751,7.71890782189633e-05,8.97946221196913e-02,1.79328421653468e+03,sinkhorn_cellsim
1.173714e+01,36001,7.68571244169441e-05,8.97946285986350e-02,1.79328422058352e+03,sinkhorn_cellsim
1.180934e+01,36251,7.66467234251648e-05,8.97946347346107e-02,1.79328422462977e+03,sinkhorn_cellsim
1.188143e+01,36501,7.66467081009603e-05,8.97946405231967e-02,1.79328422867382e+03,sinkhorn_cellsim
1.195368e+01,36751,7.66466934836859e-05,8.97946459664356e-02,1.79328423271599e+03,sinkhorn_cellsim
1.202586e+01,37001,7.66466795463747e-05,8.97946510711028e-02,1.79328423675655e+03,sinkhorn_cellsim
1.209804e+01,37251,7.66466661902856e-05,8.97946558473724e-02,1.79328424079576e+03,sinkhorn_cellsim
1.217020e+01,37501,7.66466534356430e-05,8.97946603077452e-02,1.79328424483379e+03,sinkhorn_cellsim
1.224231e+01,37751,7.66466412153802e-05,8.97946644662776e-02,1.79328424887084e+03,sinkhorn_cellsim
1.231448e+01,38001,7.66466295256365e-05,8.97946683379440e-02,1.79328425290704e+03,sinkhorn_cellsim
1.238670e+01,38251,7.66466183233153e-05,8.97946719381810e-02,1.79328425694252e+03,sinkhorn_cellsim
1.245886e+01,38501,7.66466076098597e-05,8.97946752825258e-02,1.79328426097739e+03,sinkhorn_cellsim
1.253098e+01,38751,7.66465973090707e-05,8.97946783863716e-02,1.79328426501173e+03,sinkhorn_cellsim
1.260307e+01,39001,7.66465874006870e-05,8.97946812647554e-02,1.79328426904563e+03,sinkhorn_cellsim
1.267516e+01,39251,7.66465778888718e-05,8.97946839322305e-02,1.79328427307915e+03,sinkhorn_cellsim
1.274729e+01,39501,7.66465687391742e-05,8.97946864027797e-02,1.79328427711234e+03,sinkhorn_cellsim
1.281940e+01,39751,7.66465599848168e-05,8.97946886897344e-02,1.79328428114526e+03,sinkhorn_cellsim
