time(s),iter,infeas,ot_objective,primal,dual,solver
1.340190e-04,1,9.67632367632371e-01,1.92390013445205e-01,1.94665675627703e+00,7.07543405104882e-17,lamp_kernel
1.588717e+00,21,5.36205535691742e-02,1.57161435272197e-01,2.54372687195068e-01,9.97892467479045e-03,lamp_kernel
3.176847e+00,41,1.66752843039961e-02,1.30304918693942e-01,1.60536334736114e-01,2.35987648509259e-02,lamp_kernel
4.765713e+00,61,4.71967018647313e-03,1.09480014953142e-01,1.18036529516130e-01,2.71353022520646e-02,lamp_kernel
6.354802e+00,81,1.57314470971652e-03,9.32148311877227e-02,9.60668600555355e-02,2.87070135322678e-02,lamp_kernel
7.943787e+00,101,5.51004362844345e-04,8.05955622294668e-02,8.15945042463179e-02,2.95941178042397e-02,lamp_kernel
9.532623e+00,121,1.68910386241688e-04,7.08693624245016e-02,7.11755880976131e-02,3.01952230670967e-02,lamp_kernel
1.112130e+01,141,6.64423051994634e-05,6.34071264208855e-02,6.35275828361806e-02,3.06659762042976e-02,lamp_kernel
1.270990e+01,161,3.95774352004998e-05,5.76817108709027e-02,5.77534626856014e-02,3.10480971768937e-02,lamp_kernel
1.429840e+01,181,2.81345058438254e-05,5.32715880248657e-02,5.33225944086730e-02,3.13667101424484e-02,lamp_kernel
1.588695e+01,201,2.13252902480369e-05,4.98501116674151e-02,4.98887733004017e-02,3.16356710747703e-02,lamp_kernel
1.747541e+01,221,1.65774288888071e-05,4.71708143619260e-02,4.72008683712317e-02,3.18629680932928e-02,lamp_kernel
1.906385e+01,241,1.30268926953544e-05,4.50509547868264e-02,4.50745718601926e-02,3.20577901372653e-02,lamp_kernel
2.065232e+01,261,1.04799985326112e-05,4.33560097387610e-02,4.33750094265615e-02,3.22241995978410e-02,lamp_kernel
2.224077e+01,281,8.64387882755628e-06,4.19868624962244e-02,4.20025333952801e-02,3.23663650174754e-02,lamp_kernel
2.382925e+01,301,7.31937300255221e-06,4.08700520743211e-02,4.08833217137692e-02,3.24894185873257e-02,lamp_kernel
