time(s),iter,infeas,ot_objective,eta,solver
6.600885e-02,120,2.30072969670732e-06,1.13046232519500e-01,1.00000000000000e-02,annealed_sinkhorn_cellsim
1.104165e-01,200,4.50474522195190e-06,1.12319922224659e-01,9.50000000000000e-03,annealed_sinkhorn_cellsim
1.547493e-01,280,1.97834927928914e-06,1.11654837367577e-01,9.02500000000000e-03,annealed_sinkhorn_cellsim
1.991028e-01,360,9.98726119173132e-06,1.11044887040729e-01,8.57375000000000e-03,annealed_sinkhorn_cellsim
2.434188e-01,440,5.51364181756138e-06,1.10490144895159e-01,8.14506250000000e-03,annealed_sinkhorn_cellsim
2.984351e-01,540,3.18221532287142e-06,1.09984648182607e-01,7.73780937500000e-03,annealed_sinkhorn_cellsim
3.427548e-01,620,1.36679090241246e-05,1.09523161226187e-01,7.35091890625000e-03,annealed_sinkhorn_cellsim
3.977603e-01,720,7.62523964155841e-06,1.09106926086713e-01,6.98337296093750e-03,annealed_sinkhorn_cellsim
4.527962e-01,820,6.12063296044578e-06,1.08729256831518e-01,6.63420431289062e-03,annealed_sinkhorn_cellsim
5.184982e-01,940,3.69200563127234e-06,1.08387835275220e-01,6.30249409724609e-03,annealed_sinkhorn_cellsim
5.735189e-01,1040,1.48480136500950e-05,1.08077343365741e-01,5.98736939238379e-03,annealed_sinkhorn_cellsim
6.392520e-01,1160,8.95331377193993e-06,1.07799718844306e-01,5.68800092276460e-03,annealed_sinkhorn_cellsim
7.049728e-01,1280,8.88015702706298e-06,1.07548658174539e-01,5.40360087662637e-03,annealed_sinkhorn_cellsim
7.813472e-01,1420,5.78304612396849e-06,1.07323014498644e-01,5.13342083279505e-03,annealed_sinkhorn_cellsim
8.577383e-01,1560,6.33058183770946e-06,1.07119403295702e-01,4.87674979115530e-03,annealed_sinkhorn_cellsim
9.341006e-01,1700,1.34000145630701e-05,1.06935226003274e-01,4.63291230159753e-03,annealed_sinkhorn_cellsim
1.010464e+00,1840,1.49959786151711e-05,1.06770359139479e-01,4.40126668651765e-03,annealed_sinkhorn_cellsim
1.097532e+00,2000,1.05697380614523e-05,1.06623080077327e-01,4.18120335219177e-03,annealed_sinkhorn_cellsim
1.184612e+00,2160,1.26562761571829e-05,1.06489839197088e-01,3.97214318458218e-03,annealed_sinkhorn_cellsim
1.282418e+00,2340,9.55645787167433e-06,1.06370955734058e-01,3.77353602535307e-03,annealed_sinkhorn_cellsim
1.380194e+00,2520,1.20904612602010e-05,1.06263460089750e-01,3.58485922408542e-03,annealed_sinkhorn_cellsim
1.488688e+00,2720,9.74971182547149e-06,1.06167752477987e-01,3.40561626288115e-03,annealed_sinkhorn_cellsim
1.597146e+00,2920,1.28838992907566e-05,1.06081196274538e-01,3.23533544973709e-03,annealed_sinkhorn_cellsim
1.716299e+00,3140,1.10531091854149e-05,1.06004389226305e-01,3.07356867725024e-03,annealed_sinkhorn_cellsim
1.835425e+00,3360,1.50997441650979e-05,1.05934831137627e-01,2.91989024338772e-03,annealed_sinkhorn_cellsim
1.965225e+00,3600,1.37131039842863e-05,1.05873406886908e-01,2.77389573121834e-03,annealed_sinkhorn_cellsim
2.105680e+00,3860,1.05075926568385e-05,1.05818845269785e-01,2.63520094465742e-03,annealed_sinkhorn_cellsim
2.256852e+00,4140,1.04065154634560e-05,1.05769759928352e-01,2.50344089742455e-03,annealed_sinkhorn_cellsim
2.407982e+00,4420,1.52187003324685e-05,1.05725291780785e-01,2.37826885255332e-03,annealed_sinkhorn_cellsim
2.569835e+00,4720,1.56857705136029e-05,1.05686237266232e-01,2.25935540992566e-03,annealed_sinkhorn_cellsim
2.742412e+00,5040,1.45200827197353e-05,1.05651694768096e-01,2.14638763942937e-03,annealed_sinkhorn_cellsim
2.925640e+00,5380,1.59991767346053e-05,1.05620601142001e-01,2.03906825745790e-03,annealed_sinkhorn_cellsim
3.119581e+00,5740,1.61238552372265e-05,1.05593110863867e-01,1.93711484458501e-03,annealed_sinkhorn_cellsim
3.334874e+00,6140,1.32126281955442e-05,1.05569087464937e-01,1.84025910235576e-03,annealed_sinkhorn_cellsim
3.560934e+00,6560,1.44583943517443e-05,1.05547184325510e-01,1.74824614723797e-03,annealed_sinkhorn_cellsim
3.808646e+00,7020,1.33740714041563e-05,1.05528019678451e-01,1.66083383987607e-03,annealed_sinkhorn_cellsim
4.067232e+00,7500,1.51957153751964e-05,1.05510569575482e-01,1.57779214788227e-03,annealed_sinkhorn_cellsim
4.347529e+00,8020,1.50494006756432e-05,1.05495297326424e-01,1.49890254048815e-03,annealed_sinkhorn_cellsim
4.649641e+00,8580,1.47456436655244e-05,1.05481727785656e-01,1.42395741346375e-03,annealed_sinkhorn_cellsim
4.973671e+00,9180,1.54935797516189e-05,1.05469499470523e-01,1.35275954279056e-03,annealed_sinkhorn_cellsim
5.319253e+00,9820,1.62730981933753e-05,1.05458602734221e-01,1.28512156565103e-03,annealed_sinkhorn_cellsim
5.708188e+00,10540,1.64964667521171e-05,1.05449196358950e-01,1.22086548736848e-03,annealed_sinkhorn_cellsim
6.151380e+00,11360,1.65868883729519e-05,1.05440782302826e-01,1.15982221300006e-03,annealed_sinkhorn_cellsim
6.659579e+00,12300,1.66111336089033e-05,1.05433159316598e-01,1.10183110235005e-03,annealed_sinkhorn_cellsim
7.243321e+00,13380,1.65730688620059e-05,1.05426280843629e-01,1.04673954723255e-03,annealed_sinkhorn_cellsim
7.913644e+00,14620,1.65505131152474e-05,1.05420078222114e-01,9.94402569870922e-04,annealed_sinkhorn_cellsim
8.670488e+00,16020,1.65492685374584e-05,1.05414501598186e-01,9.44682441377376e-04,annealed_sinkhorn_cellsim
9.503161e+00,17560,1.66366066326483e-05,1.05409492848013e-01,8.97448319308507e-04,annealed_sinkhorn_cellsim
1.040074e+01,19220,1.66548584841787e-05,1.05405008414459e-01,8.52575903343082e-04,annealed_sinkhorn_cellsim
1.135295e+01,20980,1.66316941469101e-05,1.05400993148148e-01,8.09947108175928e-04,annealed_sinkhorn_cellsim
1.238968e+01,22860,1.64930710311840e-05,1.05397411124551e-01,7.69449752767131e-04,annealed_sinkhorn_cellsim
1.346002e+01,24840,1.65197733359858e-05,1.05394197822028e-01,7.30977265128775e-04,annealed_sinkhorn_cellsim
1.460609e+01,26960,1.64658965941465e-05,1.05391325553738e-01,6.94428401872336e-04,annealed_sinkhorn_cellsim
1.580675e+01,29180,1.66183175542105e-05,1.05388741567677e-01,6.59706981778719e-04,annealed_sinkhorn_cellsim
1.709451e+01,31560,1.65205129706447e-05,1.05386434058846e-01,6.26721632689783e-04,annealed_sinkhorn_cellsim
1.844372e+01,34040,1.66009294866367e-05,1.05384356493804e-01,5.95385551055294e-04,annealed_sinkhorn_cellsim
1.987298e+01,36680,1.65973053381515e-05,1.05382491157819e-01,5.65616273502529e-04,annealed_sinkhorn_cellsim
2.136794e+01,39440,1.65458482382331e-05,1.05380816797302e-01,5.37335459827403e-04,annealed_sinkhorn_cellsim
2.295735e+01,42360,1.65360227836762e-05,1.05379308202271e-01,5.10468686836033e-04,annealed_sinkhorn_cellsim
2.461638e+01,45420,1.64477444399346e-05,1.05377954299358e-01,4.84945252494231e-04,annealed_sinkhorn_cellsim
2.636302e+01,48640,1.64917702117693e-05,1.05376732818909e-01,4.60697989869519e-04,annealed_sinkhorn_cellsim
2.819189e+01,52000,1.66478232701527e-05,1.05375630534434e-01,4.37663090376043e-04,annealed_sinkhorn_cellsim
3.012619e+01,55560,1.64909874122478e-05,1.05374653534848e-01,4.15779935857241e-04,annealed_sinkhorn_cellsim
3.214584e+01,59260,1.66214770132249e-05,1.05373766757687e-01,3.94990939064379e-04,annealed_sinkhorn_cellsim
3.427781e+01,63180,1.65634507070007e-05,1.05372977613475e-01,3.75241392111160e-04,annealed_sinkhorn_cellsim
3.649857e+01,67260,1.65988695000508e-05,1.05372263784517e-01,3.56479322505602e-04,annealed_sinkhorn_cellsim
3.885648e+01,71580,1.65295337232369e-05,1.05371625346552e-01,3.38655356380322e-04,annealed_sinkhorn_cellsim
4.130935e+01,76080,1.65223684376970e-05,1.05371045019460e-01,3.21722588561306e-04,annealed_sinkhorn_cellsim
4.389882e+01,80820,1.66412580026885e-05,1.05370517247410e-01,3.05636459133241e-04,annealed_sinkhorn_cellsim
4.661069e+01,85780,1.65962688211207e-05,1.05370041981898e-01,2.90354636176578e-04,annealed_sinkhorn_cellsim
4.946065e+01,91000,1.66560393948054e-05,1.05369609846380e-01,2.75836904367750e-04,annealed_sinkhorn_cellsim
5.245829e+01,96480,1.65585922134197e-05,1.05369219640502e-01,2.62045059149362e-04,annealed_sinkhorn_cellsim
5.561179e+01,102240,1.66105938180255e-05,1.05368862493574e-01,2.48942806191894e-04,annealed_sinkhorn_cellsim
5.892465e+01,108300,1.65630341763234e-05,1.05368538235925e-01,2.36495665882299e-04,annealed_sinkhorn_cellsim
6.241795e+01,114680,1.65427695855403e-05,1.05368242282427e-01,2.24670882588184e-04,annealed_sinkhorn_cellsim
6.609106e+01,121380,1.66334722978570e-05,1.05367965365559e-01,2.13437338458775e-04,annealed_sinkhorn_cellsim
6.997010e+01,128460,1.65233268836625e-05,1.05367716049441e-01,2.02765471535836e-04,annealed_sinkhorn_cellsim
7.403981e+01,135900,1.65922001220181e-05,1.05367480471010e-01,1.92627197959044e-04,annealed_sinkhorn_cellsim
7.834527e+01,143760,1.66158343061798e-05,1.05367263900355e-01,1.82995838061092e-04,annealed_sinkhorn_cellsim
8.289236e+01,152060,1.65304783262825e-05,1.05367066263505e-01,1.73846046158038e-04,annealed_sinkhorn_cellsim
8.769051e+01,160820,1.65655031544043e-05,1.05366882319774e-01,1.65153743850136e-04,annealed_sinkhorn_cellsim
9.275252e+01,170060,1.66105201176700e-05,1.05366709789360e-01,1.56896056657629e-04,annealed_sinkhorn_cellsim
9.810032e+01,179820,1.65567227940530e-05,1.05366554624868e-01,1.49051253824747e-04,annealed_sinkhorn_cellsim
1.037404e+02,190100,1.66168121720798e-05,1.05366408157702e-01,1.41598691133510e-04,annealed_sinkhorn_cellsim
1.096818e+02,200940,1.66470455069008e-05,1.05366274332030e-01,1.34518756576835e-04,annealed_sinkhorn_cellsim
1.159422e+02,212360,1.66270813243919e-05,1.05366152152654e-01,1.27792818747993e-04,annealed_sinkhorn_cellsim
1.225515e+02,224400,1.65761336625180e-05,1.05366042305602e-01,1.21403177810593e-04,annealed_sinkhorn_cellsim
1.295133e+02,237080,1.65399677726621e-05,1.05365940811429e-01,1.15333018920064e-04,annealed_sinkhorn_cellsim
1.368570e+02,250440,1.65230324971728e-05,1.05365847741820e-01,1.09566367974060e-04,annealed_sinkhorn_cellsim
1.445876e+02,264500,1.66011769318905e-05,1.05365759493026e-01,1.04088049575357e-04,annealed_sinkhorn_cellsim
1.496164e+02,273640,1.65795276368529e-05,1.05365378926680e-01,1.00000000000000e-04,annealed_sinkhorn_cellsim
c_index=-0.10536537892668013,Sw=0.0,Smin=0.10536537892668013,Smax=0.10536537892668013,Nw=69,pairs=190
