time(s),iter,infeas,ot_objective,eta,solver
4.845705e-02,100,1.50139300642761e-06,4.83432600619055e-02,1.00000000000000e-02,annealed_sinkhorn_cellsim
7.796358e-02,160,1.00091040667310e-05,4.77448334908182e-02,9.50000000000000e-03,annealed_sinkhorn_cellsim
1.073464e-01,220,4.76985882231559e-06,4.71875160094221e-02,9.02500000000000e-03,annealed_sinkhorn_cellsim
1.460410e-01,300,1.71975837876612e-06,4.66697187115101e-02,8.57375000000000e-03,annealed_sinkhorn_cellsim
1.754455e-01,360,1.19747754707313e-05,4.61897514749040e-02,8.14506250000000e-03,annealed_sinkhorn_cellsim
2.141842e-01,440,4.02858389715674e-06,4.57482173896362e-02,7.73780937500000e-03,annealed_sinkhorn_cellsim
2.529235e-01,520,3.04898224738736e-06,4.53420290980683e-02,7.35091890625000e-03,annealed_sinkhorn_cellsim
2.916514e-01,600,8.99295629981726e-06,4.49694707135585e-02,6.98337296093750e-03,annealed_sinkhorn_cellsim
3.303990e-01,680,7.58523574017258e-06,4.46294954574475e-02,6.63420431289062e-03,annealed_sinkhorn_cellsim
3.785184e-01,780,2.89013442346632e-06,4.43199084596855e-02,6.30249409724609e-03,annealed_sinkhorn_cellsim
4.266169e-01,880,2.86486646311455e-06,4.40382424490664e-02,5.98736939238379e-03,annealed_sinkhorn_cellsim
4.747377e-01,980,6.79465967641697e-06,4.37825527777230e-02,5.68800092276460e-03,annealed_sinkhorn_cellsim
5.228382e-01,1080,7.09873505298666e-06,4.35513137033116e-02,5.40360087662637e-03,annealed_sinkhorn_cellsim
5.709645e-01,1180,1.49824389994822e-05,4.33419882650465e-02,5.13342083279505e-03,annealed_sinkhorn_cellsim
6.190726e-01,1280,1.62114140352038e-05,4.31535641048321e-02,4.87674979115530e-03,annealed_sinkhorn_cellsim
6.765504e-01,1400,7.54914710288208e-06,4.29844844572670e-02,4.63291230159753e-03,annealed_sinkhorn_cellsim
7.340358e-01,1520,8.94713722323904e-06,4.28319936966452e-02,4.40126668651765e-03,annealed_sinkhorn_cellsim
8.008775e-01,1660,4.68438877301769e-06,4.26954367085623e-02,4.18120335219177e-03,annealed_sinkhorn_cellsim
8.677183e-01,1800,5.96226324353102e-06,4.25727619929391e-02,3.97214318458218e-03,annealed_sinkhorn_cellsim
9.345724e-01,1940,1.09647168409555e-05,4.24627433349005e-02,3.77353602535307e-03,annealed_sinkhorn_cellsim
1.001429e+00,2080,1.38981368240390e-05,4.23644602752944e-02,3.58485922408542e-03,annealed_sinkhorn_cellsim
1.077641e+00,2240,8.37649087173728e-06,4.22771078499578e-02,3.40561626288115e-03,annealed_sinkhorn_cellsim
1.153908e+00,2400,1.10623765282938e-05,4.21987488774999e-02,3.23533544973709e-03,annealed_sinkhorn_cellsim
1.239574e+00,2580,7.24852392099662e-06,4.21291978575363e-02,3.07356867725024e-03,annealed_sinkhorn_cellsim
1.325236e+00,2760,9.84375558244098e-06,4.20669005664796e-02,2.91989024338772e-03,annealed_sinkhorn_cellsim
1.410910e+00,2940,1.61542217953186e-05,4.20112015787506e-02,2.77389573121834e-03,annealed_sinkhorn_cellsim
1.505978e+00,3140,9.59771684053252e-06,4.19622245070917e-02,2.63520094465742e-03,annealed_sinkhorn_cellsim
1.601073e+00,3340,1.54382506772929e-05,4.19180177536374e-02,2.50344089742455e-03,annealed_sinkhorn_cellsim
1.705566e+00,3560,1.01040662884005e-05,4.18791883285441e-02,2.37826885255332e-03,annealed_sinkhorn_cellsim
1.810049e+00,3780,1.59390398779451e-05,4.18440689122645e-02,2.25935540992566e-03,annealed_sinkhorn_cellsim
1.923887e+00,4020,1.13381684345227e-05,4.18132671758976e-02,2.14638763942937e-03,annealed_sinkhorn_cellsim
2.047115e+00,4280,9.47697971831728e-06,4.17856882505870e-02,2.03906825745790e-03,annealed_sinkhorn_cellsim
2.170327e+00,4540,1.34628153063096e-05,4.17607958692147e-02,1.93711484458501e-03,annealed_sinkhorn_cellsim
2.302902e+00,4820,1.18212329276377e-05,4.17388164935119e-02,1.84025910235576e-03,annealed_sinkhorn_cellsim
2.444898e+00,5120,9.97043181936320e-06,4.17191773571385e-02,1.74824614723797e-03,annealed_sinkhorn_cellsim
2.586899e+00,5420,1.54151859341829e-05,4.17012529841718e-02,1.66083383987607e-03,annealed_sinkhorn_cellsim
2.738273e+00,5740,1.37371126050350e-05,4.16855050456551e-02,1.57779214788227e-03,annealed_sinkhorn_cellsim
2.899027e+00,6080,1.34521771697579e-05,4.16713200949158e-02,1.49890254048815e-03,annealed_sinkhorn_cellsim
3.069194e+00,6440,1.28765217852725e-05,4.16585996901528e-02,1.42395741346375e-03,annealed_sinkhorn_cellsim
3.248785e+00,6820,1.33038686240061e-05,4.16471312372334e-02,1.35275954279056e-03,annealed_sinkhorn_cellsim
3.437805e+00,7220,1.34749839747177e-05,4.16368357483886e-02,1.28512156565103e-03,annealed_sinkhorn_cellsim
3.636309e+00,7640,1.44935583858784e-05,4.16275469565741e-02,1.22086548736848e-03,annealed_sinkhorn_cellsim
3.844436e+00,8080,1.52849259303273e-05,4.16192047258135e-02,1.15982221300006e-03,annealed_sinkhorn_cellsim
4.071348e+00,8560,1.25920059031852e-05,4.16118507660887e-02,1.10183110235005e-03,annealed_sinkhorn_cellsim
4.307751e+00,9060,1.38467785045261e-05,4.16050893835812e-02,1.04673954723255e-03,annealed_sinkhorn_cellsim
4.553789e+00,9580,1.57647800629270e-05,4.15989865646440e-02,9.94402569870922e-04,annealed_sinkhorn_cellsim
4.818675e+00,10140,1.37422720899245e-05,4.15936532354756e-02,9.44682441377376e-04,annealed_sinkhorn_cellsim
5.093104e+00,10720,1.58753094705487e-05,4.15887100479818e-02,8.97448319308507e-04,annealed_sinkhorn_cellsim
5.386575e+00,11340,1.44921021011862e-05,4.15844003489534e-02,8.52575903343082e-04,annealed_sinkhorn_cellsim
5.699087e+00,12000,1.37825018041327e-05,4.15805122804321e-02,8.09947108175928e-04,annealed_sinkhorn_cellsim
6.021120e+00,12680,1.61661347415151e-05,4.15769131603984e-02,7.69449752767131e-04,annealed_sinkhorn_cellsim
6.362109e+00,13400,1.59917556876294e-05,4.15737754627308e-02,7.30977265128775e-04,annealed_sinkhorn_cellsim
6.722095e+00,14160,1.59670509973170e-05,4.15709605626600e-02,6.94428401872336e-04,annealed_sinkhorn_cellsim
7.101195e+00,14960,1.64969133600757e-05,4.15684223407045e-02,6.59706981778719e-04,annealed_sinkhorn_cellsim
7.508807e+00,15820,1.45723263302636e-05,4.15662371697696e-02,6.26721632689783e-04,annealed_sinkhorn_cellsim
7.935391e+00,16720,1.57283123583328e-05,4.15641827019877e-02,5.95385551055294e-04,annealed_sinkhorn_cellsim
8.390542e+00,17680,1.47141794193511e-05,4.15624171629701e-02,5.65616273502529e-04,annealed_sinkhorn_cellsim
8.864998e+00,18680,1.64076098040736e-05,4.15607501028375e-02,5.37335459827403e-04,annealed_sinkhorn_cellsim
9.369386e+00,19740,1.60403859190309e-05,4.15593224586592e-02,5.10468686836033e-04,annealed_sinkhorn_cellsim
9.902018e+00,20860,1.60903709099602e-05,4.15580306871667e-02,4.84945252494231e-04,annealed_sinkhorn_cellsim
1.046373e+01,22040,1.63773885440129e-05,4.15568639583436e-02,4.60697989869519e-04,annealed_sinkhorn_cellsim
1.106393e+01,23300,1.51411881433453e-05,4.15558633796464e-02,4.37663090376043e-04,annealed_sinkhorn_cellsim
1.169342e+01,24620,1.60120266705736e-05,4.15548971533206e-02,4.15779935857241e-04,annealed_sinkhorn_cellsim
