time(s),iter,infeas,ot_objective,primal,dual,solver
1.513950e-04,1,7.38350407383504e-01,1.56400546537750e-01,8.94750953921254e-01,0.00000000000000e+00,lamp_kernel
2.099637e-02,21,7.74457306998354e-02,8.91661102589479e-02,1.66611840958783e-01,1.11189460796120e-02,lamp_kernel
4.187607e-02,41,4.51007096816952e-02,6.67114560950606e-02,1.11812165776756e-01,1.04741329964514e-02,lamp_kernel
6.276051e-02,61,2.42573920609783e-02,5.12079792633787e-02,7.54653713243569e-02,1.03844690185415e-02,lamp_kernel
8.366507e-02,81,9.32928492528576e-03,4.01307063252478e-02,4.94599912505336e-02,1.13104839508793e-02,lamp_kernel
1.045251e-01,101,3.69702976437499e-03,3.26176092057467e-02,3.63146389701217e-02,1.24155867099635e-02,lamp_kernel
1.254205e-01,121,1.38000512417339e-03,2.77874791331421e-02,2.91674842573155e-02,1.34149720833354e-02,lamp_kernel
1.462851e-01,141,5.41219447224166e-04,2.47434765267565e-02,2.52846959739806e-02,1.42313517815932e-02,lamp_kernel
1.671959e-01,161,2.08099151818036e-04,2.28004286390951e-02,2.30085277909131e-02,1.48682313608925e-02,lamp_kernel
1.880748e-01,181,1.46344951769877e-04,2.15223720998183e-02,2.16687170515882e-02,1.53494941397280e-02,lamp_kernel
2.089700e-01,201,9.21637641064648e-05,2.06575330669546e-02,2.07496968310610e-02,1.57153480273931e-02,lamp_kernel
2.298651e-01,221,5.97270454655652e-05,2.00500376279310e-02,2.01097646733965e-02,1.59964736053118e-02,lamp_kernel
2.507525e-01,241,4.56489672020011e-05,1.96103996551859e-02,1.96560486223879e-02,1.62201690764580e-02,lamp_kernel
2.716939e-01,261,5.90424152902619e-05,1.92834648550716e-02,1.93425072703618e-02,1.64002875548654e-02,lamp_kernel
2.926127e-01,281,4.82348060833458e-05,1.90367928671776e-02,1.90850276732609e-02,1.65465541055687e-02,lamp_kernel
3.135235e-01,301,3.55337892281551e-05,1.88468305698385e-02,1.88823643590667e-02,1.66672939852944e-02,lamp_kernel
3.344569e-01,321,3.23202704780413e-05,1.86961031066255e-02,1.87284233771036e-02,1.67687827088779e-02,lamp_kernel
3.553950e-01,341,5.08238496480509e-05,1.85734831263668e-02,1.86243069760149e-02,1.68547143976632e-02,lamp_kernel
3.763172e-01,361,3.12654316005965e-05,1.84766402665039e-02,1.85079056981045e-02,1.69275449609409e-02,lamp_kernel
3.972779e-01,381,3.66819277845719e-05,1.83974895496141e-02,1.84341714773987e-02,1.69904790745532e-02,lamp_kernel
4.182506e-01,401,1.91145622361866e-05,1.83291770669009e-02,1.83482916291371e-02,1.70454589298383e-02,lamp_kernel
4.392103e-01,421,4.20696985788809e-05,1.82724256518261e-02,1.83144953504049e-02,1.70937620144513e-02,lamp_kernel
4.601776e-01,441,2.01710199119809e-05,1.82261235275684e-02,1.82462945474804e-02,1.71364506920836e-02,lamp_kernel
4.811316e-01,461,3.49369556154693e-05,1.81858879073506e-02,1.82208248629660e-02,1.71746952744066e-02,lamp_kernel
5.020675e-01,481,2.96978782096024e-05,1.81493262177916e-02,1.81790240960012e-02,1.72088253401010e-02,lamp_kernel
5.230160e-01,501,4.12536718922617e-05,1.81190338838097e-02,1.81602875557020e-02,1.72395543678634e-02,lamp_kernel
5.439727e-01,521,2.93356311406152e-05,1.80941625384368e-02,1.81234981695774e-02,1.72674281473306e-02,lamp_kernel
5.649201e-01,541,3.55410203070354e-05,1.80704476005309e-02,1.81059886208380e-02,1.72926223729395e-02,lamp_kernel
5.858769e-01,561,4.09144203760456e-05,1.80488104383947e-02,1.80897248587707e-02,1.73155936630155e-02,lamp_kernel
6.068467e-01,581,2.32060268030650e-05,1.80312784609199e-02,1.80544844877230e-02,1.73367498177998e-02,lamp_kernel
6.278139e-01,601,4.03012820614658e-05,1.80162284997340e-02,1.80565297817955e-02,1.73562539674740e-02,lamp_kernel
6.487822e-01,621,9.45336142785395e-06,1.80013638893360e-02,1.80108172507638e-02,1.73741992816927e-02,lamp_kernel
6.697457e-01,641,3.56308609022877e-05,1.79875644005326e-02,1.80231952614349e-02,1.73908120612621e-02,lamp_kernel
6.907221e-01,661,9.08146619446296e-06,1.79764349715553e-02,1.79855164377498e-02,1.74063151745647e-02,lamp_kernel
1.157469e+00,681,2.28416420400722e-05,1.79668358841733e-02,1.79896775262133e-02,1.74207576081138e-02,lamp_kernel
1.178446e+00,701,9.34140742098755e-06,1.79571119148910e-02,1.79664533223120e-02,1.74342104994101e-02,lamp_kernel
1.199310e+00,721,1.49920235915211e-05,1.79478654525438e-02,1.79628574761354e-02,1.74468031769097e-02,lamp_kernel
1.220214e+00,741,1.29437217022944e-05,1.79401454759897e-02,1.79530891976920e-02,1.74586137879467e-02,lamp_kernel
1.241091e+00,761,7.14443559202041e-06,1.79336048925528e-02,1.79407493281448e-02,1.74697052243887e-02,lamp_kernel
1.261962e+00,781,1.38177399860520e-05,1.79272400884079e-02,1.79410578283939e-02,1.74801536935199e-02,lamp_kernel
1.282812e+00,801,4.62062720091320e-06,1.79208813055300e-02,1.79255019327309e-02,1.74899939366581e-02,lamp_kernel
1.303702e+00,821,1.62805889976971e-05,1.79151063095716e-02,1.79313868985693e-02,1.74992841378929e-02,lamp_kernel
1.324542e+00,841,6.86160203686725e-06,1.79102603790384e-02,1.79171219810752e-02,1.75080985141904e-02,lamp_kernel
1.345422e+00,861,1.23537390594583e-05,1.79059897729068e-02,1.79183435119663e-02,1.75164548676567e-02,lamp_kernel
1.366273e+00,881,8.24718956843755e-06,1.79016969557603e-02,1.79099441453288e-02,1.75243615873626e-02,lamp_kernel
1.387122e+00,901,5.88381984466802e-06,1.78973525054009e-02,1.79032363252456e-02,1.75318555906842e-02,lamp_kernel
1.407978e+00,921,9.57951203449660e-06,1.78934770527359e-02,1.79030565647704e-02,1.75389853849161e-02,lamp_kernel
1.428810e+00,941,3.42900316105667e-06,1.78902521645410e-02,1.78936811677021e-02,1.75457786258582e-02,lamp_kernel
1.449693e+00,961,6.90501934655593e-06,1.78872893569876e-02,1.78941943763342e-02,1.75522597355887e-02,lamp_kernel
1.470535e+00,981,7.87381196847197e-06,1.78842722787067e-02,1.78921460906752e-02,1.75584433906962e-02,lamp_kernel
1.491388e+00,1001,2.64655641921892e-06,1.78812552643639e-02,1.78839018207831e-02,1.75643431497351e-02,lamp_kernel
1.512257e+00,1021,8.65561247734905e-06,1.78784803903591e-02,1.78871360028365e-02,1.75699750832085e-02,lamp_kernel
1.533129e+00,1041,3.37628022811855e-06,1.78761184502738e-02,1.78794947305019e-02,1.75753649112421e-02,lamp_kernel
1.553994e+00,1061,4.99441704715280e-06,1.78740285958913e-02,1.78790230129384e-02,1.75805290786517e-02,lamp_kernel
1.574846e+00,1081,6.02064877377903e-06,1.78719032446145e-02,1.78779238933883e-02,1.75854719442398e-02,lamp_kernel
1.595713e+00,1101,1.39828688754337e-06,1.78696927348104e-02,1.78710910216980e-02,1.75902127468893e-02,lamp_kernel
1.616573e+00,1121,5.11606086989035e-06,1.78676138691185e-02,1.78727299299884e-02,1.75947643415988e-02,lamp_kernel
1.637454e+00,1141,5.12180532020719e-06,1.78658077390835e-02,1.78709295444037e-02,1.75991433206043e-02,lamp_kernel
1.658290e+00,1161,1.55138797793011e-06,1.78642198330057e-02,1.78657712209837e-02,1.76033614229975e-02,lamp_kernel
1.679167e+00,1181,5.59958216726062e-06,1.78626938074965e-02,1.78682933896637e-02,1.76074217631076e-02,lamp_kernel
1.700017e+00,1201,3.25934621876462e-06,1.78610992459317e-02,1.78643585921505e-02,1.76113267156539e-02,lamp_kernel
1.720872e+00,1221,2.13996702006707e-06,1.78594801865019e-02,1.78616201535220e-02,1.76150892436881e-02,lamp_kernel
1.741760e+00,1241,4.46387516822221e-06,1.78580082675257e-02,1.78624721426939e-02,1.76187211021488e-02,lamp_kernel
1.762636e+00,1261,2.45591588722593e-06,1.78567466075277e-02,1.78592025234149e-02,1.76222294530617e-02,lamp_kernel
1.783512e+00,1281,2.48090979430177e-06,1.78555924622097e-02,1.78580733720040e-02,1.76256194034659e-02,lamp_kernel
1.804404e+00,1301,4.37113096642942e-06,1.78544268862526e-02,1.78587980172191e-02,1.76288939316090e-02,lamp_kernel
1.825302e+00,1321,1.89934140741184e-06,1.78532116035341e-02,1.78551109449415e-02,1.76320541195113e-02,lamp_kernel
1.846239e+00,1341,2.37276457727079e-06,1.78520042717450e-02,1.78543770363222e-02,1.76351006009672e-02,lamp_kernel
1.867218e+00,1361,3.39461762736339e-06,1.78509110437079e-02,1.78543056613352e-02,1.76380483843924e-02,lamp_kernel
1.888211e+00,1381,1.57159862838035e-06,1.78499654686055e-02,1.78515370672339e-02,1.76409053842824e-02,lamp_kernel
1.909221e+00,1401,2.13920176972936e-06,1.78490886763959e-02,1.78512278781656e-02,1.76436742896859e-02,lamp_kernel
