time(s),iter,infeas,ot_objective,dual
2.608930e-04,1,6.97034677447941e-01,1.40720460206229e-52,-5.43443251065437e+00,sinkhorn_cellsim
1.027526e-02,21,6.89821858066317e-01,1.17730142279803e-04,3.95797350540922e+01,sinkhorn_cellsim
2.014753e-02,41,6.25473503451478e-01,1.27531903397253e-03,7.45006256787410e+01,sinkhorn_cellsim
3.001508e-02,61,5.88178085010056e-01,2.18022098091045e-03,9.42228980532770e+01,sinkhorn_cellsim
3.988798e-02,81,5.67416126089522e-01,2.65291373993200e-03,1.09294744280614e+02,sinkhorn_cellsim
4.975319e-02,101,5.47254445992171e-01,3.09890857890408e-03,1.22437891069552e+02,sinkhorn_cellsim
5.962294e-02,121,5.34829630762276e-01,3.34671444164071e-03,1.34551141695869e+02,sinkhorn_cellsim
6.949583e-02,141,5.15585060093439e-01,3.58772946645959e-03,1.46210502722746e+02,sinkhorn_cellsim
7.939742e-02,161,5.03556418814215e-01,3.83981563609983e-03,1.57415300113308e+02,sinkhorn_cellsim
8.929793e-02,181,4.85711950041194e-01,4.12682104663945e-03,1.68146097009361e+02,sinkhorn_cellsim
9.920181e-02,201,4.75155084667031e-01,4.29192520060512e-03,1.78494613348591e+02,sinkhorn_cellsim
1.091102e-01,221,4.59009910850442e-01,4.83473807960146e-03,1.88488761274501e+02,sinkhorn_cellsim
1.190214e-01,241,4.36514142397774e-01,5.21348965569502e-03,1.95706329282322e+02,sinkhorn_cellsim
1.289296e-01,261,4.16541030072040e-01,5.52353210868792e-03,2.02435337376364e+02,sinkhorn_cellsim
1.388429e-01,281,3.88252390580433e-01,6.24030364012595e-03,2.08578744294203e+02,sinkhorn_cellsim
1.487618e-01,301,3.74160490456089e-01,6.46267459355702e-03,2.14105144866704e+02,sinkhorn_cellsim
1.586822e-01,321,3.55622009183432e-01,6.82500350458166e-03,2.19242232770512e+02,sinkhorn_cellsim
1.686037e-01,341,3.30746532636679e-01,7.18810529680285e-03,2.23894889040532e+02,sinkhorn_cellsim
1.785202e-01,361,3.09382258793349e-01,7.49191264537956e-03,2.28183997182095e+02,sinkhorn_cellsim
1.884482e-01,381,2.82902075380899e-01,7.91930155049500e-03,2.31989603344826e+02,sinkhorn_cellsim
1.983686e-01,401,2.73731182366804e-01,8.17508223304868e-03,2.35484953539294e+02,sinkhorn_cellsim
2.082818e-01,421,2.61086650471005e-01,8.52919596823272e-03,2.38716395381655e+02,sinkhorn_cellsim
2.181874e-01,441,2.46773734292248e-01,8.87525261384632e-03,2.41633650985527e+02,sinkhorn_cellsim
2.280964e-01,461,2.38568859751002e-01,9.01602321901774e-03,2.44355813065153e+02,sinkhorn_cellsim
2.380173e-01,481,2.28822460747771e-01,9.24511260709755e-03,2.46805299321311e+02,sinkhorn_cellsim
2.479245e-01,501,2.22928371351445e-01,9.55073918582793e-03,2.49061486247085e+02,sinkhorn_cellsim
2.578360e-01,521,2.13679154749536e-01,9.69663815541253e-03,2.51175635380567e+02,sinkhorn_cellsim
2.677506e-01,541,2.01412099357097e-01,9.93680179324198e-03,2.53129677832336e+02,sinkhorn_cellsim
2.776537e-01,561,1.85345262374589e-01,1.05628933028844e-02,2.54883467259738e+02,sinkhorn_cellsim
2.875728e-01,581,1.79275322271623e-01,1.06304110998139e-02,2.56492669109482e+02,sinkhorn_cellsim
2.974894e-01,601,1.67328714251218e-01,1.07914821791815e-02,2.58007428503675e+02,sinkhorn_cellsim
3.074162e-01,621,1.59673826134214e-01,1.08942802294893e-02,2.59420592535148e+02,sinkhorn_cellsim
3.173497e-01,641,1.53707161977345e-01,1.10580768108052e-02,2.60739025725924e+02,sinkhorn_cellsim
3.272794e-01,661,1.42609871278572e-01,1.12800145450311e-02,2.61917245799039e+02,sinkhorn_cellsim
3.371986e-01,681,1.38382574903494e-01,1.14660631589421e-02,2.63004389789628e+02,sinkhorn_cellsim
3.471308e-01,701,1.34477082607812e-01,1.16634352244206e-02,2.64017945750330e+02,sinkhorn_cellsim
3.570531e-01,721,1.30563499473116e-01,1.17928316695784e-02,2.64965167161345e+02,sinkhorn_cellsim
3.669748e-01,741,1.26094596337994e-01,1.18520898799391e-02,2.65868107648276e+02,sinkhorn_cellsim
3.768944e-01,761,1.23777594191206e-01,1.18892581966149e-02,2.66748908237423e+02,sinkhorn_cellsim
3.868257e-01,781,1.20669099123761e-01,1.19637275632164e-02,2.67610519033597e+02,sinkhorn_cellsim
3.967513e-01,801,1.18887080993617e-01,1.20512406904727e-02,2.68404519921020e+02,sinkhorn_cellsim
4.066726e-01,821,1.16956076938590e-01,1.20846750466593e-02,2.69169025941810e+02,sinkhorn_cellsim
4.166006e-01,841,1.15687799098392e-01,1.21142533891285e-02,2.69918245021569e+02,sinkhorn_cellsim
4.265275e-01,861,1.13247721217984e-01,1.21690590298015e-02,2.70651608879497e+02,sinkhorn_cellsim
4.364566e-01,881,1.08686276540384e-01,1.24962749515233e-02,2.71299734961222e+02,sinkhorn_cellsim
4.463925e-01,901,1.06514014752703e-01,1.26505726580821e-02,2.71885561094869e+02,sinkhorn_cellsim
4.563211e-01,921,1.04547420179298e-01,1.27136240231887e-02,2.72416909030897e+02,sinkhorn_cellsim
4.662434e-01,941,1.01808810997262e-01,1.27551675654731e-02,2.72924816058323e+02,sinkhorn_cellsim
4.761814e-01,961,9.98660039970977e-02,1.27956077960680e-02,2.73413684924699e+02,sinkhorn_cellsim
4.861216e-01,981,9.77893282397912e-02,1.28379198359235e-02,2.73887061520195e+02,sinkhorn_cellsim
4.960478e-01,1001,9.69170303247213e-02,1.28532055508400e-02,2.74349201749747e+02,sinkhorn_cellsim
5.059830e-01,1021,9.43930669754692e-02,1.29684262519955e-02,2.74759128423849e+02,sinkhorn_cellsim
5.159209e-01,1041,9.08694641393594e-02,1.30422535218465e-02,2.75138390820173e+02,sinkhorn_cellsim
5.258654e-01,1061,8.92389166127501e-02,1.30862617247468e-02,2.75500197371188e+02,sinkhorn_cellsim
5.358080e-01,1081,8.80385859344912e-02,1.31357146424561e-02,2.75844476127357e+02,sinkhorn_cellsim
5.457527e-01,1101,8.65827489601863e-02,1.32012365267319e-02,2.76171813852975e+02,sinkhorn_cellsim
5.557042e-01,1121,8.61919103984529e-02,1.32298319783834e-02,2.76487359503733e+02,sinkhorn_cellsim
