time(s),iter,infeas,ot_objective,primal,dual,solver
1.786168e+00,1,6.97132414418133e-01,3.65733210555087e-01,1.75999803939135e+00,0.00000000000000e+00,lamp_kernel
4.576449e+00,21,7.95176527969435e-02,2.84048972523926e-01,4.43084278117813e-01,5.06638449940106e-02,lamp_kernel
4.687320e+00,41,3.46788491705265e-02,2.01765409623393e-01,2.71123107964446e-01,5.11025623976075e-02,lamp_kernel
4.798150e+00,61,8.50016092731229e-03,1.30858160515996e-01,1.47858482370620e-01,5.82419380288341e-02,lamp_kernel
4.908927e+00,81,1.86505113103481e-03,1.03019747753803e-01,1.06749850015873e-01,6.51266943129087e-02,lamp_kernel
5.019669e+00,101,8.36805344700531e-04,9.34040969006586e-02,9.50777075900597e-02,6.94526632481017e-02,lamp_kernel
5.130451e+00,121,4.17089816012733e-04,8.90984779849950e-02,8.99326576170204e-02,7.21276749844355e-02,lamp_kernel
5.241224e+00,141,2.39299691191731e-04,8.66333520368526e-02,8.71119514192360e-02,7.38576571462689e-02,lamp_kernel
5.352017e+00,161,1.66566212923191e-04,8.50168344324823e-02,8.53499668583287e-02,7.50256189679380e-02,lamp_kernel
5.462774e+00,181,1.04177752647773e-04,8.39059162577168e-02,8.41142717630124e-02,7.58549489453383e-02,lamp_kernel
5.573521e+00,201,7.39014609374490e-05,8.31076105801131e-02,8.32554135019880e-02,7.64664689204815e-02,lamp_kernel
5.684291e+00,221,5.98185255968463e-05,8.25172722047231e-02,8.26369092559168e-02,7.69282623401671e-02,lamp_kernel
5.795102e+00,241,4.58549621635541e-05,8.20701447392544e-02,8.21618546635815e-02,7.72903379469274e-02,lamp_kernel
5.905865e+00,261,9.78850754520634e-05,8.17218059716142e-02,8.19175761225183e-02,7.75788083129842e-02,lamp_kernel
6.016631e+00,281,4.81115927838103e-05,8.14620088548936e-02,8.15582320404612e-02,7.78134325024791e-02,lamp_kernel
6.127432e+00,301,4.94431879415624e-05,8.12500620747865e-02,8.13489484506697e-02,7.80085261368837e-02,lamp_kernel
6.238216e+00,321,2.88946596251571e-05,8.10763993367005e-02,8.11341886559509e-02,7.81728842506757e-02,lamp_kernel
6.348988e+00,341,3.81084205607323e-05,8.09366660543651e-02,8.10128828954866e-02,7.83122670788196e-02,lamp_kernel
6.459767e+00,361,3.39222933666495e-05,8.08262307627189e-02,8.08940753494522e-02,7.84323025024675e-02,lamp_kernel
6.570539e+00,381,2.70796174758430e-05,8.07302193815386e-02,8.07843786164903e-02,7.85367697487173e-02,lamp_kernel
