time(s),iter,infeas,ot_objective,dual
1.355812e-03,1,6.72888750449429e-01,0.00000000000000e+00,-4.54179905400497e+00,sinkhorn_cellsim
5.716128e-02,21,6.72888750449430e-01,2.61992775505443e-265,4.26718874914167e+01,sinkhorn_cellsim
1.128700e-01,41,6.72888750449429e-01,1.44018075667068e-182,8.98855740368385e+01,sinkhorn_cellsim
1.685736e-01,61,6.72888750449431e-01,7.91670918361072e-100,1.37099260582260e+02,sinkhorn_cellsim
2.242778e-01,81,6.72888750449429e-01,4.35183458794655e-17,1.84312947127682e+02,sinkhorn_cellsim
2.799891e-01,101,6.71885042424174e-01,1.42260611808635e-04,2.31274766263845e+02,sinkhorn_cellsim
3.357025e-01,121,6.70589088924842e-01,2.40185505366189e-04,2.77997912709757e+02,sinkhorn_cellsim
3.914133e-01,141,6.67109912125961e-01,1.41705805016432e-03,3.23816883310119e+02,sinkhorn_cellsim
4.471177e-01,161,6.43005497248521e-01,6.92100824717849e-03,3.66208781534872e+02,sinkhorn_cellsim
5.028172e-01,181,6.05735782943958e-01,1.43920143628671e-02,4.00141801260664e+02,sinkhorn_cellsim
5.585175e-01,201,5.65473328358547e-01,2.33462005386651e-02,4.24966075140864e+02,sinkhorn_cellsim
6.142294e-01,221,5.36606188071439e-01,2.98285599574516e-02,4.41898634971837e+02,sinkhorn_cellsim
6.699316e-01,241,5.08115825951749e-01,3.45835306224039e-02,4.54548188058616e+02,sinkhorn_cellsim
7.256384e-01,261,4.92963304795930e-01,3.68963796852039e-02,4.63940998105317e+02,sinkhorn_cellsim
7.813362e-01,281,4.77497017184233e-01,3.87007161304361e-02,4.71956708443284e+02,sinkhorn_cellsim
8.370716e-01,301,4.60340549467817e-01,3.96848347724905e-02,4.78921790753629e+02,sinkhorn_cellsim
8.928178e-01,321,4.45793189772055e-01,3.99329155093553e-02,4.85269210071234e+02,sinkhorn_cellsim
9.485292e-01,341,4.18523453451550e-01,4.08024708015261e-02,4.91090031955169e+02,sinkhorn_cellsim
1.004243e+00,361,4.04557067854251e-01,4.11890046222174e-02,4.96368004044458e+02,sinkhorn_cellsim
1.059950e+00,381,3.89485962066812e-01,4.16878301359520e-02,5.01283302020468e+02,sinkhorn_cellsim
1.115675e+00,401,3.78852420691968e-01,4.19524168752958e-02,5.05925409766611e+02,sinkhorn_cellsim
