time(s),iter,infeas,ot_objective,dual
4.425110e-03,1,7.18218117626856e-01,6.65020143065809e-17,-6.19028333904684e+00,sinkhorn_cellsim
2.318783e-01,21,7.16774623105226e-01,1.07188583026130e-04,4.02616546376610e+01,sinkhorn_cellsim
4.592788e-01,41,7.03947694876392e-01,1.29407495440950e-03,8.20422693122818e+01,sinkhorn_cellsim
6.868607e-01,61,6.71967687882309e-01,3.81602749391261e-03,1.13534846949575e+02,sinkhorn_cellsim
9.145689e-01,81,6.35133171205350e-01,6.22618946019348e-03,1.35128620768771e+02,sinkhorn_cellsim
1.142406e+00,101,5.93256019502801e-01,8.05822787506200e-03,1.50242534291196e+02,sinkhorn_cellsim
1.370325e+00,121,5.59805993771468e-01,8.98176683267236e-03,1.62047626621160e+02,sinkhorn_cellsim
1.598294e+00,141,5.22585958185934e-01,9.80830327626806e-03,1.71909211691146e+02,sinkhorn_cellsim
1.826275e+00,161,4.92121677688296e-01,1.03347261120939e-02,1.80357248658468e+02,sinkhorn_cellsim
2.054276e+00,181,4.67196951966353e-01,1.07515503426002e-02,1.87899147795004e+02,sinkhorn_cellsim
2.282291e+00,201,4.37497948375748e-01,1.12591061335497e-02,1.94665740035039e+02,sinkhorn_cellsim
2.510344e+00,221,4.07122373704551e-01,1.16685976874423e-02,2.00710341735235e+02,sinkhorn_cellsim
2.738434e+00,241,3.86101148371636e-01,1.19805140075794e-02,2.06208531057917e+02,sinkhorn_cellsim
2.966533e+00,261,3.63454696739390e-01,1.23454946791939e-02,2.11275340007323e+02,sinkhorn_cellsim
3.194636e+00,281,3.46001135092083e-01,1.26688378400702e-02,2.15877347357399e+02,sinkhorn_cellsim
3.422757e+00,301,3.29121134858082e-01,1.30074941521457e-02,2.20118667501082e+02,sinkhorn_cellsim
3.650861e+00,321,3.10441893793763e-01,1.33852125564944e-02,2.23987886325047e+02,sinkhorn_cellsim
3.878961e+00,341,2.95574460313066e-01,1.37157316292691e-02,2.27491708282839e+02,sinkhorn_cellsim
4.107024e+00,361,2.82132776283900e-01,1.39945441788407e-02,2.30715480583356e+02,sinkhorn_cellsim
4.335070e+00,381,2.71568081048582e-01,1.42571691662899e-02,2.33709147755324e+02,sinkhorn_cellsim
4.563128e+00,401,2.58833449870977e-01,1.45839095978313e-02,2.36455009987835e+02,sinkhorn_cellsim
4.791189e+00,421,2.46822883930109e-01,1.48813523821053e-02,2.38982444887463e+02,sinkhorn_cellsim
5.019216e+00,441,2.37537478364967e-01,1.51364136166499e-02,2.41353317265974e+02,sinkhorn_cellsim
5.247231e+00,461,2.28908850149177e-01,1.54161439343366e-02,2.43548401079068e+02,sinkhorn_cellsim
5.475215e+00,481,2.19735965839253e-01,1.56654256072312e-02,2.45603780063335e+02,sinkhorn_cellsim
5.703198e+00,501,2.11606612539716e-01,1.59504848649754e-02,2.47521043079740e+02,sinkhorn_cellsim
5.931184e+00,521,2.06222183760287e-01,1.61654622240074e-02,2.49294905197967e+02,sinkhorn_cellsim
6.159169e+00,541,1.99658142297687e-01,1.63816283083272e-02,2.50973625519804e+02,sinkhorn_cellsim
6.387159e+00,561,1.92500294067667e-01,1.66970780591783e-02,2.52529717617714e+02,sinkhorn_cellsim
6.615141e+00,581,1.86022203746518e-01,1.69338312021755e-02,2.53957611795789e+02,sinkhorn_cellsim
6.843129e+00,601,1.80540638674339e-01,1.70927621702489e-02,2.55307594802854e+02,sinkhorn_cellsim
7.071120e+00,621,1.76630173484239e-01,1.72232122925338e-02,2.56605354676350e+02,sinkhorn_cellsim
7.299112e+00,641,1.70840011525219e-01,1.74037572203054e-02,2.57840799894181e+02,sinkhorn_cellsim
7.527110e+00,661,1.65868494114118e-01,1.75467481106038e-02,2.59004449873580e+02,sinkhorn_cellsim
7.755088e+00,681,1.59312016435356e-01,1.77924784483729e-02,2.60085562815498e+02,sinkhorn_cellsim
7.983067e+00,701,1.54381092392175e-01,1.79850324479220e-02,2.61086623113319e+02,sinkhorn_cellsim
8.211042e+00,721,1.50024087398937e-01,1.81395141404132e-02,2.62040177997277e+02,sinkhorn_cellsim
8.439012e+00,741,1.45989979946902e-01,1.83101050066919e-02,2.62944752395905e+02,sinkhorn_cellsim
8.667018e+00,761,1.41950092656346e-01,1.84912623068461e-02,2.63798276451921e+02,sinkhorn_cellsim
8.895002e+00,781,1.37776832518291e-01,1.86650503077346e-02,2.64593229242551e+02,sinkhorn_cellsim
9.122990e+00,801,1.34195043609388e-01,1.88258747503645e-02,2.65343511516513e+02,sinkhorn_cellsim
9.351008e+00,821,1.30517870211875e-01,1.89582709507737e-02,2.66056317628213e+02,sinkhorn_cellsim
9.579050e+00,841,1.27127678404066e-01,1.90886068496185e-02,2.66730367880736e+02,sinkhorn_cellsim
9.807050e+00,861,1.22953184817086e-01,1.92483259592846e-02,2.67363606748357e+02,sinkhorn_cellsim
1.003505e+01,881,1.19788314534150e-01,1.93691943434111e-02,2.67964562622557e+02,sinkhorn_cellsim
1.026305e+01,901,1.17158056829394e-01,1.94592760371055e-02,2.68541334576187e+02,sinkhorn_cellsim
1.049106e+01,921,1.13619266438335e-01,1.95914647181655e-02,2.69092942731352e+02,sinkhorn_cellsim
1.071908e+01,941,1.10695567165054e-01,1.96980401297040e-02,2.69617166311881e+02,sinkhorn_cellsim
1.094709e+01,961,1.07840546187341e-01,1.97962266424531e-02,2.70117599924154e+02,sinkhorn_cellsim
1.117511e+01,981,1.05302248640051e-01,1.98818617626406e-02,2.70599151683649e+02,sinkhorn_cellsim
1.140313e+01,1001,1.03240688923444e-01,1.99615280070125e-02,2.71060973181011e+02,sinkhorn_cellsim
1.163115e+01,1021,1.01006646554566e-01,2.00381334570706e-02,2.71505596759556e+02,sinkhorn_cellsim
1.185915e+01,1041,9.88378990709028e-02,2.01159074987936e-02,2.71930460057494e+02,sinkhorn_cellsim
1.208716e+01,1061,9.67098736771721e-02,2.02014194941394e-02,2.72335921434332e+02,sinkhorn_cellsim
1.231515e+01,1081,9.49928695745264e-02,2.02648421905654e-02,2.72725628815610e+02,sinkhorn_cellsim
1.254314e+01,1101,9.33701368393640e-02,2.03323371634554e-02,2.73102351952881e+02,sinkhorn_cellsim
1.277113e+01,1121,9.14884325361343e-02,2.04129968647937e-02,2.73464923836311e+02,sinkhorn_cellsim
1.299914e+01,1141,8.97576161119367e-02,2.04802044347020e-02,2.73814029228709e+02,sinkhorn_cellsim
1.322716e+01,1161,8.75688713610572e-02,2.05688885036203e-02,2.74148932686473e+02,sinkhorn_cellsim
1.345519e+01,1181,8.56909502516884e-02,2.06378129542482e-02,2.74468258413311e+02,sinkhorn_cellsim
1.368319e+01,1201,8.39083687500553e-02,2.07162490708011e-02,2.74773527632047e+02,sinkhorn_cellsim
1.391122e+01,1221,8.20329467856774e-02,2.07760809205212e-02,2.75067407526847e+02,sinkhorn_cellsim
1.413923e+01,1241,8.03148762305380e-02,2.08383670751454e-02,2.75349320140306e+02,sinkhorn_cellsim
1.436724e+01,1261,7.85762175792811e-02,2.09054730133473e-02,2.75620234760229e+02,sinkhorn_cellsim
1.459526e+01,1281,7.70205471737686e-02,2.09594508894620e-02,2.75882763649924e+02,sinkhorn_cellsim
