time(s),iter,infeas,ot_objective,eta,solver
7.049936e+01,1100,1.62135603451689e-05,6.92945277321890e-02,1.00000000000000e-02,annealed_sinkhorn_cellsim
9.239791e+01,1440,1.63981319210921e-05,6.89575621014090e-02,9.50000000000000e-03,annealed_sinkhorn_cellsim
1.040635e+02,1620,1.42946584688043e-05,6.86573363457353e-02,9.02500000000000e-03,annealed_sinkhorn_cellsim
1.208452e+02,1880,1.56877662077803e-05,6.83902661648784e-02,8.57375000000000e-03,annealed_sinkhorn_cellsim
1.350690e+02,2100,1.59720763721306e-05,6.81532872306795e-02,8.14506250000000e-03,annealed_sinkhorn_cellsim
1.531303e+02,2380,1.65260029437561e-05,6.79432291362596e-02,7.73780937500000e-03,annealed_sinkhorn_cellsim
1.699119e+02,2640,1.58311796024882e-05,6.77574624711993e-02,7.35091890625000e-03,annealed_sinkhorn_cellsim
1.905315e+02,2960,1.54024371932075e-05,6.75931968713771e-02,6.98337296093750e-03,annealed_sinkhorn_cellsim
2.085935e+02,3240,1.61261288192691e-05,6.74480211515825e-02,6.63420431289062e-03,annealed_sinkhorn_cellsim
2.304922e+02,3580,1.62610891933531e-05,6.73199146671840e-02,6.30249409724609e-03,annealed_sinkhorn_cellsim
2.511111e+02,3900,1.59235906204295e-05,6.72068932386032e-02,5.98736939238379e-03,annealed_sinkhorn_cellsim
2.755674e+02,4280,1.54875303100930e-05,6.71071718625882e-02,5.68800092276460e-03,annealed_sinkhorn_cellsim
2.987450e+02,4640,1.54794616828560e-05,6.70191410442393e-02,5.40360087662637e-03,annealed_sinkhorn_cellsim
3.257597e+02,5060,1.51060694058312e-05,6.69414669118047e-02,5.13342083279505e-03,annealed_sinkhorn_cellsim
3.514947e+02,5460,1.55281655378661e-05,6.68728401936041e-02,4.87674979115530e-03,annealed_sinkhorn_cellsim
3.810678e+02,5920,1.51924747406593e-05,6.68122713493304e-02,4.63291230159753e-03,annealed_sinkhorn_cellsim
4.093616e+02,6360,1.60874105414230e-05,6.67586948626539e-02,4.40126668651765e-03,annealed_sinkhorn_cellsim
4.414933e+02,6860,1.57883446873308e-05,6.67113982992636e-02,4.18120335219177e-03,annealed_sinkhorn_cellsim
4.736253e+02,7360,1.54504934060614e-05,6.66696002907117e-02,3.97214318458218e-03,annealed_sinkhorn_cellsim
5.095926e+02,7920,1.50483292432218e-05,6.66326390645820e-02,3.77353602535307e-03,annealed_sinkhorn_cellsim
5.455602e+02,8480,1.52035348736602e-05,6.65999172104968e-02,3.58485922408542e-03,annealed_sinkhorn_cellsim
5.840875e+02,9080,1.64736689764370e-05,6.65709001579105e-02,3.40561626288115e-03,annealed_sinkhorn_cellsim
6.238945e+02,9700,1.56960471592512e-05,6.65453106397693e-02,3.23533544973709e-03,annealed_sinkhorn_cellsim
6.675376e+02,10380,1.52727996790955e-05,6.65226516690037e-02,3.07356867725024e-03,annealed_sinkhorn_cellsim
7.111808e+02,11060,1.63212001805641e-05,6.65024912154504e-02,2.91989024338772e-03,annealed_sinkhorn_cellsim
7.586626e+02,11800,1.62321817016199e-05,6.64846672450468e-02,2.77389573121834e-03,annealed_sinkhorn_cellsim
8.074218e+02,12560,1.61440128145215e-05,6.64688579539789e-02,2.63520094465742e-03,annealed_sinkhorn_cellsim
8.600189e+02,13380,1.61523227134543e-05,6.64548090540881e-02,2.50344089742455e-03,annealed_sinkhorn_cellsim
9.138943e+02,14220,1.64651574170881e-05,6.64423028494688e-02,2.37826885255332e-03,annealed_sinkhorn_cellsim
9.716070e+02,15120,1.66237882767711e-05,6.64311758597812e-02,2.25935540992566e-03,annealed_sinkhorn_cellsim
1.031878e+03,16060,1.61017028230934e-05,6.64212944435089e-02,2.14638763942937e-03,annealed_sinkhorn_cellsim
1.095988e+03,17060,1.63478202719317e-05,6.64124435501836e-02,2.03906825745790e-03,annealed_sinkhorn_cellsim
1.162657e+03,18100,1.62799254999967e-05,6.64045480883121e-02,1.93711484458501e-03,annealed_sinkhorn_cellsim
1.234441e+03,19220,1.57046443677635e-05,6.63975166998862e-02,1.84025910235576e-03,annealed_sinkhorn_cellsim
1.308783e+03,20380,1.59481362163862e-05,6.63911833400213e-02,1.74824614723797e-03,annealed_sinkhorn_cellsim
1.386967e+03,21600,1.66205875804777e-05,6.63854877416675e-02,1.66083383987607e-03,annealed_sinkhorn_cellsim
1.468988e+03,22880,1.63403033683442e-05,6.63804251618725e-02,1.57779214788227e-03,annealed_sinkhorn_cellsim
1.556128e+03,24240,1.63105266365658e-05,6.63758765874965e-02,1.49890254048815e-03,annealed_sinkhorn_cellsim
1.647113e+03,25660,1.64344252614102e-05,6.63717875831758e-02,1.42395741346375e-03,annealed_sinkhorn_cellsim
1.744503e+03,27180,1.59600363488621e-05,6.63681481890166e-02,1.35275954279056e-03,annealed_sinkhorn_cellsim
1.845743e+03,28760,1.63698963621400e-05,6.63648434060550e-02,1.28512156565103e-03,annealed_sinkhorn_cellsim
1.953402e+03,30440,1.62503707557517e-05,6.63619014835558e-02,1.22086548736848e-03,annealed_sinkhorn_cellsim
2.066196e+03,32200,1.62298641048654e-05,6.63592580324643e-02,1.15982221300006e-03,annealed_sinkhorn_cellsim
2.185415e+03,34060,1.63283261592383e-05,6.63568821435299e-02,1.10183110235005e-03,annealed_sinkhorn_cellsim
2.309797e+03,36000,1.65452247781554e-05,6.63547459834483e-02,1.04673954723255e-03,annealed_sinkhorn_cellsim
2.441899e+03,38060,1.62366630123259e-05,6.63528531581060e-02,9.94402569870922e-04,annealed_sinkhorn_cellsim
2.579176e+03,40200,1.65873880931487e-05,6.63511298894582e-02,9.44682441377376e-04,annealed_sinkhorn_cellsim
2.724195e+03,42460,1.64722760781646e-05,6.63496036666712e-02,8.97448319308507e-04,annealed_sinkhorn_cellsim
2.875687e+03,44820,1.64489553450680e-05,6.63482316882729e-02,8.52575903343082e-04,annealed_sinkhorn_cellsim
3.034934e+03,47300,1.64843106534443e-05,6.63469982373827e-02,8.09947108175928e-04,annealed_sinkhorn_cellsim
3.200655e+03,49880,1.66520638528222e-05,6.63458850953227e-02,7.69449752767131e-04,annealed_sinkhorn_cellsim
3.375412e+03,52600,1.64212333567609e-05,6.63448994540847e-02,7.30977265128775e-04,annealed_sinkhorn_cellsim
3.557920e+03,55440,1.63503569198431e-05,6.63440073336145e-02,6.94428401872336e-04,annealed_sinkhorn_cellsim
3.749464e+03,58420,1.63397075343587e-05,6.63432024221264e-02,6.59706981778719e-04,annealed_sinkhorn_cellsim
