iteration,cross_term_1,cross_term_2,diff,cumsum
1,0.02923369889477139,0.0008527382605174183,-0.028380960634253972,-0.028380960634253972
21,0.0031593161583538926,0.003748792553268591,0.0005894763949146984,-0.02631832135029967
41,0.0012312138940454964,0.0015536653109685117,0.0003224514169230153,-0.028515040540500247
61,0.0005151635483679706,0.0005395699617223432,2.4406413354372577e-5,-0.029661369082038556
81,0.00015357986283491594,0.00019830807264001877,4.4728209805102825e-5,-0.03007510309275481
101,4.240854834779681e-5,6.931595346108077e-5,2.690740511328396e-5,-0.030251338444600574
121,1.9150910236078752e-5,1.4833640231422514e-5,-4.317270004656238e-6,-0.03033086485493568
141,7.618107016008155e-6,3.0898130110583707e-6,-4.528294004949785e-6,-0.03035737061205328
161,1.7103930262101252e-6,1.7855701590950834e-6,7.51771328849582e-8,-0.030368150536562215
181,7.34846294193709e-7,5.163976411056284e-7,-2.184486530880806e-7,-0.03037547106596719
201,3.289295699954054e-7,1.6442008056654096e-7,-1.6450948942886446e-7,-0.03037970839622669
221,1.579525511519927e-7,5.976634958456351e-8,-9.818620156742919e-8,-0.030382293198981166
241,8.909200072497967e-8,1.769436412314016e-8,-7.13976366018395e-8,-0.030383899140586416
261,4.5804088846371255e-8,1.0328552674303648e-8,-3.547553617206761e-8,-0.0303848885572545
281,2.850489366405139e-8,2.7692019877249496e-9,-2.573569167632644e-8,-0.030385510935481735
301,1.6468632039770492e-8,1.3456959416224872e-9,-1.5122936098148006e-8,-0.030385893139948873
321,9.530323082808904e-9,8.433653895676666e-10,-8.686957693241238e-9,-0.03038612720689406
341,6.179980225216619e-9,1.6956102341306614e-10,-6.010419201803553e-9,-0.030386273293071746
361,4.0524912485061225e-9,6.010446452818966e-11,-3.992386783977933e-9,-0.030386367965558884
381,2.709850156045949e-9,7.610983134990262e-11,-2.6337403246960464e-9,-0.030386432229476682
401,1.9114276100663186e-9,2.9684332979106285e-11,-1.8817432770872124e-9,-0.030386477253930594
421,1.3603732561675866e-9,2.5456853492650666e-12,-1.3578275708183215e-9,-0.030386509096412613
441,9.539301546169802e-10,3.037698620028064e-12,-9.50892455996952e-10,-0.030386531581827886
461,6.708389012608776e-10,3.65455770065343e-12,-6.671843435602242e-10,-0.030386547452086438
481,4.955399760191667e-10,1.1165061795486715e-12,-4.94423469839618e-10,-0.030386558858028552
501,4.0260310248473433e-10,5.6171560590570605e-14,-4.0254693092414375e-10,-0.030386567671715912
521,3.5292762681285033e-10,1.5835861902371073e-13,-3.5276926819382665e-10,-0.03038657515130132
541,3.112475751649942e-10,1.6074523682966101e-13,-3.1108682992816453e-10,-0.03038658178353332
561,2.5106906509410985e-10,5.705007627596117e-14,-2.510120150178339e-10,-0.030386587419576366
581,1.6662707900436519e-10,3.5234756648838366e-14,-1.6659184424771634e-10,-0.03038659158525254
601,7.529375691359168e-11,6.783408484492323e-14,-7.522592282874676e-11,-0.03038659394404816
621,1.3036668320477994e-11,9.921532604877593e-14,-1.2937452994429217e-11,-0.030386594709656843
641,1.807653061934429e-11,1.007477447490562e-13,-1.7975782874595232e-11,-0.03038659489145133
661,9.18424869984235e-11,6.803521624776359e-14,-9.177445178217573e-11,-0.030386595940697553
681,1.8070343604402237e-10,2.0638817297713123e-14,-1.8068279722672467e-10,-0.030386598751024584
701,2.093137532253413e-10,3.1535227075107876e-15,-2.093105997026338e-10,-0.03038660281175925
721,1.5243696666613065e-10,3.3093325467443526e-14,-1.524038733406632e-10,-0.030386606518747573
741,6.078073637173421e-11,7.544569175409328e-14,-6.070529067998012e-11,-0.03038660859673109
761,6.143570169003637e-12,9.109997436596062e-14,-6.052470194637677e-12,-0.03038660913180184
781,1.9038173443421934e-11,7.172765323576146e-14,-1.896644579018617e-11,-0.03038660928219466
