cross_term_1,cross_term_2,diff,cumsum
0.11477803865124392,0.13335802436852695,0.018579985717283032,0.018579985717283032
0.004920112282049762,0.00420617498870706,-0.0007139372933427021,-0.043592922641419715
0.0011478214491028311,0.0008399134291347868,-0.00030790801996804433,-0.0501331243968908
0.0002641980243879831,0.000173286712645887,-9.091131174209611e-5,-0.053126266760275015
9.587306463195496e-5,3.273517822743454e-5,-6.313788640452042e-5,-0.05472873164093843
4.3063958259965875e-5,8.295533360283674e-6,-3.47684248996822e-5,-0.055643329763700726
2.4239665173017445e-5,2.0534167094663713e-6,-2.2186248463551075e-5,-0.05619983608578181
1.5113642986402085e-5,5.810761692232814e-7,-1.4532566817178804e-5,-0.05655499770277853
1.0128553002241152e-5,2.1079949972303782e-7,-9.917753502518115e-6,-0.05679333128459446
7.236391779300352e-6,5.8524018696366255e-8,-7.177867760603986e-6,-0.056961079037486304
5.386388727439823e-6,2.1770157866277234e-8,-5.364618569573546e-6,-0.05708423760120723
4.153041226981216e-6,8.357032049824318e-9,-4.144684194931392e-6,-0.057177984745426354
3.2907702932511517e-6,2.2894882152778993e-9,-3.2884808050358736e-6,-0.05725142991867109
2.6600014363637567e-6,9.416112450323038e-10,-2.6590598251187243e-6,-0.057310279063063074
2.18348605326017e-6,3.596243958194148e-10,-2.1831264288643506e-6,-0.057358256154616157
1.8131162610648373e-6,1.1227927355818585e-10,-1.813003981791279e-6,-0.05739788543498784
1.5189562612190328e-6,5.2738588732770963e-11,-1.5189035226303001e-6,-0.05743094898125986
1.2817084323657942e-6,2.2646389402037272e-11,-1.2816857859763922e-6,-0.05745875418494209
1.0881265003253312e-6,9.965900786262318e-12,-1.0881165344245448e-6,-0.05748229163729856
9.287078124684667e-7,6.343538064345833e-12,-9.287014689304023e-7,-0.05750232979675176
7.963841778925612e-7,4.423094410509731e-12,-7.963797547981506e-7,-0.05751947430808659
6.85800596065608e-7,3.4384256960566267e-12,-6.857971576399119e-7,-0.05753420837134816
5.928702585691093e-7,2.8275650818987823e-12,-5.928674310040274e-7,-0.057546922064288145
5.144419169217181e-7,2.2874677336016335e-12,-5.144396294539844e-7,-0.05755793403993615
4.480453474713671e-7,1.840950005542481e-12,-4.480435065213616e-7,-0.057567507440768446
3.9170431913514124e-7,1.4769819418874843e-12,-3.9170284215319933e-7,-0.05757586145282824
3.438054081920295e-7,1.1745593231108901e-12,-3.438042336327064e-7,-0.05758317972574181
3.0300937142629957e-7,9.249643049867938e-13,-3.0300844646199457e-7,-0.05758961663921053
2.681919479974705e-7,7.221871175479484e-13,-2.6819122581035294e-7,-0.05759530212557449
2.384036428356204e-7,5.617627481148307e-13,-2.3840308107287228e-7,-0.057600345522402424
2.1284119182561712e-7,4.3790351175706715e-13,-2.1284075392210537e-7,-0.057604838753402866
1.908259892388568e-7,3.4376279494793064e-13,-1.9082564547606187e-7,-0.057608859017844107
1.7178664611537061e-7,2.7296588070090267e-13,-1.717863731494899e-7,-0.05761247109533046
1.5524410698466095e-7,2.2002742203460855e-13,-1.5524388695723892e-7,-0.05761572933042419
1.407985356876238e-7,1.8052356728675825e-13,-1.4079835516405652e-7,-0.05761867933904679
1.2811761087022555e-7,1.5094081753628757e-13,-1.2811745992940802e-7,-0.05762135946775455
1.1692609305456213e-7,1.2874188447472494e-13,-1.1692596431267766e-7,-0.057623802032417876
1.0699661048096805e-7,1.1172584653999124e-13,-1.069964987551215e-7,-0.0576260343611034
9.814162229009392e-8,9.843358610845041e-14,-9.814152385650781e-8,-0.05762807966510971
9.020650377869484e-8,8.774639818442685e-14,-9.020641603229666e-8,-0.05762995776116374
8.306367335917539e-8,7.908006581051352e-14,-8.306359427910958e-8,-0.057631685666417194
7.660766364930415e-8,7.168393339036384e-14,-7.660759196537076e-8,-0.057633278086070924
7.07510250385002e-8,6.519951281031139e-14,-7.075095983898738e-8,-0.057634747811348426
6.542095148109544e-8,5.956168946986135e-14,-6.542089191940597e-8,-0.05763610604331157
6.055652022542663e-8,5.445341505977553e-14,-6.055646577201158e-8,-0.05763736265581242
5.610644720051444e-8,4.9781591336559226e-14,-5.61063974189231e-8,-0.05763852640880886
5.2027269444045736e-8,4.546242157850245e-14,-5.2027223981624155e-8,-0.05763960512140959
4.8281879831866736e-8,4.147683256928014e-14,-4.828183835503417e-8,-0.057640605812382235
4.483834735798938e-8,3.762530960937392e-14,-4.483830973267977e-8,-0.057641534814452194
4.166897079889848e-8,3.412791429685111e-14,-4.1668936670984184e-8,-0.05764239786754386
