cross_term_1,cross_term_2,diff,cumsum
0.04280035973902945,0.05894177108599159,0.01614141134696214,0.01614141134696214
0.009463978126005874,0.008883305337028118,-0.0005806727889777555,-0.01735255271408069
0.003603087785199446,0.0032410824747880875,-0.0003620053104113584,-0.025406174771205124
0.0017981718252923075,0.0016392245467058977,-0.0001589472785864098,-0.029416217036818647
0.0010595420488082965,0.0009568489922497827,-0.00010269305655851379,-0.031846396832705445
0.0006218093559674865,0.0005577456130496298,-6.406374291785663e-5,-0.033468477493551994
0.00038593474490738,0.00034797827243602755,-3.7956472471352475e-5,-0.03455341408919266
0.0002565816944895225,0.00023203397946344902,-2.4547715026073487e-5,-0.03530249258029818
0.00017974570319427113,0.000162113176185929,-1.763252700834214e-5,-0.035836592284381255
0.0001300960616784042,0.00011590399134317827,-1.4192070335225927e-5,-0.03622774097145186
9.643382750781692e-5,8.445529501067281e-5,-1.1978532497144116e-5,-0.036520167507855215
7.24627169520905e-5,6.234419387109325e-5,-1.0118523080997245e-5,-0.03674304512564517
5.488032075082659e-5,4.6486844893269105e-5,-8.393475857557486e-6,-0.03691603015511612
4.168831564736393e-5,3.4917991853576055e-5,-6.770323793787875e-6,-0.03705258733538953
3.1714549118410405e-5,2.6382371615693275e-5,-5.3321775027171306e-6,-0.03716197434024895
2.420104211813847e-5,2.004558298469036e-5,-4.1554591334481085e-6,-0.0372506848896882
1.8563757731135525e-5,1.5301610123919792e-5,-3.2621476072157334e-6,-0.03732339838782653
1.433035933073764e-5,1.1709810926912933e-5,-2.620548403824707e-6,-0.03738355953884893
1.1131783320591136e-5,8.961605789859315e-6,-2.170177530731821e-6,-0.037433744602842434
8.695413525619326e-6,6.847769342833757e-6,-1.8476441827855691e-6,-0.037475909574549326
6.826251572906135e-6,5.223734772345097e-6,-1.6025168005610376e-6,-0.037511565059362116
5.384387435789295e-6,3.982430141747973e-6,-1.4019572940413223e-6,-0.03754189874360308
4.267118630837208e-6,3.0388780805728695e-6,-1.228240550264338e-6,-0.037567858982764116
3.397584836305977e-6,2.323896378110314e-6,-1.0736884581956632e-6,-0.03759021136254857
2.7179683592539186e-6,1.7820178831069756e-6,-9.35950476146943e-7,-0.037609577760245594
2.184924186660054e-6,1.3701696000535497e-6,-8.147545866065044e-7,-0.03762646449010909
1.7659583614994426e-6,1.0558483240129417e-6,-7.101100374865009e-7,-0.03764128367565294
1.4364300335446842e-6,8.149118864237207e-7,-6.215181471209636e-7,-0.03765437032028438
