iteration,cross_term_1,cross_term_2,diff,cumsum
1,0.10556151081616584,0.08429837448867544,-0.021263136327490398,-0.021263136327490398
21,0.010074824404574117,0.009461749011411601,-0.0006130753931625158,-0.06704711623877341
41,0.00358958915988156,0.003068523632504581,-0.0005210655273769791,-0.08302674632272458
61,0.0009979341897436125,0.0005246275927646971,-0.00047330659697891546,-0.0951101281221395
81,0.00025563749137712006,6.498341913001704e-5,-0.000190654072247103,-0.1010227169138909
101,8.780056406313185e-5,8.746254971337633e-6,-7.905430909179421e-5,-0.10347430252200684
121,4.003848633182704e-5,1.8929703534678278e-6,-3.8145515978359216e-5,-0.1045727009384441
141,2.1607356305989933e-5,5.758686425260083e-7,-2.1031487663463924e-5,-0.10513244386021968
161,1.3104794452872285e-5,2.1474197887163555e-7,-1.289005247400065e-5,-0.10545853818824086
181,8.387528559536106e-6,1.0051794819401792e-7,-8.287010611342089e-6,-0.10566287679202786
201,5.620624534272318e-6,3.6712209149385664e-8,-5.583912325122932e-6,-0.10579826020566656
221,4.0589058870248715e-6,1.4199559655409779e-8,-4.0447063273694616e-6,-0.10589233093033217
241,3.2533315406858747e-6,1.6093598954972158e-8,-3.2372379417309026e-6,-0.10596441401113572
261,2.3808535659838097e-6,5.7997226012906564e-9,-2.375053843382519e-6,-0.10601971388874051
281,1.8145283809319745e-6,1.8144810062102206e-9,-1.8127138999257642e-6,-0.1060608188091507
301,1.4842546498368902e-6,2.0846679092723433e-9,-1.4821699819276178e-6,-0.10609315728444642
321,1.2524795918430145e-6,2.7385957080369905e-9,-1.2497409961349774e-6,-0.10612073348616854
341,9.651364436102744e-7,4.1559389823481975e-10,-9.647208497120396e-7,-0.10614246771307419
361,7.987914294183875e-7,2.2999679119756604e-10,-7.985614326271899e-7,-0.10615992320725123
381,7.084352230788542e-7,1.2177107284752448e-9,-7.072175123503789e-7,-0.10617486239602762
401,5.702627850052608e-7,3.157402108633272e-10,-5.699470447943975e-7,-0.10618757553195668
421,4.787975183890652e-7,7.828513061611293e-11,-4.787192332584491e-7,-0.10619794530799878
441,4.2233196809638064e-7,3.9168086767385e-10,-4.219402872287068e-7,-0.10620685778773842
461,3.595000070639072e-7,2.317087176572292e-10,-3.5926829834624995e-7,-0.10621469397616584
481,3.0749078832863344e-7,5.5630617886484325e-11,-3.0743515771074695e-7,-0.10622129779023995
501,2.7088204886000205e-7,1.4091902569694378e-10,-2.707411298343051e-7,-0.10622703063834027
521,2.3841847874883597e-7,1.3062950159790334e-10,-2.3828784924723807e-7,-0.1062321354554276
541,2.078851025105165e-7,3.5103253843081994e-11,-2.0784999925667342e-7,-0.10623655287202943
561,1.8414171020400525e-7,6.279742630940037e-11,-1.8407891277769585e-7,-0.10624045258043714
581,1.658244812474392e-7,6.417666610492557e-11,-1.6576030458133426e-7,-0.1062439485867913
601,1.4607289915813265e-7,2.4840872483788033e-11,-1.4604805828564888e-7,-0.10624704191193081
621,1.3133783211982116e-7,2.7797802957566874e-11,-1.3131003431686358e-7,-0.10624980735842032
641,1.1910640451501748e-7,3.360769795966065e-11,-1.1907279681705781e-7,-0.106252302541996
661,1.0674276038198278e-7,1.607955126216594e-11,-1.067266808307206e-7,-0.10625454939663401
681,9.674936440628721e-8,1.3794003119039377e-11,-9.673557040316818e-8,-0.10625657850004251
701,8.854304395405663e-8,1.7146127877188822e-11,-8.852589782617944e-8,-0.1062584235880802
