iteration,cross_term_1,cross_term_2,diff,cumsum
1,0.0968387844818158,0.1261535002305588,0.02931471574874299,0.02931471574874299
21,0.011379701368546158,0.010473020211100772,-0.000906681157445386,-0.03311051492040219
41,0.004733518594877388,0.004312675482403404,-0.00042084311247398386,-0.04578840364649668
61,0.0021429163170622843,0.0017767079238484842,-0.0003662083932138001,-0.054113742736889195
81,0.0009350920860840085,0.0006601916299689262,-0.00027490045611508235,-0.060562873050477126
101,0.000427713139067893,0.00025478267228826873,-0.00017293046677962424,-0.0649359613318484
121,0.00022532203795127658,0.00011753113116581756,-0.00010779090678545903,-0.0676583654853957
141,0.0001331507028826663,6.27649499864207e-5,-7.03857528962456e-5,-0.0693850973407472
161,8.557106344419853e-5,3.709736072614611e-5,-4.8473702718052417e-5,-0.07054883609740023
181,5.8412018613736084e-5,2.3440267866488958e-5,-3.4971750747247126e-5,-0.071369515980931
201,4.155940657744536e-5,1.5514570758197253e-5,-2.604483581924811e-5,-0.07197018157164234
221,3.055571438846462e-5,1.0611306874018296e-5,-1.9944407514446322e-5,-0.07242557951018973
241,2.302169665058297e-5,7.454385406982465e-6,-1.5567311243600505e-5,-0.07277753405343083
261,1.7736879547200095e-5,5.365757167337536e-6,-1.2371122379862558e-5,-0.07305400110976949
281,1.3887654849222277e-5,3.942413010443865e-6,-9.945241838778411e-6,-0.07327507224338115
301,1.1020399886799502e-5,2.94617124630222e-6,-8.074228640497281e-6,-0.07345368773819302
321,8.878343536021267e-6,2.235129234108543e-6,-6.643214301912724e-6,-0.07359964533456263
341,7.226374716525391e-6,1.7174739725564093e-6,-5.508900743968982e-6,-0.07372017017687764
361,5.942315829588697e-6,1.3351771251118385e-6,-4.6071387044768585e-6,-0.07382050487652406
381,4.935722049116979e-6,1.0491678282929817e-6,-3.886554220823998e-6,-0.07390481087572472
401,4.134188063361419e-6,8.325744528731909e-7,-3.3016136104882284e-6,-0.07397617641201826
421,3.493063575225356e-6,6.670607211867569e-7,-2.826002854038599e-6,-0.07403702171715175
441,2.9735722577126218e-6,5.39046130665264e-7,-2.4345261270473578e-6,-0.07408926895599723
461,2.548857201629371e-6,4.38957674925567e-7,-2.109899526703804e-6,-0.0741344059020721
481,2.1992707087262434e-6,3.5990765280861233e-7,-1.839363055917631e-6,-0.07417363539509014
501,1.908523822592435e-6,2.968334692641408e-7,-1.611690353328294e-6,-0.07420791771215329
521,1.6652364724996473e-6,2.4615618414580645e-7,-1.4190802883538408e-6,-0.07423802764806467
541,1.460283827832788e-6,2.051621006368427e-7,-1.2551217271959454e-6,-0.07426460081575728
561,1.286534430589631e-6,1.718239506784682e-7,-1.1147104799111628e-6,-0.07428815581863875
581,1.1385313016283436e-6,1.44590249193265e-7,-9.939410524350787e-7,-0.07430912202234669
601,1.011758031912976e-6,1.222225260852976e-7,-8.895355058276785e-7,-0.0743278566454803
621,9.026548796912359e-7,1.0376436782350758e-7,-7.988905118677284e-7,-0.07434465785687111
641,8.083320951232892e-7,8.844416315652792e-8,-7.198879319667612e-7,-0.07435977694048007
661,7.264015913620903e-7,7.565166900564527e-8,-6.50749922356445e-7,-0.07437342627914903
681,6.549361933747157e-7,6.490996051448857e-8,-5.900262328602271e-7,-0.0743857863036621
701,5.923404699731147e-7,5.5836977362576756e-8,-5.36503492610538e-7,-0.07439701127903049
721,5.37296172159329e-7,4.813774824603931e-8,-4.891584239132897e-7,-0.07440723342945213
741,4.887230330358368e-7,4.157739890128589e-8,-4.471456341345509e-7,-0.07441656667162592
761,4.457133249810993e-7,3.596833612412905e-8,-4.0974498885697024e-7,-0.07442510958205126
781,4.075111605085866e-7,3.1161611961834396e-8,-3.763495485467522e-7,-0.07443294765539861
801,3.734820869807758e-7,2.7033415347759982e-8,-3.4644867163301586e-7,-0.07444015541171285
821,3.430844347642166e-7,2.3482504935226686e-8,-3.196019298289899e-7,-0.07444679796222707
841,3.1586105331407254e-7,2.04239372354209e-8,-2.9543711607865164e-7,-0.07445293236225968
861,2.914187364481369e-7,1.778541594103505e-8,-2.736333205071018e-7,-0.07445860880237151
881,2.69419107562198e-7,1.5506437949904424e-8,-2.5391266961229356e-7,-0.07446387150313245
901,2.4957196909150076e-7,1.3534947137504686e-8,-2.3603702195399606e-7,-0.07446875955856856
921,2.3162436405417954e-7,1.1826889839653856e-8,-2.197974742145257e-7,-0.07447330761330696
941,2.1535803037929706e-7,1.0344928616521913e-8,-2.0501310176277515e-7,-0.07447754642764352
961,2.0058294686717693e-7,9.057054699500779e-9,-1.9152589216767615e-7,-0.07448150339839302
981,1.8713302689461865e-7,7.93633383387425e-9,-1.791966930607444e-7,-0.07448520296358617
1001,1.7486415842492137e-7,6.9597300652527455e-9,-1.6790442835966862e-7,-0.07448866697768815
1021,1.6364961428770278e-7,6.107632966901004e-9,-1.5754198132080177e-7,-0.07449191502995557
1041,1.5337864214532784e-7,5.363394872770706e-9,-1.4801524727255714e-7,-0.0744949647078439
1061,1.439540898627895e-7,4.7126780881561895e-9,-1.3924141177463331e-7,-0.07449783184348598
1081,1.352901409547286e-7,4.143248216733898e-9,-1.311468927379947e-7,-0.07450053071246075
1101,1.2731150389812975e-7,3.6445622169533487e-9,-1.236669416811764e-7,-0.07450307421424651
1121,1.199513953534023e-7,3.2075065974573642e-9,-1.1674388875594494e-7,-0.07450547403056657
1141,1.1315072648717189e-7,2.824231137250168e-9,-1.1032649534992173e-7,-0.07450774075682362
1161,1.0685719019430862e-7,2.4879065201950357e-9,-1.0436928367411359e-7,-0.0745098840256043
1181,1.0102405752719373e-7,2.192614893217415e-9,-9.883144263397631e-8,-0.07451191260872121
1201,9.560984568628777e-8,1.933211065223586e-9,-9.367663462106419e-8,-0.07451383450827369
1221,9.057744580341642e-8,1.7052074730411362e-9,-8.887223833037528e-8,-0.07451565703924098
1241,8.58935896001059e-8,1.5047019035655624e-9,-8.438888769654033e-8,-0.07451738689767068
1261,8.152853659426663e-8,1.3282846476523712e-9,-8.020025194661426e-8,-0.07451903022442931
1281,7.745546584238671e-8,1.172982031297001e-9,-7.628248381108971e-8,-0.07452059266004502
1301,7.36502603918685e-8,1.0361987921472608e-9,-7.261406159972123e-8,-0.07452207939237676
1321,7.009117175845199e-8,9.156650725662563e-10,-6.917550668588573e-8,-0.07452349520083652
1341,6.675849992521742e-8,8.094005054015877e-10,-6.594909941981583e-8,-0.07452484449382316
1361,6.36344474328274e-8,7.15672432470239e-10,-6.291877500035716e-8,-0.07452613134300577
1381,6.07028444007891e-8,6.3296569315644e-10,-6.006987870763266e-8,-0.07452735951394043
