iteration,cross_term_1,cross_term_2,diff,cumsum
1,0.09982779143688032,0.07334332201718098,-0.02648446941969934,-0.02648446941969934
21,0.006767592436738528,0.005723826723256672,-0.0010437657134818564,-0.07057352497136962
41,0.001546877561912329,0.0009457586286052097,-0.0006011189333071194,-0.08738221064545912
61,0.0002450389317759302,6.543739015075627e-5,-0.00017960154162517395,-0.09543807131849827
81,5.971248199860728e-5,1.0485437602845774e-5,-4.92270443957615e-5,-0.09729184604709347
101,2.2168947281825503e-5,2.7774473412001157e-6,-1.9391499940625388e-5,-0.09787448818051643
121,1.3440598477639955e-5,6.209429701196134e-7,-1.2819655507520342e-5,-0.09818535539468169
141,9.875234655910328e-6,1.7226883570996965e-7,-9.702965820200359e-6,-0.09840701247384169
161,7.675563329497799e-6,3.724818596639438e-8,-7.638315143531404e-6,-0.09857857275147831
181,6.019176693157089e-6,2.1006263166851337e-8,-5.998170429990238e-6,-0.0987131111702623
201,4.768826292949503e-6,8.855903740531383e-9,-4.759970389208972e-6,-0.09881999896930736
221,3.817154947720845e-6,2.7733161629142445e-9,-3.814381631557931e-6,-0.09890539935006645
241,3.3126975725194507e-6,1.5772526412143878e-8,-3.296925046107307e-6,-0.09897499164276269
261,2.9546150901302694e-6,2.1206510911954213e-8,-2.933408579218315e-6,-0.09903454291063299
281,2.5374801461417108e-6,1.9485885206662543e-8,-2.5179942609350484e-6,-0.09909491331649452
301,1.968046153151434e-6,1.083005981631463e-8,-1.957216093335119e-6,-0.09913815265509014
321,1.5939673259062065e-6,6.076953418667278e-9,-1.5878903724875393e-6,-0.09917253846004596
341,1.2424595539615902e-6,1.3499361678201285e-9,-1.2411096177937702e-6,-0.0992008418744191
361,1.0118486832728347e-6,1.8144327993145785e-10,-1.0116672399929033e-6,-0.09922284016006473
381,8.799147563557717e-7,7.210064943753742e-10,-8.791937498613964e-7,-0.09924198167050555
401,8.376682180317753e-7,3.942920415022843e-9,-8.337252976167525e-7,-0.09925839910124874
421,1.1562400415654859e-6,1.7189001164500998e-8,-1.1390510404009849e-6,-0.09927673256404335
441,7.952617116704605e-7,5.711762924125512e-9,-7.89549948746335e-7,-0.09929649160173928
461,6.193986769195232e-7,3.1313913986686436e-9,-6.162672855208546e-7,-0.09930998662515433
481,4.6471661634531543e-7,5.114288421201858e-10,-4.6420518750319523e-7,-0.09932066945774928
501,4.018964258921308e-7,3.8556695910149625e-10,-4.015108589330293e-7,-0.09932926084162427
521,3.386306538117907e-7,5.95688438158588e-11,-3.3857108496797486e-7,-0.09933660331272001
541,4.2537958197587654e-7,2.6607830925072038e-9,-4.2271879888336933e-7,-0.09934377612455714
561,4.798710895083086e-7,4.395798993692657e-9,-4.7547529051461596e-7,-0.0993542494235249
581,3.071127056919331e-7,1.190592846095833e-9,-3.0592211284583727e-7,-0.09936143955329325
601,2.2733652084603292e-7,1.2157991934090286e-10,-2.27214940926692e-7,-0.09936663837562601
621,2.0708391929418804e-7,1.4400904917859787e-10,-2.0693991024500946e-7,-0.0993709797337709
641,1.8707165669080094e-7,6.099292606462329e-11,-1.870106637647363e-7,-0.09937490108469031
661,2.9765736574961373e-7,2.6623705089430673e-9,-2.949949952406707e-7,-0.09937936675524019
681,2.2138889982882674e-7,1.1487126786186528e-9,-2.202401871502081e-7,-0.09938517443673442
701,1.5588454306104895e-7,2.0175385829509158e-10,-1.5568278920275386e-7,-0.09938879938921123
721,1.4064676135345235e-7,5.85941619427471e-11,-1.405881671915096e-7,-0.09939170044682298
741,1.2803987122261475e-7,4.593202481868474e-11,-1.2799393919779605e-7,-0.09939438611114933
761,1.6047625919311218e-7,8.809355656483777e-10,-1.595953236274638e-7,-0.09939706357248704
781,1.5814002186430417e-7,8.34868634720698e-10,-1.5730515322958348e-7,-0.0994007542919861
