iteration,cross_term_1,cross_term_2,diff,cumsum
1,0.11854960871054723,0.09256414570446037,-0.025985463006086867,-0.025985463006086867
21,0.009978333968352782,0.009833298060899056,-0.0001450359074537267,-0.08146149762567778
41,0.0042068599963062435,0.0038209186298294555,-0.00038594136647678804,-0.0946085499064056
61,0.0015896544106171744,0.0012793193164813976,-0.00031033509413577677,-0.1036344174009925
81,0.0005628397746408106,0.0003880426281795283,-0.00017479714646128226,-0.10856925375675552
101,0.00022576637908358198,0.00013036288816473303,-9.540349091884896e-5,-0.11112665251009368
121,0.00010855099799614784,5.3051337420692086e-5,-5.549966057545575e-5,-0.11251942826798841
141,5.992000877492238e-5,2.5755966665694973e-5,-3.416404210922741e-5,-0.11337886370330563
161,3.717475881743114e-5,1.3235915209005538e-5,-2.3938843608425602e-5,-0.1139704298166565
181,2.3944144507017612e-5,6.995657114208717e-6,-1.6948487392808893e-5,-0.11437021947495299
201,1.6551034252169814e-5,3.8507550124052175e-6,-1.2700279239764595e-5,-0.11465866095044853
221,1.1644014433091867e-5,2.240381902212445e-6,-9.403632530879421e-6,-0.11487906133026747
241,8.48990773588067e-6,1.3326190851497663e-6,-7.157288650730904e-6,-0.11504160136412252
261,6.56255825404391e-6,8.123686999242248e-7,-5.750189554119685e-6,-0.11516851532934491
281,4.923134481049182e-6,5.003292438073363e-7,-4.422805237241845e-6,-0.11526881694289898
301,3.874657235579705e-6,3.182329522531383e-7,-3.5564242833265664e-6,-0.11534799381498169
321,3.1170288636371324e-6,2.0219014842210616e-7,-2.9148387152150265e-6,-0.11541269721309476
341,2.518168893810998e-6,1.279784963391871e-7,-2.390190397471811e-6,-0.11546511761922822
361,2.0837407406704834e-6,8.361772884366135e-8,-2.000123011826822e-6,-0.11550852741031595
381,1.7167200841682746e-6,5.52601242472413e-8,-1.6614599599210334e-6,-0.1155448362941007
401,1.4416130307892862e-6,3.739758864141397e-8,-1.4042154421478722e-6,-0.11557530725941781
421,1.2240137672722731e-6,2.529963513613352e-8,-1.1987141321361397e-6,-0.11560123207039692
441,1.0452050199883622e-6,1.6822045358600386e-8,-1.0283829746297618e-6,-0.11562334317105706
461,9.01050595655323e-7,1.1218940093245046e-8,-8.898316555620779e-7,-0.11564238524579912
481,7.789747223355195e-7,7.519319486804278e-9,-7.714554028487152e-7,-0.1156588905909727
501,6.791272569018167e-7,5.2250307928398365e-9,-6.739022261089769e-7,-0.11567326652074691
521,5.958642175536328e-7,3.736299456158842e-9,-5.92127918097474e-7,-0.11568586888014153
541,5.253897324458285e-7,2.6876183282572323e-9,-5.227021141175713e-7,-0.1156969620286062
561,4.655751023555556e-7,1.915385960624092e-9,-4.6365971639493153e-7,-0.1157067798334707
581,4.14141033357692e-7,1.3226340719940348e-9,-4.12818399285698e-7,-0.11571550845904072
601,3.701720395339741e-7,8.951042711018283e-10,-3.6927693526287226e-7,-0.11572330019645233
621,3.322810672391562e-7,6.021317406209715e-10,-3.3167893549853523e-7,-0.1157302836621974
641,2.99361133524012e-7,4.1227786406593705e-10,-2.9894885565994607e-7,-0.11573656476247256
661,2.7058705333833883e-7,2.933075696849348e-10,-2.702937457686539e-7,-0.11574223455450083
681,2.453205336335583e-7,2.1484873416844343e-10,-2.4510568489938987e-7,-0.11574736966974966
701,2.231228675115026e-7,1.594899456450609e-10,-2.2296337756585756e-7,-0.11575203498052677
721,2.0355480322793037e-7,1.1704152318092536e-10,-2.0343776170474944e-7,-0.11575628587165537
741,1.8622320532121447e-7,8.384824660814601e-11,-1.861393570746063e-7,-0.11576016982345458
761,1.7079693057105884e-7,5.87271808248059e-11,-1.7073820339023403e-7,-0.11576372788223084
781,1.5702267475539335e-7,4.0532061804308405e-11,-1.5698214269358905e-7,-0.11576699557947567
801,1.4469260313491655e-7,2.8024017464873478e-11,-1.4466457911745167e-7,-0.11577000369660041
821,1.336280841025267e-7,1.9683416644590242e-11,-1.336084006858821e-7,-0.11577277899227388
841,1.2366712513502975e-7,1.418928918544626e-11,-1.236529358458443e-7,-0.11577534489932159
861,1.1466975365776461e-7,1.0492511430459562e-11,-1.1465926114633415e-7,-0.11577772195693378
881,1.065236245897634e-7,7.857588800465929e-12,-1.0651576700096293e-7,-0.11577992827266186
901,9.913010309370869e-8,5.844422854904222e-12,-9.912425867085379e-8,-0.11578197981442476
921,9.24060453172274e-8,4.259823271965653e-12,-9.240178549395543e-8,-0.1157838906936788
941,8.627634545870097e-8,3.040473136966507e-12,-8.6273304985564e-8,-0.11578567346345987
961,8.067463154948415e-8,2.1451099406280565e-12,-8.067248643954353e-8,-0.11578733928589588
981,7.554561347010424e-8,1.522435658088187e-12,-7.554409103444616e-8,-0.11578889813754735
1001,7.083977973522204e-8,1.0931673337178654e-12,-7.083868656788832e-8,-0.11579035894635338
1021,6.651480425363036e-8,7.952210904781003e-13,-6.651400903253988e-8,-0.11579172971326925
1041,6.253275514381076e-8,5.846865840009683e-13,-6.253217045722676e-8,-0.11579301764545642
1061,5.885954486663171e-8,4.3113818921850976e-13,-5.885911372844249e-8,-0.11579422923223272
1081,5.5466105629887136e-8,3.20477797931732e-13,-5.54657851520892e-8,-0.11579537034075713
1101,5.2326010212173784e-8,2.385584491462656e-13,-5.2325771653724634e-8,-0.1157964462855343
1121,4.941610631010038e-8,1.7779422048839514e-13,-4.941592851587989e-8,-0.11579746188334832
1141,4.671584185875161e-8,1.340698824964429e-13,-4.671570778886911e-8,-0.11579842151787306
1161,4.4206438378485006e-8,1.019925905682722e-13,-4.420633638589444e-8,-0.11579932918052625
1181,4.1871458367739756e-8,7.897495423487145e-14,-4.187137939278552e-8,-0.11580018851265111
1201,3.9696063987260413e-8,6.20327684124694e-14,-3.9696001954492e-8,-0.1158010028450607
1221,3.7666851645604527e-8,4.8799303423087356e-14,-3.76668028463011e-8,-0.11580177522595532
1241,3.577184696519862e-8,3.858762000535975e-14,-3.577180837757861e-8,-0.11580250845093171
1261,3.400016529393425e-8,3.076808115187053e-14,-3.40001345258531e-8,-0.11580320508796317
1281,3.2341971999961424e-8,2.490031057944687e-14,-3.2341947099650844e-8,-0.11580386749857191
1301,3.078838969294017e-8,2.062554890587072e-14,-3.0788369067391264e-8,-0.11580449785792507
1321,2.93313299853098e-8,1.745798420460767e-14,-2.9331312527325596e-8,-0.11580509817208236
1341,2.7963440671628546e-8,1.4969648241582375e-14,-2.7963425701980305e-8,-0.1158056702930227
1361,2.667805296515157e-8,1.3044819757245762e-14,-2.6678039920331812e-8,-0.11580621593306319
1381,2.5469063193599983e-8,1.1482182055262163e-14,-2.5469051711417928e-8,-0.11580673667726288
1401,2.433089627362862e-8,1.0142372121222497e-14,-2.43308861312565e-8,-0.11580723399417424
1421,2.3258475627372196e-8,9.027052174879836e-15,-2.3258466600320022e-8,-0.1158077092461945
