iteration,cross_term_1,cross_term_2,diff,cumsum
1,0.10532178209732163,0.1366035307558243,0.03128174865850267,0.03128174865850267
21,0.010445529037127445,0.009600477258430874,-0.0008450517786965719,-0.042345752062939945
41,0.004077294590770756,0.003687313500041484,-0.0003899810907292715,-0.054490840810654084
61,0.0017730274009179205,0.0014972198200918882,-0.00027580758082603233,-0.06127047237927205
81,0.0008415433068634169,0.0006588282235768326,-0.0001827150832865843,-0.06576777828701494
101,0.000455134882848011,0.00033542034050332563,-0.00011971454234468537,-0.06873285080938221
121,0.00027642638352185476,0.00019560902669595666,-8.08173568258981e-5,-0.07068635247554322
141,0.00018035671741443434,0.00012433966704345024,-5.6017050370984106e-5,-0.07201915224015418
161,0.0001239239139853547,8.318082531209235e-5,-4.074308867326235e-5,-0.07296864785584467
181,8.93885655427763e-5,5.7989719320029766e-5,-3.139884622274653e-5,-0.07367626153981323
201,6.540646502001084e-5,4.152330922625086e-5,-2.3883155793759974e-5,-0.07422117615217756
221,4.8893754436185366e-5,3.0352107731163664e-5,-1.8541646705021702e-5,-0.07463813240039588
241,3.733041673768721e-5,2.2599451468465993e-5,-1.4730965269221216e-5,-0.07496506021093503
261,2.9164217583694342e-5,1.707729931103537e-5,-1.2086918272658971e-5,-0.07522947244553795
281,2.2781979104395e-5,1.3051429159093e-5,-9.730549945302e-6,-0.07544519550103174
301,1.8142590177843624e-5,1.0095858488860015e-5,-8.04673168898361e-6,-0.07562173673267128
321,1.4752581006235187e-5,7.887674172951092e-6,-6.8649068332840955e-6,-0.07576874443945983
341,1.1910373843915856e-5,6.193423890610465e-6,-5.716949953305391e-6,-0.0758943311716301
361,9.531211900745959e-6,4.879249779231487e-6,-4.6519621215144715e-6,-0.07599766502767209
381,7.83533717921641e-6,3.863897856830206e-6,-3.971439322386205e-6,-0.07608281721090643
401,6.514926654453296e-6,3.069865771328706e-6,-3.44506088312459e-6,-0.07615724800821878
421,5.405045794627555e-6,2.4465284392796146e-6,-2.95851735534794e-6,-0.07622096829658288
441,4.582267929917367e-6,1.9582980802575613e-6,-2.623969849659806e-6,-0.07627644051753209
461,3.832560041630198e-6,1.569973540597376e-6,-2.262586501032822e-6,-0.07632519280084438
481,3.1676358710475712e-6,1.260167157652114e-6,-1.907468713395457e-6,-0.0763667878375321
501,2.7243382373449063e-6,1.0161068561757839e-6,-1.7082313811691224e-6,-0.07640265955563709
521,2.326335804848179e-6,8.196836648953244e-7,-1.5066521399528545e-6,-0.07643468947097275
541,2.0152169008826313e-6,6.627883381695921e-7,-1.3524285627130391e-6,-0.0764630948031364
561,1.7398678583390808e-6,5.364688276378238e-7,-1.203399030701257e-6,-0.0764886233333263
581,1.4869651788085726e-6,4.3449956828169346e-7,-1.0524656105268791e-6,-0.07651111086222927
601,1.3001392141146313e-6,3.527141844843947e-7,-9.474250296302366e-7,-0.07653095951241083
621,1.1404678277898851e-6,2.865251887305115e-7,-8.539426390593736e-7,-0.07654892496349774
641,1.0126534115244256e-6,2.3320519629181333e-7,-7.794482152326122e-7,-0.07656520380875055
661,8.910579810579732e-7,1.8977676995994432e-7,-7.012812110980289e-7,-0.0765799736371682
681,7.837521176474424e-7,1.5446959748164067e-7,-6.292825201658018e-7,-0.07659321280166487
701,7.020498492011029e-7,1.2598281752905066e-7,-5.760670316720523e-7,-0.07660522106261392
721,6.309736668872826e-7,1.0277768509321308e-7,-5.281959817940696e-7,-0.07661621418142156
741,5.685158078478586e-7,8.3921287699593e-8,-4.845945201482656e-7,-0.0766263207439789
761,5.092250025288738e-7,6.847058128517571e-8,-4.4075442124369807e-7,-0.0766355414549708
781,4.607607265913328e-7,5.5916119483899604e-8,-4.048446071074332e-7,-0.07664396493600083
