iteration,cross_term_1,cross_term_2,diff,cumsum
1,0.12895410451403927,0.07354750971320821,-0.05540659480083106,-0.05540659480083106
21,0.008019508651504843,0.008659817453940885,0.0006403088024360421,-0.10425585627672926
41,0.0032221251952697784,0.0025262991691510075,-0.0006958260261187709,-0.11807078144578197
61,0.0006161946621878248,0.00042788617428168743,-0.00018830848790613735,-0.1260091397987571
81,0.0001751069622036932,0.0001245441297019425,-5.0562832501750704e-5,-0.12867263862479336
101,8.267451169760481e-5,5.729117777850804e-5,-2.538333391909677e-5,-0.12971882142526098
121,4.809942770681972e-5,2.926128622542741e-5,-1.8838141481392308e-5,-0.1302014866210778
141,3.107544864352531e-5,1.601544275941148e-5,-1.5060005884113829e-5,-0.13046050500072803
161,2.032228603802955e-5,9.696938984810665e-6,-1.0625347053218884e-5,-0.13063031223093524
181,1.3408063888727485e-5,6.547123017944991e-6,-6.860940870782494e-6,-0.1307473270861373
201,8.736410498726071e-6,4.723159693128586e-6,-4.0132508055974855e-6,-0.13084092253202884
221,5.971020282666488e-6,3.4122247811422297e-6,-2.558795501524258e-6,-0.13091399195591427
241,4.4190940211747285e-6,2.26959317180751e-6,-2.1495008493672184e-6,-0.13097531973845222
261,3.6649190864191867e-6,1.387083940896313e-6,-2.277835145522874e-6,-0.13102816473090345
281,3.084742341874275e-6,8.352208006220442e-7,-2.2495215412522307e-6,-0.13107691668766194
301,2.4218743133258243e-6,5.143117797654216e-7,-1.9075625335604026e-6,-0.13111749884978208
321,2.1127245747457334e-6,3.2258075017406214e-7,-1.7901438245716712e-6,-0.13115311973688384
341,1.7971860324586472e-6,2.0322258765152345e-7,-1.5939634448071238e-6,-0.13118556079155597
361,1.513718987735122e-6,1.3602923823240008e-7,-1.377689749502722e-6,-0.1312138800869329
381,1.3784605717620476e-6,1.0330657702898006e-7,-1.2751539947330675e-6,-0.13123990054430046
401,1.1556815555700342e-6,7.934242747344481e-8,-1.0763391280965895e-6,-0.1312634294341637
421,1.0114265792396382e-6,5.874759486191864e-8,-9.526789843777196e-7,-0.13128389378312094
441,9.368703151864489e-7,4.0712749054149855e-8,-8.96157566132299e-7,-0.1313028076271818
461,8.719220608639266e-7,2.5965281323129743e-8,-8.459567795407969e-7,-0.1313203911469353
481,7.983744431055873e-7,1.530028540609517e-8,-7.830741576994921e-7,-0.1313367888569271
501,6.992508534920584e-7,8.79678473887899e-9,-6.904540687531794e-7,-0.13135140565987632
521,6.32700997931255e-7,5.830952706867553e-9,-6.268700452243875e-7,-0.1313644202206185
541,5.966672402046215e-7,4.804314401329634e-9,-5.918629258032918e-7,-0.13137654677788538
561,5.65278267228915e-7,4.260931584232762e-9,-5.610173356446823e-7,-0.13138799720337935
581,5.138337000284362e-7,3.255379658047115e-9,-5.10578320370389e-7,-0.1313987480748228
601,4.5696936922619267e-7,2.151020087941834e-9,-4.5481834913825085e-7,-0.13140831350357632
621,4.238376096600543e-7,1.4955662782820288e-9,-4.2234204338177226e-7,-0.1314170524921434
641,4.0102360278645094e-7,1.1317305925499343e-9,-3.99891872193901e-7,-0.1314252816942972
661,3.7941159535958274e-7,8.684099533860869e-10,-3.785431854061967e-7,-0.13143307799726006
681,3.4240840892793645e-7,4.999624752125606e-10,-3.419084464527239e-7,-0.1314402783809149
701,3.145934761924642e-7,2.8384458913791464e-10,-3.143096316033263e-7,-0.13144679962107783
721,2.9733600167644087e-7,2.7191985920688535e-10,-2.97064081817234e-7,-0.13145288972101457
741,2.815836682235905e-7,2.791222670427027e-10,-2.8130454595654783e-7,-0.13145865989586464
761,2.6099471123421626e-7,2.139059685102553e-10,-2.60780805265706e-7,-0.1314640860258431
781,2.395578163922314e-7,1.1248442279981354e-10,-2.394453319694316e-7,-0.13146906785567786
801,2.2503783048093096e-7,1.041399423024219e-10,-2.2493369053862855e-7,-0.1314736955403354
821,2.132287442980877e-7,1.197654144249368e-10,-2.1310897888366276e-7,-0.13147807246482224
841,2.0053999186338978e-7,9.905335389801462e-11,-2.0044093850949178e-7,-0.13148220965440147
861,1.8580980283265413e-7,5.044733957918968e-11,-1.8575935549307493e-7,-0.13148606158308573
881,1.7417849235213198e-7,3.23627939416052e-11,-1.7414612955819037e-7,-0.13148964875814645
901,1.6511011861467628e-7,4.2907907541101526e-11,-1.6506721070713518e-7,-0.13149303521413425
921,1.5612636753034796e-7,4.324227456107778e-11,-1.560831252557869e-7,-0.13149624257615544
941,1.4590546722676725e-7,2.6345898987737302e-11,-1.458791213277795e-7,-0.13149925619693137
961,1.3703502836059916e-7,1.528482236446386e-11,-1.370197435382347e-7,-0.13150207737743588
981,1.2992818950602796e-7,2.1173437867822804e-11,-1.2990701606816014e-7,-0.13150474121546507
1001,1.2320554156757346e-7,2.43693499380069e-11,-1.2318117221763544e-7,-0.13150726817866967
1021,1.1599919012458083e-7,1.75497664428927e-11,-1.1598164035813793e-7,-0.13150965680465426
1041,1.0938666558441254e-7,9.456027669750412e-12,-1.093772095567428e-7,-0.13151190548004918
1061,1.0380938905976816e-7,1.1032620859467704e-11,-1.037983564389087e-7,-0.13151403298790423
1081,9.866334069384474e-8,1.3518064179300209e-11,-9.864982262966544e-8,-0.1315160544513522
1101,9.343380017781682e-8,1.0660245739972031e-11,-9.342313993207685e-8,-0.13151797322750833
1121,8.845862780092724e-8,5.998707218888639e-12,-8.845262909370836e-8,-0.1315197885139331
1141,8.409239775462282e-8,6.1372252439806424e-12,-8.408626052937884e-8,-0.1315215107671758
1161,8.008934218686796e-8,7.792438505968683e-12,-8.008154974836198e-8,-0.13152315006941762
1181,7.61770110854482e-8,6.6011061967820596e-12,-7.617040997925142e-8,-0.13152471093491244
1201,7.237943616173403e-8,4.169921898701793e-12,-7.237526623983532e-8,-0.13152619383965233
1221,6.896372390079333e-8,3.745620493813423e-12,-6.895997828029951e-8,-0.13152760489973853
1241,6.581330687965099e-8,4.575787965973329e-12,-6.580873109168501e-8,-0.13152895069404166
1261,6.280819732769425e-8,4.025329779670421e-12,-6.280417199791458e-8,-0.13153023533592045
1281,5.986850684776829e-8,2.827155945388004e-12,-5.98656796918229e-8,-0.13153146016169734
1301,5.718277313084863e-8,2.3191523132991086e-12,-5.718045397853533e-8,-0.13153262890099934
1321,5.468028205842278e-8,2.6946569950437495e-12,-5.467758740142774e-8,-0.13153374598190223
1341,5.23217403741367e-8,2.459856501522111e-12,-5.231928051763518e-8,-0.1315348146438158
1361,5.0016823639882275e-8,1.905008363418664e-12,-5.0014918631518856e-8,-0.1315358366113301
1381,4.788515948941803e-8,1.4877714556328684e-12,-4.7883671717962396e-8,-0.13153681425849106
1401,4.588178816583827e-8,1.6259156613935586e-12,-4.5880162250176875e-8,-0.13153775071823337
1421,4.399874401024452e-8,1.5297625681504207e-12,-4.399721424767637e-8,-0.13153864837899518
1441,4.216979805981629e-8,1.2639518897831384e-12,-4.2168534107926505e-8,-0.13153950900681474
1461,4.0458945146759864e-8,9.699544407097129e-13,-4.0457975192319154e-8,-0.1315403342040227
1481,3.884324809349031e-8,9.920901899832075e-13,-3.8842256003300325e-8,-0.13154112627656744
1501,3.731953913196777e-8,9.591945012309575e-13,-3.731857993746654e-8,-0.13154188695826013
1521,3.585139363496104e-8,8.190138704226101e-13,-3.585057462109062e-8,-0.13154261784983926
1541,3.446331260187565e-8,6.385572972739079e-13,-3.4462674044578375e-8,-0.13154332012087838
1561,3.315018522351252e-8,6.118495968264398e-13,-3.314957337391569e-8,-0.13154399549929416
1581,3.190430165157527e-8,6.072248877356376e-13,-3.1903694426687534e-8,-0.13154464527210294
