iteration,cross_term_1,cross_term_2,diff,cumsum
1,0.1363270469796921,0.1758949498388638,0.039567902859171694,0.039567902859171694
21,0.012553141237221042,0.011693829735306988,-0.0008593115019140535,-0.047150696334013475
41,0.004734518860632281,0.004372671369731259,-0.00036184749090102143,-0.060589504344267284
61,0.0020322637657462362,0.0017151201123458875,-0.0003171436534003488,-0.06826853456971854
81,0.0009198927749405788,0.000680667986285983,-0.00023922478865459574,-0.07390805783114154
101,0.00045817620070049623,0.0003006758303069301,-0.0001575003703935661,-0.07779140764669473
121,0.00025763487482443877,0.00015571104659108982,-0.00010192382823334895,-0.08030915522199226
141,0.00015614782079003797,9.024389461148474e-5,-6.590392617855323e-5,-0.08192296130341571
161,0.00010353294386376336,5.7328978112073775e-5,-4.620396575168959e-5,-0.08301030715427823
181,7.124502809884987e-5,3.880095397129395e-5,-3.244407412755592e-5,-0.08378249274602233
201,5.2221739760334506e-5,2.7679061689506087e-5,-2.454267807082842e-5,-0.08434098150000884
221,3.8684450861563406e-5,2.0447503290793457e-5,-1.823694757076995e-5,-0.084766206811432
241,3.0100711869089304e-5,1.5522720439585733e-5,-1.457799142950357e-5,-0.08508929609421279
261,2.3266075100508203e-5,1.197208099253139e-5,-1.1293994107976813e-5,-0.08534738183310689
281,1.8595537332088133e-5,9.386661578843447e-6,-9.208875753244686e-6,-0.08555051355145081
301,1.48131106599632e-5,7.448257261738746e-6,-7.364853398224454e-6,-0.08571542439006481
321,1.2175484320456323e-5,5.992506364744335e-6,-6.1829779557119885e-6,-0.08585099852334625
341,9.890771207674853e-6,4.868262493310689e-6,-5.022508714364164e-6,-0.08596187333262402
361,8.230606606867357e-6,3.998124541201967e-6,-4.2324820656653895e-6,-0.08605443763862483
381,6.913039049510958e-6,3.308073282160451e-6,-3.6049657673505067e-6,-0.08613224030853803
401,5.768728430602487e-6,2.7510947956665638e-6,-3.0176336349359235e-6,-0.08619833535528675
421,4.900996009056166e-6,2.3013583096351053e-6,-2.599637699421061e-6,-0.08625430222583708
441,4.175495572982091e-6,1.932065785164777e-6,-2.243429787817314e-6,-0.08630249768214696
461,3.5648257687325353e-6,1.6275192708686686e-6,-1.9373064978638667e-6,-0.0863442899340358
481,3.064626352832156e-6,1.3764013846033784e-6,-1.6882249682287774e-6,-0.08638036416384048
501,2.6495990708533732e-6,1.1679462760833377e-6,-1.4816527947700355e-6,-0.08641196100296118
521,2.300070068610818e-6,9.940589094529336e-7,-1.3060111591578844e-6,-0.0864397856368319
541,2.0014371821511187e-6,8.484948682775331e-7,-1.1529423138735856e-6,-0.08646425879799188
561,1.7522865961678913e-6,7.26046379056335e-7,-1.0262402171115563e-6,-0.08648597580168314
581,1.5396553782265656e-6,6.222884847692189e-7,-9.173668934573467e-7,-0.08650534958746395
601,1.3545298458761167e-6,5.340315025941449e-7,-8.204983432819718e-7,-0.08652265291034175
621,1.1975025728179634e-6,4.588860354590719e-7,-7.386165373588914e-7,-0.08653818530549354
641,1.0619475253109651e-6,3.9456905829815437e-7,-6.673784670128108e-7,-0.08655219388634935
661,9.432226957525739e-7,3.394942910349759e-7,-6.03728404717598e-7,-0.0865648557909046
681,8.41081832450181e-7,2.9240888558031306e-7,-5.486729468698679e-7,-0.08657633764590272
701,7.522472708884312e-7,2.520099783035917e-7,-5.002372925848395e-7,-0.08658679012814377
721,6.741964546047109e-7,2.1736089615941388e-7,-4.56835558445297e-7,-0.08659632809418873
741,6.062115539102381e-7,1.876584644443779e-7,-4.185530894658602e-7,-0.08660505252706012
761,5.466514453771145e-7,1.621153728105152e-7,-3.8453607256659926e-7,-0.08661305752838508
781,4.940523797988717e-7,1.401253787133947e-7,-3.5392700108547703e-7,-0.08662041917304418
801,4.4772580492753186e-7,1.2119494532352742e-7,-3.2653085960400447e-7,-0.08662720268297745
821,4.0681460212522206e-7,1.0485573293753683e-7,-3.0195886918768525e-7,-0.08663346883145992
841,3.7046804140419824e-7,9.073980967363654e-8,-2.797282317305617e-7,-0.08663926900578713
861,3.381696998206889e-7,7.855190729771004e-8,-2.5961779252297887e-7,-0.08664464720813421
881,3.094369573713283e-7,6.801649110423632e-8,-2.41420466267092e-7,-0.08664964395284463
901,2.8376574374870065e-7,5.8904678127547816e-8,-2.2486106562115283e-7,-0.08665429462646494
921,2.6079587622853624e-7,5.1031811670310567e-8,-2.0976406455822567e-7,-0.08665862988523905
941,2.4022480778728174e-7,4.422512757081218e-8,-1.9599968021646955e-7,-0.08666267768601765
961,2.2174013381056252e-7,3.833561191652676e-8,-1.8340452189403576e-7,-0.0866664629578558
981,2.0509418697609756e-7,3.324246981295702e-8,-1.7185171716314053e-7,-0.0866700076049623
1001,1.9008659489019045e-7,2.8835143410648163e-8,-1.612514514795423e-7,-0.0866733315087061
1021,1.7651814109508075e-7,2.501700989251646e-8,-1.5150113120256428e-7,-0.08667645262369086
1041,1.642217414553246e-7,2.1710184597004822e-8,-1.425115568583198e-7,-0.08667938692567836
1061,1.5306269203144686e-7,1.884486461400861e-8,-1.3421782741743824e-7,-0.08668214891005062
1081,1.4291234957412793e-7,1.6359682052224915e-8,-1.2655266752190302e-7,-0.08668475177399619
1101,1.336586190226181e-7,1.4204783608037189e-8,-1.194538354145809e-7,-0.08668720739343831
1121,1.252094238202075e-7,1.2336032364244442e-8,-1.1287339145596307e-7,-0.08668952656681207
1141,1.1747931808640752e-7,1.07142560685891e-8,-1.0676506201781841e-7,-0.08669171917185393
1161,1.1039215829385494e-7,9.307104421534703e-9,-1.0108505387232023e-7,-0.0866937941744064
1181,1.0388427827801091e-7,8.086229063689998e-9,-9.579804921432091e-8,-0.08669575975747783
1201,9.789754691341299e-8,7.026328401470802e-9,-9.087121851194219e-8,-0.0866976234363903
1221,9.237942030160281e-8,6.106217891840335e-9,-8.627320240976247e-8,-0.08669939207869398
1241,8.728532513237455e-8,5.3075364257371215e-9,-8.197778870663743e-8,-0.08670107197780717
1261,8.257501755056577e-8,4.6138937283469725e-9,-7.79611238222188e-8,-0.08670266893466526
1281,7.821176279337581e-8,4.011419047164409e-9,-7.42003437462114e-8,-0.08670418828034329
1301,7.416389459995182e-8,3.488188420767392e-9,-7.067570617918443e-8,-0.08670563491946583
1321,7.040301537430377e-8,3.0335801441233212e-9,-6.736943523018045e-8,-0.08670701338656553
1341,6.690308605605585e-8,2.638519817380344e-9,-6.426456623867552e-8,-0.08670832786814993
1361,6.364135137124194e-8,2.295241170561383e-9,-6.134611020068056e-8,-0.08670958223080584
1381,6.059748557174688e-8,1.99685278346405e-9,-5.8600632788282826e-8,-0.08671078006019473
1401,5.775280108299966e-8,1.7374205755092932e-9,-5.6015380507490365e-8,-0.08671192468048677
1421,5.509074434641099e-8,1.5118759190921618e-9,-5.357886842731883e-8,-0.08671301917321955
1441,5.259653257196961e-8,1.3157439855726236e-9,-5.128078858639699e-8,-0.08671406640395599
1461,5.0256563549366956e-8,1.145146054452542e-9,-4.9111417494914415e-8,-0.08671506903854276
1481,4.805864346193617e-8,9.967682797094227e-10,-4.706187518222675e-8,-0.08671602955657995
1501,4.5991856606810214e-8,8.676984997524895e-10,-4.5124158107057723e-8,-0.08671695026984726
1521,4.404616489619578e-8,7.553981470759175e-10,-4.329076674911986e-8,-0.08671783333563227
1541,4.2212472861602886e-8,6.576930878031019e-10,-4.1554779773799785e-8,-0.08671868076687834
