iteration,cross_term_1,cross_term_2,diff,cumsum
1,0.13568734652647577,0.17584905543797186,0.04016170891149609,0.04016170891149609
21,0.012044687710723596,0.011120666577866613,-0.0009240211328569829,-0.04352444013642161
41,0.003752136589716654,0.0026168295282030575,-0.0011353070615135966,-0.06650148612128912
61,0.0007387458598164475,0.0002501126647150425,-0.000488633195101405,-0.0834871579294037
81,0.00019514543553702856,4.3933235522075476e-5,-0.00015121220001495307,-0.08897662882983323
101,7.610191346608151e-5,1.4151837667541306e-5,-6.19500757985402e-5,-0.09087323980944607
121,3.947405562556019e-5,5.407891794004138e-6,-3.406616383155605e-5,-0.09177202981486694
141,2.73807549330236e-5,2.3080919404713484e-6,-2.5072662992552253e-5,-0.09233659440181016
161,1.9249086769775994e-5,9.323057598829761e-7,-1.8316781009893018e-5,-0.09277236832642234
181,1.5012800847390969e-5,4.004090345767017e-7,-1.4612391812814268e-5,-0.09309533256686557
201,1.215229783111983e-5,1.8105309013009921e-7,-1.197124474098973e-5,-0.09335955376146006
221,1.0234559880850463e-5,8.671945250636435e-8,-1.0147840428344098e-5,-0.09357672010157095
241,8.446987835681769e-6,4.3236821580360073e-8,-8.40375101410141e-6,-0.09376715593872255
261,6.8560863629220985e-6,1.8121186401041212e-8,-6.837965176521057e-6,-0.09391632947275438
281,5.775588197327076e-6,9.394926121589371e-9,-5.766193271205487e-6,-0.09404148790282381
301,5.215963109531681e-6,1.532087917846155e-8,-5.200642230353219e-6,-0.0941496472104185
321,4.221888713227476e-6,2.6880051783345357e-9,-4.219200708049141e-6,-0.09424359310793934
341,3.635973635326964e-6,1.8268829647540847e-9,-3.6341467523622098e-6,-0.09432150649051957
361,3.2174150685448556e-6,2.176007298897023e-9,-3.2152390612459583e-6,-0.09438930248427667
381,2.8316258600177554e-6,2.5748724186055946e-9,-2.82905098759915e-6,-0.09445018987069634
401,2.4294705735176236e-6,6.697717582434134e-10,-2.42880080175938e-6,-0.09450213901772218
421,2.1567640974326987e-6,6.640222799603396e-10,-2.156100075152738e-6,-0.09454771557966463
441,1.9479766179137177e-6,1.6207879687953626e-9,-1.9463558299449223e-6,-0.09458877718452384
461,1.6984900354706758e-6,3.5449040850860106e-10,-1.6981355450621671e-6,-0.09462497742447183
481,1.5212676580346472e-6,3.086669648452091e-10,-1.520958991069802e-6,-0.09465701898314219
501,1.383264850773947e-6,7.235503087812985e-10,-1.3825413004651657e-6,-0.09468598775806938
521,1.2313781887218263e-6,2.3054275451807822e-10,-1.2311476459673081e-6,-0.09471203233328447
541,1.1120051622003e-6,1.6632058785671268e-10,-1.1118388416124432e-6,-0.09473536040992148
561,1.0155196287611698e-6,3.132804530044645e-10,-1.0152063483081652e-6,-0.09475656180374101
581,9.185441654032598e-7,1.5276478685943105e-10,-9.183914006164004e-7,-0.09477584460793602
601,8.360829731744842e-7,9.488268063117707e-11,-8.35988090493853e-7,-0.09479331807518526
621,7.67306149943011e-7,1.4225948511791117e-10,-7.671638904578931e-7,-0.09480929731210411
641,7.020081598145937e-7,9.418921503086568e-11,-7.019139705995628e-7,-0.09482395024109623
661,6.43915312847634e-7,5.5221521955702014e-11,-6.438600913256783e-7,-0.09483736148470692
681,5.940042681208556e-7,6.825360137318225e-11,-5.939360145194824e-7,-0.0948497027003947
701,5.478842990442511e-7,5.4067170537633544e-11,-5.478302318737135e-7,-0.0948610922949386
721,5.060170412352776e-7,3.201927739526302e-11,-5.059850219578823e-7,-0.09487159961203703
741,4.691976182704169e-7,3.418434902213403e-11,-4.691634339213948e-7,-0.0948813251927558
761,4.355264054364325e-7,2.9763647537366965e-11,-4.354966417888951e-7,-0.09489035081017637
781,4.047017158859232e-7,1.852848904901673e-11,-4.046831873968742e-7,-0.0948987314455463
