iteration,cross_term_1,cross_term_2,diff,cumsum
1,0.1147330106196673,0.15150443860198906,0.03677142798232176,0.03677142798232176
21,0.010252433923106135,0.009164599966580344,-0.0010878339565257907,-0.03814432308334004
41,0.0034032335003874956,0.0025554586364013735,-0.0008477748639861222,-0.058484708295497706
61,0.0011088057669281395,0.0005991411331403675,-0.000509664633787772,-0.07212167290362378
81,0.00041035658258439507,0.00016155883340130618,-0.00024879774918308887,-0.07924092053298692
101,0.00017986521581399208,5.233149541055107e-5,-0.00012753372040344102,-0.0827662340841733
121,9.285074893820877e-5,1.9212415847426587e-5,-7.363833309078217e-5,-0.08469090150439389
141,5.361277341327789e-5,7.61965931012509e-6,-4.5993114103152794e-5,-0.08584657400820814
161,3.419621986143575e-5,3.228336941113679e-6,-3.096788292032207e-5,-0.08659318666377579
181,2.3306974113766914e-5,1.453814577180674e-6,-2.185315953658624e-5,-0.08711241363944044
201,1.639496796097222e-5,6.865627139773814e-7,-1.570840524699484e-5,-0.08748020505680079
221,1.217745962295662e-5,3.495553662235782e-7,-1.1827904256733042e-5,-0.08775074575991158
241,9.117115084774277e-6,1.8278735639525093e-7,-8.934327728379026e-6,-0.08795559114429893
261,7.027800326499413e-6,1.0118643217900855e-7,-6.926613894320404e-6,-0.08811197062244422
281,5.5480579353723945e-6,5.965051386424626e-8,-5.488407421508148e-6,-0.08823488015169144
301,4.403402188282867e-6,3.508375160833411e-8,-4.368318436674533e-6,-0.08833227866480552
321,3.574349614207947e-6,2.211538426638668e-8,-3.55223422994156e-6,-0.08841067089506402
341,2.9213925460879144e-6,1.390501262750976e-8,-2.9074875334604044e-6,-0.08847471583926192
361,2.4175690971666287e-6,8.976105895174886e-9,-2.408592991271454e-6,-0.08852740494168883
381,2.023625316034857e-6,6.008813175148128e-9,-2.0176165028597087e-6,-0.08857133924897569
401,1.7042094361537814e-6,3.923930119282435e-9,-1.700285506034499e-6,-0.08860823790015904
421,1.4502220612709241e-6,2.677977823389683e-9,-1.4475440834475343e-6,-0.08863949878882703
441,1.241722053262503e-6,1.8032843562437887e-9,-1.2399187689062593e-6,-0.08866620443074048
461,1.0708541547601334e-6,1.225474736361533e-9,-1.069628680023772e-6,-0.08868915776283132
481,9.297596730962521e-7,8.496088597626616e-10,-9.289100642364894e-7,-0.08870903134242465
501,8.115562523764306e-7,5.768046498284197e-10,-8.109794477266022e-7,-0.0887263360754598
521,7.125882642270572e-7,4.017477665584196e-10,-7.121865164604988e-7,-0.0887414901570609
541,6.287098464243136e-7,2.76867751544461e-10,-6.284329786727691e-7,-0.08875483203317365
561,5.573477402821686e-7,1.9153349209436146e-10,-5.571562067900742e-7,-0.08876663333239644
581,4.962828582911297e-7,1.3403848762942152e-10,-4.961488198035003e-7,-0.08877712060171195
601,4.436651292011544e-7,9.261088941727778e-11,-4.435725183117371e-7,-0.08878647865240581
621,3.9816334726994943e-7,6.497156812239257e-11,-3.98098375701827e-7,-0.08879486188122712
641,3.5858341464708973e-7,4.529616270109978e-11,-3.5853811848438864e-7,-0.08880239945964942
661,3.24018037212848e-7,3.165382182654557e-11,-3.239863833910214e-7,-0.08880919976223191
681,2.9370437344260703e-7,2.2274500150176376e-11,-2.936820989424569e-7,-0.0888153548088503
701,2.670082661621742e-7,1.5560352213610128e-11,-2.669927058099606e-7,-0.08882094265026105
721,2.43419279267392e-7,1.0970885697808494e-11,-2.434083083816942e-7,-0.08882603009156054
741,2.2249953259403809e-7,7.717630457937775e-12,-2.2249181496358015e-7,-0.08883067452184201
761,2.0388636440113704e-7,5.434052489758313e-12,-2.038809303486473e-7,-0.08883492537727042
781,1.872758922393679e-7,3.851511525509733e-12,-1.8727204072784239e-7,-0.08883882550370384
801,1.7240652738843054e-7,2.7294684385752685e-12,-1.7240379791999196e-7,-0.08884241212950644
821,1.59057977716452e-7,1.9414502278837266e-12,-1.590560362662241e-7,-0.08884571768960178
841,1.4704330983958058e-7,1.3831329408880095e-12,-1.470419267066397e-7,-0.08884877058625804
861,1.3620186832725037e-7,9.909605026911612e-13,-1.3620087736674768e-7,-0.0888515957642654
881,1.2639584274096168e-7,7.144246084837584e-13,-1.263951283163532e-7,-0.0888542152045285
