iteration,cross_term_1,cross_term_2,diff,cumsum
1,0.06380053568835575,0.0015473109296425293,-0.06225322475871323,-0.06225322475871323
21,0.002782951539681409,0.006113297325889183,0.003330345786207774,-0.058685163735719297
41,0.001798454613810297,0.001784869712460916,-1.3584901349381062e-5,-0.06258203858908867
61,0.0007519533244195919,0.0007539029749701737,1.9496505505818334e-6,-0.06372908624182214
81,0.0002727932015553525,0.00030610264131223627,3.330943975688377e-5,-0.06425007995975311
101,0.00010729442486886902,0.00010245386445913923,-4.8405604097297855e-6,-0.0644969371857315
121,4.8991039128733035e-5,2.655002400773091e-5,-2.2441015121002124e-5,-0.06459451584288924
141,1.129687347818778e-5,1.5954071281937896e-5,4.657197803750116e-6,-0.0646178943069741
161,4.34331743198062e-6,6.15003964699179e-6,1.8067222150111696e-6,-0.0646351374846166
181,2.8545457483827533e-6,1.4753503777818584e-6,-1.379195370600895e-6,-0.06464401278548183
201,1.3209218354607578e-6,5.545241902702648e-7,-7.66397645190493e-7,-0.06464747807089515
221,3.753064731042129e-7,4.698932530729737e-7,9.458677996876081e-8,-0.06464916039545643
241,1.1748733745060578e-7,2.807930023593797e-7,1.6330566490877394e-7,-0.06465039070319979
261,1.2914959703630096e-7,6.968795524164175e-8,-5.946164179465921e-8,-0.0646512927967564
281,8.753359250073095e-8,1.4863008659122053e-8,-7.267058384160889e-8,-0.06465182133715455
301,3.600974638717631e-8,1.816214762474676e-8,-1.7847598762429552e-8,-0.06465215622219067
321,1.564948064741051e-8,1.4510824190039535e-8,-1.138656457370975e-9,-0.06465240856303052
341,1.1282728415227871e-8,6.5745886439311005e-9,-4.7081397712967705e-9,-0.06465260355331387
361,9.511003198982465e-9,1.6992041760048143e-9,-7.811799022977651e-9,-0.06465275161539236
381,6.89273892695363e-9,4.933329336207207e-10,-6.39940599333291e-9,-0.06465286372472623
401,4.429490095494556e-9,6.105991138945245e-10,-3.818890981600032e-9,-0.06465294971295209
421,3.02113824491614e-9,5.020798242673881e-10,-2.519058420648752e-9,-0.0646530160182994
441,2.300358269742719e-9,2.0505953525500687e-10,-2.0952987344877124e-9,-0.06465306648253738
461,1.7764317924598084e-9,4.4649842232224806e-11,-1.7317819502275836e-9,-0.06465310444226331
481,1.4099941286498524e-9,2.1120896249530552e-11,-1.388873232400322e-9,-0.06465313388385366
501,1.3154588025686665e-9,2.5081876166799364e-11,-1.2903769264018671e-9,-0.06465315985824549
521,1.422214533876868e-9,1.741627994913219e-11,-1.4047982539277358e-9,-0.0646531869414428
541,1.5052004604551957e-9,6.945055462467619e-12,-1.4982554049927281e-9,-0.06465321638275753
561,1.432303087942349e-9,1.8251384067267195e-12,-1.4304779495356222e-9,-0.0646532458875015
581,1.2582906324139983e-9,8.997112465061543e-13,-1.2573909211674921e-9,-0.06465327270577627
601,1.093348895790866e-9,9.70388094048559e-13,-1.0923785076968174e-9,-0.06465329602917119
621,9.890904760288023e-10,7.262637342831969e-13,-9.88364212294519e-10,-0.06465331668333298
641,9.457427008072103e-10,3.303685010380361e-13,-9.454123323061723e-10,-0.06465333591663279
661,9.4459977471137e-10,1.0900021536381898e-13,-9.44490774496006e-10,-0.06465335476778897
681,9.53047587802945e-10,6.521966027863216e-14,-9.529823681426664e-10,-0.06465337376184482
701,9.331349067708848e-10,6.685506133451965e-14,-9.330680517095503e-10,-0.06465339268487015
721,8.641215149537385e-10,5.4203304138738946e-14,-8.640673116495998e-10,-0.06465341070525184
741,7.542710386421398e-10,3.7396423776930865e-14,-7.542336422183629e-10,-0.06465342688226004
761,6.296846160961572e-10,2.887058380038774e-14,-6.296557455123569e-10,-0.06465344065977514
781,5.153329931903434e-10,2.4659885699956724e-14,-5.153083333046435e-10,-0.06465345202007212
801,4.244818230644789e-10,1.9383818281076895e-14,-4.2446243924619787e-10,-0.06465346132889074
821,3.590660272151658e-10,1.3876940667693966e-14,-3.590521502744981e-10,-0.06465346909152209
841,3.150846969208067e-10,1.0944498456904781e-14,-3.1507375242234976e-10,-0.06465347577952683
861,2.8739740228342883e-10,1.0676395375858446e-14,-2.8738672588805296e-10,-0.06465348176724296
881,2.7126069798440194e-10,1.1130288634720738e-14,-2.7124956769576724e-10,-0.06465348733024406
901,2.6164177024575274e-10,1.0665425474260389e-14,-2.616311048202785e-10,-0.0646534926480817
921,2.5272233941763674e-10,9.255000167171281e-15,-2.5271308441746957e-10,-0.06465349779085763
941,2.389550928635098e-10,7.888920662820156e-15,-2.38947203942847e-10,-0.0646535027124199
961,2.1691866139263966e-10,7.882203849514228e-15,-2.1691077918879014e-10,-0.06465350727482376
981,1.8671658870744541e-10,9.805172317487957e-15,-1.8670678353512793e-10,-0.06465351130734706
1001,1.5220180194767066e-10,1.3270350859798274e-14,-1.5218853159681087e-10,-0.0646535146813131
1021,1.198305530310834e-10,1.680894071367815e-14,-1.1981374409036973e-10,-0.0646535173757477
1041,9.592030251978083e-11,1.8293707263129378e-14,-9.59020088125177e-11,-0.06465351950308759
1061,8.294581516506309e-11,1.6174356740923072e-14,-8.292964080832216e-11,-0.06465352126793822
1081,7.696048797582992e-11,1.1236806571126408e-14,-7.69492511692588e-11,-0.06465352285875137
1101,6.891889800380838e-11,7.474538528199282e-15,-6.891142346528019e-11,-0.06465352432494831
1121,5.1139495211195686e-11,1.029545326236713e-14,-5.112919975793332e-11,-0.06465352553488266
1141,2.5905004877674207e-11,2.0992867784485118e-14,-2.588401200988972e-11,-0.06465352629565976
1161,7.52151687039911e-12,3.096942659039971e-14,-7.490547443808709e-12,-0.0646535265940238
1181,9.545102626212281e-12,2.692137355221029e-14,-9.51818125266007e-12,-0.06465352672850315
1201,2.5567768147521797e-11,1.0275792678041553e-14,-2.5557492354843755e-11,-0.06465352708216636
1221,3.209180587691074e-11,2.43324679515139e-15,-3.2089372630115587e-11,-0.06465352769505735
1241,1.9171038258428418e-11,1.3537453300993964e-14,-1.9157500805127424e-11,-0.06465352822513247
1261,4.063922609806861e-12,2.5650329486076615e-14,-4.038272280320784e-12,-0.06465352843260702
1281,5.441476281074709e-12,2.240006165317878e-14,-5.41907621942153e-12,-0.06465352849591732
1301,1.9916520627189138e-11,9.275814822306503e-15,-1.990724481236683e-11,-0.064653528748274
1321,2.9842824042790084e-11,7.645318053938637e-16,-2.984205951098469e-11,-0.06465352927223925
1341,2.4048414521541537e-11,4.643123919457138e-15,-2.404377139762208e-11,-0.06465352983472068
1361,8.571307355589322e-12,1.7039523404217667e-14,-8.554267832185104e-12,-0.06465353015578583
1381,6.449003543569378e-13,2.494165457368041e-14,-6.199586997832574e-13,-0.06465353021731207
1401,1.0138574588207719e-11,1.800708012277493e-14,-1.0120567508084945e-11,-0.0646535303032872
1421,2.5804978174472365e-11,4.232346805225358e-15,-2.5800745827667138e-11,-0.06465353067846846
1441,2.7802462861071908e-11,2.6693026133184536e-15,-2.779979355845859e-11,-0.0646535312478305
1461,1.4646108619681475e-11,1.438619889170815e-14,-1.4631722420789767e-11,-0.06465353167843158
1481,4.0797863507847034e-12,2.16299958417971e-14,-4.058156354942906e-12,-0.0646535318404999
1501,7.541389470309458e-12,1.587559920547584e-14,-7.525513871103982e-12,-0.06465353193586716
1521,1.7848020773835818e-11,5.739815700255144e-15,-1.7842280958135564e-11,-0.06465353219557343
1541,2.1469351292442404e-11,2.3825320475408682e-15,-2.1466968760394863e-11,-0.06465353260936306
1561,1.435232308441913e-11,8.441197028880951e-15,-1.434388188739025e-11,-0.06465353297751436
1581,5.338627779853047e-12,1.7042722291051002e-14,-5.321585057561995e-12,-0.0646535331615815
1601,6.091430120954609e-12,1.777320054595228e-14,-6.0736569204086565e-12,-0.0646535332544125
1621,1.666830327090979e-11,8.59717582334451e-15,-1.6659706095086443e-11,-0.06465353347954149
1641,2.349600185714935e-11,1.3588138715249436e-15,-2.3494643043277827e-11,-0.064653533903608
1661,1.6658301194345066e-11,6.522595683474024e-15,-1.665177859866159e-11,-0.0646535343231165
1681,4.2658600232557586e-12,1.671944686671234e-14,-4.249140576389046e-12,-0.06465353452109682
1701,1.503121010422974e-12,1.812551090033557e-14,-1.4849954995226385e-12,-0.06465353455330435
1721,1.0895461030401708e-11,9.639507860540927e-15,-1.0885821522541167e-11,-0.06465353466864589
1741,2.0806503595253006e-11,1.3692700896584043e-15,-2.0805134325163347e-11,-0.06465353500165172
1761,1.9989509700125397e-11,1.803244276648209e-15,-1.9987706455848748e-11,-0.06465353543058083
1781,9.56648665118012e-12,1.0083499661293898e-14,-9.556403151518827e-12,-0.06465353572862209
1801,1.4046562100806001e-12,1.6966085658969565e-14,-1.3876901244216305e-12,-0.06465353581922806
1821,4.815145713669192e-12,1.4076106187850082e-14,-4.801069607481342e-12,-0.06465353586272958
1841,1.5055216697070985e-11,4.848794755923735e-15,-1.505036790231506e-11,-0.0646535360660472
1861,1.893124929486498e-11,1.5895950923949603e-15,-1.8929659699772584e-11,-0.06465353642683618
1881,1.2285875969481717e-11,7.836594264372792e-15,-1.2278039375217343e-11,-0.06465353674786563
1901,4.634677392711004e-12,1.3895217276299973e-14,-4.620782175434704e-12,-0.06465353690431754
1921,5.155066178453905e-12,1.2016387230790193e-14,-5.143049791223114e-12,-0.0646535369867715
1941,1.1675020610695885e-11,5.3750384770241194e-15,-1.166964557221886e-11,-0.06465353715531763
1961,1.523073070399265e-11,1.7421110201276598e-15,-1.5228988592972522e-11,-0.06465353743765671
1981,1.1113255981629023e-11,4.9270138239217554e-15,-1.11083289678051e-11,-0.06465353771052898
2001,4.070639357457263e-12,1.1485483050210882e-14,-4.0591538744070516e-12,-0.06465353785570663
2021,3.1337700943145057e-12,1.3541992731033237e-14,-3.1202281015834725e-12,-0.06465353791138408
2041,1.0511422227658196e-11,7.617313953644516e-15,-1.0503804913704551e-11,-0.06465353804227843
2061,1.729160585815818e-11,1.0484201908174502e-15,-1.7290557437967362e-11,-0.06465353833479262
2081,1.4309676412497404e-11,2.959843139310226e-15,-1.4306716569358094e-11,-0.06465353866719961
2101,4.884159341136765e-12,1.0461450699178134e-14,-4.873697890437587e-12,-0.06465353885569877
2121,2.9380481120176726e-13,1.332079895479193e-14,-2.8048401224697535e-13,-0.06465353888932314
2141,5.095003420680089e-12,8.534407691663123e-15,-5.0864690129884256e-12,-0.06465353893260642
2161,1.2863348213905202e-11,2.1159024357940823e-15,-1.2861232311469409e-11,-0.06465353911939525
2181,1.4840131457470013e-11,6.477496796616729e-16,-1.483948370779035e-11,-0.06465353941143052
2201,9.297216945642534e-12,5.1616649851637914e-15,-9.29205528065737e-12,-0.06465353965887091
2221,2.7634277799493124e-12,1.0631893491065107e-14,-2.7527958864582474e-12,-0.06465353977017366
2241,2.7093782709970134e-12,1.063604515348283e-14,-2.6987422258435307e-12,-0.06465353981100799
2261,8.694335933344499e-12,5.091401664477918e-15,-8.68924453168002e-12,-0.06465353992350774
2281,1.2629812102397634e-11,1.4259841323857875e-15,-1.2628386118265248e-11,-0.0646535401490348
2301,9.524929841649984e-12,4.522684999303794e-15,-9.52040715665068e-12,-0.06465354037936077
2321,4.139253753521559e-12,9.399841129345214e-15,-4.129853912392214e-12,-0.06465354050974682
2341,3.71879133823215e-12,9.187017890744062e-15,-3.709604320341406e-12,-0.06465354057681925
2361,8.238111006361748e-12,4.510238017750065e-15,-8.233600768343998e-12,-0.06465354069480682
2381,1.1361045027074042e-11,1.1861799251098904e-15,-1.1359858847148932e-11,-0.06465354090009127
2401,8.761506743144614e-12,2.886645662779941e-15,-8.758620097481835e-12,-0.06465354110942224
2421,3.155898358601791e-12,7.585989036188199e-15,-3.148312369565603e-12,-0.06465354122521583
2441,1.223185622892604e-12,9.775277286008392e-15,-1.2134103456065955e-12,-0.0646535412570796
2461,5.768436076495959e-12,6.390791466543242e-15,-5.762045285029416e-12,-0.06465354132041044
2481,1.1690086066617828e-11,1.237489889313607e-15,-1.1688848576728514e-11,-0.06465354150261751
2501,1.1712588855575998e-11,8.694755379200411e-16,-1.1711719380038078e-11,-0.06465354174964409
2521,5.664768681975844e-12,5.647434045030901e-15,-5.659121247930813e-12,-0.06465354192558546
2541,6.617832061058472e-13,9.225093159088079e-15,-6.525581129467591e-13,-0.06465354197798653
2561,2.0232148680984955e-12,7.47924121282352e-15,-2.015735626885672e-12,-0.06465354199439964
2581,7.395191976822168e-12,2.864533700247786e-15,-7.39232744312192e-12,-0.06465354208977418
2601,1.0387409669788777e-11,5.894840801041376e-16,-1.0386820185708673e-11,-0.06465354227749091
2621,7.965261984559807e-12,2.8250635495207717e-15,-7.962436921010286e-12,-0.06465354246773479
2641,3.438583569091791e-12,6.7706944078416896e-15,-3.4318128746839493e-12,-0.06465354257787032
2661,2.3245497069648685e-12,7.584921491981559e-15,-2.316964785472887e-12,-0.06465354262617262
