iteration,cross_term_1,cross_term_2,diff,cumsum
1,0.027864624198878318,0.027262780034751587,-0.0006018441641267303,-0.0006018441641267303
21,0.008945175831101403,0.007454652824875223,-0.0014905230062261798,-0.05970369378374249
41,0.00461536436790504,0.004038330869940615,-0.0005770334979644251,-0.07822503663549114
61,0.0027871758556484976,0.002487232293600148,-0.0002999435620483497,-0.08615650785599464
81,0.0017825717871494586,0.001609489680975283,-0.00017308210617417554,-0.09044106451929323
101,0.0011549621331386388,0.0010447273178091443,-0.00011023481532949453,-0.0931011307329193
121,0.0007452129660743502,0.0006696922505743355,-7.552071550001463e-5,-0.09488554917312646
141,0.000472996257224562,0.00041906309446392443,-5.393316276063758e-5,-0.0961404097927644
161,0.0002934726636338067,0.0002541689978809674,-3.930366575283928e-5,-0.09705101906126344
181,0.0001785111884620195,0.0001492400585416625,-2.9271129920356982e-5,-0.09772581452959013
201,0.00010747708430788024,8.514169292534227e-5,-2.2335391382537973e-5,-0.0982351566547609
221,6.465188528928528e-5,4.7328881702970324e-5,-1.7323003586314957e-5,-0.09862648888140815
241,3.9405271156507885e-5,2.5778506854368558e-5,-1.3626764302139327e-5,-0.09893208784360463
261,2.477211609021726e-5,1.3907555644664344e-5,-1.0864560445552915e-5,-0.0991742366066331
281,1.629516586782707e-5,7.531494873822294e-6,-8.763670994004778e-6,-0.09936855527193052
301,1.128175130242356e-5,4.144503994140483e-6,-7.137247308283077e-6,-0.0995261207871206
321,8.187837854834798e-6,2.3353596277401568e-6,-5.852478227094641e-6,-0.09965489734762654
341,6.172288231585961e-6,1.3515158726418374e-6,-4.820772358944124e-6,-0.0997607407347289
361,4.786708951546265e-6,8.031605053512191e-7,-3.983548446195046e-6,-0.09984807583075184
381,3.78788974319124e-6,4.888286470707473e-7,-3.2990610961204928e-6,-0.09992033237379781
401,3.0400747176918053e-6,3.03694338565635e-7,-2.7363803791261705e-6,-0.09998022363374591
421,2.4641094304787756e-6,1.91995335888598e-7,-2.2721140945901777e-6,-0.10002992912916384
441,2.0112778451640145e-6,1.2318432200125385e-7,-1.8880935231627606e-6,-0.10007121876128482
461,1.6499568048186216e-6,8.003993994659218e-8,-1.5699168648720295e-6,-0.10010554073531627
481,1.35858081524393e-6,5.2580966050774525e-8,-1.3059998491931555e-6,-0.1001340861865396
501,1.1218055912163187e-6,3.487702505900979e-8,-1.0869285661573088e-6,-0.10015783827107519
521,9.283311732401099e-7,2.3331389694363534e-8,-9.049997835457464e-7,-0.10017761048440052
541,7.696071625547805e-7,1.5725720710331248e-8,-7.538814418444492e-7,-0.10019407715536277
561,6.390220515495575e-7,1.067084445029457e-8,-6.28351207099263e-7,-0.10020779801055686
581,5.313730544333811e-7,7.284526636077998e-9,-5.240885277973031e-7,-0.10021923810017754
601,4.4250777327243674e-7,4.99971595446391e-9,-4.3750805731797283e-7,-0.1002287840252368
621,3.6907474941049327e-7,3.448167945719554e-9,-3.656265814647737e-7,-0.10023675719901003
641,3.083452067550516e-7,2.3884786906926576e-9,-3.059567280643589e-7,-0.10024342473567596
661,2.580827174583337e-7,1.6609861325686973e-9,-2.56421731325765e-7,-0.10024900844068602
681,2.164461753240766e-7,1.1592247058549964e-9,-2.1528695061822163e-7,-0.10025369227815482
701,1.8191666995749652e-7,8.11686824732747e-10,-1.8110498313276376e-7,-0.10025762861672614
721,1.532414284262218e-7,5.70040807950174e-10,-1.5267138761827161e-7,-0.10026094349448603
741,1.2938940117650697e-7,4.014322910564762e-10,-1.289879688854505e-7,-0.10026374108249725
761,1.095146144234836e-7,2.834085188570605e-10,-1.0923120590462654e-7,-0.10026610747104979
781,9.292510200860152e-8,2.0054997860319225e-10,-9.272455202999833e-8,-0.10026811386636889
801,7.90563462128532e-8,1.4222064134729158e-10,-7.89141255715059e-8,-0.10026981926949499
821,6.744846230275711e-8,1.0105522835930629e-10,-6.73474070743978e-8,-0.10027127270131825
841,5.7726388973271636e-8,7.193520587744805e-11,-5.7654453767394185e-8,-0.10027251502874956
861,4.9582644107609395e-8,5.129175644687818e-11,-4.953135235116252e-8,-0.10027358043877851
881,4.276269330438937e-8,3.662883079779188e-11,-4.272606447359158e-8,-0.10027449760616786
901,3.705319362763112e-8,2.61955903006078e-11,-3.702699803733051e-8,-0.10027529060622108
921,3.227316848788327e-8,1.8760383149092668e-11,-3.225440810473418e-8,-0.10027597962882571
941,2.8267828424905386e-8,1.3454454537305567e-11,-2.825437397036808e-8,-0.10027658154823506
961,2.4904512293240256e-8,9.663370024810186e-12,-2.4894848923215445e-8,-0.10027711039513508
981,2.2070089295948974e-8,6.9514267450125554e-12,-2.2063137869203963e-8,-0.100277577765843
1001,1.966912891121334e-8,5.00913915703118e-12,-1.966411977205631e-8,-0.10027799318996625
1021,1.7622271445157475e-8,3.616326396654519e-12,-1.761865511876082e-8,-0.10027836446519597
1041,1.5864489521818872e-8,2.6162437815840866e-12,-1.5861873278037287e-8,-0.10027869795925887
1061,1.4343192766161421e-8,1.8971342137308686e-12,-1.434129563194769e-8,-0.10027899887579513
1081,1.3016286359915603e-8,1.3793422193128141e-12,-1.301490701769629e-8,-0.10027927148190634
1101,1.1850329592093038e-8,1.0059092130290022e-12,-1.184932368288001e-8,-0.1002795192979208
1121,1.0818898459742976e-8,7.360851052873822e-13,-1.0818162374637688e-8,-0.10027974525251221
1141,9.901187180773651e-9,5.406408672008029e-13,-9.90064653990645e-9,-0.10027995180768381
1161,9.080829331629587e-9,3.9867329736104186e-13,-9.080430658332227e-9,-0.10028014105822869
1181,8.344895312225228e-9,2.9520326061475487e-13,-8.344600108964612e-9,-0.10028031480959293
1201,7.683030397644732e-9,2.195318488666343e-13,-7.682810865795866e-9,-0.10028047463724502
1221,7.086723244318106e-9,1.6409073924938302e-13,-7.086559153578857e-9,-0.10028062193019689
1241,6.54871843255722e-9,1.2344412637055352e-13,-6.54859498843085e-9,-0.1002807579213927
1261,6.062594604905035e-9,9.368556490198596e-14,-6.062500919340133e-9,-0.1002808837080752
1281,5.62251258199186e-9,7.197704254927898e-14,-5.622440604949311e-9,-0.10028100026552442
1301,5.223110016615776e-9,5.6152968150938066e-14,-5.2230538636476244e-9,-0.10028110845736901
1321,4.859494551530623e-9,4.4621313175801244e-14,-4.859449930217447e-9,-0.1002812090449217
1341,4.527279758222767e-9,3.6186050107775174e-14,-4.5272435721726595e-9,-0.10028130269691955
1361,4.222617825318465e-9,2.9938256214209664e-14,-4.22258788706225e-9,-0.10028139000001342
1381,3.942201918325232e-9,2.527855635104817e-14,-3.942176639768882e-9,-0.1002814714696201
1401,3.6832321402740742e-9,2.1741627998213263e-14,-3.683210398646076e-9,-0.10028154756043627
1421,3.4433558011219265e-9,1.901539430918426e-14,-3.4433367857276173e-9,-0.10028161867597543
1441,3.2206003044965653e-9,1.6911198089565765e-14,-3.220583393298476e-9,-0.10028168517680042
1461,3.0133166086462975e-9,1.5239385901553816e-14,-3.013301369260396e-9,-0.10028174738750194
1481,2.8201419736694543e-9,1.3848465612459144e-14,-2.8201281252038418e-9,-0.10028180560274505
1501,2.6399791870347032e-9,1.2639413025754753e-14,-2.6399665476216776e-9,-0.10028186009275732
1521,2.4719794571709088e-9,1.1490724728514907e-14,-2.47196796644618e-9,-0.10028191110846565
1541,2.3155143233336055e-9,1.035715637300381e-14,-2.3155039661772326e-9,-0.10028195888619972
1561,2.170125556289861e-9,9.20752503890522e-15,-2.170116348764822e-9,-0.10028200365161159
1581,2.03545250467453e-9,8.065501236036032e-15,-2.035444439173294e-9,-0.10028204562234877
1601,1.911147528988287e-9,6.962792421883033e-15,-1.911140566195865e-9,-0.10028208500912318
1621,1.7967978006339437e-9,5.9515114763194614e-15,-1.7967918491224674e-9,-0.10028212201512295
