iteration,cross_term_1,cross_term_2,diff,cumsum
1,0.031074690565974738,0.03241620990320926,0.001341519337234521,0.001341519337234521
21,0.008827898667466931,0.007915436918914151,-0.0009124617485527804,-0.03898845300123657
41,0.004843669435426119,0.004539933318928018,-0.00030373611649810086,-0.049353722407243075
61,0.0031389187396918946,0.0029575469350970702,-0.0001813718045948244,-0.05382443305821981
81,0.0021229255711536867,0.002013912117615428,-0.00010901345353825885,-0.05632007964198851
101,0.0015026136026957924,0.0014296742679025462,-7.293933479324624e-5,-0.05786691906168878
121,0.00110287888086454,0.001053214369447019,-4.966451141752101e-5,-0.05890765247951153
141,0.0008289278946133091,0.0007925700351138691,-3.6357859499440036e-5,-0.0596530131118361
161,0.0006312933894671649,0.0006039626342682419,-2.7330755198923034e-5,-0.06021090934934112
181,0.0004832221193216981,0.00046228818581712,-2.0933933504578106e-5,-0.060642613045003235
201,0.0003714793740592793,0.00035534085542709867,-1.613851863218062e-5,-0.06098392217040086
221,0.0002867482639819871,0.0002740387039431732,-1.2709560038813897e-5,-0.061258412383347276
241,0.00022203380587478423,0.00021174673341601587,-1.028707245876836e-5,-0.06148256462644986
261,0.00017236744678759397,0.00016381621991680572,-8.551226870788249e-6,-0.06166813787069172
281,0.0001340399023638656,0.00012689021336011587,-7.14968900374972e-6,-0.061823628554795305
301,0.00010442903569096571,9.84216648433902e-5,-6.0073708475755065e-6,-0.06195531940388561
321,8.163345139946033e-5,7.650938868695073e-5,-5.124062712509597e-6,-0.06206790771660112
341,6.415289203832463e-5,5.970601229066103e-5,-4.446879747663598e-6,-0.062165012210042066
361,5.0750811152304715e-5,4.683704862524475e-5,-3.913762527059962e-6,-0.062249505003452256
381,4.0429100436656213e-5,3.695577809312701e-5,-3.4733223435292005e-6,-0.06232367489147911
401,3.242517994974052e-5,2.9326318097498466e-5,-3.098861852242056e-6,-0.062389340445503066
421,2.6169408550363705e-5,2.3388087113569536e-5,-2.78132143679417e-6,-0.062447938175623906
441,2.1241206439201022e-5,1.8730175327008667e-5,-2.511031112192355e-6,-0.06250059550225702
461,1.733314351786951e-5,1.5054937860793241e-5,-2.278205657076268e-6,-0.06254820583602207
481,1.421688965655037e-5,1.2140681356433631e-5,-2.0762083001167387e-6,-0.06259148895224553
501,1.171977002756307e-5,9.819356540867672e-6,-1.9004134866953976e-6,-0.06263103225917552
521,9.709737597105162e-6,7.962910452351476e-6,-1.7468271447536858e-6,-0.06266732008959111
