iteration,cross_term_1,cross_term_2,diff,cumsum
1,0.0666987478996787,0.08437182676074347,0.01767307886106477,0.01767307886106477
21,0.007366751282592371,0.006307554725977065,-0.001059196556615306,-0.039338437428571585
41,0.0031479937184081324,0.0028785572125296518,-0.00026943650587848067,-0.04983741986494944
61,0.0016770010585646343,0.0015149880155820251,-0.00016201304298260914,-0.053920472607426065
81,0.0009077111673141514,0.0008193486080654136,-8.836255924873785e-5,-0.056125145612218895
101,0.0005258074792736316,0.00047310828358607365,-5.269919568755797e-5,-0.057427924780641
121,0.00031647943375561285,0.0002812166429004947,-3.5262790855118144e-5,-0.05827411366623168
141,0.00019425368896755184,0.00016905415625637012,-2.5199532711181726e-5,-0.05886382092157577
161,0.00012172499662501814,0.0001030732410378128,-1.8651755587205333e-5,-0.05929430556782226
181,7.83927648886643e-5,6.402626950084497e-5,-1.4366495387819339e-5,-0.059620788872561684
201,5.20048708085677e-5,4.053528293052622e-5,-1.1469587878041482e-5,-0.05987684258496594
221,3.5421425968242414e-5,2.6040035152187525e-5,-9.38139081605489e-6,-0.060083447415358
241,2.4725550651979964e-5,1.6902319039132476e-5,-7.823231612847488e-6,-0.060254003802640184
261,1.7703302646680547e-5,1.1074158389512077e-5,-6.62914425716847e-6,-0.06039740859596406
281,1.301587748636293e-5,7.317899654682893e-6,-5.697977831680038e-6,-0.06051984771008965
301,9.826988348526028e-6,4.870378207196302e-6,-4.956610141329726e-6,-0.06062574693136481
321,7.6133719972025304e-6,3.2583724325304565e-6,-4.3549995646720736e-6,-0.06071834922373572
341,6.046978223385752e-6,2.187550652200384e-6,-3.859427571185368e-6,-0.060800082940559164
361,4.919079019492691e-6,1.4730675580346953e-6,-3.4460114614579963e-6,-0.06087280494484992
381,4.092592365079855e-6,9.95388419507573e-7,-3.0972039455722817e-6,-0.06093796341459679
401,3.4750665642479814e-6,6.751449605949292e-7,-2.799921603653052e-6,-0.06099670662555352
421,3.003812877758672e-6,4.5950188661309205e-7,-2.54431099114558e-6,-0.0610499573404352
441,2.636399950598069e-6,3.136052090139218e-7,-2.3227947415841473e-6,-0.061098465863990044
461,2.3439599649472733e-6,2.1450962099456976e-7,-2.1294503439527034e-6,-0.06114284900215686
481,2.1066028845408485e-6,1.4699978803836313e-7,-1.9596030965024854e-6,-0.06118361900652646
501,1.9104368263922126e-6,1.0090578482428056e-7,-1.809531041567932e-6,-0.061221205252248646
521,1.7456166954788518e-6,6.938121892298512e-8,-1.6762354765558667e-6,-0.06125597065808603
541,1.6050627293511044e-6,4.778934725120682e-8,-1.5572733820998975e-6,-0.06128822428163106
561,1.4836148387194381e-6,3.297627604860903e-8,-1.4506385626708292e-6,-0.061318231102407535
581,1.3774625118982494e-6,2.279388396671148e-8,-1.354668627931538e-6,-0.06134621970948967
601,1.283754795419804e-6,1.57798709525662e-8,-1.2679749244672378e-6,-0.06137238841390345
621,1.200328909602374e-6,1.0938883865990802e-8,-1.1893900257363833e-6,-0.06139691015682445
641,1.1255187783921597e-6,7.592230845078056e-9,-1.1179265475470816e-6,-0.06141993648331573
661,1.0580200404123963e-6,5.2756505688036465e-9,-1.0527443898435926e-6,-0.061441600783538386
681,9.967951696113446e-7,3.670416803171357e-9,-9.931247528081733e-7,-0.06146202095531461
701,9.410065332337039e-7,2.5570538952410024e-9,-9.384494793384628e-7,-0.06148130160631282
721,8.899685397697525e-7,1.784088224613709e-9,-8.881844515451388e-7,-0.06149953588724684
741,8.431129446817116e-7,1.2468212483663138e-9,-8.418661234333452e-7,-0.06151680702716545
761,7.999633842768562e-7,8.728418384420529e-10,-7.990905424384142e-7,-0.06153318962648028
781,7.601164121544519e-7,6.120730219660075e-10,-7.595043391324859e-7,-0.06154875075162701
801,7.23227176811089e-7,4.298958463934115e-10,-7.227972809646956e-7,-0.061563550866280986
821,6.889984615791317e-7,3.0237918339154506e-10,-6.886960823957402e-7,-0.06157764462711319
841,6.57172192791711e-7,2.129644110269599e-10,-6.56959228380684e-7,-0.06159108156666717
861,6.27522792857221e-7,1.5016914875629034e-10,-6.273726237084646e-7,-0.06160390668170338
881,5.998519333670993e-7,1.0600861724061797e-10,-5.997459247498587e-7,-0.06161616094200967
901,5.739843516051116e-7,7.49155016860122e-11,-5.739094361034255e-7,-0.06162788173200355
921,5.49764473184833e-7,5.299973323992565e-11,-5.49711473451593e-7,-0.06163910323530513
941,5.270536497359318e-7,3.7537874014642746e-11,-5.270161118619171e-7,-0.06164985677072669
961,5.057278753443515e-7,2.661935889463717e-11,-5.057012559854569e-7,-0.06166017108671827
981,4.856758831947583e-7,1.89015485049846e-11,-4.856569816462533e-7,-0.06167007262016038
1001,4.667975462974012e-7,1.3439940112680862e-11,-4.667841063572885e-7,-0.06167958572445389
1021,4.490025225302357e-7,9.569901157256886e-12,-4.489929526290784e-7,-0.061688732871083465
1041,4.3220909818734096e-7,6.82375588311644e-12,-4.3220227443145784e-7,-0.061697534828192215
1061,4.1634319475113333e-7,4.872326242530031e-12,-4.163383224248908e-7,-0.06170601081917487
1081,4.0133751154191293e-7,3.483630011799561e-12,-4.013340279119011e-7,-0.06171417866385429
1101,3.871307826085834e-7,2.4940272019549566e-12,-3.8712828858138143e-7,-0.06172205490443578
1121,3.736671298962495e-7,1.7877838171137243e-12,-3.736653421124324e-7,-0.06172965491812291
1141,3.608954983083694e-7,1.2830765440138727e-12,-3.608942152318254e-7,-0.06173699301801572
1161,3.487691599447777e-7,9.219158437216287e-13,-3.4876823802893394e-7,-0.06174408254369125
1181,3.372452780609772e-7,6.631875296503609e-13,-3.3724461487344754e-7,-0.061750935942677734
