iteration,cross_term_1,cross_term_2,diff,cumsum
1,0.07017478840167837,0.0797433669451844,0.009568578543506026,0.009568578543506026
21,0.01051680215672379,0.008570062175186726,-0.0019467399815370646,-0.09938865187257129
41,0.004123529780161875,0.0035491664561450053,-0.0005743633240168698,-0.11933675174844922
61,0.0019276975993438668,0.0016695863689573354,-0.00025811123038653135,-0.12654099022094317
81,0.0009670401547583959,0.0008352268805236821,-0.00013181327423471387,-0.13002728127563304
101,0.0004910396135732555,0.00041338079182558945,-7.76588217476661e-5,-0.13200657837922897
121,0.0002517537795717686,0.0002027612740828545,-4.899250548891408e-5,-0.13322890373056706
141,0.00013726205464574084,0.00010484308338337464,-3.24189712623662e-5,-0.13401944390149914
161,8.101208608647404e-5,5.872592357672261e-5,-2.2286162509751427e-5,-0.13455192667996954
181,5.043622285689093e-5,3.483207197580434e-5,-1.560415088108659e-5,-0.1349215325416751
201,3.2469573691412034e-5,2.1467395844403283e-5,-1.100217784700875e-5,-0.13518174455093632
221,2.144561084961384e-5,1.3633019070896117e-5,-7.812591778717723e-6,-0.13536626920489547
241,1.4452539938822263e-5,8.862396940810837e-6,-5.590142998011426e-6,-0.1354979387639207
261,9.910592182319354e-6,5.874752290080084e-6,-4.03583989223927e-6,-0.1355926089567414
281,6.906643690405219e-6,3.960898624442298e-6,-2.9457450659629205e-6,-0.13566134509396524
301,4.8877807933403075e-6,2.7101369155825807e-6,-2.177643877757727e-6,-0.13571183843734666
321,3.510164093206452e-6,1.8779781983373992e-6,-1.6321858948690527e-6,-0.13574941461035644
341,2.555816801372996e-6,1.3154440823211974e-6,-1.2403727190517987e-6,-0.13577775930270594
361,1.8850896362027755e-6,9.300273859745355e-7,-9.5506225022824e-7,-0.13579943084605142
381,1.407367927592008e-6,6.629856640849928e-7,-7.443822635070151e-7,-0.13581621556072976
401,1.0628245771954091e-6,4.76135997894915e-7,-5.866885793004942e-7,-0.13582937155948988
421,8.112981899223747e-7,3.4420838261938886e-7,-4.670898073029858e-7,-0.1358397948997925
441,6.255126624188206e-7,2.50284431066728e-7,-3.752282313520926e-7,-0.13584813238653295
461,4.867791603875126e-7,1.8292772657215198e-7,-3.0385143381536066e-7,-0.13585485799596658
481,3.8216421915225076e-7,1.3432066851940427e-7,-2.4784355063284647e-7,-0.13586032465402315
501,3.025994671421854e-7,9.905298859025876e-8,-2.0354647855192662e-7,-0.13586479933331408
521,2.4162998090916547e-7,7.333813781567328e-8,-1.6829184309349218e-7,-0.13586848687259562
541,1.9459087918719906e-7,5.4502586993887273e-8,-1.400882921933118e-7,-0.13587154625176556
561,1.580610737293423e-7,4.064625511746063e-8,-1.1741481861188167e-7,-0.13587410184087603
581,1.294975629515915e-7,3.0411466105153234e-8,-9.908609684643827e-8,-0.13587625130860298
601,1.06990543218414e-7,2.2823024923577478e-8,-8.416751829483653e-8,-0.13587807137433144
621,8.909747062086156e-8,1.717669812319261e-8,-7.192077249766896e-8,-0.1358796222042809
641,7.472651747485212e-8,1.2961322086631429e-8,-6.17651953882207e-8,-0.13588095090737748
661,6.305178997811994e-8,9.804215871186411e-9,-5.3247574106933533e-8,-0.13588209435931695
681,5.345107124149035e-8,7.432606305623595e-9,-4.6018464935866756e-8,-0.1358830814943129
701,4.5460824180519684e-8,5.646097148824937e-9,-3.981472703169475e-8,-0.1358839351882587
