iteration,cross_term_1,cross_term_2,diff,cumsum
1,0.03636908023830593,0.03422641456302434,-0.0021426656752815895,-0.0021426656752815895
21,0.009847569555379613,0.007881718405859085,-0.0019658511495205273,-0.09619600375246506
41,0.004489967252771893,0.0038271612912220898,-0.0006628059615498031,-0.11794911227976193
61,0.0021814163589989628,0.0018424898183766023,-0.0003389265406223605,-0.1270275593865927
81,0.0008249735955515846,0.0006275824710108406,-0.00019739112454074403,-0.13209764668794516
101,0.0002367557810982937,0.0001267021678311976,-0.00011005361326709608,-0.13501860593832868
121,8.131902156001949e-5,1.6532139259793205e-5,-6.478688230022629e-5,-0.13669438149355284
141,4.26944675355356e-5,2.3127216003585985e-6,-4.0381745935177e-5,-0.13771330880397764
161,2.5753919317698036e-5,4.306922467766195e-7,-2.5323227070921417e-5,-0.13835124927334064
181,1.601382759476253e-5,9.7415027267117e-8,-1.5916412567495414e-5,-0.13875147931956175
201,1.0143811304583621e-5,2.5524905625960423e-8,-1.011828639895766e-5,-0.1390042494698326
221,6.554529039328904e-6,7.442190807129196e-9,-6.547086848521775e-6,-0.13916627688444408
241,4.324591141763305e-6,2.346686329620315e-9,-4.322244455433684e-6,-0.13927214545273775
261,2.912481828238064e-6,7.771696835052843e-10,-2.9117046585545586e-6,-0.1393427380361119
281,1.9998779143660337e-6,2.667903211851365e-10,-1.9996111240448487e-6,-0.13939075206466478
301,1.3978443857437296e-6,9.699819482726895e-11,-1.3977473875489024e-6,-0.13942402022529082
321,9.92902282946152e-7,3.8131750248119795e-11,-9.928641511959038e-7,-0.1394474640147069
341,7.1575202563686e-7,1.666401694072728e-11,-7.157353616199192e-7,-0.13946424098701857
361,5.231167969739217e-7,8.434857641304317e-12,-5.231083621162804e-7,-0.13947641925033785
381,3.873515469474526e-7,4.9863367934951265e-12,-3.873465606106591e-7,-0.1394853786289354
401,2.90448708129118e-7,3.3358981702841546e-12,-2.904453722309477e-7,-0.13949205486599134
421,2.2047471304707816e-7,2.411729466976164e-12,-2.2047230131761117e-7,-0.13949709190695872
441,1.6940468905421896e-7,1.8003386759676168e-12,-1.6940288871554298e-7,-0.13950093886248469
461,1.3177759946148227e-7,1.3471380232965741e-12,-1.3177625232345898e-7,-0.1395039130380621
481,1.0382186024220392e-7,1.011245023310253e-12,-1.038208489971806e-7,-0.13950624143738435
501,8.287351138626275e-8,7.815639637105402e-13,-8.287272982229904e-8,-0.13950808803368578
521,6.701026491423889e-8,6.335917715762133e-13,-6.700963132246731e-8,-0.13950957176844678
541,5.483820408529376e-8,5.331761996060412e-13,-5.4837670909094156e-8,-0.1395107789527014
561,4.5359414299123335e-8,4.557639576727616e-13,-4.535895853516566e-8,-0.13951177236235515
581,3.78712126543853e-8,3.9140647258160574e-13,-3.7870821247912714e-8,-0.1395125980684447
601,3.1881994606713096e-8,3.368676678935421e-13,-3.18816577390452e-8,-0.13951329043056646
621,2.7045417634392683e-8,2.883657853503035e-13,-2.7045129268607333e-8,-0.1395138755942394
641,2.3114089220799575e-8,2.412698961823425e-13,-2.3113847950903392e-8,-0.13951437387953441
661,1.9908527713031926e-8,1.9321105119472592e-13,-1.990833450198073e-8,-0.13951480141424114
681,1.7295000929288906e-8,1.4642499448094637e-13,-1.7294854504294426e-8,-0.13951517124902837
701,1.5168387987790763e-8,1.0624305885672722e-13,-1.5168281744731905e-8,-0.13951549408503752
721,1.3439943401030292e-8,7.723295207269375e-14,-1.3439866168078219e-8,-0.13951577870842624
741,1.2030950342959371e-8,6.039764729933702e-14,-1.2030889945312072e-8,-0.1395160322413524
761,1.0871536750269932e-8,5.3139802620190225e-14,-1.0871483610467313e-8,-0.13951626032344516
781,9.901995118918805e-9,5.142820834592338e-14,-9.901943690710459e-9,-0.13951646730105247
801,9.073819640422825e-9,5.1911327199222004e-14,-9.073767729095626e-9,-0.13951665644353772
821,8.349201248830613e-9,5.2747633068249796e-14,-8.349148501197544e-9,-0.13951683016459981
841,7.699376268463437e-9,5.340512273119533e-14,-7.699322863340706e-9,-0.1395169902199176
861,7.102784978853557e-9,5.4034261668404345e-14,-7.1027309445918884e-9,-0.13951713786839176
881,6.543532481795403e-9,5.51662119751317e-14,-6.543477315583428e-9,-0.13951727399950087
901,6.010086996632529e-9,5.752114877621211e-14,-6.010029475483753e-9,-0.13951739923268872
921,5.4940957585097986e-9,6.167403403604621e-14,-5.4940340844757625e-9,-0.1395175139919722
941,4.989433684550154e-9,6.774255902097691e-14,-4.989365941991133e-9,-0.13951761855896408
961,4.491691701179678e-9,7.543479323137586e-14,-4.491616266386446e-9,-0.1395177131112134
981,3.998170915993926e-9,8.40115509523043e-14,-3.998086904442974e-9,-0.1395177977556869
1001,3.508268354837357e-9,9.239272533873764e-14,-3.5081759621120183e-9,-0.13951787256652584
1021,3.024081078139993e-9,9.910399321110049e-14,-3.0239819741467818e-9,-0.13951793763308695
