iteration,cross_term_1,cross_term_2,diff,cumsum
1,0.04850234011895941,0.060761970588326705,0.012259630469367296,0.012259630469367296
21,0.004610062518143803,0.0029428406954957187,-0.0016672218226480842,-0.07761072780107711
41,0.0011052099702729063,0.0006479265397175871,-0.0004572834305553192,-0.09485458965330826
61,0.0003898215174618927,0.00019406822399557216,-0.00019575329346632056,-0.10077856874760846
81,0.00017914831604201936,7.184558688103462e-5,-0.00010730272916098475,-0.10365585179660922
101,9.814488269934854e-5,3.120196013845163e-5,-6.694292256089691e-5,-0.10533458314041284
121,5.934659637413126e-5,1.4876028064864763e-5,-4.44705683092665e-5,-0.1064159068828765
141,3.833279994965e-5,7.614509983063758e-6,-3.071828996658624e-5,-0.10715023813184188
161,2.5683641481365095e-5,4.07674181728087e-6,-2.1606899664084224e-5,-0.10766268223090517
181,1.7629841193122076e-5,2.2691217577632064e-6,-1.536071943535887e-5,-0.10802537354829704
201,1.2302249761684674e-5,1.2975976577491023e-6,-1.1004652103935571e-5,-0.1082842871279615
221,8.701551956895635e-6,7.60184660690337e-7,-7.941367296205299e-6,-0.1084704484866624
241,6.231650959528561e-6,4.546347422100332e-7,-5.777016217318527e-6,-0.10860532311884724
261,4.515946195062483e-6,2.765855050132778e-7,-4.239360690049206e-6,-0.10870386154784932
281,3.3095662322781986e-6,1.7065999841492707e-7,-3.1389062338632716e-6,-0.10877649398514418
301,2.4508946320421345e-6,1.0657914090555667e-7,-2.344315491136578e-6,-0.10883050634428429
321,1.8325282097236907e-6,6.728166131666668e-8,-1.765246548407024e-6,-0.10887101297058376
341,1.3823491239929287e-6,4.286293651723614e-8,-1.3394861874756927e-6,-0.10890163310754052
361,1.0514519968046e-6,2.751721537735583e-8,-1.0239347814272442e-6,-0.10892495460528541
381,8.061427390316054e-7,1.7784313159972157e-8,-7.883584258716332e-7,-0.10894284682058696
401,6.228349113136594e-7,1.1560636171430068e-8,-6.112742751422293e-7,-0.10895667169636526
421,4.848197692330275e-7,7.551966153503926e-9,-4.772678030795235e-7,-0.10896742883764297
441,3.8014612425131605e-7,4.954269188481297e-9,-3.751918550628347e-7,-0.10897585682113156
461,3.0019458621287796e-7,3.262225993416324e-9,-2.969323602194616e-7,-0.10898250483655884
481,2.386831253152983e-7,2.154990006445093e-9,-2.365281353088532e-7,-0.10898778363052924
501,1.909725000606372e-7,1.4274760651919384e-9,-1.8954502399544527e-7,-0.10899200161064419
521,1.5360906720913242e-7,9.478125245840934e-10,-1.5266125468454833e-7,-0.10899539072556151
