N,W,kernel,med_time,avg_time,std_time
1024,32,naive,3.760707e6,3.748490989481593e6,89424.9185365778
1024,32,fused_warp,120141.0,120750.2728,5266.48427644511
1024,32,warp,100146.0,100963.1828,6885.81058646892
1024,32,warp_smem,105139.0,105853.3923,7028.443659817488
1024,32,warp_smem_fused,122673.0,123086.636,3783.4420057991006
4096,64,naive,1.4721613e7,1.4781822825958703e7,224379.7989285206
4096,64,fused_warp,1.312046e6,1.3355173578129187e6,43637.738986089185
4096,64,warp,1.365853e6,1.3866106036161336e6,46450.56504635663
4096,64,warp_smem,1.375075e6,1.404069113271344e6,50050.48769431974
4096,64,warp_smem_fused,1.335041e6,1.3566527122243398e6,44156.248840438435
16384,128,naive,5.8859717e7,5.912571771764706e7,926086.5385192991
16384,128,fused_warp,1.7260767e7,1.7344337453287195e7,282539.94948256394
16384,128,warp,2.1249972e7,2.1299270378723405e7,284342.92819765024
16384,128,warp_smem,2.1221384e7,2.1297325480851065e7,331327.69346314785
16384,128,warp_smem_fused,1.7350803e7,1.743449162369338e7,276294.19180539495
65536,256,naive,4.74569406e8,4.759697963636364e8,4.5964086659021145e6
65536,256,fused_warp,2.527594105e8,2.534514072e8,2.8873814382437216e6
65536,256,warp,3.37713584e8,3.391801816666667e8,5.295947219574763e6
65536,256,warp_smem,3.36284538e8,3.3742944606666666e8,4.219168552566548e6
65536,256,warp_smem_fused,2.52851759e8,2.538499032e8,3.39659171278965e6
262144,512,naive,7.607172127e9,7.607172127e9,NaN
262144,512,fused_warp,3.943190198e9,3.943190198e9,1.4592863870835567e7
262144,512,warp,5.423667694e9,5.423667694e9,NaN
262144,512,warp_smem,5.404266272e9,5.404266272e9,NaN
262144,512,warp_smem_fused,3.9480806635e9,3.9480806635e9,1.3240773174723616e7
