iter,infeas,ot_objective,dual,solver,time(s),problemclass,p,maxval,Algorithm,problem_1,problem_2,eta,primal,resolution_x,unnorm_ot_distance,gap,bintime,resolution_y,ot_distance,maxv
40,2.85947433706888e-12,19.4196700160413,,annealed_sinkhorn_kernel,18.1948,ClassicImages,1.0,126.0,"Anneal-SK ($\eta_i = 10^{-1}$, $\eta_f = 10^{-10}$)",data64_1005.csv,data64_1007.csv,0.1,,64,19941.39817308305,16.98541730972642,18.17414536944306,64,2.4342527066751765,126.0
90,1.6054508237558294e-11,16.4055115970551,,annealed_sinkhorn_kernel,20.40557,ClassicImages,1.0,126.0,"Anneal-SK ($\eta_i = 10^{-1}$, $\eta_f = 10^{-10}$)",data64_1005.csv,data64_1007.csv,0.079,,64,19941.39817308305,13.97125889240279,21.11534442254061,64,2.4342527066751765,126.0
170,3.15048432728991e-12,13.6893160451639,,annealed_sinkhorn_kernel,20.60082,ClassicImages,1.0,126.0,"Anneal-SK ($\eta_i = 10^{-1}$, $\eta_f = 10^{-10}$)",data64_1005.csv,data64_1007.csv,0.06241,,64,19941.39817308305,11.255063338885686,21.11534442254061,64,2.4342527066751765,126.0
290,4.09189482902176e-12,11.3406108246313,,annealed_sinkhorn_kernel,20.89361,ClassicImages,1.0,126.0,"Anneal-SK ($\eta_i = 10^{-1}$, $\eta_f = 10^{-10}$)",data64_1005.csv,data64_1007.csv,0.0493039,,64,19941.39817308305,8.906358118471703,21.11534442254061,64,2.4342527066751765,126.0
470,5.35158467426756e-12,9.37233058374396,,annealed_sinkhorn_kernel,21.33411,ClassicImages,1.0,126.0,"Anneal-SK ($\eta_i = 10^{-1}$, $\eta_f = 10^{-10}$)",data64_1005.csv,data64_1007.csv,0.038950081,,64,19941.39817308305,6.938077877743083,21.11534442254061,64,2.4342527066751765,126.0
730,1.28793906929139e-11,7.76199483889049,,annealed_sinkhorn_kernel,21.96903,ClassicImages,1.0,126.0,"Anneal-SK ($\eta_i = 10^{-1}$, $\eta_f = 10^{-10}$)",data64_1005.csv,data64_1007.csv,0.03077056399,,64,19941.39817308305,5.327742133838116,21.11534442254061,64,2.4342527066751765,126.0
1120,1.14082580323716e-11,6.46913905872012,,annealed_sinkhorn_kernel,22.91936,ClassicImages,1.0,126.0,"Anneal-SK ($\eta_i = 10^{-1}$, $\eta_f = 10^{-10}$)",data64_1005.csv,data64_1007.csv,0.0243087455521,,64,19941.39817308305,4.034886353482383,24.532530197109352,64,2.4342527066751765,126.0
1690,1.2578394240148898e-11,5.44652581179323,,annealed_sinkhorn_kernel,24.30044,ClassicImages,1.0,126.0,"Anneal-SK ($\eta_i = 10^{-1}$, $\eta_f = 10^{-10}$)",data64_1005.csv,data64_1007.csv,0.019203908986159,,64,19941.39817308305,3.0122731067029314,24.532530197109352,64,2.4342527066751765,126.0
2510,1.4471856699794098e-11,4.64700744080335,,annealed_sinkhorn_kernel,26.28174,ClassicImages,1.0,126.0,"Anneal-SK ($\eta_i = 10^{-1}$, $\eta_f = 10^{-10}$)",data64_1005.csv,data64_1007.csv,0.0151710880990656,,64,19941.39817308305,2.212754735951627,24.532530197109352,64,2.4342527066751765,126.0
3680,1.56853125797616e-11,4.02756471945434,,annealed_sinkhorn_kernel,29.08908,ClassicImages,1.0,126.0,"Anneal-SK ($\eta_i = 10^{-1}$, $\eta_f = 10^{-10}$)",data64_1005.csv,data64_1007.csv,0.0119851595982618,,64,19941.39817308305,1.5933120147555124,28.502733643767268,64,2.4342527066751765,126.0
5340,1.6274958006498594e-11,3.55140413640772,,annealed_sinkhorn_kernel,33.04032,ClassicImages,1.0,126.0,"Anneal-SK ($\eta_i = 10^{-1}$, $\eta_f = 10^{-10}$)",data64_1005.csv,data64_1007.csv,0.0094682760826268,,64,19941.39817308305,1.1171514317831883,33.11545195869231,64,2.4342527066751765,126.0
7690,1.59447739537242e-11,3.18884564733809,,annealed_sinkhorn_kernel,38.59319,ClassicImages,1.0,126.0,"Anneal-SK ($\eta_i = 10^{-1}$, $\eta_f = 10^{-10}$)",data64_1005.csv,data64_1007.csv,0.0074799381052752,,64,19941.39817308305,0.754592942671955,38.47466604903214,64,2.4342527066751765,126.0
10990,1.6598369310881698e-11,2.91738777557543,,annealed_sinkhorn_kernel,46.37436,ClassicImages,1.0,126.0,"Anneal-SK ($\eta_i = 10^{-1}$, $\eta_f = 10^{-10}$)",data64_1005.csv,data64_1007.csv,0.0059091511031674,,64,19941.39817308305,0.48313507099164793,44.701184493300815,64,2.4342527066751765,126.0
15610,1.63296035645967e-11,2.72085871905554,,annealed_sinkhorn_kernel,57.27643,ClassicImages,1.0,126.0,"Anneal-SK ($\eta_i = 10^{-1}$, $\eta_f = 10^{-10}$)",data64_1005.csv,data64_1007.csv,0.0046682293715022,,64,19941.39817308305,0.2866060144378938,54.598150033144236,64,2.4342527066751765,126.0
22000,1.62493836542246e-11,2.58727741760808,,annealed_sinkhorn_kernel,72.36543,ClassicImages,1.0,126.0,"Anneal-SK ($\eta_i = 10^{-1}$, $\eta_f = 10^{-10}$)",data64_1005.csv,data64_1007.csv,0.0036879012034867,,64,19941.39817308305,0.15302471298032583,73.69979369959584,64,2.4342527066751765,126.0
30600,1.64196384133409e-11,2.50556982572592,,annealed_sinkhorn_kernel,92.63304,ClassicImages,1.0,126.0,"Anneal-SK ($\eta_i = 10^{-1}$, $\eta_f = 10^{-10}$)",data64_1005.csv,data64_1007.csv,0.0029134419507545,,64,19941.39817308305,0.07131712111961801,99.48431564193378,64,2.4342527066751765,126.0
41260,1.65861083548102e-11,2.46292356821461,,annealed_sinkhorn_kernel,117.847,ClassicImages,1.0,126.0,"Anneal-SK ($\eta_i = 10^{-1}$, $\eta_f = 10^{-10}$)",data64_1005.csv,data64_1007.csv,0.0023016191410961,,64,19941.39817308305,0.028670863629283196,115.58428452718766,64,2.4342527066751765,126.0
55240,1.6610125708061298e-11,2.44486911841496,,annealed_sinkhorn_kernel,150.9861,ClassicImages,1.0,126.0,"Anneal-SK ($\eta_i = 10^{-1}$, $\eta_f = 10^{-10}$)",data64_1005.csv,data64_1007.csv,0.0018182791214659,,64,19941.39817308305,0.010616413832659178,156.02246448639497,64,2.4342527066751765,126.0
