time(s),iter,infeas,ot_objective,primal,dual,solver,problemclass,Algorithm,problem_1,problem_2,p
0.0001757,1,0.206930201978633,1387.55294393753,-8.28606275481604,-8.28606276005525,extragrad_dual_ctransfer,ClassicImages,LAMP,data64_1002.csv,data64_1006.csv,2.0
0.9373266,201,0.0185938626036941,77.3120741175641,-8.28606275676609,-8.24619633291344,extragrad_dual_ctransfer,ClassicImages,LAMP,data64_1002.csv,data64_1006.csv,2.0
1.875323,401,0.00430379369170805,42.9180545982417,-8.28606275721328,-8.2717603896736,extragrad_dual_ctransfer,ClassicImages,LAMP,data64_1002.csv,data64_1006.csv,2.0
2.813734,601,0.00196380050411599,31.0285386483784,-8.2860627575005,-8.28290542625666,extragrad_dual_ctransfer,ClassicImages,LAMP,data64_1002.csv,data64_1006.csv,2.0
3.753006,801,0.000574232539545965,24.9780651639677,-8.28606275772047,-8.28520375200125,extragrad_dual_ctransfer,ClassicImages,LAMP,data64_1002.csv,data64_1006.csv,2.0
4.692665,1001,0.000263821042402318,21.3084324136105,-8.28606275790305,-8.28596386964197,extragrad_dual_ctransfer,ClassicImages,LAMP,data64_1002.csv,data64_1006.csv,2.0
5.632535,1201,9.89892240505571e-05,18.8438522314098,-8.28606275806177,-8.28631190475624,extragrad_dual_ctransfer,ClassicImages,LAMP,data64_1002.csv,data64_1006.csv,2.0
6.569573,1401,4.15141484786059e-05,17.0737174866939,-8.28606275820392,-8.28642953761815,extragrad_dual_ctransfer,ClassicImages,LAMP,data64_1002.csv,data64_1006.csv,2.0
7.502778,1601,1.73823361482885e-05,15.7403781460334,-8.28606275833388,-8.28645418372966,extragrad_dual_ctransfer,ClassicImages,LAMP,data64_1002.csv,data64_1006.csv,2.0
8.440233,1801,7.79422239137336e-06,14.699704058461,-8.28606275845449,-8.28646169956515,extragrad_dual_ctransfer,ClassicImages,LAMP,data64_1002.csv,data64_1006.csv,2.0
